R8 左轮手枪,崭新出厂,纪念品,43911,R8 左轮手枪（纪念品） | 渐变琥珀,10,919.5,2878.41,3.13,2024-06-17
R8 左轮手枪,久经沙场,纪念品,877009,R8 左轮手枪（纪念品） | 噩梦之夜,911,0.04,0.22,5.5,2024-06-17
R8 左轮手枪,破损不堪,普通,36334,R8 左轮手枪 | 骸骨外罩,101,0.05,0.22,4.4,2024-06-17
R8 左轮手枪,久经沙场,纪念品,877121,R8 左轮手枪（纪念品） | 沙漠伪装,1783,0.03,0.22,7.33,2024-06-17
R8 左轮手枪,破损不堪,纪念品,877028,R8 左轮手枪（纪念品） | 噩梦之夜,103,0.03,0.22,7.33,2024-06-17
R8 左轮手枪,战痕累累,纪念品,877045,R8 左轮手枪（纪念品） | 噩梦之夜,226,0.02,0.22,11.0,2024-06-17
R8 左轮手枪,破损不堪,普通,45299,R8 左轮手枪 | 稳,180,0.21,0.44,2.1,2024-06-17
R8 左轮手枪,久经沙场,普通,927309,R8 左轮手枪 | 镶嵌装饰,850,0.22,0.44,2.0,2024-06-17
R8 左轮手枪,略有磨损,纪念品,929028,R8 左轮手枪（纪念品） | 镶嵌装饰,331,0.18,0.36,2.0,2024-06-17
R8 左轮手枪,战痕累累,普通,927293,R8 左轮手枪 | 镶嵌装饰,179,0.18,0.44,2.44,2024-06-17
R8 左轮手枪,略有磨损,纪念品,877021,R8 左轮手枪（纪念品） | 噩梦之夜,430,0.11,0.29,2.64,2024-06-17
R8 左轮手枪,战痕累累,纪念品,877148,R8 左轮手枪（纪念品） | 沙漠伪装,214,0.1,0.22,2.2,2024-06-17
R8 左轮手枪,久经沙场,纪念品,929015,R8 左轮手枪（纪念品） | 镶嵌装饰,557,0.09,0.29,3.22,2024-06-17
R8 左轮手枪,略有磨损,普通,36333,R8 左轮手枪 | 骸骨外罩,214,0.07,0.29,4.14,2024-06-17
R8 左轮手枪,战痕累累,普通,36330,R8 左轮手枪 | 骸骨外罩,197,0.07,0.22,3.14,2024-06-17
R8 左轮手枪,破损不堪,纪念品,877156,R8 左轮手枪（纪念品） | 沙漠伪装,94,0.06,0.22,3.67,2024-06-17
R8 左轮手枪,久经沙场,普通,36332,R8 左轮手枪 | 骸骨外罩,626,0.06,0.22,3.67,2024-06-17
R8 左轮手枪,略有磨损,纪念品,877134,R8 左轮手枪（纪念品） | 沙漠伪装,1080,0.05,0.22,4.4,2024-06-17
R8 左轮手枪,战痕累累,纪念品,929038,R8 左轮手枪（纪念品） | 镶嵌装饰,102,0.04,0.29,7.25,2024-06-17
R8 左轮手枪,久经沙场,纪念品,877009,R8 左轮手枪（纪念品） | 噩梦之夜,911,0.04,0.22,5.5,2024-06-17
R8 左轮手枪,破损不堪,普通,36334,R8 左轮手枪 | 骸骨外罩,101,0.05,0.22,4.4,2024-06-17
R8 左轮手枪,久经沙场,纪念品,877121,R8 左轮手枪（纪念品） | 沙漠伪装,1783,0.03,0.22,7.33,2024-06-17
R8 左轮手枪,破损不堪,纪念品,877028,R8 左轮手枪（纪念品） | 噩梦之夜,103,0.03,0.22,7.33,2024-06-17
R8 左轮手枪,战痕累累,纪念品,877045,R8 左轮手枪（纪念品） | 噩梦之夜,226,0.02,0.22,11.0,2024-06-17
