法玛斯,崭新出厂,普通,34679,法玛斯 | 喷焰者,4,1549.5,1813.55,1.17,2024-06-16
法玛斯,久经沙场,普通,769140,法玛斯 | 保护色,171,0.76,1.02,1.34,2024-06-16
法玛斯,战痕累累,普通,769246,法玛斯 | 保护色,31,0.75,0.94,1.25,2024-06-16
法玛斯,战痕累累,纪念品,876929,法玛斯（纪念品） | 线路故障,32,0.72,1.31,1.82,2024-06-16
法玛斯,久经沙场,普通,773675,法玛斯 | 退役,88,0.71,1.16,1.63,2024-06-16
法玛斯,破损不堪,普通,773639,法玛斯 | 退役,65,0.67,0.87,1.3,2024-06-16
法玛斯,久经沙场,StatTrak™,900580,法玛斯（StatTrak™） | 喵喵36,373,0.66,1.02,1.55,2024-06-16
法玛斯,战痕累累,普通,773616,法玛斯 | 退役,45,0.64,0.8,1.25,2024-06-16
法玛斯,略有磨损,普通,900522,法玛斯 | 喵喵36,842,0.59,0.94,1.59,2024-06-16
法玛斯,崭新出厂,纪念品,876854,法玛斯（纪念品） | 加州迷彩,451,0.58,0.73,1.26,2024-06-16
法玛斯,崭新出厂,普通,34625,法玛斯 | 殖民侵略者,246,0.58,0.8,1.38,2024-06-16
法玛斯,破损不堪,StatTrak™,900481,法玛斯（StatTrak™） | 喵喵36,239,0.51,0.8,1.57,2024-06-16
法玛斯,战痕累累,StatTrak™,900496,法玛斯（StatTrak™） | 喵喵36,122,0.49,0.8,1.63,2024-06-16
法玛斯,破损不堪,纪念品,876937,法玛斯（纪念品） | 线路故障,36,0.47,0.87,1.85,2024-06-16
法玛斯,略有磨损,普通,34637,法玛斯 | 湖蓝涂装,567,0.31,0.51,1.65,2024-06-16
法玛斯,久经沙场,普通,900483,法玛斯 | 喵喵36,782,0.32,0.58,1.81,2024-06-16
法玛斯,破损不堪,普通,900468,法玛斯 | 喵喵36,302,0.26,0.51,1.96,2024-06-16
法玛斯,久经沙场,纪念品,876912,法玛斯（纪念品） | 线路故障,529,0.26,0.44,1.69,2024-06-16
法玛斯,战痕累累,普通,900474,法玛斯 | 喵喵36,389,0.24,0.44,1.83,2024-06-16
法玛斯,略有磨损,纪念品,876887,法玛斯（纪念品） | 加州迷彩,496,0.24,0.36,1.5,2024-06-16
法玛斯,破损不堪,普通,34638,法玛斯 | 湖蓝涂装,71,0.21,0.44,2.1,2024-06-16
法玛斯,久经沙场,普通,34636,法玛斯 | 湖蓝涂装,895,0.2,0.36,1.8,2024-06-16
法玛斯,战痕累累,普通,34634,法玛斯 | 湖蓝涂装,152,0.18,0.36,2.0,2024-06-16
法玛斯,破损不堪,纪念品,876909,法玛斯（纪念品） | 加州迷彩,90,0.13,0.36,2.77,2024-06-16
法玛斯,战痕累累,纪念品,876857,法玛斯（纪念品） | 加州迷彩,131,0.09,0.29,3.22,2024-06-16
法玛斯,久经沙场,纪念品,876862,法玛斯（纪念品） | 加州迷彩,1069,0.06,0.29,4.83,2024-06-16
法玛斯,略有磨损,普通,34627,法玛斯 | 殖民侵略者,773,0.05,0.22,4.4,2024-06-16
法玛斯,破损不堪,普通,34628,法玛斯 | 殖民侵略者,147,0.03,0.22,7.33,2024-06-16
法玛斯,久经沙场,普通,34626,法玛斯 | 殖民侵略者,1658,0.03,0.22,7.33,2024-06-16
法玛斯,战痕累累,普通,34624,法玛斯 | 殖民侵略者,354,0.03,0.22,7.33,2024-06-16
法玛斯,久经沙场,普通,769140,法玛斯 | 保护色,171,0.76,1.02,1.34,2024-06-16
法玛斯,战痕累累,普通,769246,法玛斯 | 保护色,31,0.75,0.94,1.25,2024-06-16
法玛斯,战痕累累,纪念品,876929,法玛斯（纪念品） | 线路故障,32,0.72,1.31,1.82,2024-06-16
法玛斯,久经沙场,普通,773675,法玛斯 | 退役,88,0.71,1.16,1.63,2024-06-16
法玛斯,破损不堪,普通,773639,法玛斯 | 退役,65,0.67,0.87,1.3,2024-06-16
法玛斯,久经沙场,StatTrak™,900580,法玛斯（StatTrak™） | 喵喵36,373,0.66,1.02,1.55,2024-06-16
法玛斯,战痕累累,普通,773616,法玛斯 | 退役,45,0.64,0.8,1.25,2024-06-16
法玛斯,略有磨损,普通,900522,法玛斯 | 喵喵36,842,0.59,0.94,1.59,2024-06-16
法玛斯,崭新出厂,纪念品,876854,法玛斯（纪念品） | 加州迷彩,451,0.58,0.73,1.26,2024-06-16
法玛斯,崭新出厂,普通,34625,法玛斯 | 殖民侵略者,246,0.58,0.8,1.38,2024-06-16
法玛斯,破损不堪,StatTrak™,900481,法玛斯（StatTrak™） | 喵喵36,239,0.51,0.8,1.57,2024-06-16
法玛斯,战痕累累,StatTrak™,900496,法玛斯（StatTrak™） | 喵喵36,122,0.49,0.8,1.63,2024-06-16
法玛斯,破损不堪,纪念品,876937,法玛斯（纪念品） | 线路故障,36,0.47,0.87,1.85,2024-06-16
法玛斯,略有磨损,普通,34637,法玛斯 | 湖蓝涂装,567,0.31,0.51,1.65,2024-06-16
法玛斯,久经沙场,普通,900483,法玛斯 | 喵喵36,782,0.32,0.58,1.81,2024-06-16
法玛斯,破损不堪,普通,900468,法玛斯 | 喵喵36,302,0.26,0.51,1.96,2024-06-16
法玛斯,久经沙场,纪念品,876912,法玛斯（纪念品） | 线路故障,529,0.26,0.44,1.69,2024-06-16
法玛斯,战痕累累,普通,900474,法玛斯 | 喵喵36,389,0.24,0.44,1.83,2024-06-16
法玛斯,略有磨损,纪念品,876887,法玛斯（纪念品） | 加州迷彩,496,0.24,0.36,1.5,2024-06-16
法玛斯,破损不堪,普通,34638,法玛斯 | 湖蓝涂装,71,0.21,0.44,2.1,2024-06-16
法玛斯,久经沙场,普通,34636,法玛斯 | 湖蓝涂装,895,0.2,0.36,1.8,2024-06-16
法玛斯,战痕累累,普通,34634,法玛斯 | 湖蓝涂装,152,0.18,0.36,2.0,2024-06-16
法玛斯,破损不堪,纪念品,876909,法玛斯（纪念品） | 加州迷彩,90,0.13,0.36,2.77,2024-06-16
法玛斯,战痕累累,纪念品,876857,法玛斯（纪念品） | 加州迷彩,131,0.09,0.29,3.22,2024-06-16
法玛斯,久经沙场,纪念品,876862,法玛斯（纪念品） | 加州迷彩,1069,0.06,0.29,4.83,2024-06-16
法玛斯,略有磨损,普通,34627,法玛斯 | 殖民侵略者,773,0.05,0.22,4.4,2024-06-16
法玛斯,破损不堪,普通,34628,法玛斯 | 殖民侵略者,147,0.03,0.22,7.33,2024-06-16
法玛斯,久经沙场,普通,34626,法玛斯 | 殖民侵略者,1658,0.03,0.22,7.33,2024-06-16
法玛斯,战痕累累,普通,34624,法玛斯 | 殖民侵略者,354,0.03,0.22,7.33,2024-06-16
法玛斯,久经沙场,普通,769140,法玛斯 | 保护色,171,0.76,1.02,1.34,2024-06-16
法玛斯,战痕累累,普通,769246,法玛斯 | 保护色,31,0.75,0.94,1.25,2024-06-16
法玛斯,战痕累累,纪念品,876929,法玛斯（纪念品） | 线路故障,32,0.72,1.31,1.82,2024-06-16
法玛斯,久经沙场,普通,773675,法玛斯 | 退役,88,0.71,1.16,1.63,2024-06-16
法玛斯,破损不堪,普通,773639,法玛斯 | 退役,65,0.67,0.87,1.3,2024-06-16
法玛斯,久经沙场,StatTrak™,900580,法玛斯（StatTrak™） | 喵喵36,373,0.66,1.02,1.55,2024-06-16
法玛斯,战痕累累,普通,773616,法玛斯 | 退役,45,0.64,0.8,1.25,2024-06-16
法玛斯,略有磨损,普通,900522,法玛斯 | 喵喵36,842,0.59,0.94,1.59,2024-06-16
法玛斯,崭新出厂,纪念品,876854,法玛斯（纪念品） | 加州迷彩,451,0.58,0.73,1.26,2024-06-16
法玛斯,崭新出厂,普通,34625,法玛斯 | 殖民侵略者,246,0.58,0.8,1.38,2024-06-16
法玛斯,破损不堪,StatTrak™,900481,法玛斯（StatTrak™） | 喵喵36,239,0.51,0.8,1.57,2024-06-16
法玛斯,战痕累累,StatTrak™,900496,法玛斯（StatTrak™） | 喵喵36,122,0.49,0.8,1.63,2024-06-16
法玛斯,破损不堪,纪念品,876937,法玛斯（纪念品） | 线路故障,36,0.47,0.87,1.85,2024-06-16
法玛斯,略有磨损,普通,34637,法玛斯 | 湖蓝涂装,567,0.31,0.51,1.65,2024-06-16
法玛斯,久经沙场,普通,900483,法玛斯 | 喵喵36,782,0.32,0.58,1.81,2024-06-16
法玛斯,破损不堪,普通,900468,法玛斯 | 喵喵36,302,0.26,0.51,1.96,2024-06-16
法玛斯,久经沙场,纪念品,876912,法玛斯（纪念品） | 线路故障,529,0.26,0.44,1.69,2024-06-16
法玛斯,战痕累累,普通,900474,法玛斯 | 喵喵36,389,0.24,0.44,1.83,2024-06-16
法玛斯,略有磨损,纪念品,876887,法玛斯（纪念品） | 加州迷彩,496,0.24,0.36,1.5,2024-06-16
法玛斯,破损不堪,普通,34638,法玛斯 | 湖蓝涂装,71,0.21,0.44,2.1,2024-06-16
法玛斯,久经沙场,普通,34636,法玛斯 | 湖蓝涂装,895,0.2,0.36,1.8,2024-06-16
法玛斯,战痕累累,普通,34634,法玛斯 | 湖蓝涂装,152,0.18,0.36,2.0,2024-06-16
法玛斯,破损不堪,纪念品,876909,法玛斯（纪念品） | 加州迷彩,90,0.13,0.36,2.77,2024-06-16
法玛斯,战痕累累,纪念品,876857,法玛斯（纪念品） | 加州迷彩,131,0.09,0.29,3.22,2024-06-16
法玛斯,久经沙场,纪念品,876862,法玛斯（纪念品） | 加州迷彩,1069,0.06,0.29,4.83,2024-06-16
法玛斯,略有磨损,普通,34627,法玛斯 | 殖民侵略者,773,0.05,0.22,4.4,2024-06-16
法玛斯,破损不堪,普通,34628,法玛斯 | 殖民侵略者,147,0.03,0.22,7.33,2024-06-16
法玛斯,久经沙场,普通,34626,法玛斯 | 殖民侵略者,1658,0.03,0.22,7.33,2024-06-16
法玛斯,战痕累累,普通,34624,法玛斯 | 殖民侵略者,354,0.03,0.22,7.33,2024-06-16
