SG 553,崭新出厂,纪念品,779170,SG 553（纪念品） | 浪花穿孔,1,9998.5,1020.02,0.1,2024-06-17
SG 553,破损不堪,StatTrak™,921501,SG 553（StatTrak™） | 赛博之力,81,0.57,0.94,1.65,2024-06-17
SG 553,破损不堪,StatTrak™,781696,SG 553（StatTrak™） | 锈蚀之刃,28,0.56,0.94,1.68,2024-06-17
SG 553,略有磨损,普通,45389,SG 553 | 阿罗哈,962,0.53,0.8,1.51,2024-06-17
SG 553,战痕累累,StatTrak™,39498,SG 553（StatTrak™） | 擎天神,24,0.52,0.94,1.81,2024-06-17
SG 553,战痕累累,StatTrak™,781593,SG 553（StatTrak™） | 锈蚀之刃,74,0.51,0.87,1.71,2024-06-17
SG 553,略有磨损,普通,781539,SG 553 | 锈蚀之刃,1005,0.79,0.73,0.92,2024-06-17
SG 553,战痕累累,StatTrak™,45436,SG 553（StatTrak™） | 阿罗哈,33,0.49,0.87,1.78,2024-06-17
SG 553,崭新出厂,纪念品,877125,SG 553（纪念品） | 白骨,1288,0.46,0.65,1.41,2024-06-17
SG 553,破损不堪,普通,763314,SG 553 | 危险距离,32,0.45,0.58,1.29,2024-06-17
SG 553,久经沙场,普通,36449,SG 553 | 擎天神,303,0.45,0.73,1.62,2024-06-17
SG 553,破损不堪,普通,36451,SG 553 | 擎天神,26,0.41,0.8,1.95,2024-06-17
SG 553,久经沙场,普通,763246,SG 553 | 危险距离,386,0.45,0.65,1.44,2024-06-17
SG 553,崭新出厂,普通,36517,SG 553 | 浪花穿孔,207,0.39,0.65,1.67,2024-06-17
SG 553,战痕累累,普通,763262,SG 553 | 危险距离,97,0.36,0.51,1.42,2024-06-17
SG 553,久经沙场,普通,45301,SG 553 | 阿罗哈,1648,0.29,0.58,2.0,2024-06-17
SG 553,战痕累累,普通,45300,SG 553 | 阿罗哈,69,0.28,0.51,1.82,2024-06-17
SG 553,久经沙场,普通,921439,SG 553 | 赛博之力,1219,0.28,0.51,1.82,2024-06-17
SG 553,战痕累累,普通,781550,SG 553 | 锈蚀之刃,95,0.27,0.44,1.63,2024-06-17
SG 553,破损不堪,普通,45302,SG 553 | 阿罗哈,105,0.27,0.51,1.89,2024-06-17
SG 553,战痕累累,普通,36447,SG 553 | 擎天神,23,0.27,0.51,1.89,2024-06-17
SG 553,久经沙场,普通,781546,SG 553 | 锈蚀之刃,1476,0.28,0.51,1.82,2024-06-17
SG 553,战痕累累,普通,921457,SG 553 | 赛博之力,294,0.21,0.44,2.1,2024-06-17
SG 553,破损不堪,普通,921433,SG 553 | 赛博之力,322,0.21,0.51,2.43,2024-06-17
SG 553,破损不堪,普通,781681,SG 553 | 锈蚀之刃,101,0.21,0.51,2.43,2024-06-17
SG 553,略有磨损,纪念品,877008,SG 553（纪念品） | 废墟丛生,493,0.2,0.36,1.8,2024-06-17
SG 553,破损不堪,纪念品,877022,SG 553（纪念品） | 废墟丛生,33,0.17,0.36,2.12,2024-06-17
SG 553,破损不堪,普通,36520,SG 553 | 浪花穿孔,652,0.16,0.22,1.38,2024-06-17
SG 553,崭新出厂,普通,36444,SG 553 | 军队之辉,1250,0.13,0.29,2.23,2024-06-17
SG 553,略有磨损,纪念品,877147,SG 553（纪念品） | 白骨,961,0.11,0.29,2.64,2024-06-17
SG 553,破损不堪,纪念品,877167,SG 553（纪念品） | 白骨,80,0.08,0.29,3.62,2024-06-17
SG 553,略有磨损,普通,36446,SG 553 | 军队之辉,778,0.08,0.29,3.62,2024-06-17
SG 553,战痕累累,纪念品,877152,SG 553（纪念品） | 白骨,97,0.06,0.29,4.83,2024-06-17
SG 553,久经沙场,纪念品,877133,SG 553（纪念品） | 白骨,3669,0.06,0.22,3.67,2024-06-17
SG 553,久经沙场,纪念品,877005,SG 553（纪念品） | 废墟丛生,854,0.06,0.29,4.83,2024-06-17
SG 553,久经沙场,普通,36445,SG 553 | 军队之辉,193,0.06,0.22,3.67,2024-06-17
SG 553,战痕累累,纪念品,877017,SG 553（纪念品） | 废墟丛生,164,0.05,0.22,4.4,2024-06-17
SG 553,略有磨损,普通,36519,SG 553 | 浪花穿孔,905,0.05,0.22,4.4,2024-06-17
SG 553,久经沙场,普通,36518,SG 553 | 浪花穿孔,1776,0.04,0.22,5.5,2024-06-17
SG 553,战痕累累,普通,36516,SG 553 | 浪花穿孔,277,0.03,0.22,7.33,2024-06-17
SG 553,战痕累累,普通,857535,SG 553 | 重金属摇滚,130,0.72,0.94,1.31,2024-06-17
SG 553,略有磨损,普通,36450,SG 553 | 擎天神,190,0.7,0.94,1.34,2024-06-17
SG 553,久经沙场,StatTrak™,781603,SG 553（StatTrak™） | 锈蚀之刃,640,0.69,0.87,1.26,2024-06-17
SG 553,略有磨损,普通,763303,SG 553 | 危险距离,376,0.69,0.94,1.36,2024-06-17
SG 553,破损不堪,普通,857630,SG 553 | 重金属摇滚,138,0.62,1.02,1.65,2024-06-17
SG 553,略有磨损,普通,921430,SG 553 | 赛博之力,1131,0.61,0.87,1.43,2024-06-17
SG 553,战痕累累,StatTrak™,921543,SG 553（StatTrak™） | 赛博之力,77,0.59,0.87,1.47,2024-06-17
SG 553,久经沙场,StatTrak™,45343,SG 553（StatTrak™） | 阿罗哈,624,0.57,0.94,1.65,2024-06-17
SG 553,破损不堪,StatTrak™,921501,SG 553（StatTrak™） | 赛博之力,81,0.57,0.94,1.65,2024-06-17
SG 553,破损不堪,StatTrak™,781696,SG 553（StatTrak™） | 锈蚀之刃,28,0.56,0.94,1.68,2024-06-17
SG 553,略有磨损,普通,45389,SG 553 | 阿罗哈,962,0.53,0.8,1.51,2024-06-17
SG 553,战痕累累,StatTrak™,39498,SG 553（StatTrak™） | 擎天神,24,0.52,0.94,1.81,2024-06-17
SG 553,战痕累累,StatTrak™,781593,SG 553（StatTrak™） | 锈蚀之刃,74,0.51,0.87,1.71,2024-06-17
SG 553,略有磨损,普通,781539,SG 553 | 锈蚀之刃,1005,0.79,0.73,0.92,2024-06-17
SG 553,战痕累累,StatTrak™,45436,SG 553（StatTrak™） | 阿罗哈,33,0.49,0.87,1.78,2024-06-17
SG 553,崭新出厂,纪念品,877125,SG 553（纪念品） | 白骨,1288,0.46,0.65,1.41,2024-06-17
SG 553,破损不堪,普通,763314,SG 553 | 危险距离,32,0.45,0.58,1.29,2024-06-17
SG 553,久经沙场,普通,36449,SG 553 | 擎天神,303,0.45,0.73,1.62,2024-06-17
SG 553,破损不堪,普通,36451,SG 553 | 擎天神,26,0.41,0.8,1.95,2024-06-17
SG 553,久经沙场,普通,763246,SG 553 | 危险距离,386,0.45,0.65,1.44,2024-06-17
SG 553,崭新出厂,普通,36517,SG 553 | 浪花穿孔,207,0.39,0.65,1.67,2024-06-17
SG 553,战痕累累,普通,763262,SG 553 | 危险距离,97,0.36,0.51,1.42,2024-06-17
SG 553,久经沙场,普通,45301,SG 553 | 阿罗哈,1648,0.29,0.58,2.0,2024-06-17
SG 553,战痕累累,普通,45300,SG 553 | 阿罗哈,69,0.28,0.51,1.82,2024-06-17
SG 553,久经沙场,普通,921439,SG 553 | 赛博之力,1219,0.28,0.51,1.82,2024-06-17
SG 553,战痕累累,普通,781550,SG 553 | 锈蚀之刃,95,0.27,0.44,1.63,2024-06-17
SG 553,破损不堪,普通,45302,SG 553 | 阿罗哈,105,0.27,0.51,1.89,2024-06-17
SG 553,战痕累累,普通,36447,SG 553 | 擎天神,23,0.27,0.51,1.89,2024-06-17
SG 553,久经沙场,普通,781546,SG 553 | 锈蚀之刃,1476,0.28,0.51,1.82,2024-06-17
SG 553,战痕累累,普通,921457,SG 553 | 赛博之力,294,0.21,0.44,2.1,2024-06-17
SG 553,破损不堪,普通,921433,SG 553 | 赛博之力,322,0.21,0.51,2.43,2024-06-17
SG 553,破损不堪,普通,781681,SG 553 | 锈蚀之刃,101,0.21,0.51,2.43,2024-06-17
SG 553,略有磨损,纪念品,877008,SG 553（纪念品） | 废墟丛生,493,0.2,0.36,1.8,2024-06-17
SG 553,破损不堪,纪念品,877022,SG 553（纪念品） | 废墟丛生,33,0.17,0.36,2.12,2024-06-17
SG 553,破损不堪,普通,36520,SG 553 | 浪花穿孔,652,0.16,0.22,1.38,2024-06-17
SG 553,崭新出厂,普通,36444,SG 553 | 军队之辉,1250,0.13,0.29,2.23,2024-06-17
SG 553,略有磨损,纪念品,877147,SG 553（纪念品） | 白骨,961,0.11,0.29,2.64,2024-06-17
SG 553,破损不堪,纪念品,877167,SG 553（纪念品） | 白骨,80,0.08,0.29,3.62,2024-06-17
SG 553,略有磨损,普通,36446,SG 553 | 军队之辉,778,0.08,0.29,3.62,2024-06-17
SG 553,战痕累累,纪念品,877152,SG 553（纪念品） | 白骨,97,0.06,0.29,4.83,2024-06-17
SG 553,久经沙场,纪念品,877133,SG 553（纪念品） | 白骨,3669,0.06,0.22,3.67,2024-06-17
SG 553,久经沙场,纪念品,877005,SG 553（纪念品） | 废墟丛生,854,0.06,0.29,4.83,2024-06-17
SG 553,久经沙场,普通,36445,SG 553 | 军队之辉,193,0.06,0.22,3.67,2024-06-17
SG 553,战痕累累,纪念品,877017,SG 553（纪念品） | 废墟丛生,164,0.05,0.22,4.4,2024-06-17
SG 553,略有磨损,普通,36519,SG 553 | 浪花穿孔,905,0.05,0.22,4.4,2024-06-17
SG 553,久经沙场,普通,36518,SG 553 | 浪花穿孔,1776,0.04,0.22,5.5,2024-06-17
SG 553,战痕累累,普通,36516,SG 553 | 浪花穿孔,277,0.03,0.22,7.33,2024-06-17
SG 553,战痕累累,普通,857535,SG 553 | 重金属摇滚,130,0.72,0.94,1.31,2024-06-17
SG 553,略有磨损,普通,36450,SG 553 | 擎天神,190,0.7,0.94,1.34,2024-06-17
SG 553,久经沙场,StatTrak™,781603,SG 553（StatTrak™） | 锈蚀之刃,640,0.69,0.87,1.26,2024-06-17
SG 553,略有磨损,普通,763303,SG 553 | 危险距离,376,0.69,0.94,1.36,2024-06-17
SG 553,破损不堪,普通,857630,SG 553 | 重金属摇滚,138,0.62,1.02,1.65,2024-06-17
SG 553,略有磨损,普通,921430,SG 553 | 赛博之力,1131,0.61,0.87,1.43,2024-06-17
SG 553,战痕累累,StatTrak™,921543,SG 553（StatTrak™） | 赛博之力,77,0.59,0.87,1.47,2024-06-17
SG 553,久经沙场,StatTrak™,45343,SG 553（StatTrak™） | 阿罗哈,624,0.57,0.94,1.65,2024-06-17
SG 553,破损不堪,StatTrak™,921501,SG 553（StatTrak™） | 赛博之力,81,0.57,0.94,1.65,2024-06-17
SG 553,破损不堪,StatTrak™,781696,SG 553（StatTrak™） | 锈蚀之刃,28,0.56,0.94,1.68,2024-06-17
SG 553,略有磨损,普通,45389,SG 553 | 阿罗哈,962,0.53,0.8,1.51,2024-06-17
SG 553,战痕累累,StatTrak™,39498,SG 553（StatTrak™） | 擎天神,24,0.52,0.94,1.81,2024-06-17
SG 553,战痕累累,StatTrak™,781593,SG 553（StatTrak™） | 锈蚀之刃,74,0.51,0.87,1.71,2024-06-17
SG 553,略有磨损,普通,781539,SG 553 | 锈蚀之刃,1005,0.79,0.73,0.92,2024-06-17
SG 553,战痕累累,StatTrak™,45436,SG 553（StatTrak™） | 阿罗哈,33,0.49,0.87,1.78,2024-06-17
SG 553,崭新出厂,纪念品,877125,SG 553（纪念品） | 白骨,1288,0.46,0.65,1.41,2024-06-17
SG 553,破损不堪,普通,763314,SG 553 | 危险距离,32,0.45,0.58,1.29,2024-06-17
SG 553,久经沙场,普通,36449,SG 553 | 擎天神,303,0.45,0.73,1.62,2024-06-17
SG 553,破损不堪,普通,36451,SG 553 | 擎天神,26,0.41,0.8,1.95,2024-06-17
SG 553,久经沙场,普通,763246,SG 553 | 危险距离,386,0.45,0.65,1.44,2024-06-17
SG 553,崭新出厂,普通,36517,SG 553 | 浪花穿孔,207,0.39,0.65,1.67,2024-06-17
SG 553,战痕累累,普通,763262,SG 553 | 危险距离,97,0.36,0.51,1.42,2024-06-17
SG 553,久经沙场,普通,45301,SG 553 | 阿罗哈,1648,0.29,0.58,2.0,2024-06-17
SG 553,战痕累累,普通,45300,SG 553 | 阿罗哈,69,0.28,0.51,1.82,2024-06-17
SG 553,久经沙场,普通,921439,SG 553 | 赛博之力,1219,0.28,0.51,1.82,2024-06-17
SG 553,战痕累累,普通,781550,SG 553 | 锈蚀之刃,95,0.27,0.44,1.63,2024-06-17
SG 553,破损不堪,普通,45302,SG 553 | 阿罗哈,105,0.27,0.51,1.89,2024-06-17
SG 553,战痕累累,普通,36447,SG 553 | 擎天神,23,0.27,0.51,1.89,2024-06-17
SG 553,久经沙场,普通,781546,SG 553 | 锈蚀之刃,1476,0.28,0.51,1.82,2024-06-17
SG 553,战痕累累,普通,921457,SG 553 | 赛博之力,294,0.21,0.44,2.1,2024-06-17
SG 553,破损不堪,普通,921433,SG 553 | 赛博之力,322,0.21,0.51,2.43,2024-06-17
SG 553,破损不堪,普通,781681,SG 553 | 锈蚀之刃,101,0.21,0.51,2.43,2024-06-17
SG 553,略有磨损,纪念品,877008,SG 553（纪念品） | 废墟丛生,493,0.2,0.36,1.8,2024-06-17
SG 553,破损不堪,纪念品,877022,SG 553（纪念品） | 废墟丛生,33,0.17,0.36,2.12,2024-06-17
SG 553,破损不堪,普通,36520,SG 553 | 浪花穿孔,652,0.16,0.22,1.38,2024-06-17
SG 553,崭新出厂,普通,36444,SG 553 | 军队之辉,1250,0.13,0.29,2.23,2024-06-17
SG 553,略有磨损,纪念品,877147,SG 553（纪念品） | 白骨,961,0.11,0.29,2.64,2024-06-17
SG 553,破损不堪,纪念品,877167,SG 553（纪念品） | 白骨,80,0.08,0.29,3.62,2024-06-17
SG 553,略有磨损,普通,36446,SG 553 | 军队之辉,778,0.08,0.29,3.62,2024-06-17
SG 553,战痕累累,纪念品,877152,SG 553（纪念品） | 白骨,97,0.06,0.29,4.83,2024-06-17
SG 553,久经沙场,纪念品,877133,SG 553（纪念品） | 白骨,3669,0.06,0.22,3.67,2024-06-17
SG 553,久经沙场,纪念品,877005,SG 553（纪念品） | 废墟丛生,854,0.06,0.29,4.83,2024-06-17
SG 553,久经沙场,普通,36445,SG 553 | 军队之辉,193,0.06,0.22,3.67,2024-06-17
SG 553,战痕累累,纪念品,877017,SG 553（纪念品） | 废墟丛生,164,0.05,0.22,4.4,2024-06-17
SG 553,略有磨损,普通,36519,SG 553 | 浪花穿孔,905,0.05,0.22,4.4,2024-06-17
SG 553,久经沙场,普通,36518,SG 553 | 浪花穿孔,1776,0.04,0.22,5.5,2024-06-17
SG 553,战痕累累,普通,36516,SG 553 | 浪花穿孔,277,0.03,0.22,7.33,2024-06-17
