UMP-45,略有磨损,普通,871907,UMP-45 | 渐变之色,3,3499.5,3230.78,0.92,2024-06-17
UMP-45,久经沙场,StatTrak™,39675,UMP-45（StatTrak™） | 简报,166,0.68,1.02,1.5,2024-06-17
UMP-45,战痕累累,普通,857577,UMP-45 | 动摇,33,0.66,1.09,1.65,2024-06-17
UMP-45,崭新出厂,普通,42145,UMP-45 | 都市 DDPAT,73,0.66,0.65,0.98,2024-06-17
UMP-45,略有磨损,普通,42081,UMP-45 | 碳素纤维,176,0.6,0.87,1.45,2024-06-17
UMP-45,久经沙场,StatTrak™,900589,UMP-45（StatTrak™） | 路障,408,0.59,0.94,1.59,2024-06-17
UMP-45,略有磨损,普通,900544,UMP-45 | 路障,554,0.6,0.87,1.45,2024-06-17
UMP-45,久经沙场,普通,956459,UMP-45 | 机动化,474,0.57,0.8,1.4,2024-06-17
UMP-45,破损不堪,普通,956467,UMP-45 | 机动化,45,0.56,0.87,1.55,2024-06-17
UMP-45,久经沙场,普通,42112,UMP-45 | 迷之宫,125,0.53,0.8,1.51,2024-06-17
UMP-45,略有磨损,普通,42073,UMP-45 | 简报,445,0.62,0.8,1.29,2024-06-17
UMP-45,战痕累累,普通,956511,UMP-45 | 机动化,225,0.5,0.65,1.3,2024-06-17
UMP-45,战痕累累,StatTrak™,900622,UMP-45（StatTrak™） | 路障,63,0.49,0.8,1.63,2024-06-17
UMP-45,破损不堪,StatTrak™,39677,UMP-45（StatTrak™） | 简报,54,0.49,0.8,1.63,2024-06-17
UMP-45,久经沙场,普通,42072,UMP-45 | 简报,112,0.43,0.8,1.86,2024-06-17
UMP-45,略有磨损,纪念品,876894,UMP-45（纪念品） | 机械装置,138,0.4,0.73,1.82,2024-06-17
UMP-45,略有磨损,普通,42104,UMP-45 | 硝烟,322,0.35,0.51,1.46,2024-06-17
UMP-45,久经沙场,普通,900473,UMP-45 | 路障,834,0.32,0.58,1.81,2024-06-17
UMP-45,战痕累累,普通,900480,UMP-45 | 路障,230,0.28,0.51,1.82,2024-06-17
UMP-45,破损不堪,普通,42074,UMP-45 | 简报,172,0.28,0.65,2.32,2024-06-17
UMP-45,破损不堪,普通,900545,UMP-45 | 路障,278,0.24,0.44,1.83,2024-06-17
UMP-45,崭新出厂,纪念品,761431,UMP-45（纪念品） | 设施系列·深色图,395,0.23,0.44,1.91,2024-06-17
UMP-45,战痕累累,普通,42101,UMP-45 | 硝烟,70,0.23,0.36,1.57,2024-06-17
UMP-45,战痕累累,普通,42070,UMP-45 | 简报,61,0.23,0.58,2.52,2024-06-17
UMP-45,崭新出厂,普通,762164,UMP-45 | 泥地杀手,88,0.22,0.44,2.0,2024-06-17
UMP-45,崭新出厂,普通,762061,UMP-45 | 设施系列·深色图,734,0.21,0.29,1.38,2024-06-17
UMP-45,破损不堪,普通,42105,UMP-45 | 硝烟,40,0.2,0.36,1.8,2024-06-17
UMP-45,久经沙场,普通,42103,UMP-45 | 硝烟,458,0.2,0.44,2.2,2024-06-17
UMP-45,战痕累累,纪念品,761476,UMP-45（纪念品） | 设施系列·深色图,55,0.19,0.44,2.32,2024-06-17
UMP-45,破损不堪,纪念品,38098,UMP-45（纪念品） | 枯焦之色,185,0.18,0.22,1.22,2024-06-17
UMP-45,久经沙场,纪念品,876903,UMP-45（纪念品） | 机械装置,267,0.17,0.36,2.12,2024-06-17
UMP-45,略有磨损,纪念品,761326,UMP-45（纪念品） | 泥地杀手,429,0.13,0.29,2.23,2024-06-17
UMP-45,破损不堪,纪念品,761484,UMP-45（纪念品） | 设施系列·深色图,64,0.1,0.36,3.6,2024-06-17
UMP-45,略有磨损,纪念品,38097,UMP-45（纪念品） | 枯焦之色,452,0.1,0.29,2.9,2024-06-17
UMP-45,战痕累累,纪念品,38094,UMP-45（纪念品） | 枯焦之色,278,0.09,0.22,2.44,2024-06-17
UMP-45,略有磨损,普通,762107,UMP-45 | 泥地杀手,765,0.08,0.22,2.75,2024-06-17
UMP-45,略有磨损,纪念品,761419,UMP-45（纪念品） | 设施系列·深色图,270,0.08,0.29,3.62,2024-06-17
UMP-45,略有磨损,普通,762093,UMP-45 | 设施系列·深色图,645,0.08,0.22,2.75,2024-06-17
UMP-45,略有磨损,普通,42147,UMP-45 | 都市 DDPAT,350,0.07,0.29,4.14,2024-06-17
UMP-45,破损不堪,普通,762171,UMP-45 | 设施系列·深色图,121,0.06,0.22,3.67,2024-06-17
UMP-45,战痕累累,普通,762159,UMP-45 | 设施系列·深色图,129,0.06,0.22,3.67,2024-06-17
UMP-45,久经沙场,纪念品,761497,UMP-45（纪念品） | 设施系列·深色图,935,0.06,0.22,3.67,2024-06-17
UMP-45,破损不堪,普通,42148,UMP-45 | 都市 DDPAT,141,0.06,0.22,3.67,2024-06-17
UMP-45,久经沙场,普通,42146,UMP-45 | 都市 DDPAT,847,0.06,0.22,3.67,2024-06-17
UMP-45,战痕累累,普通,42144,UMP-45 | 都市 DDPAT,206,0.05,0.22,4.4,2024-06-17
UMP-45,久经沙场,普通,762063,UMP-45 | 设施系列·深色图,1957,0.04,0.22,5.5,2024-06-17
UMP-45,破损不堪,纪念品,761400,UMP-45（纪念品） | 泥地杀手,176,0.04,0.22,5.5,2024-06-17
UMP-45,久经沙场,纪念品,761343,UMP-45（纪念品） | 泥地杀手,1224,0.04,0.22,5.5,2024-06-17
UMP-45,破损不堪,普通,762160,UMP-45 | 泥地杀手,75,0.03,0.22,7.33,2024-06-17
UMP-45,久经沙场,普通,762098,UMP-45 | 泥地杀手,1075,0.04,0.22,5.5,2024-06-17
UMP-45,战痕累累,普通,762072,UMP-45 | 泥地杀手,251,0.03,0.22,7.33,2024-06-17
UMP-45,久经沙场,纪念品,38096,UMP-45（纪念品） | 枯焦之色,1314,0.03,0.22,7.33,2024-06-17
UMP-45,战痕累累,纪念品,761333,UMP-45（纪念品） | 泥地杀手,230,0.02,0.22,11.0,2024-06-17
UMP-45,破损不堪,普通,857638,UMP-45 | 动摇,47,0.74,1.02,1.38,2024-06-17
UMP-45,久经沙场,StatTrak™,39675,UMP-45（StatTrak™） | 简报,166,0.68,1.02,1.5,2024-06-17
UMP-45,战痕累累,普通,857577,UMP-45 | 动摇,33,0.66,1.09,1.65,2024-06-17
UMP-45,崭新出厂,普通,42145,UMP-45 | 都市 DDPAT,73,0.66,0.65,0.98,2024-06-17
UMP-45,略有磨损,普通,42081,UMP-45 | 碳素纤维,176,0.6,0.87,1.45,2024-06-17
UMP-45,久经沙场,StatTrak™,900589,UMP-45（StatTrak™） | 路障,408,0.59,0.94,1.59,2024-06-17
UMP-45,略有磨损,普通,900544,UMP-45 | 路障,554,0.6,0.87,1.45,2024-06-17
UMP-45,久经沙场,普通,956459,UMP-45 | 机动化,474,0.57,0.8,1.4,2024-06-17
UMP-45,破损不堪,普通,956467,UMP-45 | 机动化,45,0.56,0.87,1.55,2024-06-17
UMP-45,久经沙场,普通,42112,UMP-45 | 迷之宫,125,0.53,0.8,1.51,2024-06-17
UMP-45,略有磨损,普通,42073,UMP-45 | 简报,445,0.62,0.8,1.29,2024-06-17
UMP-45,战痕累累,普通,956511,UMP-45 | 机动化,225,0.5,0.65,1.3,2024-06-17
UMP-45,战痕累累,StatTrak™,900622,UMP-45（StatTrak™） | 路障,63,0.49,0.8,1.63,2024-06-17
UMP-45,破损不堪,StatTrak™,39677,UMP-45（StatTrak™） | 简报,54,0.49,0.8,1.63,2024-06-17
UMP-45,久经沙场,普通,42072,UMP-45 | 简报,112,0.43,0.8,1.86,2024-06-17
UMP-45,略有磨损,纪念品,876894,UMP-45（纪念品） | 机械装置,138,0.4,0.73,1.82,2024-06-17
UMP-45,略有磨损,普通,42104,UMP-45 | 硝烟,322,0.35,0.51,1.46,2024-06-17
UMP-45,久经沙场,普通,900473,UMP-45 | 路障,834,0.32,0.58,1.81,2024-06-17
UMP-45,战痕累累,普通,900480,UMP-45 | 路障,230,0.28,0.51,1.82,2024-06-17
UMP-45,破损不堪,普通,42074,UMP-45 | 简报,172,0.28,0.65,2.32,2024-06-17
UMP-45,破损不堪,普通,900545,UMP-45 | 路障,278,0.24,0.44,1.83,2024-06-17
UMP-45,崭新出厂,纪念品,761431,UMP-45（纪念品） | 设施系列·深色图,395,0.23,0.44,1.91,2024-06-17
UMP-45,战痕累累,普通,42101,UMP-45 | 硝烟,70,0.23,0.36,1.57,2024-06-17
UMP-45,战痕累累,普通,42070,UMP-45 | 简报,61,0.23,0.58,2.52,2024-06-17
UMP-45,崭新出厂,普通,762164,UMP-45 | 泥地杀手,88,0.22,0.44,2.0,2024-06-17
UMP-45,崭新出厂,普通,762061,UMP-45 | 设施系列·深色图,734,0.21,0.29,1.38,2024-06-17
UMP-45,破损不堪,普通,42105,UMP-45 | 硝烟,40,0.2,0.36,1.8,2024-06-17
UMP-45,久经沙场,普通,42103,UMP-45 | 硝烟,458,0.2,0.44,2.2,2024-06-17
UMP-45,战痕累累,纪念品,761476,UMP-45（纪念品） | 设施系列·深色图,55,0.19,0.44,2.32,2024-06-17
UMP-45,破损不堪,纪念品,38098,UMP-45（纪念品） | 枯焦之色,185,0.18,0.22,1.22,2024-06-17
UMP-45,久经沙场,纪念品,876903,UMP-45（纪念品） | 机械装置,267,0.17,0.36,2.12,2024-06-17
UMP-45,略有磨损,纪念品,761326,UMP-45（纪念品） | 泥地杀手,429,0.13,0.29,2.23,2024-06-17
UMP-45,破损不堪,纪念品,761484,UMP-45（纪念品） | 设施系列·深色图,64,0.1,0.36,3.6,2024-06-17
UMP-45,略有磨损,纪念品,38097,UMP-45（纪念品） | 枯焦之色,452,0.1,0.29,2.9,2024-06-17
UMP-45,战痕累累,纪念品,38094,UMP-45（纪念品） | 枯焦之色,278,0.09,0.22,2.44,2024-06-17
UMP-45,略有磨损,普通,762107,UMP-45 | 泥地杀手,765,0.08,0.22,2.75,2024-06-17
UMP-45,略有磨损,纪念品,761419,UMP-45（纪念品） | 设施系列·深色图,270,0.08,0.29,3.62,2024-06-17
UMP-45,略有磨损,普通,762093,UMP-45 | 设施系列·深色图,645,0.08,0.22,2.75,2024-06-17
UMP-45,略有磨损,普通,42147,UMP-45 | 都市 DDPAT,350,0.07,0.29,4.14,2024-06-17
UMP-45,破损不堪,普通,762171,UMP-45 | 设施系列·深色图,121,0.06,0.22,3.67,2024-06-17
UMP-45,战痕累累,普通,762159,UMP-45 | 设施系列·深色图,129,0.06,0.22,3.67,2024-06-17
UMP-45,久经沙场,纪念品,761497,UMP-45（纪念品） | 设施系列·深色图,935,0.06,0.22,3.67,2024-06-17
UMP-45,破损不堪,普通,42148,UMP-45 | 都市 DDPAT,141,0.06,0.22,3.67,2024-06-17
UMP-45,久经沙场,普通,42146,UMP-45 | 都市 DDPAT,847,0.06,0.22,3.67,2024-06-17
UMP-45,战痕累累,普通,42144,UMP-45 | 都市 DDPAT,206,0.05,0.22,4.4,2024-06-17
UMP-45,久经沙场,普通,762063,UMP-45 | 设施系列·深色图,1957,0.04,0.22,5.5,2024-06-17
UMP-45,破损不堪,纪念品,761400,UMP-45（纪念品） | 泥地杀手,176,0.04,0.22,5.5,2024-06-17
UMP-45,久经沙场,纪念品,761343,UMP-45（纪念品） | 泥地杀手,1224,0.04,0.22,5.5,2024-06-17
UMP-45,破损不堪,普通,762160,UMP-45 | 泥地杀手,75,0.03,0.22,7.33,2024-06-17
UMP-45,久经沙场,普通,762098,UMP-45 | 泥地杀手,1075,0.04,0.22,5.5,2024-06-17
UMP-45,战痕累累,普通,762072,UMP-45 | 泥地杀手,251,0.03,0.22,7.33,2024-06-17
UMP-45,久经沙场,纪念品,38096,UMP-45（纪念品） | 枯焦之色,1314,0.03,0.22,7.33,2024-06-17
UMP-45,战痕累累,纪念品,761333,UMP-45（纪念品） | 泥地杀手,230,0.02,0.22,11.0,2024-06-17
UMP-45,破损不堪,普通,857638,UMP-45 | 动摇,47,0.74,1.02,1.38,2024-06-17
UMP-45,久经沙场,StatTrak™,39675,UMP-45（StatTrak™） | 简报,166,0.68,1.02,1.5,2024-06-17
UMP-45,战痕累累,普通,857577,UMP-45 | 动摇,33,0.66,1.09,1.65,2024-06-17
UMP-45,崭新出厂,普通,42145,UMP-45 | 都市 DDPAT,73,0.66,0.65,0.98,2024-06-17
UMP-45,略有磨损,普通,42081,UMP-45 | 碳素纤维,176,0.6,0.87,1.45,2024-06-17
UMP-45,久经沙场,StatTrak™,900589,UMP-45（StatTrak™） | 路障,408,0.59,0.94,1.59,2024-06-17
UMP-45,略有磨损,普通,900544,UMP-45 | 路障,554,0.6,0.87,1.45,2024-06-17
UMP-45,久经沙场,普通,956459,UMP-45 | 机动化,474,0.57,0.8,1.4,2024-06-17
UMP-45,破损不堪,普通,956467,UMP-45 | 机动化,45,0.56,0.87,1.55,2024-06-17
UMP-45,久经沙场,普通,42112,UMP-45 | 迷之宫,125,0.53,0.8,1.51,2024-06-17
UMP-45,略有磨损,普通,42073,UMP-45 | 简报,445,0.62,0.8,1.29,2024-06-17
UMP-45,战痕累累,普通,956511,UMP-45 | 机动化,225,0.5,0.65,1.3,2024-06-17
UMP-45,战痕累累,StatTrak™,900622,UMP-45（StatTrak™） | 路障,63,0.49,0.8,1.63,2024-06-17
UMP-45,破损不堪,StatTrak™,39677,UMP-45（StatTrak™） | 简报,54,0.49,0.8,1.63,2024-06-17
UMP-45,久经沙场,普通,42072,UMP-45 | 简报,112,0.43,0.8,1.86,2024-06-17
UMP-45,略有磨损,纪念品,876894,UMP-45（纪念品） | 机械装置,138,0.4,0.73,1.82,2024-06-17
UMP-45,略有磨损,普通,42104,UMP-45 | 硝烟,322,0.35,0.51,1.46,2024-06-17
UMP-45,久经沙场,普通,900473,UMP-45 | 路障,834,0.32,0.58,1.81,2024-06-17
UMP-45,战痕累累,普通,900480,UMP-45 | 路障,230,0.28,0.51,1.82,2024-06-17
UMP-45,破损不堪,普通,42074,UMP-45 | 简报,172,0.28,0.65,2.32,2024-06-17
UMP-45,破损不堪,普通,900545,UMP-45 | 路障,278,0.24,0.44,1.83,2024-06-17
UMP-45,崭新出厂,纪念品,761431,UMP-45（纪念品） | 设施系列·深色图,395,0.23,0.44,1.91,2024-06-17
UMP-45,战痕累累,普通,42101,UMP-45 | 硝烟,70,0.23,0.36,1.57,2024-06-17
UMP-45,战痕累累,普通,42070,UMP-45 | 简报,61,0.23,0.58,2.52,2024-06-17
UMP-45,崭新出厂,普通,762164,UMP-45 | 泥地杀手,88,0.22,0.44,2.0,2024-06-17
UMP-45,崭新出厂,普通,762061,UMP-45 | 设施系列·深色图,734,0.21,0.29,1.38,2024-06-17
UMP-45,破损不堪,普通,42105,UMP-45 | 硝烟,40,0.2,0.36,1.8,2024-06-17
UMP-45,久经沙场,普通,42103,UMP-45 | 硝烟,458,0.2,0.44,2.2,2024-06-17
UMP-45,战痕累累,纪念品,761476,UMP-45（纪念品） | 设施系列·深色图,55,0.19,0.44,2.32,2024-06-17
UMP-45,破损不堪,纪念品,38098,UMP-45（纪念品） | 枯焦之色,185,0.18,0.22,1.22,2024-06-17
UMP-45,久经沙场,纪念品,876903,UMP-45（纪念品） | 机械装置,267,0.17,0.36,2.12,2024-06-17
UMP-45,略有磨损,纪念品,761326,UMP-45（纪念品） | 泥地杀手,429,0.13,0.29,2.23,2024-06-17
UMP-45,破损不堪,纪念品,761484,UMP-45（纪念品） | 设施系列·深色图,64,0.1,0.36,3.6,2024-06-17
UMP-45,略有磨损,纪念品,38097,UMP-45（纪念品） | 枯焦之色,452,0.1,0.29,2.9,2024-06-17
UMP-45,战痕累累,纪念品,38094,UMP-45（纪念品） | 枯焦之色,278,0.09,0.22,2.44,2024-06-17
UMP-45,略有磨损,普通,762107,UMP-45 | 泥地杀手,765,0.08,0.22,2.75,2024-06-17
UMP-45,略有磨损,纪念品,761419,UMP-45（纪念品） | 设施系列·深色图,270,0.08,0.29,3.62,2024-06-17
UMP-45,略有磨损,普通,762093,UMP-45 | 设施系列·深色图,645,0.08,0.22,2.75,2024-06-17
UMP-45,略有磨损,普通,42147,UMP-45 | 都市 DDPAT,350,0.07,0.29,4.14,2024-06-17
UMP-45,破损不堪,普通,762171,UMP-45 | 设施系列·深色图,121,0.06,0.22,3.67,2024-06-17
UMP-45,战痕累累,普通,762159,UMP-45 | 设施系列·深色图,129,0.06,0.22,3.67,2024-06-17
UMP-45,久经沙场,纪念品,761497,UMP-45（纪念品） | 设施系列·深色图,935,0.06,0.22,3.67,2024-06-17
UMP-45,破损不堪,普通,42148,UMP-45 | 都市 DDPAT,141,0.06,0.22,3.67,2024-06-17
UMP-45,久经沙场,普通,42146,UMP-45 | 都市 DDPAT,847,0.06,0.22,3.67,2024-06-17
UMP-45,战痕累累,普通,42144,UMP-45 | 都市 DDPAT,206,0.05,0.22,4.4,2024-06-17
UMP-45,久经沙场,普通,762063,UMP-45 | 设施系列·深色图,1957,0.04,0.22,5.5,2024-06-17
UMP-45,破损不堪,纪念品,761400,UMP-45（纪念品） | 泥地杀手,176,0.04,0.22,5.5,2024-06-17
UMP-45,久经沙场,纪念品,761343,UMP-45（纪念品） | 泥地杀手,1224,0.04,0.22,5.5,2024-06-17
UMP-45,破损不堪,普通,762160,UMP-45 | 泥地杀手,75,0.03,0.22,7.33,2024-06-17
UMP-45,久经沙场,普通,762098,UMP-45 | 泥地杀手,1075,0.04,0.22,5.5,2024-06-17
UMP-45,战痕累累,普通,762072,UMP-45 | 泥地杀手,251,0.03,0.22,7.33,2024-06-17
UMP-45,久经沙场,纪念品,38096,UMP-45（纪念品） | 枯焦之色,1314,0.03,0.22,7.33,2024-06-17
UMP-45,战痕累累,纪念品,761333,UMP-45（纪念品） | 泥地杀手,230,0.02,0.22,11.0,2024-06-17
