截短霰弹枪,崭新出厂,纪念品,43912,截短霰弹枪（纪念品） | 逮捕者,1,3999.5,3052.02,0.76,2024-06-17
截短霰弹枪,久经沙场,普通,36686,截短霰弹枪 | 弄臣之颅,96,0.66,0.94,1.42,2024-06-17
截短霰弹枪,略有磨损,普通,36673,截短霰弹枪 | 蝮蛇迷彩,203,0.62,0.87,1.4,2024-06-17
截短霰弹枪,略有磨损,普通,36638,截短霰弹枪 | 夜百合,333,0.59,0.94,1.59,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,763279,截短霰弹枪（StatTrak™） | 黑砂,38,0.58,0.87,1.5,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,886671,截短霰弹枪（StatTrak™） | 灵应牌,120,0.57,0.8,1.4,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,39588,截短霰弹枪（StatTrak™） | 夜百合,57,0.57,0.87,1.53,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,886658,截短霰弹枪（StatTrak™） | 灵应牌,340,0.56,0.87,1.55,2024-06-17
截短霰弹枪,久经沙场,普通,36652,截短霰弹枪 | 千纸鹤,279,0.55,0.8,1.45,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,39584,截短霰弹枪（StatTrak™） | 夜百合,44,0.52,0.87,1.67,2024-06-17
截短霰弹枪,破损不堪,普通,36654,截短霰弹枪 | 千纸鹤,40,0.52,0.87,1.67,2024-06-17
截短霰弹枪,战痕累累,普通,36650,截短霰弹枪 | 千纸鹤,44,0.51,0.87,1.71,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,39572,截短霰弹枪（StatTrak™） | 破铜烂铁,113,0.48,0.8,1.67,2024-06-17
截短霰弹枪,破损不堪,普通,36688,截短霰弹枪 | 弄臣之颅,111,0.47,0.65,1.38,2024-06-17
截短霰弹枪,略有磨损,普通,886644,截短霰弹枪 | 灵应牌,1094,0.45,0.73,1.62,2024-06-17
截短霰弹枪,久经沙场,普通,763258,截短霰弹枪 | 黑砂,255,0.44,0.65,1.48,2024-06-17
截短霰弹枪,久经沙场,普通,36672,截短霰弹枪 | 蝮蛇迷彩,434,0.4,0.65,1.62,2024-06-17
截短霰弹枪,久经沙场,普通,36637,截短霰弹枪 | 夜百合,191,0.42,0.65,1.55,2024-06-17
截短霰弹枪,破损不堪,普通,36614,截短霰弹枪 | 破铜烂铁,43,0.35,0.73,2.09,2024-06-17
截短霰弹枪,战痕累累,普通,763313,截短霰弹枪 | 黑砂,70,0.34,0.58,1.71,2024-06-17
截短霰弹枪,破损不堪,普通,763270,截短霰弹枪 | 黑砂,49,0.31,0.58,1.87,2024-06-17
截短霰弹枪,战痕累累,普通,36684,截短霰弹枪 | 弄臣之颅,51,0.3,0.65,2.17,2024-06-17
截短霰弹枪,破损不堪,普通,36674,截短霰弹枪 | 蝮蛇迷彩,59,0.3,0.58,1.93,2024-06-17
截短霰弹枪,久经沙场,普通,886617,截短霰弹枪 | 灵应牌,1252,0.28,0.44,1.57,2024-06-17
截短霰弹枪,战痕累累,普通,36635,截短霰弹枪 | 夜百合,80,0.28,0.44,1.57,2024-06-17
截短霰弹枪,战痕累累,普通,36670,截短霰弹枪 | 蝮蛇迷彩,117,0.25,0.44,1.76,2024-06-17
截短霰弹枪,破损不堪,普通,886672,截短霰弹枪 | 灵应牌,416,0.24,0.44,1.83,2024-06-17
截短霰弹枪,战痕累累,普通,36613,截短霰弹枪 | 破铜烂铁,153,0.24,0.51,2.12,2024-06-17
截短霰弹枪,战痕累累,普通,886641,截短霰弹枪 | 灵应牌,574,0.23,0.44,1.91,2024-06-17
截短霰弹枪,破损不堪,普通,36639,截短霰弹枪 | 夜百合,64,0.22,0.51,2.32,2024-06-17
截短霰弹枪,崭新出厂,普通,36609,截短霰弹枪 | 森林 DDPAT,339,0.22,0.44,2.0,2024-06-17
截短霰弹枪,崭新出厂,纪念品,877146,截短霰弹枪（纪念品） | 旱地之花,1049,0.12,0.29,2.42,2024-06-17
截短霰弹枪,略有磨损,纪念品,38039,截短霰弹枪（纪念品） | 贤者涂装,570,0.12,0.29,2.42,2024-06-17
截短霰弹枪,久经沙场,普通,36610,截短霰弹枪 | 森林 DDPAT,613,0.09,0.22,2.44,2024-06-17
截短霰弹枪,战痕累累,纪念品,877165,截短霰弹枪（纪念品） | 旱地之花,53,0.08,0.44,5.5,2024-06-17
截短霰弹枪,略有磨损,普通,36611,截短霰弹枪 | 森林 DDPAT,145,0.08,0.29,3.62,2024-06-17
截短霰弹枪,破损不堪,纪念品,38040,截短霰弹枪（纪念品） | 贤者涂装,164,0.05,0.22,4.4,2024-06-17
截短霰弹枪,战痕累累,纪念品,38036,截短霰弹枪（纪念品） | 贤者涂装,257,0.05,0.22,4.4,2024-06-17
截短霰弹枪,破损不堪,普通,36612,截短霰弹枪 | 森林 DDPAT,84,0.05,0.22,4.4,2024-06-17
截短霰弹枪,破损不堪,纪念品,877155,截短霰弹枪（纪念品） | 旱地之花,84,0.04,0.22,5.5,2024-06-17
截短霰弹枪,略有磨损,纪念品,877150,截短霰弹枪（纪念品） | 旱地之花,839,0.04,0.22,5.5,2024-06-17
截短霰弹枪,久经沙场,纪念品,877129,截短霰弹枪（纪念品） | 旱地之花,3385,0.04,0.22,5.5,2024-06-17
截短霰弹枪,战痕累累,普通,36608,截短霰弹枪 | 森林 DDPAT,149,0.05,0.22,4.4,2024-06-17
截短霰弹枪,久经沙场,纪念品,38038,截短霰弹枪（纪念品） | 贤者涂装,1202,0.03,0.22,7.33,2024-06-17
截短霰弹枪,久经沙场,普通,886617,截短霰弹枪 | 灵应牌,1252,0.28,0.44,1.57,2024-06-17
截短霰弹枪,战痕累累,普通,36635,截短霰弹枪 | 夜百合,80,0.28,0.44,1.57,2024-06-17
截短霰弹枪,战痕累累,普通,36670,截短霰弹枪 | 蝮蛇迷彩,117,0.25,0.44,1.76,2024-06-17
截短霰弹枪,破损不堪,普通,886672,截短霰弹枪 | 灵应牌,416,0.24,0.44,1.83,2024-06-17
截短霰弹枪,战痕累累,普通,36613,截短霰弹枪 | 破铜烂铁,153,0.24,0.51,2.12,2024-06-17
截短霰弹枪,战痕累累,普通,886641,截短霰弹枪 | 灵应牌,574,0.23,0.44,1.91,2024-06-17
截短霰弹枪,破损不堪,普通,36639,截短霰弹枪 | 夜百合,64,0.22,0.51,2.32,2024-06-17
截短霰弹枪,崭新出厂,普通,36609,截短霰弹枪 | 森林 DDPAT,339,0.22,0.44,2.0,2024-06-17
截短霰弹枪,崭新出厂,纪念品,877146,截短霰弹枪（纪念品） | 旱地之花,1049,0.12,0.29,2.42,2024-06-17
截短霰弹枪,略有磨损,纪念品,38039,截短霰弹枪（纪念品） | 贤者涂装,570,0.12,0.29,2.42,2024-06-17
截短霰弹枪,久经沙场,普通,36610,截短霰弹枪 | 森林 DDPAT,613,0.09,0.22,2.44,2024-06-17
截短霰弹枪,战痕累累,纪念品,877165,截短霰弹枪（纪念品） | 旱地之花,53,0.08,0.44,5.5,2024-06-17
截短霰弹枪,略有磨损,普通,36611,截短霰弹枪 | 森林 DDPAT,145,0.08,0.29,3.62,2024-06-17
截短霰弹枪,破损不堪,纪念品,38040,截短霰弹枪（纪念品） | 贤者涂装,164,0.05,0.22,4.4,2024-06-17
截短霰弹枪,战痕累累,纪念品,38036,截短霰弹枪（纪念品） | 贤者涂装,257,0.05,0.22,4.4,2024-06-17
截短霰弹枪,破损不堪,普通,36612,截短霰弹枪 | 森林 DDPAT,84,0.05,0.22,4.4,2024-06-17
截短霰弹枪,破损不堪,纪念品,877155,截短霰弹枪（纪念品） | 旱地之花,84,0.04,0.22,5.5,2024-06-17
截短霰弹枪,略有磨损,纪念品,877150,截短霰弹枪（纪念品） | 旱地之花,839,0.04,0.22,5.5,2024-06-17
截短霰弹枪,久经沙场,纪念品,877129,截短霰弹枪（纪念品） | 旱地之花,3385,0.04,0.22,5.5,2024-06-17
截短霰弹枪,战痕累累,普通,36608,截短霰弹枪 | 森林 DDPAT,149,0.05,0.22,4.4,2024-06-17
截短霰弹枪,久经沙场,纪念品,38038,截短霰弹枪（纪念品） | 贤者涂装,1202,0.03,0.22,7.33,2024-06-17
截短霰弹枪,久经沙场,普通,886617,截短霰弹枪 | 灵应牌,1252,0.28,0.44,1.57,2024-06-17
截短霰弹枪,战痕累累,普通,36635,截短霰弹枪 | 夜百合,80,0.28,0.44,1.57,2024-06-17
截短霰弹枪,战痕累累,普通,36670,截短霰弹枪 | 蝮蛇迷彩,117,0.25,0.44,1.76,2024-06-17
截短霰弹枪,破损不堪,普通,886672,截短霰弹枪 | 灵应牌,416,0.24,0.44,1.83,2024-06-17
截短霰弹枪,战痕累累,普通,36613,截短霰弹枪 | 破铜烂铁,153,0.24,0.51,2.12,2024-06-17
截短霰弹枪,战痕累累,普通,886641,截短霰弹枪 | 灵应牌,574,0.23,0.44,1.91,2024-06-17
截短霰弹枪,破损不堪,普通,36639,截短霰弹枪 | 夜百合,64,0.22,0.51,2.32,2024-06-17
截短霰弹枪,崭新出厂,普通,36609,截短霰弹枪 | 森林 DDPAT,339,0.22,0.44,2.0,2024-06-17
截短霰弹枪,崭新出厂,纪念品,877146,截短霰弹枪（纪念品） | 旱地之花,1049,0.12,0.29,2.42,2024-06-17
截短霰弹枪,略有磨损,纪念品,38039,截短霰弹枪（纪念品） | 贤者涂装,570,0.12,0.29,2.42,2024-06-17
截短霰弹枪,久经沙场,普通,36610,截短霰弹枪 | 森林 DDPAT,613,0.09,0.22,2.44,2024-06-17
截短霰弹枪,战痕累累,纪念品,877165,截短霰弹枪（纪念品） | 旱地之花,53,0.08,0.44,5.5,2024-06-17
截短霰弹枪,略有磨损,普通,36611,截短霰弹枪 | 森林 DDPAT,145,0.08,0.29,3.62,2024-06-17
截短霰弹枪,破损不堪,纪念品,38040,截短霰弹枪（纪念品） | 贤者涂装,164,0.05,0.22,4.4,2024-06-17
截短霰弹枪,战痕累累,纪念品,38036,截短霰弹枪（纪念品） | 贤者涂装,257,0.05,0.22,4.4,2024-06-17
截短霰弹枪,破损不堪,普通,36612,截短霰弹枪 | 森林 DDPAT,84,0.05,0.22,4.4,2024-06-17
截短霰弹枪,破损不堪,纪念品,877155,截短霰弹枪（纪念品） | 旱地之花,84,0.04,0.22,5.5,2024-06-17
截短霰弹枪,略有磨损,纪念品,877150,截短霰弹枪（纪念品） | 旱地之花,839,0.04,0.22,5.5,2024-06-17
截短霰弹枪,久经沙场,纪念品,877129,截短霰弹枪（纪念品） | 旱地之花,3385,0.04,0.22,5.5,2024-06-17
截短霰弹枪,战痕累累,普通,36608,截短霰弹枪 | 森林 DDPAT,149,0.05,0.22,4.4,2024-06-17
截短霰弹枪,久经沙场,纪念品,38038,截短霰弹枪（纪念品） | 贤者涂装,1202,0.03,0.22,7.33,2024-06-17
