新星,久经沙场,普通,35795,新星 | 樱花之绚烂,67,41.9,55.93,1.33,2024-06-17
新星,战痕累累,普通,35864,新星 | 沙丘之黄,499,0.03,0.22,7.33,2024-06-17
新星,破损不堪,普通,35853,新星 | 捕食者,126,0.03,0.22,7.33,2024-06-17
新星,久经沙场,普通,35851,新星 | 捕食者,908,0.03,0.22,7.33,2024-06-17
新星,战痕累累,普通,35849,新星 | 捕食者,255,0.03,0.22,7.33,2024-06-17
新星,久经沙场,普通,33810,新星 | 沙丘之黄,1579,0.03,0.22,7.33,2024-06-17
新星,崭新出厂,纪念品,37853,新星（纪念品） | 沙丘之黄,1,2999.5,13402.74,4.47,2024-06-17
新星,崭新出厂,StatTrak™,39150,新星（StatTrak™） | 樱花之绚烂,13,1798.49,2147.28,1.19,2024-06-17
新星,崭新出厂,纪念品,37836,新星（纪念品） | 红苹果,4,1796.5,1285.91,0.72,2024-06-17
新星,崭新出厂,普通,35835,新星 | 现代猎手,2,1597.5,3170.35,1.98,2024-06-17
新星,久经沙场,纪念品,37837,新星（纪念品） | 红苹果,1,999.5,578.64,0.58,2024-06-17
新星,破损不堪,普通,776609,新星 | 巴洛克之橙,1,887.5,890.16,1.0,2024-06-17
新星,崭新出厂,普通,776747,新星 | 巴洛克之橙,57,679,1016.4,1.5,2024-06-17
新星,略有磨损,普通,776015,新星 | 巴洛克之橙,17,658.53,1454.37,2.21,2024-06-17
新星,略有磨损,纪念品,37838,新星（纪念品） | 红苹果,7,645,574.8,0.89,2024-06-17
新星,久经沙场,普通,775026,新星 | 巴洛克之橙,10,620,3560.8,5.74,2024-06-17
新星,崭新出厂,StatTrak™,39166,新星（StatTrak™） | 石墨黑,46,386.87,611.51,1.58,2024-06-17
新星,崭新出厂,StatTrak™,39169,新星（StatTrak™） | 暴怒野兽,54,383.92,597.14,1.56,2024-06-17
新星,崭新出厂,普通,35810,新星 | 森林之叶,4,383.66,267.48,0.7,2024-06-17
新星,略有磨损,纪念品,37855,新星（纪念品） | 沙丘之黄,6,359.5,149.74,0.42,2024-06-17
新星,战痕累累,StatTrak™,39149,新星（StatTrak™） | 樱花之绚烂,3,351.5,465.03,1.32,2024-06-17
新星,崭新出厂,普通,35794,新星 | 樱花之绚烂,21,319.5,413.45,1.29,2024-06-17
新星,略有磨损,StatTrak™,39152,新星（StatTrak™） | 樱花之绚烂,30,298.98,362.74,1.21,2024-06-17
新星,战痕累累,普通,871515,新星 | 流沙,3,298.5,623.04,2.09,2024-06-17
新星,略有磨损,普通,35791,新星 | 火焰橙,5,290.58,379.72,1.31,2024-06-17
新星,战痕累累,普通,871828,新星 | 致幻时刻,1,284.5,534.1,1.88,2024-06-17
新星,崭新出厂,纪念品,929127,新星（纪念品） | 索贝克之噬,12,274.35,469.46,1.71,2024-06-17
新星,略有磨损,StatTrak™,39171,新星（StatTrak™） | 暴怒野兽,47,247.5,372.61,1.51,2024-06-17
新星,崭新出厂,StatTrak™,39185,新星（StatTrak™） | 兴风作浪,12,220.5,349.1,1.58,2024-06-17
新星,破损不堪,普通,871458,新星 | 流沙,1,199.5,224.9,1.13,2024-06-17
新星,崭新出厂,普通,35827,新星 | 暴怒野兽,80,195.5,253.92,1.3,2024-06-17
新星,久经沙场,StatTrak™,39170,新星（StatTrak™） | 暴怒野兽,55,159.5,222.72,1.4,2024-06-17
新星,崭新出厂,普通,871217,新星 | 流沙,40,155.9,199.14,1.28,2024-06-17
新星,略有磨损,普通,871609,新星 | 流沙,13,153.5,186.01,1.21,2024-06-17
新星,久经沙场,普通,871299,新星 | 流沙,13,153,196.68,1.29,2024-06-17
新星,破损不堪,StatTrak™,39172,新星（StatTrak™） | 暴怒野兽,2,151,198.06,1.31,2024-06-17
新星,战痕累累,StatTrak™,39168,新星（StatTrak™） | 暴怒野兽,4,147.18,166.13,1.13,2024-06-17
新星,略有磨损,普通,35837,新星 | 现代猎手,6,146.99,166.86,1.14,2024-06-17
新星,破损不堪,纪念品,37856,新星（纪念品） | 沙丘之黄,4,145.87,157.07,1.08,2024-06-17
新星,崭新出厂,StatTrak™,39146,新星（StatTrak™） | 古董枪,54,137.4,193.63,1.41,2024-06-17
新星,崭新出厂,普通,35823,新星 | 绿苹果,20,133.5,183.69,1.38,2024-06-17
新星,久经沙场,普通,35824,新星 | 绿苹果,7,132.98,151.26,1.14,2024-06-17
新星,略有磨损,普通,35829,新星 | 暴怒野兽,77,132.48,174.91,1.32,2024-06-17
新星,略有磨损,StatTrak™,39167,新星（StatTrak™） | 石墨黑,8,127.98,144.95,1.13,2024-06-17
新星,略有磨损,普通,35825,新星 | 绿苹果,38,119.74,151.26,1.26,2024-06-17
新星,崭新出厂,普通,35872,新星 | 胡桃木,6,108.5,162.65,1.5,2024-06-17
新星,战痕累累,普通,35826,新星 | 暴怒野兽,7,99.5,102.87,1.03,2024-06-17
新星,久经沙场,StatTrak™,39147,新星（StatTrak™） | 古董枪,14,99.81,145.53,1.46,2024-06-17
新星,略有磨损,StatTrak™,39148,新星（StatTrak™） | 古董枪,25,98.87,137.04,1.39,2024-06-17
新星,崭新出厂,纪念品,37858,新星（纪念品） | 胡桃木,36,97.5,119.41,1.22,2024-06-17
新星,略有磨损,普通,35796,新星 | 樱花之绚烂,68,96.69,143.86,1.49,2024-06-17
新星,久经沙场,普通,35836,新星 | 现代猎手,10,96.59,127.18,1.32,2024-06-17
新星,崭新出厂,普通,35868,新星 | 兴风作浪,19,95.78,127.68,1.33,2024-06-17
新星,略有磨损,普通,871839,新星 | 致幻时刻,9,94.9,129.79,1.37,2024-06-17
新星,崭新出厂,普通,871322,新星 | 致幻时刻,14,94.3,130.22,1.38,2024-06-17
新星,久经沙场,StatTrak™,39151,新星（StatTrak™） | 樱花之绚烂,24,93.89,121.16,1.29,2024-06-17
新星,久经沙场,普通,35828,新星 | 暴怒野兽,76,92.37,125.22,1.36,2024-06-17
新星,久经沙场,普通,871893,新星 | 致幻时刻,6,91.66,124.06,1.35,2024-06-17
新星,破损不堪,普通,35830,新星 | 暴怒野兽,7,89.6,101.93,1.14,2024-06-17
新星,久经沙场,普通,35790,新星 | 火焰橙,8,84.9,102.29,1.2,2024-06-17
新星,崭新出厂,StatTrak™,39181,新星（StatTrak™） | 惊惧骷髅,38,83.83,112.45,1.34,2024-06-17
新星,崭新出厂,普通,35785,新星 | 古董枪,34,82.4,110.56,1.34,2024-06-17
新星,略有磨损,StatTrak™,39183,新星（StatTrak™） | 惊惧骷髅,15,76.37,104.61,1.37,2024-06-17
新星,崭新出厂,StatTrak™,835908,新星（StatTrak™） | 一见青心,25,75.9,109.84,1.45,2024-06-17
新星,战痕累累,StatTrak™,39180,新星（StatTrak™） | 惊惧骷髅,1,70.8,91.34,1.29,2024-06-17
新星,破损不堪,StatTrak™,39184,新星（StatTrak™） | 惊惧骷髅,8,69.79,117.46,1.68,2024-06-17
新星,久经沙场,普通,35786,新星 | 古董枪,14,68.75,87.93,1.28,2024-06-17
新星,崭新出厂,普通,927390,新星 | 索贝克之噬,166,66.8,100.77,1.51,2024-06-17
新星,久经沙场,StatTrak™,39182,新星（StatTrak™） | 惊惧骷髅,6,64.96,84.45,1.3,2024-06-17
新星,略有磨损,普通,35787,新星 | 古董枪,60,64.02,83.87,1.31,2024-06-17
新星,战痕累累,纪念品,37852,新星（纪念品） | 沙丘之黄,3,61.46,93.88,1.53,2024-06-17
新星,崭新出厂,纪念品,37839,新星（纪念品） | 绿苹果,119,60.88,96.13,1.58,2024-06-17
新星,崭新出厂,纪念品,37848,新星（纪念品） | 捕食者,11,59.79,69.07,1.16,2024-06-17
新星,久经沙场,普通,35869,新星 | 兴风作浪,21,56.42,67.83,1.2,2024-06-17
新星,略有磨损,普通,35870,新星 | 兴风作浪,55,54.76,71.75,1.31,2024-06-17
新星,崭新出厂,普通,871596,新星 | 晶红石英,115,54.64,76.32,1.4,2024-06-17
新星,略有磨损,普通,927358,新星 | 索贝克之噬,111,52.7,67.03,1.27,2024-06-17
新星,略有磨损,普通,35822,新星 | 石墨黑,13,51.9,72.33,1.39,2024-06-17
新星,略有磨损,StatTrak™,39187,新星（StatTrak™） | 兴风作浪,56,51.4,66.31,1.29,2024-06-17
新星,崭新出厂,StatTrak™,759307,新星（StatTrak™） | 玩具士兵,51,49.83,74.8,1.5,2024-06-17
新星,崭新出厂,普通,35821,新星 | 石墨黑,209,49.5,65.15,1.32,2024-06-17
新星,破损不堪,普通,35863,新星 | 惊惧骷髅,8,49.24,56.44,1.15,2024-06-17
新星,略有磨损,纪念品,929121,新星（纪念品） | 索贝克之噬,45,48.93,96.92,1.98,2024-06-17
新星,崭新出厂,StatTrak™,39159,新星（StatTrak™） | 幽灵迷彩,35,43.89,59.78,1.36,2024-06-17
新星,久经沙场,StatTrak™,39186,新星（StatTrak™） | 兴风作浪,12,43.78,65.51,1.5,2024-06-17
新星,略有磨损,StatTrak™,835869,新星（StatTrak™） | 一见青心,29,41.9,65.87,1.57,2024-06-17
