AUG,崭新出厂,普通,33984,AUG | 秋叶原之选,41,28199,25092.03,0.89,2024-06-16
AUG,久经沙场,普通,33819,AUG | 众枪之的,497,0.3,0.51,1.7,2024-06-16
AUG,略有磨损,纪念品,761346,AUG（纪念品） | 扫频仪,595,0.28,0.51,1.82,2024-06-16
AUG,战痕累累,普通,34058,AUG | 三角战术,84,0.28,0.51,1.82,2024-06-16
AUG,破损不堪,普通,34013,AUG | 众枪之的,63,0.26,0.51,1.96,2024-06-16
AUG,战痕累累,普通,34010,AUG | 众枪之的,89,0.25,0.51,2.04,2024-06-16
AUG,破损不堪,普通,34062,AUG | 三角战术,48,0.24,0.51,2.12,2024-06-16
AUG,破损不堪,纪念品,929039,AUG（纪念品） | 蛇窟,59,0.22,0.58,2.64,2024-06-16
AUG,久经沙场,普通,927296,AUG | 蛇窟,876,0.22,0.44,2.0,2024-06-16
AUG,略有磨损,纪念品,877123,AUG（纪念品） | 朽木,222,0.21,0.36,1.71,2024-06-16
AUG,破损不堪,普通,927334,AUG | 蛇窟,63,0.2,0.44,2.2,2024-06-16
AUG,久经沙场,纪念品,877158,AUG（纪念品） | 朽木,727,0.19,0.29,1.53,2024-06-16
AUG,久经沙场,纪念品,929024,AUG（纪念品） | 蛇窟,553,0.18,0.36,2.0,2024-06-16
AUG,战痕累累,普通,927317,AUG | 蛇窟,177,0.19,0.44,2.32,2024-06-16
AUG,破损不堪,纪念品,877160,AUG（纪念品） | 朽木,33,0.18,0.36,2.0,2024-06-16
AUG,崭新出厂,普通,762111,AUG | 扫频仪,815,0.17,0.36,2.12,2024-06-16
AUG,战痕累累,纪念品,929059,AUG（纪念品） | 蛇窟,75,0.15,0.36,2.4,2024-06-16
AUG,战痕累累,纪念品,761372,AUG（纪念品） | 扫频仪,130,0.15,0.29,1.93,2024-06-16
AUG,略有磨损,普通,762071,AUG | 扫频仪,1154,0.08,0.22,2.75,2024-06-16
AUG,久经沙场,纪念品,761329,AUG（纪念品） | 扫频仪,1089,0.08,0.29,3.62,2024-06-16
AUG,略有磨损,普通,34046,AUG | 暴风呼啸,1663,0.06,0.22,3.67,2024-06-16
AUG,破损不堪,普通,762112,AUG | 扫频仪,127,0.04,0.22,5.5,2024-06-16
AUG,久经沙场,普通,762059,AUG | 扫频仪,1255,0.05,0.22,4.4,2024-06-16
AUG,略有磨损,普通,34017,AUG | 雇佣兵,791,0.04,0.22,5.5,2024-06-16
AUG,战痕累累,普通,762083,AUG | 扫频仪,224,0.04,0.22,5.5,2024-06-16
AUG,战痕累累,普通,34043,AUG | 暴风呼啸,266,0.03,0.22,7.33,2024-06-16
AUG,破损不堪,普通,34018,AUG | 雇佣兵,149,0.03,0.22,7.33,2024-06-16
AUG,久经沙场,普通,34016,AUG | 雇佣兵,1472,0.03,0.22,7.33,2024-06-16
AUG,战痕累累,普通,34014,AUG | 雇佣兵,390,0.03,0.22,7.33,2024-06-16
AUG,破损不堪,普通,34047,AUG | 暴风呼啸,202,0.02,0.22,11.0,2024-06-16
AUG,久经沙场,普通,34045,AUG | 暴风呼啸,1678,0.03,0.22,7.33,2024-06-16
AUG,崭新出厂,纪念品,761351,AUG（纪念品） | 扫频仪,668,0.78,1.09,1.4,2024-06-16
AUG,久经沙场,StatTrak™,779258,AUG（StatTrak™） | 汤姆猫,459,0.75,0.94,1.25,2024-06-16
AUG,略有磨损,普通,34061,AUG | 三角战术,486,0.74,1.09,1.47,2024-06-16
AUG,久经沙场,普通,34040,AUG | 弹跳线条,376,0.67,0.94,1.4,2024-06-16
AUG,略有磨损,普通,779209,AUG | 汤姆猫,764,0.66,0.87,1.32,2024-06-16
AUG,战痕累累,StatTrak™,779310,AUG（StatTrak™） | 汤姆猫,60,0.62,1.02,1.65,2024-06-16
AUG,破损不堪,StatTrak™,38277,AUG（StatTrak™） | 三角战术,95,0.62,1.02,1.65,2024-06-16
AUG,战痕累累,StatTrak™,38273,AUG（StatTrak™） | 三角战术,62,0.61,1.02,1.67,2024-06-16
AUG,破损不堪,普通,34042,AUG | 弹跳线条,49,0.58,0.87,1.5,2024-06-16
AUG,略有磨损,普通,34012,AUG | 众枪之的,336,0.47,0.58,1.23,2024-06-16
AUG,破损不堪,纪念品,761369,AUG（纪念品） | 扫频仪,80,0.46,0.8,1.74,2024-06-16
AUG,略有磨损,纪念品,929017,AUG（纪念品） | 蛇窟,283,0.44,0.65,1.48,2024-06-16
AUG,崭新出厂,普通,34015,AUG | 雇佣兵,110,0.43,0.58,1.35,2024-06-16
AUG,崭新出厂,纪念品,877124,AUG（纪念品） | 朽木,291,0.39,0.65,1.67,2024-06-16
AUG,战痕累累,普通,779212,AUG | 汤姆猫,65,0.39,0.51,1.31,2024-06-16
AUG,久经沙场,普通,34060,AUG | 三角战术,261,0.39,0.65,1.67,2024-06-16
AUG,久经沙场,普通,779187,AUG | 汤姆猫,521,0.34,0.51,1.5,2024-06-16
AUG,战痕累累,普通,34038,AUG | 弹跳线条,69,0.34,0.58,1.71,2024-06-16
AUG,略有磨损,普通,927298,AUG | 蛇窟,564,0.33,0.58,1.76,2024-06-16
AUG,破损不堪,普通,779241,AUG | 汤姆猫,37,0.31,0.58,1.87,2024-06-16
AUG,久经沙场,普通,33819,AUG | 众枪之的,497,0.3,0.51,1.7,2024-06-16
AUG,略有磨损,纪念品,761346,AUG（纪念品） | 扫频仪,595,0.28,0.51,1.82,2024-06-16
AUG,战痕累累,普通,34058,AUG | 三角战术,84,0.28,0.51,1.82,2024-06-16
AUG,破损不堪,普通,34013,AUG | 众枪之的,63,0.26,0.51,1.96,2024-06-16
AUG,战痕累累,普通,34010,AUG | 众枪之的,89,0.25,0.51,2.04,2024-06-16
AUG,破损不堪,普通,34062,AUG | 三角战术,48,0.24,0.51,2.12,2024-06-16
AUG,破损不堪,纪念品,929039,AUG（纪念品） | 蛇窟,59,0.22,0.58,2.64,2024-06-16
AUG,久经沙场,普通,927296,AUG | 蛇窟,876,0.22,0.44,2.0,2024-06-16
AUG,略有磨损,纪念品,877123,AUG（纪念品） | 朽木,222,0.21,0.36,1.71,2024-06-16
AUG,破损不堪,普通,927334,AUG | 蛇窟,63,0.2,0.44,2.2,2024-06-16
AUG,久经沙场,纪念品,877158,AUG（纪念品） | 朽木,727,0.19,0.29,1.53,2024-06-16
AUG,久经沙场,纪念品,929024,AUG（纪念品） | 蛇窟,553,0.18,0.36,2.0,2024-06-16
AUG,战痕累累,普通,927317,AUG | 蛇窟,177,0.19,0.44,2.32,2024-06-16
AUG,破损不堪,纪念品,877160,AUG（纪念品） | 朽木,33,0.18,0.36,2.0,2024-06-16
AUG,崭新出厂,普通,762111,AUG | 扫频仪,815,0.17,0.36,2.12,2024-06-16
AUG,战痕累累,纪念品,929059,AUG（纪念品） | 蛇窟,75,0.15,0.36,2.4,2024-06-16
AUG,战痕累累,纪念品,761372,AUG（纪念品） | 扫频仪,130,0.15,0.29,1.93,2024-06-16
AUG,略有磨损,普通,762071,AUG | 扫频仪,1154,0.08,0.22,2.75,2024-06-16
AUG,久经沙场,纪念品,761329,AUG（纪念品） | 扫频仪,1089,0.08,0.29,3.62,2024-06-16
AUG,略有磨损,普通,34046,AUG | 暴风呼啸,1663,0.06,0.22,3.67,2024-06-16
AUG,破损不堪,普通,762112,AUG | 扫频仪,127,0.04,0.22,5.5,2024-06-16
AUG,久经沙场,普通,762059,AUG | 扫频仪,1255,0.05,0.22,4.4,2024-06-16
AUG,略有磨损,普通,34017,AUG | 雇佣兵,791,0.04,0.22,5.5,2024-06-16
AUG,战痕累累,普通,762083,AUG | 扫频仪,224,0.04,0.22,5.5,2024-06-16
AUG,战痕累累,普通,34043,AUG | 暴风呼啸,266,0.03,0.22,7.33,2024-06-16
AUG,破损不堪,普通,34018,AUG | 雇佣兵,149,0.03,0.22,7.33,2024-06-16
AUG,久经沙场,普通,34016,AUG | 雇佣兵,1472,0.03,0.22,7.33,2024-06-16
AUG,战痕累累,普通,34014,AUG | 雇佣兵,390,0.03,0.22,7.33,2024-06-16
AUG,破损不堪,普通,34047,AUG | 暴风呼啸,202,0.02,0.22,11.0,2024-06-16
AUG,久经沙场,普通,34045,AUG | 暴风呼啸,1678,0.03,0.22,7.33,2024-06-16
AUG,崭新出厂,纪念品,761351,AUG（纪念品） | 扫频仪,668,0.78,1.09,1.4,2024-06-16
AUG,略有磨损,普通,34061,AUG | 三角战术,486,0.74,1.09,1.47,2024-06-16
AUG,久经沙场,StatTrak™,779258,AUG（StatTrak™） | 汤姆猫,460,0.69,0.94,1.36,2024-06-16
AUG,久经沙场,普通,34040,AUG | 弹跳线条,376,0.67,0.94,1.4,2024-06-16
AUG,略有磨损,普通,779209,AUG | 汤姆猫,764,0.66,0.87,1.32,2024-06-16
AUG,战痕累累,StatTrak™,779310,AUG（StatTrak™） | 汤姆猫,60,0.62,1.02,1.65,2024-06-16
AUG,破损不堪,StatTrak™,38277,AUG（StatTrak™） | 三角战术,95,0.62,1.02,1.65,2024-06-16
AUG,战痕累累,StatTrak™,38273,AUG（StatTrak™） | 三角战术,62,0.61,1.02,1.67,2024-06-16
AUG,破损不堪,普通,34042,AUG | 弹跳线条,49,0.58,0.87,1.5,2024-06-16
AUG,略有磨损,普通,34012,AUG | 众枪之的,336,0.47,0.58,1.23,2024-06-16
AUG,破损不堪,纪念品,761369,AUG（纪念品） | 扫频仪,80,0.46,0.8,1.74,2024-06-16
AUG,略有磨损,纪念品,929017,AUG（纪念品） | 蛇窟,283,0.44,0.65,1.48,2024-06-16
AUG,崭新出厂,普通,34015,AUG | 雇佣兵,110,0.43,0.58,1.35,2024-06-16
AUG,崭新出厂,纪念品,877124,AUG（纪念品） | 朽木,291,0.39,0.65,1.67,2024-06-16
AUG,战痕累累,普通,779212,AUG | 汤姆猫,65,0.39,0.51,1.31,2024-06-16
AUG,久经沙场,普通,34060,AUG | 三角战术,261,0.39,0.65,1.67,2024-06-16
AUG,久经沙场,普通,779187,AUG | 汤姆猫,521,0.34,0.51,1.5,2024-06-16
AUG,战痕累累,普通,34038,AUG | 弹跳线条,69,0.34,0.58,1.71,2024-06-16
AUG,略有磨损,普通,927298,AUG | 蛇窟,564,0.33,0.58,1.76,2024-06-16
AUG,破损不堪,普通,779241,AUG | 汤姆猫,37,0.31,0.58,1.87,2024-06-16
AUG,久经沙场,普通,33819,AUG | 众枪之的,497,0.3,0.51,1.7,2024-06-16
AUG,略有磨损,纪念品,761346,AUG（纪念品） | 扫频仪,595,0.28,0.51,1.82,2024-06-16
AUG,战痕累累,普通,34058,AUG | 三角战术,84,0.28,0.51,1.82,2024-06-16
AUG,破损不堪,普通,34013,AUG | 众枪之的,63,0.26,0.51,1.96,2024-06-16
AUG,战痕累累,普通,34010,AUG | 众枪之的,89,0.25,0.51,2.04,2024-06-16
AUG,破损不堪,普通,34062,AUG | 三角战术,48,0.24,0.51,2.12,2024-06-16
AUG,破损不堪,纪念品,929039,AUG（纪念品） | 蛇窟,59,0.22,0.58,2.64,2024-06-16
AUG,久经沙场,普通,927296,AUG | 蛇窟,876,0.22,0.44,2.0,2024-06-16
AUG,略有磨损,纪念品,877123,AUG（纪念品） | 朽木,222,0.21,0.36,1.71,2024-06-16
AUG,破损不堪,普通,927334,AUG | 蛇窟,63,0.2,0.44,2.2,2024-06-16
AUG,久经沙场,纪念品,877158,AUG（纪念品） | 朽木,727,0.19,0.29,1.53,2024-06-16
AUG,久经沙场,纪念品,929024,AUG（纪念品） | 蛇窟,553,0.18,0.36,2.0,2024-06-16
AUG,战痕累累,普通,927317,AUG | 蛇窟,177,0.19,0.44,2.32,2024-06-16
AUG,破损不堪,纪念品,877160,AUG（纪念品） | 朽木,33,0.18,0.36,2.0,2024-06-16
AUG,崭新出厂,普通,762111,AUG | 扫频仪,815,0.17,0.36,2.12,2024-06-16
AUG,战痕累累,纪念品,929059,AUG（纪念品） | 蛇窟,75,0.15,0.36,2.4,2024-06-16
AUG,战痕累累,纪念品,761372,AUG（纪念品） | 扫频仪,130,0.15,0.29,1.93,2024-06-16
AUG,略有磨损,普通,762071,AUG | 扫频仪,1154,0.08,0.22,2.75,2024-06-16
AUG,久经沙场,纪念品,761329,AUG（纪念品） | 扫频仪,1089,0.08,0.29,3.62,2024-06-16
AUG,略有磨损,普通,34046,AUG | 暴风呼啸,1663,0.06,0.22,3.67,2024-06-16
AUG,破损不堪,普通,762112,AUG | 扫频仪,127,0.04,0.22,5.5,2024-06-16
AUG,久经沙场,普通,762059,AUG | 扫频仪,1255,0.05,0.22,4.4,2024-06-16
AUG,略有磨损,普通,34017,AUG | 雇佣兵,791,0.04,0.22,5.5,2024-06-16
AUG,战痕累累,普通,762083,AUG | 扫频仪,224,0.04,0.22,5.5,2024-06-16
AUG,战痕累累,普通,34043,AUG | 暴风呼啸,266,0.03,0.22,7.33,2024-06-16
AUG,破损不堪,普通,34018,AUG | 雇佣兵,149,0.03,0.22,7.33,2024-06-16
AUG,久经沙场,普通,34016,AUG | 雇佣兵,1472,0.03,0.22,7.33,2024-06-16
AUG,战痕累累,普通,34014,AUG | 雇佣兵,390,0.03,0.22,7.33,2024-06-16
AUG,破损不堪,普通,34047,AUG | 暴风呼啸,202,0.02,0.22,11.0,2024-06-16
AUG,久经沙场,普通,34045,AUG | 暴风呼啸,1678,0.03,0.22,7.33,2024-06-16
