P90,崭新出厂,StatTrak™,39339,P90（StatTrak™） | 翡翠之龙,9,6999.5,6629.51,0.95,2024-06-17
P90,略有磨损,StatTrak™,39346,P90（StatTrak™） | 冷血无情,561,3.19,4.14,1.3,2024-06-17
P90,战痕累累,纪念品,37927,P90（纪念品） | 暴风呼啸,129,3.19,5.37,1.68,2024-06-17
P90,崭新出厂,普通,36201,P90 | 摧枯拉朽,352,3.19,4.28,1.34,2024-06-17
P90,崭新出厂,普通,762179,P90 | 设施系列·底片图,588,3.07,3.92,1.28,2024-06-17
P90,久经沙场,普通,36125,P90 | 夺命器,554,3.07,4.28,1.39,2024-06-17
P90,破损不堪,普通,36127,P90 | 夺命器,18,2.89,4.72,1.63,2024-06-17
P90,战痕累累,普通,36123,P90 | 夺命器,65,2.88,3.99,1.39,2024-06-17
P90,久经沙场,普通,900532,P90 | 给爷冲,1784,2.86,3.99,1.4,2024-06-17
P90,破损不堪,StatTrak™,769491,P90（StatTrak™） | 异星世界,15,2.77,3.34,1.21,2024-06-17
P90,崭新出厂,普通,36163,P90 | 冷血无情,653,2.79,3.99,1.43,2024-06-17
P90,破损不堪,普通,900609,P90 | 给爷冲,114,2.53,3.48,1.38,2024-06-17
P90,略有磨损,纪念品,37925,P90（纪念品） | 枯焦之色,284,2.46,3.48,1.41,2024-06-17
P90,略有磨损,纪念品,37920,P90（纪念品） | 沙漠涂装,181,2.43,2.68,1.1,2024-06-17
P90,破损不堪,纪念品,37921,P90（纪念品） | 沙漠涂装,67,2.35,3.48,1.48,2024-06-17
P90,战痕累累,普通,921443,P90 | 元女王,1251,2.19,3.12,1.42,2024-06-17
P90,战痕累累,普通,900599,P90 | 给爷冲,369,2.17,2.76,1.27,2024-06-17
P90,略有磨损,普通,762147,P90 | 设施系列·底片图,385,2.14,2.83,1.32,2024-06-17
P90,久经沙场,StatTrak™,39335,P90（StatTrak™） | 精英之作,328,2.13,2.76,1.3,2024-06-17
P90,久经沙场,纪念品,761469,P90（纪念品） | 设施系列·底片图,115,1.99,2.9,1.46,2024-06-17
P90,久经沙场,StatTrak™,759199,P90（StatTrak™） | 牵引力,192,1.99,2.68,1.35,2024-06-17
P90,略有磨损,普通,769151,P90 | 异星世界,210,1.95,2.47,1.27,2024-06-17
P90,略有磨损,普通,36203,P90 | 摧枯拉朽,511,1.91,2.47,1.29,2024-06-17
P90,久经沙场,普通,921493,P90 | 元女王,2919,1.89,2.54,1.34,2024-06-17
P90,破损不堪,纪念品,37926,P90（纪念品） | 枯焦之色,110,1.86,1.96,1.05,2024-06-17
P90,久经沙场,StatTrak™,769433,P90（StatTrak™） | 异星世界,227,1.8,2.54,1.41,2024-06-17
P90,破损不堪,普通,921476,P90 | 元女王,346,1.73,2.54,1.47,2024-06-17
P90,略有磨损,普通,759192,P90 | 牵引力,378,1.54,2.25,1.46,2024-06-17
P90,略有磨损,普通,36145,P90 | 精英之作,665,1.53,1.89,1.24,2024-06-17
P90,战痕累累,纪念品,37922,P90（纪念品） | 枯焦之色,167,1.52,1.67,1.1,2024-06-17
P90,战痕累累,StatTrak™,759309,P90（StatTrak™） | 牵引力,45,1.44,1.96,1.36,2024-06-17
P90,久经沙场,普通,36202,P90 | 摧枯拉朽,373,1.35,1.67,1.24,2024-06-17
P90,破损不堪,StatTrak™,759311,P90（StatTrak™） | 牵引力,112,1.33,1.96,1.47,2024-06-17
P90,战痕累累,StatTrak™,39343,P90（StatTrak™） | 冷血无情,69,1.33,1.16,0.87,2024-06-17
P90,略有磨损,StatTrak™,781685,P90（StatTrak™） | 集装箱,487,1.3,1.81,1.39,2024-06-17
P90,战痕累累,StatTrak™,39333,P90（StatTrak™） | 精英之作,118,1.29,1.74,1.35,2024-06-17
P90,久经沙场,普通,36144,P90 | 精英之作,258,1.29,1.96,1.52,2024-06-17
P90,崭新出厂,普通,781588,P90 | 集装箱,210,1.26,1.74,1.38,2024-06-17
P90,战痕累累,StatTrak™,769432,P90（StatTrak™） | 异星世界,57,1.25,2.32,1.86,2024-06-17
P90,破损不堪,普通,36204,P90 | 摧枯拉朽,47,1.19,1.31,1.1,2024-06-17
P90,久经沙场,普通,759216,P90 | 牵引力,214,1.18,1.81,1.53,2024-06-17
P90,破损不堪,普通,759223,P90 | 牵引力,37,1.17,1.45,1.24,2024-06-17
P90,破损不堪,普通,36146,P90 | 精英之作,108,1.16,1.45,1.25,2024-06-17
P90,战痕累累,普通,36142,P90 | 精英之作,97,1.15,1.45,1.26,2024-06-17
P90,久经沙场,普通,762215,P90 | 设施系列·底片图,499,1.14,1.31,1.15,2024-06-17
P90,破损不堪,StatTrak™,39337,P90（StatTrak™） | 精英之作,94,1.12,1.45,1.29,2024-06-17
P90,战痕累累,普通,36200,P90 | 摧枯拉朽,126,1.09,1.23,1.13,2024-06-17
P90,久经沙场,StatTrak™,39345,P90（StatTrak™） | 冷血无情,562,1.06,1.23,1.16,2024-06-17
P90,破损不堪,普通,762182,P90 | 设施系列·底片图,39,0.98,0.94,0.96,2024-06-17
P90,战痕累累,普通,759229,P90 | 牵引力,45,0.97,1.23,1.27,2024-06-17
P90,战痕累累,纪念品,37917,P90（纪念品） | 沙漠涂装,99,0.87,1.45,1.67,2024-06-17
P90,战痕累累,普通,762214,P90 | 设施系列·底片图,96,0.84,0.87,1.04,2024-06-17
P90,破损不堪,普通,769233,P90 | 异星世界,33,0.83,1.09,1.31,2024-06-17
P90,略有磨损,普通,36165,P90 | 冷血无情,1320,0.83,1.02,1.23,2024-06-17
P90,崭新出厂,普通,36109,P90 | 白蜡木,564,0.82,1.16,1.41,2024-06-17
P90,久经沙场,普通,769146,P90 | 异星世界,356,0.8,1.09,1.36,2024-06-17
P90,久经沙场,纪念品,37924,P90（纪念品） | 枯焦之色,832,0.8,1.16,1.45,2024-06-17
P90,久经沙场,StatTrak™,781679,P90（StatTrak™） | 集装箱,475,0.78,0.87,1.12,2024-06-17
P90,战痕累累,普通,769226,P90 | 异星世界,111,0.78,0.94,1.21,2024-06-17
P90,略有磨损,普通,36111,P90 | 白蜡木,781,0.63,0.8,1.27,2024-06-17
P90,破损不堪,普通,36112,P90 | 白蜡木,55,0.59,0.65,1.1,2024-06-17
P90,战痕累累,StatTrak™,781668,P90（StatTrak™） | 集装箱,129,0.57,0.8,1.4,2024-06-17
P90,久经沙场,普通,36110,P90 | 白蜡木,560,0.56,0.65,1.16,2024-06-17
P90,久经沙场,纪念品,37919,P90（纪念品） | 沙漠涂装,484,0.53,0.8,1.51,2024-06-17
P90,破损不堪,普通,36166,P90 | 冷血无情,32,0.52,0.87,1.67,2024-06-17
P90,破损不堪,StatTrak™,781662,P90（StatTrak™） | 集装箱,97,0.51,0.8,1.57,2024-06-17
P90,久经沙场,普通,36164,P90 | 冷血无情,977,0.49,0.8,1.63,2024-06-17
P90,略有磨损,普通,781561,P90 | 集装箱,776,0.47,0.73,1.55,2024-06-17
P90,崭新出厂,普通,36176,P90 | 沙漠涂装,140,0.45,0.58,1.29,2024-06-17
P90,久经沙场,普通,781538,P90 | 集装箱,815,0.32,0.51,1.59,2024-06-17
P90,战痕累累,普通,36162,P90 | 冷血无情,114,0.32,0.58,1.81,2024-06-17
P90,崭新出厂,纪念品,876863,P90（纪念品） | 碧绿升藤,835,0.22,0.44,2.0,2024-06-17
P90,破损不堪,普通,781562,P90 | 集装箱,317,0.22,0.44,2.0,2024-06-17
P90,战痕累累,普通,781585,P90 | 集装箱,316,0.19,0.44,2.32,2024-06-17
P90,战痕累累,纪念品,876940,P90（纪念品） | 碧绿升藤,27,0.14,0.36,2.57,2024-06-17
P90,崭新出厂,纪念品,877014,P90（纪念品） | 古老星球,559,0.13,0.36,2.77,2024-06-17
P90,破损不堪,纪念品,876942,P90（纪念品） | 碧绿升藤,82,0.13,0.29,2.23,2024-06-17
P90,略有磨损,纪念品,876886,P90（纪念品） | 碧绿升藤,583,0.13,0.29,2.23,2024-06-17
P90,久经沙场,纪念品,876889,P90（纪念品） | 碧绿升藤,1710,0.1,0.29,2.9,2024-06-17
P90,崭新出厂,纪念品,877127,P90（纪念品） | 沙漠 DDPAT,1038,0.08,0.29,3.62,2024-06-17
P90,略有磨损,纪念品,877023,P90（纪念品） | 古老星球,409,0.08,0.87,10.88,2024-06-17
P90,破损不堪,纪念品,877032,P90（纪念品） | 古老星球,61,0.07,0.29,4.14,2024-06-17
P90,略有磨损,纪念品,877136,P90（纪念品） | 沙漠 DDPAT,943,0.06,0.22,3.67,2024-06-17
P90,战痕累累,纪念品,877012,P90（纪念品） | 古老星球,81,0.06,0.22,3.67,2024-06-17
P90,略有磨损,普通,36178,P90 | 沙漠涂装,435,0.06,0.22,3.67,2024-06-17
P90,破损不堪,纪念品,877179,P90（纪念品） | 沙漠 DDPAT,88,0.05,0.22,4.4,2024-06-17
P90,久经沙场,纪念品,877020,P90（纪念品） | 古老星球,1482,0.04,0.22,5.5,2024-06-17
P90,战痕累累,纪念品,877187,P90（纪念品） | 沙漠 DDPAT,45,0.03,0.22,7.33,2024-06-17
P90,久经沙场,纪念品,877132,P90（纪念品） | 沙漠 DDPAT,3296,0.03,0.22,7.33,2024-06-17
P90,破损不堪,普通,36179,P90 | 沙漠涂装,106,0.03,0.22,7.33,2024-06-17
P90,久经沙场,普通,36177,P90 | 沙漠涂装,2168,0.03,0.22,7.33,2024-06-17
P90,战痕累累,普通,36175,P90 | 沙漠涂装,231,0.02,0.22,11.0,2024-06-17
P90,久经沙场,纪念品,37924,P90（纪念品） | 枯焦之色,832,0.8,1.16,1.45,2024-06-17
P90,久经沙场,StatTrak™,781679,P90（StatTrak™） | 集装箱,475,0.78,0.87,1.12,2024-06-17
P90,战痕累累,普通,769226,P90 | 异星世界,111,0.78,0.94,1.21,2024-06-17
P90,略有磨损,普通,36111,P90 | 白蜡木,781,0.63,0.8,1.27,2024-06-17
P90,破损不堪,普通,36112,P90 | 白蜡木,55,0.59,0.65,1.1,2024-06-17
P90,战痕累累,StatTrak™,781668,P90（StatTrak™） | 集装箱,129,0.57,0.8,1.4,2024-06-17
P90,久经沙场,普通,36110,P90 | 白蜡木,560,0.56,0.65,1.16,2024-06-17
P90,久经沙场,纪念品,37919,P90（纪念品） | 沙漠涂装,484,0.53,0.8,1.51,2024-06-17
P90,破损不堪,普通,36166,P90 | 冷血无情,32,0.52,0.87,1.67,2024-06-17
P90,破损不堪,StatTrak™,781662,P90（StatTrak™） | 集装箱,97,0.51,0.8,1.57,2024-06-17
P90,久经沙场,普通,36164,P90 | 冷血无情,977,0.49,0.8,1.63,2024-06-17
P90,略有磨损,普通,781561,P90 | 集装箱,776,0.47,0.73,1.55,2024-06-17
P90,崭新出厂,普通,36176,P90 | 沙漠涂装,140,0.45,0.58,1.29,2024-06-17
P90,久经沙场,普通,781538,P90 | 集装箱,815,0.32,0.51,1.59,2024-06-17
P90,战痕累累,普通,36162,P90 | 冷血无情,114,0.32,0.58,1.81,2024-06-17
P90,崭新出厂,纪念品,876863,P90（纪念品） | 碧绿升藤,835,0.22,0.44,2.0,2024-06-17
P90,破损不堪,普通,781562,P90 | 集装箱,317,0.22,0.44,2.0,2024-06-17
P90,战痕累累,普通,781585,P90 | 集装箱,316,0.19,0.44,2.32,2024-06-17
P90,战痕累累,纪念品,876940,P90（纪念品） | 碧绿升藤,27,0.14,0.36,2.57,2024-06-17
P90,崭新出厂,纪念品,877014,P90（纪念品） | 古老星球,559,0.13,0.36,2.77,2024-06-17
P90,破损不堪,纪念品,876942,P90（纪念品） | 碧绿升藤,82,0.13,0.29,2.23,2024-06-17
P90,略有磨损,纪念品,876886,P90（纪念品） | 碧绿升藤,583,0.13,0.29,2.23,2024-06-17
P90,久经沙场,纪念品,876889,P90（纪念品） | 碧绿升藤,1710,0.1,0.29,2.9,2024-06-17
P90,崭新出厂,纪念品,877127,P90（纪念品） | 沙漠 DDPAT,1038,0.08,0.29,3.62,2024-06-17
P90,略有磨损,纪念品,877023,P90（纪念品） | 古老星球,409,0.08,0.87,10.88,2024-06-17
P90,破损不堪,纪念品,877032,P90（纪念品） | 古老星球,61,0.07,0.29,4.14,2024-06-17
P90,略有磨损,纪念品,877136,P90（纪念品） | 沙漠 DDPAT,943,0.06,0.22,3.67,2024-06-17
P90,战痕累累,纪念品,877012,P90（纪念品） | 古老星球,81,0.06,0.22,3.67,2024-06-17
P90,略有磨损,普通,36178,P90 | 沙漠涂装,435,0.06,0.22,3.67,2024-06-17
P90,破损不堪,纪念品,877179,P90（纪念品） | 沙漠 DDPAT,88,0.05,0.22,4.4,2024-06-17
P90,久经沙场,纪念品,877020,P90（纪念品） | 古老星球,1482,0.04,0.22,5.5,2024-06-17
P90,战痕累累,纪念品,877187,P90（纪念品） | 沙漠 DDPAT,45,0.03,0.22,7.33,2024-06-17
P90,久经沙场,纪念品,877132,P90（纪念品） | 沙漠 DDPAT,3296,0.03,0.22,7.33,2024-06-17
P90,破损不堪,普通,36179,P90 | 沙漠涂装,106,0.03,0.22,7.33,2024-06-17
P90,久经沙场,普通,36177,P90 | 沙漠涂装,2168,0.03,0.22,7.33,2024-06-17
P90,战痕累累,普通,36175,P90 | 沙漠涂装,231,0.02,0.22,11.0,2024-06-17
