M4A1 消音版,破损不堪,普通,872132,M4A1 消音型 | 紧迫危机,1,41110.6,3906.49,0.1,2024-06-17
M4A1 消音版,略有磨损,普通,35167,M4A1 消音型 | 翼蜥,874,37.4,50.06,1.34,2024-06-17
M4A1 消音版,略有磨损,普通,35230,M4A1 消音型 | 破碎铅秋,1665,36.5,47.37,1.3,2024-06-17
M4A1 消音版,略有磨损,普通,35171,M4A1 消音型 | 血虎,328,36.08,47.52,1.32,2024-06-17
M4A1 消音版,战痕累累,普通,759259,M4A1 消音型 | 梦魇,190,34.82,45.2,1.3,2024-06-17
M4A1 消音版,久经沙场,普通,35170,M4A1 消音型 | 血虎,88,33.67,47.01,1.4,2024-06-17
M4A1 消音版,略有磨损,普通,35180,M4A1 消音型 | 简报,400,30.8,41.86,1.36,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,886663,M4A1 消音型（StatTrak™） | 夜无眠,358,30.6,44.69,1.46,2024-06-17
M4A1 消音版,久经沙场,普通,35166,M4A1 消音型 | 翼蜥,815,28.69,37.58,1.31,2024-06-17
M4A1 消音版,战痕累累,普通,35164,M4A1 消音型 | 翼蜥,125,28.64,40.63,1.42,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38817,M4A1 消音型（StatTrak™） | 闪回,160,27.8,39.83,1.43,2024-06-17
M4A1 消音版,破损不堪,普通,35231,M4A1 消音型 | 破碎铅秋,35,27.7,43.17,1.56,2024-06-17
M4A1 消音版,崭新出厂,普通,35243,M4A1 消音型 | 氮化处理,1541,26.97,36.85,1.37,2024-06-17
M4A1 消音版,破损不堪,普通,762204,M4A1 消音型 | 控制台,191,26.4,36.27,1.37,2024-06-17
M4A1 消音版,久经沙场,普通,35229,M4A1 消音型 | 破碎铅秋,3105,25.2,31.99,1.27,2024-06-17
M4A1 消音版,战痕累累,普通,762203,M4A1 消音型 | 控制台,166,24.69,31.85,1.29,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,887033,M4A1 消音型（StatTrak™） | 夜无眠,774,24,34.68,1.45,2024-06-17
M4A1 消音版,战痕累累,普通,35227,M4A1 消音型 | 破碎铅秋,134,22.3,30.03,1.35,2024-06-17
M4A1 消音版,久经沙场,普通,35179,M4A1 消音型 | 简报,285,20.45,26.7,1.31,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,921545,M4A1 消音型（StatTrak™） | 隐伏帝王龙,634,20.36,27.35,1.34,2024-06-17
M4A1 消音版,破损不堪,纪念品,929085,M4A1 消音型（纪念品） | 泥斑迷彩,28,19.79,29.82,1.51,2024-06-17
M4A1 消音版,战痕累累,纪念品,929068,M4A1 消音型（纪念品） | 泥斑迷彩,175,19.4,26.12,1.35,2024-06-17
M4A1 消音版,战痕累累,普通,35177,M4A1 消音型 | 简报,35,18.9,25.9,1.37,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,887064,M4A1 消音型（StatTrak™） | 夜无眠,136,17.3,24.67,1.43,2024-06-17
M4A1 消音版,略有磨损,纪念品,929037,M4A1 消音型（纪念品） | 泥斑迷彩,177,15.39,22.85,1.48,2024-06-17
M4A1 消音版,崭新出厂,普通,35202,M4A1 消音型 | 闪回,271,15,22.56,1.5,2024-06-17
M4A1 消音版,崭新出厂,普通,921513,M4A1 消音型 | 隐伏帝王龙,1954,14.87,20.68,1.39,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,886994,M4A1 消音型（StatTrak™） | 夜无眠,608,14.57,20.68,1.42,2024-06-17
M4A1 消音版,崭新出厂,普通,871262,M4A1 消音型 | 气泡流行,1307,14.2,19.52,1.37,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38816,M4A1 消音型（StatTrak™） | 闪回,254,13.75,18.57,1.35,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,921593,M4A1 消音型（StatTrak™） | 隐伏帝王龙,96,13.4,20.17,1.51,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38814,M4A1 消音型（StatTrak™） | 闪回,90,12.7,17.77,1.4,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38818,M4A1 消音型（StatTrak™） | 闪回,87,12.28,17.27,1.41,2024-06-17
M4A1 消音版,崭新出厂,普通,35173,M4A1 消音型 | 北方森林,188,9.87,12.7,1.29,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,886668,M4A1 消音型（StatTrak™） | 夜无眠,988,9.39,13.78,1.47,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,921450,M4A1 消音型（StatTrak™） | 隐伏帝王龙,1020,8.99,12.62,1.4,2024-06-17
M4A1 消音版,略有磨损,普通,35245,M4A1 消音型 | 氮化处理,3508,8.99,12.48,1.39,2024-06-17
M4A1 消音版,略有磨损,普通,871468,M4A1 消音型 | 气泡流行,835,8.86,12.26,1.38,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,921589,M4A1 消音型（StatTrak™） | 隐伏帝王龙,163,8.63,11.17,1.29,2024-06-17
M4A1 消音版,久经沙场,纪念品,929014,M4A1 消音型（纪念品） | 泥斑迷彩,274,8.48,11.9,1.4,2024-06-17
M4A1 消音版,战痕累累,普通,887017,M4A1 消音型 | 夜无眠,3914,7.89,10.88,1.38,2024-06-17
M4A1 消音版,崭新出厂,普通,35248,M4A1 消音型 | 多变迷彩,909,7.41,9.43,1.27,2024-06-17
M4A1 消音版,崭新出厂,普通,886949,M4A1 消音型 | 夜无眠,2178,7.14,10.37,1.45,2024-06-17
M4A1 消音版,破损不堪,普通,871694,M4A1 消音型 | 气泡流行,100,6.97,9.65,1.38,2024-06-17
M4A1 消音版,久经沙场,普通,871121,M4A1 消音型 | 气泡流行,980,6.96,9.58,1.38,2024-06-17
M4A1 消音版,略有磨损,普通,921444,M4A1 消音型 | 隐伏帝王龙,4368,6.42,8.49,1.32,2024-06-17
M4A1 消音版,略有磨损,普通,35250,M4A1 消音型 | 多变迷彩,685,6.33,8.34,1.32,2024-06-17
M4A1 消音版,崭新出厂,普通,927335,M4A1 消音型 | 泥斑迷彩,660,6.21,7.98,1.29,2024-06-17
M4A1 消音版,战痕累累,普通,871487,M4A1 消音型 | 气泡流行,128,6.17,8.13,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,887042,M4A1 消音型 | 夜无眠,469,4.92,7.33,1.49,2024-06-17
M4A1 消音版,略有磨损,普通,35204,M4A1 消音型 | 闪回,654,4.49,6.24,1.39,2024-06-17
M4A1 消音版,久经沙场,普通,35249,M4A1 消音型 | 多变迷彩,832,3.91,5.22,1.34,2024-06-17
M4A1 消音版,战痕累累,普通,927346,M4A1 消音型 | 泥斑迷彩,1032,3.85,5.08,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,921574,M4A1 消音型 | 隐伏帝王龙,202,3.49,5.22,1.5,2024-06-17
M4A1 消音版,略有磨损,普通,886650,M4A1 消音型 | 夜无眠,3812,3.2,4.72,1.47,2024-06-17
M4A1 消音版,久经沙场,普通,35244,M4A1 消音型 | 氮化处理,5829,2.88,3.7,1.28,2024-06-17
M4A1 消音版,破损不堪,普通,35251,M4A1 消音型 | 多变迷彩,92,2.58,3.41,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,35246,M4A1 消音型 | 氮化处理,241,2.48,3.34,1.35,2024-06-17
M4A1 消音版,久经沙场,普通,921435,M4A1 消音型 | 隐伏帝王龙,8013,2.44,3.48,1.43,2024-06-17
M4A1 消音版,战痕累累,普通,35247,M4A1 消音型 | 多变迷彩,86,2.35,2.68,1.14,2024-06-17
M4A1 消音版,战痕累累,普通,921463,M4A1 消音型 | 隐伏帝王龙,1657,2.08,2.97,1.43,2024-06-17
M4A1 消音版,久经沙场,普通,35203,M4A1 消音型 | 闪回,1386,2.07,2.83,1.37,2024-06-17
M4A1 消音版,略有磨损,普通,927324,M4A1 消音型 | 泥斑迷彩,1045,2.03,2.83,1.39,2024-06-17
M4A1 消音版,久经沙场,普通,886642,M4A1 消音型 | 夜无眠,7296,1.97,2.76,1.4,2024-06-17
M4A1 消音版,破损不堪,普通,927342,M4A1 消音型 | 泥斑迷彩,158,1.93,2.83,1.47,2024-06-17
M4A1 消音版,战痕累累,普通,35201,M4A1 消音型 | 闪回,296,1.83,2.32,1.27,2024-06-17
M4A1 消音版,破损不堪,普通,35205,M4A1 消音型 | 闪回,326,1.79,2.54,1.42,2024-06-17
M4A1 消音版,战痕累累,普通,35242,M4A1 消音型 | 氮化处理,701,1.44,2.03,1.41,2024-06-17
M4A1 消音版,久经沙场,普通,927292,M4A1 消音型 | 泥斑迷彩,2044,1.39,1.89,1.36,2024-06-17
M4A1 消音版,略有磨损,普通,35175,M4A1 消音型 | 北方森林,2643,0.42,0.73,1.74,2024-06-17
M4A1 消音版,久经沙场,普通,35174,M4A1 消音型 | 北方森林,3073,0.24,0.44,1.83,2024-06-17
M4A1 消音版,破损不堪,普通,35176,M4A1 消音型 | 北方森林,196,0.23,0.44,1.91,2024-06-17
M4A1 消音版,战痕累累,普通,35172,M4A1 消音型 | 北方森林,388,0.21,0.44,2.1,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,886994,M4A1 消音型（StatTrak™） | 夜无眠,608,14.57,20.68,1.42,2024-06-17
M4A1 消音版,崭新出厂,普通,871262,M4A1 消音型 | 气泡流行,1307,14.2,19.52,1.37,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38816,M4A1 消音型（StatTrak™） | 闪回,254,13.75,18.57,1.35,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,921593,M4A1 消音型（StatTrak™） | 隐伏帝王龙,96,13.4,20.17,1.51,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38814,M4A1 消音型（StatTrak™） | 闪回,90,12.7,17.77,1.4,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38818,M4A1 消音型（StatTrak™） | 闪回,87,12.28,17.27,1.41,2024-06-17
M4A1 消音版,崭新出厂,普通,35173,M4A1 消音型 | 北方森林,188,9.87,12.7,1.29,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,886668,M4A1 消音型（StatTrak™） | 夜无眠,988,9.39,13.78,1.47,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,921450,M4A1 消音型（StatTrak™） | 隐伏帝王龙,1020,8.99,12.62,1.4,2024-06-17
M4A1 消音版,略有磨损,普通,35245,M4A1 消音型 | 氮化处理,3508,8.99,12.48,1.39,2024-06-17
M4A1 消音版,略有磨损,普通,871468,M4A1 消音型 | 气泡流行,835,8.86,12.26,1.38,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,921589,M4A1 消音型（StatTrak™） | 隐伏帝王龙,163,8.63,11.17,1.29,2024-06-17
M4A1 消音版,久经沙场,纪念品,929014,M4A1 消音型（纪念品） | 泥斑迷彩,274,8.48,11.9,1.4,2024-06-17
M4A1 消音版,战痕累累,普通,887017,M4A1 消音型 | 夜无眠,3914,7.89,10.88,1.38,2024-06-17
M4A1 消音版,崭新出厂,普通,35248,M4A1 消音型 | 多变迷彩,909,7.41,9.43,1.27,2024-06-17
M4A1 消音版,崭新出厂,普通,886949,M4A1 消音型 | 夜无眠,2178,7.14,10.37,1.45,2024-06-17
M4A1 消音版,破损不堪,普通,871694,M4A1 消音型 | 气泡流行,100,6.97,9.65,1.38,2024-06-17
M4A1 消音版,久经沙场,普通,871121,M4A1 消音型 | 气泡流行,980,6.96,9.58,1.38,2024-06-17
M4A1 消音版,略有磨损,普通,921444,M4A1 消音型 | 隐伏帝王龙,4368,6.42,8.49,1.32,2024-06-17
M4A1 消音版,略有磨损,普通,35250,M4A1 消音型 | 多变迷彩,685,6.33,8.34,1.32,2024-06-17
M4A1 消音版,崭新出厂,普通,927335,M4A1 消音型 | 泥斑迷彩,660,6.21,7.98,1.29,2024-06-17
M4A1 消音版,战痕累累,普通,871487,M4A1 消音型 | 气泡流行,128,6.17,8.13,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,887042,M4A1 消音型 | 夜无眠,469,4.92,7.33,1.49,2024-06-17
M4A1 消音版,略有磨损,普通,35204,M4A1 消音型 | 闪回,654,4.49,6.24,1.39,2024-06-17
M4A1 消音版,久经沙场,普通,35249,M4A1 消音型 | 多变迷彩,832,3.91,5.22,1.34,2024-06-17
M4A1 消音版,战痕累累,普通,927346,M4A1 消音型 | 泥斑迷彩,1032,3.85,5.08,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,921574,M4A1 消音型 | 隐伏帝王龙,202,3.49,5.22,1.5,2024-06-17
M4A1 消音版,略有磨损,普通,886650,M4A1 消音型 | 夜无眠,3812,3.2,4.72,1.47,2024-06-17
M4A1 消音版,久经沙场,普通,35244,M4A1 消音型 | 氮化处理,5829,2.88,3.7,1.28,2024-06-17
M4A1 消音版,破损不堪,普通,35251,M4A1 消音型 | 多变迷彩,92,2.58,3.41,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,35246,M4A1 消音型 | 氮化处理,241,2.48,3.34,1.35,2024-06-17
M4A1 消音版,久经沙场,普通,921435,M4A1 消音型 | 隐伏帝王龙,8013,2.44,3.48,1.43,2024-06-17
M4A1 消音版,战痕累累,普通,35247,M4A1 消音型 | 多变迷彩,86,2.35,2.68,1.14,2024-06-17
M4A1 消音版,战痕累累,普通,921463,M4A1 消音型 | 隐伏帝王龙,1657,2.08,2.97,1.43,2024-06-17
M4A1 消音版,久经沙场,普通,35203,M4A1 消音型 | 闪回,1386,2.07,2.83,1.37,2024-06-17
M4A1 消音版,略有磨损,普通,927324,M4A1 消音型 | 泥斑迷彩,1045,2.03,2.83,1.39,2024-06-17
M4A1 消音版,久经沙场,普通,886642,M4A1 消音型 | 夜无眠,7295,1.97,2.76,1.4,2024-06-17
M4A1 消音版,破损不堪,普通,927342,M4A1 消音型 | 泥斑迷彩,158,1.93,2.83,1.47,2024-06-17
M4A1 消音版,战痕累累,普通,35201,M4A1 消音型 | 闪回,296,1.83,2.32,1.27,2024-06-17
M4A1 消音版,破损不堪,普通,35205,M4A1 消音型 | 闪回,326,1.79,2.54,1.42,2024-06-17
M4A1 消音版,战痕累累,普通,35242,M4A1 消音型 | 氮化处理,701,1.44,2.03,1.41,2024-06-17
M4A1 消音版,久经沙场,普通,927292,M4A1 消音型 | 泥斑迷彩,2044,1.39,1.89,1.36,2024-06-17
M4A1 消音版,略有磨损,普通,35175,M4A1 消音型 | 北方森林,2643,0.42,0.73,1.74,2024-06-17
M4A1 消音版,久经沙场,普通,35174,M4A1 消音型 | 北方森林,3073,0.24,0.44,1.83,2024-06-17
M4A1 消音版,破损不堪,普通,35176,M4A1 消音型 | 北方森林,196,0.23,0.44,1.91,2024-06-17
M4A1 消音版,战痕累累,普通,35172,M4A1 消音型 | 北方森林,388,0.21,0.44,2.1,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,886994,M4A1 消音型（StatTrak™） | 夜无眠,608,14.57,20.68,1.42,2024-06-17
M4A1 消音版,崭新出厂,普通,871262,M4A1 消音型 | 气泡流行,1307,14.2,19.52,1.37,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38816,M4A1 消音型（StatTrak™） | 闪回,254,13.75,18.57,1.35,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,921593,M4A1 消音型（StatTrak™） | 隐伏帝王龙,96,13.4,20.17,1.51,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38814,M4A1 消音型（StatTrak™） | 闪回,90,12.7,17.77,1.4,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38818,M4A1 消音型（StatTrak™） | 闪回,87,12.28,17.27,1.41,2024-06-17
M4A1 消音版,崭新出厂,普通,35173,M4A1 消音型 | 北方森林,188,9.87,12.7,1.29,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,886668,M4A1 消音型（StatTrak™） | 夜无眠,988,9.39,13.78,1.47,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,921450,M4A1 消音型（StatTrak™） | 隐伏帝王龙,1020,8.99,12.62,1.4,2024-06-17
M4A1 消音版,略有磨损,普通,35245,M4A1 消音型 | 氮化处理,3508,8.99,12.48,1.39,2024-06-17
M4A1 消音版,略有磨损,普通,871468,M4A1 消音型 | 气泡流行,835,8.86,12.26,1.38,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,921589,M4A1 消音型（StatTrak™） | 隐伏帝王龙,163,8.63,11.17,1.29,2024-06-17
M4A1 消音版,久经沙场,纪念品,929014,M4A1 消音型（纪念品） | 泥斑迷彩,274,8.48,11.9,1.4,2024-06-17
M4A1 消音版,战痕累累,普通,887017,M4A1 消音型 | 夜无眠,3914,7.89,10.88,1.38,2024-06-17
M4A1 消音版,崭新出厂,普通,35248,M4A1 消音型 | 多变迷彩,909,7.41,9.43,1.27,2024-06-17
M4A1 消音版,崭新出厂,普通,886949,M4A1 消音型 | 夜无眠,2178,7.14,10.37,1.45,2024-06-17
M4A1 消音版,破损不堪,普通,871694,M4A1 消音型 | 气泡流行,100,6.97,9.65,1.38,2024-06-17
M4A1 消音版,久经沙场,普通,871121,M4A1 消音型 | 气泡流行,980,6.96,9.58,1.38,2024-06-17
M4A1 消音版,略有磨损,普通,921444,M4A1 消音型 | 隐伏帝王龙,4369,6.41,8.49,1.32,2024-06-17
M4A1 消音版,略有磨损,普通,35250,M4A1 消音型 | 多变迷彩,685,6.33,8.34,1.32,2024-06-17
M4A1 消音版,崭新出厂,普通,927335,M4A1 消音型 | 泥斑迷彩,660,6.21,7.98,1.29,2024-06-17
M4A1 消音版,战痕累累,普通,871487,M4A1 消音型 | 气泡流行,128,6.17,8.13,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,887042,M4A1 消音型 | 夜无眠,469,4.92,7.33,1.49,2024-06-17
M4A1 消音版,略有磨损,普通,35204,M4A1 消音型 | 闪回,654,4.49,6.24,1.39,2024-06-17
M4A1 消音版,久经沙场,普通,35249,M4A1 消音型 | 多变迷彩,832,3.91,5.22,1.34,2024-06-17
M4A1 消音版,战痕累累,普通,927346,M4A1 消音型 | 泥斑迷彩,1032,3.85,5.08,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,921574,M4A1 消音型 | 隐伏帝王龙,202,3.49,5.22,1.5,2024-06-17
M4A1 消音版,略有磨损,普通,886650,M4A1 消音型 | 夜无眠,3812,3.2,4.72,1.47,2024-06-17
M4A1 消音版,久经沙场,普通,35244,M4A1 消音型 | 氮化处理,5829,2.88,3.7,1.28,2024-06-17
M4A1 消音版,破损不堪,普通,35251,M4A1 消音型 | 多变迷彩,92,2.58,3.41,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,35246,M4A1 消音型 | 氮化处理,241,2.48,3.34,1.35,2024-06-17
M4A1 消音版,久经沙场,普通,921435,M4A1 消音型 | 隐伏帝王龙,8012,2.44,3.48,1.43,2024-06-17
M4A1 消音版,战痕累累,普通,35247,M4A1 消音型 | 多变迷彩,86,2.35,2.68,1.14,2024-06-17
M4A1 消音版,战痕累累,普通,921463,M4A1 消音型 | 隐伏帝王龙,1657,2.08,2.97,1.43,2024-06-17
M4A1 消音版,久经沙场,普通,35203,M4A1 消音型 | 闪回,1386,2.07,2.83,1.37,2024-06-17
M4A1 消音版,略有磨损,普通,927324,M4A1 消音型 | 泥斑迷彩,1045,2.03,2.83,1.39,2024-06-17
M4A1 消音版,久经沙场,普通,886642,M4A1 消音型 | 夜无眠,7295,1.97,2.76,1.4,2024-06-17
M4A1 消音版,破损不堪,普通,927342,M4A1 消音型 | 泥斑迷彩,158,1.93,2.83,1.47,2024-06-17
M4A1 消音版,战痕累累,普通,35201,M4A1 消音型 | 闪回,296,1.83,2.32,1.27,2024-06-17
M4A1 消音版,破损不堪,普通,35205,M4A1 消音型 | 闪回,326,1.79,2.54,1.42,2024-06-17
M4A1 消音版,战痕累累,普通,35242,M4A1 消音型 | 氮化处理,700,1.44,2.03,1.41,2024-06-17
M4A1 消音版,久经沙场,普通,927292,M4A1 消音型 | 泥斑迷彩,2044,1.39,1.89,1.36,2024-06-17
M4A1 消音版,略有磨损,普通,35175,M4A1 消音型 | 北方森林,2643,0.42,0.73,1.74,2024-06-17
M4A1 消音版,久经沙场,普通,35174,M4A1 消音型 | 北方森林,3073,0.24,0.44,1.83,2024-06-17
M4A1 消音版,破损不堪,普通,35176,M4A1 消音型 | 北方森林,196,0.23,0.44,1.91,2024-06-17
M4A1 消音版,战痕累累,普通,35172,M4A1 消音型 | 北方森林,388,0.21,0.44,2.1,2024-06-17
