USP 消音版,崭新出厂,纪念品,38107,USP 消音版（纪念品） | 午夜行动,2,6999.5,5609.99,0.8,2024-06-17
USP 消音版,久经沙场,普通,42178,USP 消音版 | 守护者,352,14.59,20.39,1.4,2024-06-17
USP 消音版,战痕累累,StatTrak™,39769,USP 消音版（StatTrak™） | 力矩,19,13.45,20.1,1.49,2024-06-17
USP 消音版,战痕累累,StatTrak™,39743,USP 消音版（StatTrak™） | 铅管,93,13.29,17.19,1.29,2024-06-17
USP 消音版,战痕累累,StatTrak™,763496,USP 消音版（StatTrak™） | 闪回,28,12.96,19.81,1.53,2024-06-17
USP 消音版,略有磨损,StatTrak™,886809,USP 消音版（StatTrak™） | 地狱门票,616,12.84,18.5,1.44,2024-06-17
USP 消音版,破损不堪,StatTrak™,763326,USP 消音版（StatTrak™） | 闪回,16,12.79,18.57,1.45,2024-06-17
USP 消音版,破损不堪,StatTrak™,39773,USP 消音版（StatTrak™） | 力矩,17,12.1,16.98,1.4,2024-06-17
USP 消音版,破损不堪,StatTrak™,39747,USP 消音版（StatTrak™） | 铅管,89,12.1,18.14,1.5,2024-06-17
USP 消音版,久经沙场,普通,45370,USP 消音版 | 脑洞大开,4470,11.68,15.67,1.34,2024-06-17
USP 消音版,略有磨损,StatTrak™,763357,USP 消音版（StatTrak™） | 闪回,305,10.45,15.53,1.49,2024-06-17
USP 消音版,破损不堪,普通,45372,USP 消音版 | 脑洞大开,526,10.1,13.86,1.37,2024-06-17
USP 消音版,久经沙场,StatTrak™,39771,USP 消音版（StatTrak™） | 力矩,527,10.03,13.57,1.35,2024-06-17
USP 消音版,战痕累累,普通,42233,USP 消音版 | 力矩,13,9.89,12.33,1.25,2024-06-17
USP 消音版,战痕累累,纪念品,876879,USP 消音版（纪念品） | 紫色 DDPAT,56,9.87,12.62,1.28,2024-06-17
USP 消音版,战痕累累,普通,45368,USP 消音版 | 脑洞大开,399,9.63,12.04,1.25,2024-06-17
USP 消音版,略有磨损,普通,42168,USP 消音版 | 次时代,2086,9.48,12.62,1.33,2024-06-17
USP 消音版,崭新出厂,普通,33833,USP 消音版 | 力矩,1616,9.33,12.26,1.31,2024-06-17
USP 消音版,破损不堪,StatTrak™,887071,USP 消音版（StatTrak™） | 地狱门票,65,9.14,13.35,1.46,2024-06-17
USP 消音版,久经沙场,普通,871328,USP 消音版 | 黑莲花,775,8.55,11.03,1.29,2024-06-17
USP 消音版,崭新出厂,普通,886669,USP 消音版 | 地狱门票,1308,8.14,10.88,1.34,2024-06-17
USP 消音版,略有磨损,普通,42188,USP 消音版 | 铅管,352,7.93,10.37,1.31,2024-06-17
USP 消音版,崭新出厂,普通,763263,USP 消音版 | 闪回,505,7.75,10.95,1.41,2024-06-17
USP 消音版,破损不堪,普通,42169,USP 消音版 | 次时代,78,7.67,11.46,1.49,2024-06-17
USP 消音版,久经沙场,StatTrak™,763290,USP 消音版（StatTrak™） | 闪回,336,7.38,10.45,1.42,2024-06-17
USP 消音版,破损不堪,普通,871409,USP 消音版 | 黑莲花,114,6.77,8.78,1.3,2024-06-17
USP 消音版,略有磨损,普通,42235,USP 消音版 | 力矩,1004,6.76,9.79,1.45,2024-06-17
USP 消音版,崭新出厂,普通,762162,USP 消音版 | 引擎故障灯,1798,6.49,9.29,1.43,2024-06-17
USP 消音版,久经沙场,StatTrak™,886734,USP 消音版（StatTrak™） | 地狱门票,877,6.11,9.0,1.47,2024-06-17
USP 消音版,久经沙场,普通,42187,USP 消音版 | 铅管,266,5.26,7.11,1.35,2024-06-17
USP 消音版,战痕累累,StatTrak™,886950,USP 消音版（StatTrak™） | 地狱门票,156,4.9,6.38,1.3,2024-06-17
USP 消音版,久经沙场,普通,42167,USP 消音版 | 次时代,1866,4.9,6.96,1.42,2024-06-17
USP 消音版,略有磨损,纪念品,929035,USP 消音版（纪念品） | 沙漠战术,92,4.85,7.11,1.47,2024-06-17
USP 消音版,战痕累累,普通,42185,USP 消音版 | 铅管,140,4.68,6.02,1.29,2024-06-17
USP 消音版,战痕累累,普通,42165,USP 消音版 | 次时代,125,4.63,6.67,1.44,2024-06-17
USP 消音版,略有磨损,普通,763255,USP 消音版 | 闪回,715,4.59,6.31,1.37,2024-06-17
USP 消音版,破损不堪,普通,42189,USP 消音版 | 铅管,117,4.49,6.09,1.36,2024-06-17
USP 消音版,崭新出厂,普通,42173,USP 消音版 | 森林之叶,93,4.38,6.24,1.42,2024-06-17
USP 消音版,战痕累累,普通,871432,USP 消音版 | 黑莲花,268,4.24,5.95,1.4,2024-06-17
USP 消音版,崭新出厂,普通,927350,USP 消音版 | 沙漠战术,235,4.13,5.95,1.44,2024-06-17
USP 消音版,破损不堪,普通,42236,USP 消音版 | 力矩,132,4.11,5.59,1.36,2024-06-17
USP 消音版,略有磨损,普通,762163,USP 消音版 | 引擎故障灯,1453,3.99,5.51,1.38,2024-06-17
USP 消音版,久经沙场,普通,42234,USP 消音版 | 力矩,1238,3.86,5.08,1.32,2024-06-17
USP 消音版,略有磨损,普通,886682,USP 消音版 | 地狱门票,2600,3.64,4.79,1.32,2024-06-17
USP 消音版,战痕累累,普通,763348,USP 消音版 | 闪回,130,3.48,5.15,1.48,2024-06-17
USP 消音版,崭新出厂,普通,42196,USP 消音版 | 午夜行动,649,3.38,4.43,1.31,2024-06-17
USP 消音版,久经沙场,纪念品,929057,USP 消音版（纪念品） | 沙漠战术,144,3.12,3.92,1.26,2024-06-17
USP 消音版,久经沙场,普通,763264,USP 消音版 | 闪回,1199,3.11,4.28,1.38,2024-06-17
USP 消音版,破损不堪,普通,763365,USP 消音版 | 闪回,167,3.06,4.64,1.52,2024-06-17
USP 消音版,破损不堪,普通,762253,USP 消音版 | 引擎故障灯,131,2.79,3.77,1.35,2024-06-17
USP 消音版,久经沙场,普通,762086,USP 消音版 | 引擎故障灯,1189,2.58,3.48,1.35,2024-06-17
USP 消音版,战痕累累,纪念品,929019,USP 消音版（纪念品） | 沙漠战术,83,2.55,3.63,1.42,2024-06-17
USP 消音版,破损不堪,普通,886997,USP 消音版 | 地狱门票,143,2.49,3.7,1.49,2024-06-17
USP 消音版,破损不堪,纪念品,929056,USP 消音版（纪念品） | 沙漠战术,84,2.48,3.41,1.38,2024-06-17
USP 消音版,略有磨损,普通,927345,USP 消音版 | 沙漠战术,475,1.99,2.76,1.39,2024-06-17
USP 消音版,略有磨损,普通,42198,USP 消音版 | 午夜行动,811,1.89,2.54,1.34,2024-06-17
USP 消音版,战痕累累,普通,762161,USP 消音版 | 引擎故障灯,189,1.74,2.47,1.42,2024-06-17
USP 消音版,久经沙场,普通,886648,USP 消音版 | 地狱门票,4930,1.58,2.1,1.33,2024-06-17
USP 消音版,久经沙场,普通,927318,USP 消音版 | 沙漠战术,800,1.39,1.81,1.3,2024-06-17
USP 消音版,久经沙场,普通,42197,USP 消音版 | 午夜行动,711,1.36,1.67,1.23,2024-06-17
USP 消音版,战痕累累,普通,886692,USP 消音版 | 地狱门票,316,1.2,1.67,1.39,2024-06-17
USP 消音版,战痕累累,普通,42195,USP 消音版 | 午夜行动,141,1.15,1.38,1.2,2024-06-17
USP 消音版,破损不堪,普通,927327,USP 消音版 | 沙漠战术,349,1.13,1.52,1.35,2024-06-17
USP 消音版,破损不堪,普通,42199,USP 消音版 | 午夜行动,45,1.1,1.67,1.52,2024-06-17
USP 消音版,战痕累累,普通,927320,USP 消音版 | 沙漠战术,467,1.09,1.52,1.39,2024-06-17
USP 消音版,略有磨损,普通,42175,USP 消音版 | 森林之叶,621,0.53,0.73,1.38,2024-06-17
USP 消音版,破损不堪,普通,42176,USP 消音版 | 森林之叶,211,0.3,0.51,1.7,2024-06-17
USP 消音版,久经沙场,普通,42174,USP 消音版 | 森林之叶,747,0.3,0.51,1.7,2024-06-17
USP 消音版,战痕累累,普通,42172,USP 消音版 | 森林之叶,474,0.26,0.44,1.69,2024-06-17
USP 消音版,破损不堪,普通,45372,USP 消音版 | 脑洞大开,526,10.1,13.86,1.37,2024-06-17
USP 消音版,久经沙场,StatTrak™,39771,USP 消音版（StatTrak™） | 力矩,527,10.03,13.57,1.35,2024-06-17
USP 消音版,战痕累累,普通,42233,USP 消音版 | 力矩,13,9.89,12.33,1.25,2024-06-17
USP 消音版,战痕累累,纪念品,876879,USP 消音版（纪念品） | 紫色 DDPAT,56,9.87,12.62,1.28,2024-06-17
USP 消音版,战痕累累,普通,45368,USP 消音版 | 脑洞大开,399,9.63,12.04,1.25,2024-06-17
USP 消音版,略有磨损,普通,42168,USP 消音版 | 次时代,2086,9.48,12.62,1.33,2024-06-17
USP 消音版,崭新出厂,普通,33833,USP 消音版 | 力矩,1616,9.33,12.26,1.31,2024-06-17
USP 消音版,破损不堪,StatTrak™,887071,USP 消音版（StatTrak™） | 地狱门票,65,9.14,13.35,1.46,2024-06-17
USP 消音版,久经沙场,普通,871328,USP 消音版 | 黑莲花,775,8.55,11.03,1.29,2024-06-17
USP 消音版,崭新出厂,普通,886669,USP 消音版 | 地狱门票,1308,8.14,10.88,1.34,2024-06-17
USP 消音版,略有磨损,普通,42188,USP 消音版 | 铅管,352,7.93,10.37,1.31,2024-06-17
USP 消音版,崭新出厂,普通,763263,USP 消音版 | 闪回,505,7.75,10.95,1.41,2024-06-17
USP 消音版,破损不堪,普通,42169,USP 消音版 | 次时代,78,7.67,11.46,1.49,2024-06-17
USP 消音版,久经沙场,StatTrak™,763290,USP 消音版（StatTrak™） | 闪回,336,7.38,10.45,1.42,2024-06-17
USP 消音版,破损不堪,普通,871409,USP 消音版 | 黑莲花,114,6.77,8.78,1.3,2024-06-17
USP 消音版,略有磨损,普通,42235,USP 消音版 | 力矩,1004,6.76,9.79,1.45,2024-06-17
USP 消音版,崭新出厂,普通,762162,USP 消音版 | 引擎故障灯,1798,6.49,9.29,1.43,2024-06-17
USP 消音版,久经沙场,StatTrak™,886734,USP 消音版（StatTrak™） | 地狱门票,877,6.11,9.0,1.47,2024-06-17
USP 消音版,久经沙场,普通,42187,USP 消音版 | 铅管,266,5.26,7.11,1.35,2024-06-17
USP 消音版,战痕累累,StatTrak™,886950,USP 消音版（StatTrak™） | 地狱门票,156,4.9,6.38,1.3,2024-06-17
USP 消音版,久经沙场,普通,42167,USP 消音版 | 次时代,1866,4.9,6.96,1.42,2024-06-17
USP 消音版,略有磨损,纪念品,929035,USP 消音版（纪念品） | 沙漠战术,92,4.85,7.11,1.47,2024-06-17
USP 消音版,战痕累累,普通,42185,USP 消音版 | 铅管,140,4.68,6.02,1.29,2024-06-17
USP 消音版,战痕累累,普通,42165,USP 消音版 | 次时代,125,4.63,6.67,1.44,2024-06-17
USP 消音版,略有磨损,普通,763255,USP 消音版 | 闪回,715,4.59,6.31,1.37,2024-06-17
USP 消音版,破损不堪,普通,42189,USP 消音版 | 铅管,117,4.49,6.09,1.36,2024-06-17
USP 消音版,崭新出厂,普通,42173,USP 消音版 | 森林之叶,93,4.38,6.24,1.42,2024-06-17
USP 消音版,战痕累累,普通,871432,USP 消音版 | 黑莲花,268,4.24,5.95,1.4,2024-06-17
USP 消音版,崭新出厂,普通,927350,USP 消音版 | 沙漠战术,235,4.13,5.95,1.44,2024-06-17
USP 消音版,破损不堪,普通,42236,USP 消音版 | 力矩,132,4.11,5.59,1.36,2024-06-17
USP 消音版,略有磨损,普通,762163,USP 消音版 | 引擎故障灯,1453,3.99,5.51,1.38,2024-06-17
USP 消音版,久经沙场,普通,42234,USP 消音版 | 力矩,1238,3.86,5.08,1.32,2024-06-17
USP 消音版,略有磨损,普通,886682,USP 消音版 | 地狱门票,2600,3.64,4.79,1.32,2024-06-17
USP 消音版,战痕累累,普通,763348,USP 消音版 | 闪回,130,3.48,5.15,1.48,2024-06-17
USP 消音版,崭新出厂,普通,42196,USP 消音版 | 午夜行动,649,3.38,4.43,1.31,2024-06-17
USP 消音版,久经沙场,纪念品,929057,USP 消音版（纪念品） | 沙漠战术,144,3.12,3.92,1.26,2024-06-17
USP 消音版,久经沙场,普通,763264,USP 消音版 | 闪回,1199,3.11,4.28,1.38,2024-06-17
USP 消音版,破损不堪,普通,763365,USP 消音版 | 闪回,167,3.06,4.64,1.52,2024-06-17
USP 消音版,破损不堪,普通,762253,USP 消音版 | 引擎故障灯,131,2.79,3.77,1.35,2024-06-17
USP 消音版,久经沙场,普通,762086,USP 消音版 | 引擎故障灯,1189,2.58,3.48,1.35,2024-06-17
USP 消音版,战痕累累,纪念品,929019,USP 消音版（纪念品） | 沙漠战术,83,2.55,3.63,1.42,2024-06-17
USP 消音版,破损不堪,普通,886997,USP 消音版 | 地狱门票,143,2.49,3.7,1.49,2024-06-17
USP 消音版,破损不堪,纪念品,929056,USP 消音版（纪念品） | 沙漠战术,84,2.48,3.41,1.38,2024-06-17
USP 消音版,略有磨损,普通,927345,USP 消音版 | 沙漠战术,475,1.99,2.76,1.39,2024-06-17
USP 消音版,略有磨损,普通,42198,USP 消音版 | 午夜行动,811,1.89,2.54,1.34,2024-06-17
USP 消音版,战痕累累,普通,762161,USP 消音版 | 引擎故障灯,189,1.74,2.47,1.42,2024-06-17
USP 消音版,久经沙场,普通,886648,USP 消音版 | 地狱门票,4930,1.58,2.1,1.33,2024-06-17
USP 消音版,久经沙场,普通,927318,USP 消音版 | 沙漠战术,800,1.39,1.81,1.3,2024-06-17
USP 消音版,久经沙场,普通,42197,USP 消音版 | 午夜行动,711,1.36,1.67,1.23,2024-06-17
USP 消音版,战痕累累,普通,886692,USP 消音版 | 地狱门票,316,1.2,1.67,1.39,2024-06-17
USP 消音版,战痕累累,普通,42195,USP 消音版 | 午夜行动,141,1.15,1.38,1.2,2024-06-17
USP 消音版,破损不堪,普通,927327,USP 消音版 | 沙漠战术,349,1.13,1.52,1.35,2024-06-17
USP 消音版,破损不堪,普通,42199,USP 消音版 | 午夜行动,45,1.1,1.67,1.52,2024-06-17
USP 消音版,战痕累累,普通,927320,USP 消音版 | 沙漠战术,467,1.09,1.52,1.39,2024-06-17
USP 消音版,略有磨损,普通,42175,USP 消音版 | 森林之叶,621,0.53,0.73,1.38,2024-06-17
USP 消音版,破损不堪,普通,42176,USP 消音版 | 森林之叶,211,0.3,0.51,1.7,2024-06-17
USP 消音版,久经沙场,普通,42174,USP 消音版 | 森林之叶,747,0.3,0.51,1.7,2024-06-17
USP 消音版,战痕累累,普通,42172,USP 消音版 | 森林之叶,474,0.26,0.44,1.69,2024-06-17
USP 消音版,破损不堪,普通,45372,USP 消音版 | 脑洞大开,526,10.1,13.86,1.37,2024-06-17
USP 消音版,久经沙场,StatTrak™,39771,USP 消音版（StatTrak™） | 力矩,527,10.03,13.57,1.35,2024-06-17
USP 消音版,战痕累累,普通,42233,USP 消音版 | 力矩,13,9.89,12.33,1.25,2024-06-17
USP 消音版,战痕累累,纪念品,876879,USP 消音版（纪念品） | 紫色 DDPAT,56,9.87,12.62,1.28,2024-06-17
USP 消音版,战痕累累,普通,45368,USP 消音版 | 脑洞大开,399,9.63,12.04,1.25,2024-06-17
USP 消音版,略有磨损,普通,42168,USP 消音版 | 次时代,2086,9.48,12.62,1.33,2024-06-17
USP 消音版,崭新出厂,普通,33833,USP 消音版 | 力矩,1616,9.33,12.26,1.31,2024-06-17
USP 消音版,破损不堪,StatTrak™,887071,USP 消音版（StatTrak™） | 地狱门票,65,9.14,13.35,1.46,2024-06-17
USP 消音版,久经沙场,普通,871328,USP 消音版 | 黑莲花,775,8.55,11.03,1.29,2024-06-17
USP 消音版,崭新出厂,普通,886669,USP 消音版 | 地狱门票,1308,8.14,10.88,1.34,2024-06-17
USP 消音版,略有磨损,普通,42188,USP 消音版 | 铅管,352,7.93,10.37,1.31,2024-06-17
USP 消音版,崭新出厂,普通,763263,USP 消音版 | 闪回,505,7.75,10.95,1.41,2024-06-17
USP 消音版,破损不堪,普通,42169,USP 消音版 | 次时代,78,7.67,11.46,1.49,2024-06-17
USP 消音版,久经沙场,StatTrak™,763290,USP 消音版（StatTrak™） | 闪回,336,7.38,10.45,1.42,2024-06-17
USP 消音版,破损不堪,普通,871409,USP 消音版 | 黑莲花,114,6.77,8.78,1.3,2024-06-17
USP 消音版,略有磨损,普通,42235,USP 消音版 | 力矩,1004,6.76,9.79,1.45,2024-06-17
USP 消音版,崭新出厂,普通,762162,USP 消音版 | 引擎故障灯,1798,6.49,9.29,1.43,2024-06-17
USP 消音版,久经沙场,StatTrak™,886734,USP 消音版（StatTrak™） | 地狱门票,877,6.11,9.0,1.47,2024-06-17
USP 消音版,久经沙场,普通,42187,USP 消音版 | 铅管,266,5.26,7.11,1.35,2024-06-17
USP 消音版,战痕累累,StatTrak™,886950,USP 消音版（StatTrak™） | 地狱门票,156,4.9,6.38,1.3,2024-06-17
USP 消音版,久经沙场,普通,42167,USP 消音版 | 次时代,1866,4.9,6.96,1.42,2024-06-17
USP 消音版,略有磨损,纪念品,929035,USP 消音版（纪念品） | 沙漠战术,92,4.85,7.11,1.47,2024-06-17
USP 消音版,战痕累累,普通,42185,USP 消音版 | 铅管,140,4.68,6.02,1.29,2024-06-17
USP 消音版,战痕累累,普通,42165,USP 消音版 | 次时代,125,4.63,6.67,1.44,2024-06-17
USP 消音版,略有磨损,普通,763255,USP 消音版 | 闪回,715,4.59,6.31,1.37,2024-06-17
USP 消音版,破损不堪,普通,42189,USP 消音版 | 铅管,117,4.49,6.09,1.36,2024-06-17
USP 消音版,崭新出厂,普通,42173,USP 消音版 | 森林之叶,93,4.38,6.24,1.42,2024-06-17
USP 消音版,战痕累累,普通,871432,USP 消音版 | 黑莲花,268,4.24,5.95,1.4,2024-06-17
USP 消音版,崭新出厂,普通,927350,USP 消音版 | 沙漠战术,235,4.13,5.95,1.44,2024-06-17
USP 消音版,破损不堪,普通,42236,USP 消音版 | 力矩,132,4.11,5.59,1.36,2024-06-17
USP 消音版,略有磨损,普通,762163,USP 消音版 | 引擎故障灯,1452,3.99,5.51,1.38,2024-06-17
USP 消音版,久经沙场,普通,42234,USP 消音版 | 力矩,1238,3.86,5.08,1.32,2024-06-17
USP 消音版,略有磨损,普通,886682,USP 消音版 | 地狱门票,2600,3.64,4.79,1.32,2024-06-17
USP 消音版,战痕累累,普通,763348,USP 消音版 | 闪回,130,3.48,5.15,1.48,2024-06-17
USP 消音版,崭新出厂,普通,42196,USP 消音版 | 午夜行动,649,3.38,4.43,1.31,2024-06-17
USP 消音版,久经沙场,纪念品,929057,USP 消音版（纪念品） | 沙漠战术,144,3.12,3.92,1.26,2024-06-17
USP 消音版,久经沙场,普通,763264,USP 消音版 | 闪回,1199,3.11,4.28,1.38,2024-06-17
USP 消音版,破损不堪,普通,763365,USP 消音版 | 闪回,167,3.06,4.64,1.52,2024-06-17
USP 消音版,破损不堪,普通,762253,USP 消音版 | 引擎故障灯,131,2.79,3.77,1.35,2024-06-17
USP 消音版,久经沙场,普通,762086,USP 消音版 | 引擎故障灯,1189,2.58,3.48,1.35,2024-06-17
USP 消音版,战痕累累,纪念品,929019,USP 消音版（纪念品） | 沙漠战术,83,2.55,3.63,1.42,2024-06-17
USP 消音版,破损不堪,普通,886997,USP 消音版 | 地狱门票,143,2.49,3.7,1.49,2024-06-17
USP 消音版,破损不堪,纪念品,929056,USP 消音版（纪念品） | 沙漠战术,84,2.48,3.41,1.38,2024-06-17
USP 消音版,略有磨损,普通,927345,USP 消音版 | 沙漠战术,475,1.99,2.76,1.39,2024-06-17
USP 消音版,略有磨损,普通,42198,USP 消音版 | 午夜行动,811,1.89,2.54,1.34,2024-06-17
USP 消音版,战痕累累,普通,762161,USP 消音版 | 引擎故障灯,189,1.74,2.47,1.42,2024-06-17
USP 消音版,久经沙场,普通,886648,USP 消音版 | 地狱门票,4930,1.58,2.1,1.33,2024-06-17
USP 消音版,久经沙场,普通,927318,USP 消音版 | 沙漠战术,800,1.39,1.81,1.3,2024-06-17
USP 消音版,久经沙场,普通,42197,USP 消音版 | 午夜行动,711,1.36,1.67,1.23,2024-06-17
USP 消音版,战痕累累,普通,886692,USP 消音版 | 地狱门票,316,1.2,1.67,1.39,2024-06-17
USP 消音版,战痕累累,普通,42195,USP 消音版 | 午夜行动,141,1.15,1.38,1.2,2024-06-17
USP 消音版,破损不堪,普通,927327,USP 消音版 | 沙漠战术,349,1.13,1.52,1.35,2024-06-17
USP 消音版,破损不堪,普通,42199,USP 消音版 | 午夜行动,45,1.1,1.67,1.52,2024-06-17
USP 消音版,战痕累累,普通,927320,USP 消音版 | 沙漠战术,467,1.09,1.52,1.39,2024-06-17
USP 消音版,略有磨损,普通,42175,USP 消音版 | 森林之叶,621,0.53,0.73,1.38,2024-06-17
USP 消音版,破损不堪,普通,42176,USP 消音版 | 森林之叶,211,0.3,0.51,1.7,2024-06-17
USP 消音版,久经沙场,普通,42174,USP 消音版 | 森林之叶,747,0.3,0.51,1.7,2024-06-17
USP 消音版,战痕累累,普通,42172,USP 消音版 | 森林之叶,474,0.26,0.44,1.69,2024-06-17
