P250,崭新出厂,普通,36047,P250 | 现代猎手,2,3499.5,4255.3,1.22,2024-06-17
P250,战痕累累,纪念品,37903,P250（纪念品） | 沙丘之黄,50,4.08,5.88,1.44,2024-06-17
P250,久经沙场,普通,871091,P250 | 天旱,362,4,5.08,1.27,2024-06-17
P250,战痕累累,普通,773727,P250 | 炼狱小镇,61,3.99,4.43,1.11,2024-06-17
P250,久经沙场,纪念品,37905,P250（纪念品） | 沙丘之黄,260,3.99,5.37,1.35,2024-06-17
P250,久经沙场,普通,36088,P250 | 超新星,201,3.99,5.15,1.29,2024-06-17
P250,战痕累累,StatTrak™,769278,P250（StatTrak™） | 铜绿,224,3.9,4.5,1.15,2024-06-17
P250,久经沙场,普通,773663,P250 | 炼狱小镇,353,3.86,5.01,1.3,2024-06-17
P250,战痕累累,纪念品,37878,P250（纪念品） | 骸骨外罩,160,3.86,3.99,1.03,2024-06-17
P250,久经沙场,StatTrak™,835662,P250（StatTrak™） | 污染物,79,3.83,4.72,1.23,2024-06-17
P250,崭新出厂,普通,36095,P250 | 元素轮廓,425,3.78,5.66,1.5,2024-06-17
P250,战痕累累,纪念品,37887,P250（纪念品） | 核子污染,105,3.77,5.44,1.44,2024-06-17
P250,崭新出厂,StatTrak™,781638,P250（StatTrak™） | 卡带,478,3.75,5.01,1.34,2024-06-17
P250,略有磨损,StatTrak™,39274,P250（StatTrak™） | 涟漪,177,3.64,4.57,1.26,2024-06-17
P250,略有磨损,普通,857520,P250 | 赛博先锋,434,3.62,4.57,1.26,2024-06-17
P250,破损不堪,StatTrak™,39298,P250（StatTrak™） | 元素轮廓,23,3.57,5.08,1.42,2024-06-17
P250,久经沙场,普通,763330,P250 | 影魔,262,3.54,5.08,1.44,2024-06-17
P250,略有磨损,纪念品,37881,P250（纪念品） | 骸骨外罩,302,3.27,4.72,1.44,2024-06-17
P250,崭新出厂,普通,36030,P250 | 铠甲,51,3.23,5.01,1.55,2024-06-17
P250,崭新出厂,普通,769203,P250 | 铜绿,218,3.18,4.28,1.35,2024-06-17
P250,战痕累累,普通,762144,P250 | 葡萄酒,183,3.16,4.35,1.38,2024-06-17
P250,崭新出厂,普通,773423,P250 | X 射线,1103,3.14,3.99,1.27,2024-06-17
P250,久经沙场,StatTrak™,857561,P250（StatTrak™） | 赛博先锋,225,3.01,3.77,1.25,2024-06-17
P250,久经沙场,普通,36018,P250 | 富兰克林,962,3.01,4.14,1.38,2024-06-17
P250,崭新出厂,普通,762141,P250 | 交换机,584,2.93,3.85,1.31,2024-06-17
P250,战痕累累,StatTrak™,835672,P250（StatTrak™） | 污染物,33,2.92,3.99,1.37,2024-06-17
P250,破损不堪,纪念品,37882,P250（纪念品） | 骸骨外罩,97,2.9,3.41,1.18,2024-06-17
P250,破损不堪,StatTrak™,857709,P250（StatTrak™） | 赛博先锋,33,2.89,4.21,1.46,2024-06-17
P250,崭新出厂,纪念品,877166,P250（纪念品） | 潜藏者,131,2.86,4.57,1.6,2024-06-17
P250,略有磨损,StatTrak™,39255,P250（StatTrak™） | 铠甲,135,2.78,3.41,1.23,2024-06-17
P250,战痕累累,纪念品,877220,P250（纪念品） | 潜藏者,46,2.74,3.92,1.43,2024-06-17
P250,战痕累累,StatTrak™,39271,P250（StatTrak™） | 涟漪,13,2.63,3.34,1.27,2024-06-17
P250,略有磨损,纪念品,761465,P250（纪念品） | 交换机,67,2.49,4.35,1.75,2024-06-17
P250,崭新出厂,普通,36067,P250 | 涟漪,243,2.36,2.97,1.26,2024-06-17
P250,战痕累累,StatTrak™,857680,P250（StatTrak™） | 赛博先锋,55,2.19,3.48,1.59,2024-06-17
P250,略有磨损,普通,762104,P250 | 交换机,328,2.17,2.83,1.3,2024-06-17
P250,久经沙场,StatTrak™,39273,P250（StatTrak™） | 涟漪,171,2.16,2.68,1.24,2024-06-17
P250,破损不堪,StatTrak™,39275,P250（StatTrak™） | 涟漪,50,2.12,2.68,1.26,2024-06-17
P250,破损不堪,StatTrak™,769431,P250（StatTrak™） | 铜绿,62,1.98,2.83,1.43,2024-06-17
P250,略有磨损,普通,769205,P250 | 铜绿,230,1.89,2.47,1.31,2024-06-17
P250,略有磨损,StatTrak™,921496,P250（StatTrak™） | 重构,311,1.87,2.54,1.36,2024-06-17
P250,久经沙场,StatTrak™,769241,P250（StatTrak™） | 铜绿,180,1.87,2.47,1.32,2024-06-17
P250,破损不堪,纪念品,877227,P250（纪念品） | 潜藏者,19,1.81,1.38,0.76,2024-06-17
P250,破损不堪,普通,857677,P250 | 赛博先锋,71,1.72,2.18,1.27,2024-06-17
P250,崭新出厂,普通,36072,P250 | 沙丘之黄,133,1.71,2.25,1.32,2024-06-17
P250,略有磨损,普通,36069,P250 | 涟漪,177,1.65,2.1,1.27,2024-06-17
P250,久经沙场,普通,773435,P250 | X 射线,356,1.59,2.03,1.28,2024-06-17
P250,久经沙场,纪念品,761464,P250（纪念品） | 交换机,73,1.57,2.25,1.43,2024-06-17
P250,战痕累累,普通,857594,P250 | 赛博先锋,196,1.56,1.96,1.26,2024-06-17
P250,破损不堪,普通,769420,P250 | 铜绿,23,1.54,1.16,0.75,2024-06-17
P250,战痕累累,普通,769217,P250 | 铜绿,528,1.51,2.1,1.39,2024-06-17
P250,略有磨损,普通,773432,P250 | X 射线,1085,1.49,2.25,1.51,2024-06-17
P250,久经沙场,纪念品,37880,P250（纪念品） | 骸骨外罩,766,1.49,2.18,1.46,2024-06-17
P250,久经沙场,普通,857601,P250 | 赛博先锋,1056,1.49,2.1,1.41,2024-06-17
P250,久经沙场,普通,36068,P250 | 涟漪,117,1.39,1.96,1.41,2024-06-17
P250,略有磨损,StatTrak™,781661,P250（StatTrak™） | 卡带,517,1.35,1.96,1.45,2024-06-17
P250,崭新出厂,普通,921550,P250 | 重构,415,1.31,1.89,1.44,2024-06-17
P250,久经沙场,StatTrak™,39296,P250（StatTrak™） | 元素轮廓,552,1.26,1.67,1.33,2024-06-17
P250,破损不堪,普通,36070,P250 | 涟漪,15,1.23,1.67,1.36,2024-06-17
P250,破损不堪,StatTrak™,39256,P250（StatTrak™） | 铠甲,27,1.21,1.81,1.5,2024-06-17
P250,战痕累累,StatTrak™,39294,P250（StatTrak™） | 元素轮廓,110,1.18,1.45,1.23,2024-06-17
P250,久经沙场,StatTrak™,39254,P250（StatTrak™） | 铠甲,150,1.18,1.52,1.29,2024-06-17
P250,崭新出厂,普通,781536,P250 | 卡带,1151,1.1,1.52,1.38,2024-06-17
P250,略有磨损,普通,36097,P250 | 元素轮廓,583,1.08,1.52,1.41,2024-06-17
P250,久经沙场,普通,762142,P250 | 交换机,698,1.06,1.31,1.24,2024-06-17
P250,战痕累累,普通,762251,P250 | 交换机,83,0.99,0.87,0.88,2024-06-17
P250,破损不堪,普通,762211,P250 | 交换机,26,0.99,0.94,0.95,2024-06-17
P250,战痕累累,普通,36066,P250 | 涟漪,22,0.99,3.12,3.15,2024-06-17
P250,略有磨损,纪念品,877211,P250（纪念品） | 潜藏者,109,0.98,1.31,1.34,2024-06-17
P250,战痕累累,StatTrak™,39252,P250（StatTrak™） | 铠甲,31,0.98,1.52,1.55,2024-06-17
P250,战痕累累,普通,36094,P250 | 元素轮廓,44,0.81,0.73,0.9,2024-06-17
P250,略有磨损,普通,36032,P250 | 铠甲,123,0.81,1.09,1.35,2024-06-17
P250,崭新出厂,普通,36039,P250 | 金属 DDPAT,2687,0.8,1.16,1.45,2024-06-17
P250,破损不堪,普通,36098,P250 | 元素轮廓,58,0.79,1.31,1.66,2024-06-17
P250,久经沙场,普通,36031,P250 | 铠甲,83,0.79,1.45,1.84,2024-06-17
P250,久经沙场,普通,769165,P250 | 铜绿,181,0.78,1.09,1.4,2024-06-17
P250,久经沙场,StatTrak™,921485,P250（StatTrak™） | 重构,219,0.72,1.09,1.51,2024-06-17
P250,崭新出厂,纪念品,761434,P250（纪念品） | 设施系列·草图,454,0.67,0.87,1.3,2024-06-17
P250,略有磨损,普通,36040,P250 | 金属 DDPAT,57,0.67,0.94,1.4,2024-06-17
P250,破损不堪,普通,36033,P250 | 铠甲,17,0.66,1.02,1.55,2024-06-17
P250,久经沙场,纪念品,877192,P250（纪念品） | 潜藏者,258,0.65,0.8,1.23,2024-06-17
P250,战痕累累,普通,36029,P250 | 铠甲,35,0.64,1.02,1.59,2024-06-17
P250,崭新出厂,普通,35994,P250 | 北方森林,299,0.61,0.73,1.2,2024-06-17
P250,略有磨损,普通,921451,P250 | 重构,621,0.6,0.87,1.45,2024-06-17
P250,久经沙场,StatTrak™,781609,P250（StatTrak™） | 卡带,778,0.59,0.87,1.47,2024-06-17
P250,战痕累累,StatTrak™,921537,P250（StatTrak™） | 重构,138,0.59,0.87,1.47,2024-06-17
P250,破损不堪,StatTrak™,921532,P250（StatTrak™） | 重构,107,0.59,0.87,1.47,2024-06-17
P250,破损不堪,StatTrak™,781680,P250（StatTrak™） | 卡带,35,0.58,0.94,1.62,2024-06-17
P250,战痕累累,StatTrak™,781599,P250（StatTrak™） | 卡带,42,0.57,0.8,1.4,2024-06-17
P250,久经沙场,普通,36096,P250 | 元素轮廓,458,0.54,0.8,1.48,2024-06-17
P250,略有磨损,普通,781557,P250 | 卡带,1145,0.49,0.73,1.49,2024-06-17
P250,略有磨损,纪念品,761466,P250（纪念品） | 设施系列·草图,371,0.33,0.51,1.55,2024-06-17
P250,破损不堪,纪念品,761467,P250（纪念品） | 设施系列·草图,50,0.3,0.58,1.93,2024-06-17
P250,久经沙场,普通,921418,P250 | 重构,1042,0.28,0.51,1.82,2024-06-17
P250,战痕累累,普通,781602,P250 | 卡带,124,0.25,0.51,2.04,2024-06-17
P250,久经沙场,普通,781544,P250 | 卡带,1664,0.28,0.51,1.82,2024-06-17
P250,战痕累累,普通,921445,P250 | 重构,404,0.23,0.44,1.91,2024-06-17
P250,破损不堪,普通,781566,P250 | 卡带,72,0.23,0.51,2.22,2024-06-17
P250,战痕累累,纪念品,761511,P250（纪念品） | 设施系列·草图,54,0.23,0.44,1.91,2024-06-17
P250,破损不堪,普通,921440,P250 | 重构,246,0.22,0.51,2.32,2024-06-17
P250,崭新出厂,普通,762088,P250 | 设施系列·草图,1323,0.18,0.29,1.61,2024-06-17
P250,略有磨损,普通,762073,P250 | 设施系列·草图,650,0.08,0.22,2.75,2024-06-17
P250,崭新出厂,纪念品,876858,P250（纪念品） | 天旱,2829,0.07,0.22,3.14,2024-06-17
P250,久经沙场,纪念品,761425,P250（纪念品） | 设施系列·草图,1087,0.07,0.29,4.14,2024-06-17
P250,战痕累累,普通,762175,P250 | 设施系列·草图,91,0.06,0.22,3.67,2024-06-17
P250,略有磨损,普通,36074,P250 | 沙丘之黄,438,0.06,0.22,3.67,2024-06-17
P250,破损不堪,普通,762143,P250 | 设施系列·草图,51,0.05,0.22,4.4,2024-06-17
P250,破损不堪,纪念品,876927,P250（纪念品） | 天旱,201,0.04,0.22,5.5,2024-06-17
P250,久经沙场,纪念品,876860,P250（纪念品） | 天旱,4377,0.04,0.22,5.5,2024-06-17
P250,略有磨损,普通,35995,P250 | 北方森林,1163,0.04,0.22,5.5,2024-06-17
P250,战痕累累,普通,35993,P250 | 北方森林,255,0.04,0.22,5.5,2024-06-17
P250,略有磨损,纪念品,876845,P250（纪念品） | 天旱,2114,0.03,0.22,7.33,2024-06-17
P250,久经沙场,普通,762068,P250 | 设施系列·草图,1979,0.04,0.22,5.5,2024-06-17
P250,破损不堪,普通,36075,P250 | 沙丘之黄,134,0.04,0.22,5.5,2024-06-17
P250,久经沙场,普通,36073,P250 | 沙丘之黄,925,0.03,0.22,7.33,2024-06-17
P250,破损不堪,普通,35996,P250 | 北方森林,370,0.03,0.22,7.33,2024-06-17
P250,久经沙场,普通,33814,P250 | 北方森林,1557,0.03,0.22,7.33,2024-06-17
P250,战痕累累,普通,36071,P250 | 沙丘之黄,159,0.02,0.22,11.0,2024-06-17
P250,久经沙场,纪念品,37880,P250（纪念品） | 骸骨外罩,766,1.49,2.18,1.46,2024-06-17
P250,久经沙场,普通,857601,P250 | 赛博先锋,1056,1.49,2.1,1.41,2024-06-17
P250,久经沙场,普通,36068,P250 | 涟漪,117,1.39,1.96,1.41,2024-06-17
P250,略有磨损,StatTrak™,781661,P250（StatTrak™） | 卡带,517,1.35,1.96,1.45,2024-06-17
P250,崭新出厂,普通,921550,P250 | 重构,415,1.31,1.89,1.44,2024-06-17
P250,久经沙场,StatTrak™,39296,P250（StatTrak™） | 元素轮廓,552,1.26,1.67,1.33,2024-06-17
P250,破损不堪,普通,36070,P250 | 涟漪,15,1.23,1.67,1.36,2024-06-17
P250,破损不堪,StatTrak™,39256,P250（StatTrak™） | 铠甲,27,1.21,1.81,1.5,2024-06-17
P250,战痕累累,StatTrak™,39294,P250（StatTrak™） | 元素轮廓,110,1.18,1.45,1.23,2024-06-17
P250,久经沙场,StatTrak™,39254,P250（StatTrak™） | 铠甲,150,1.18,1.52,1.29,2024-06-17
P250,崭新出厂,普通,781536,P250 | 卡带,1151,1.1,1.52,1.38,2024-06-17
P250,略有磨损,普通,36097,P250 | 元素轮廓,583,1.08,1.52,1.41,2024-06-17
P250,久经沙场,普通,762142,P250 | 交换机,698,1.06,1.31,1.24,2024-06-17
P250,战痕累累,普通,762251,P250 | 交换机,83,0.99,0.87,0.88,2024-06-17
P250,破损不堪,普通,762211,P250 | 交换机,26,0.99,0.94,0.95,2024-06-17
P250,战痕累累,普通,36066,P250 | 涟漪,22,0.99,3.12,3.15,2024-06-17
P250,略有磨损,纪念品,877211,P250（纪念品） | 潜藏者,109,0.98,1.31,1.34,2024-06-17
P250,战痕累累,StatTrak™,39252,P250（StatTrak™） | 铠甲,31,0.98,1.52,1.55,2024-06-17
P250,战痕累累,普通,36094,P250 | 元素轮廓,44,0.81,0.73,0.9,2024-06-17
P250,略有磨损,普通,36032,P250 | 铠甲,123,0.81,1.09,1.35,2024-06-17
P250,崭新出厂,普通,36039,P250 | 金属 DDPAT,2687,0.8,1.16,1.45,2024-06-17
P250,破损不堪,普通,36098,P250 | 元素轮廓,58,0.79,1.31,1.66,2024-06-17
P250,久经沙场,普通,36031,P250 | 铠甲,83,0.79,1.45,1.84,2024-06-17
P250,久经沙场,普通,769165,P250 | 铜绿,181,0.78,1.09,1.4,2024-06-17
P250,久经沙场,StatTrak™,921485,P250（StatTrak™） | 重构,219,0.72,1.09,1.51,2024-06-17
P250,崭新出厂,纪念品,761434,P250（纪念品） | 设施系列·草图,454,0.67,0.87,1.3,2024-06-17
P250,略有磨损,普通,36040,P250 | 金属 DDPAT,57,0.67,0.94,1.4,2024-06-17
P250,破损不堪,普通,36033,P250 | 铠甲,17,0.66,1.02,1.55,2024-06-17
P250,久经沙场,纪念品,877192,P250（纪念品） | 潜藏者,258,0.65,0.8,1.23,2024-06-17
P250,战痕累累,普通,36029,P250 | 铠甲,35,0.64,1.02,1.59,2024-06-17
P250,崭新出厂,普通,35994,P250 | 北方森林,299,0.61,0.73,1.2,2024-06-17
P250,略有磨损,普通,921451,P250 | 重构,621,0.6,0.87,1.45,2024-06-17
P250,久经沙场,StatTrak™,781609,P250（StatTrak™） | 卡带,778,0.59,0.87,1.47,2024-06-17
P250,战痕累累,StatTrak™,921537,P250（StatTrak™） | 重构,138,0.59,0.87,1.47,2024-06-17
P250,破损不堪,StatTrak™,921532,P250（StatTrak™） | 重构,107,0.59,0.87,1.47,2024-06-17
P250,破损不堪,StatTrak™,781680,P250（StatTrak™） | 卡带,35,0.58,0.94,1.62,2024-06-17
P250,战痕累累,StatTrak™,781599,P250（StatTrak™） | 卡带,42,0.57,0.8,1.4,2024-06-17
P250,久经沙场,普通,36096,P250 | 元素轮廓,458,0.54,0.8,1.48,2024-06-17
P250,略有磨损,普通,781557,P250 | 卡带,1145,0.49,0.73,1.49,2024-06-17
P250,略有磨损,纪念品,761466,P250（纪念品） | 设施系列·草图,371,0.33,0.51,1.55,2024-06-17
P250,破损不堪,纪念品,761467,P250（纪念品） | 设施系列·草图,50,0.3,0.58,1.93,2024-06-17
P250,久经沙场,普通,921418,P250 | 重构,1042,0.28,0.51,1.82,2024-06-17
P250,战痕累累,普通,781602,P250 | 卡带,124,0.25,0.51,2.04,2024-06-17
P250,久经沙场,普通,781544,P250 | 卡带,1664,0.28,0.51,1.82,2024-06-17
P250,战痕累累,普通,921445,P250 | 重构,404,0.23,0.44,1.91,2024-06-17
P250,破损不堪,普通,781566,P250 | 卡带,72,0.23,0.51,2.22,2024-06-17
P250,战痕累累,纪念品,761511,P250（纪念品） | 设施系列·草图,54,0.23,0.44,1.91,2024-06-17
P250,破损不堪,普通,921440,P250 | 重构,246,0.22,0.51,2.32,2024-06-17
P250,崭新出厂,普通,762088,P250 | 设施系列·草图,1323,0.18,0.29,1.61,2024-06-17
P250,略有磨损,普通,762073,P250 | 设施系列·草图,650,0.08,0.22,2.75,2024-06-17
P250,崭新出厂,纪念品,876858,P250（纪念品） | 天旱,2829,0.07,0.22,3.14,2024-06-17
P250,久经沙场,纪念品,761425,P250（纪念品） | 设施系列·草图,1087,0.07,0.29,4.14,2024-06-17
P250,战痕累累,普通,762175,P250 | 设施系列·草图,91,0.06,0.22,3.67,2024-06-17
P250,略有磨损,普通,36074,P250 | 沙丘之黄,438,0.06,0.22,3.67,2024-06-17
P250,破损不堪,普通,762143,P250 | 设施系列·草图,51,0.05,0.22,4.4,2024-06-17
P250,破损不堪,纪念品,876927,P250（纪念品） | 天旱,201,0.04,0.22,5.5,2024-06-17
P250,久经沙场,纪念品,876860,P250（纪念品） | 天旱,4377,0.04,0.22,5.5,2024-06-17
P250,略有磨损,普通,35995,P250 | 北方森林,1163,0.04,0.22,5.5,2024-06-17
P250,战痕累累,普通,35993,P250 | 北方森林,255,0.04,0.22,5.5,2024-06-17
P250,略有磨损,纪念品,876845,P250（纪念品） | 天旱,2114,0.03,0.22,7.33,2024-06-17
P250,久经沙场,普通,762068,P250 | 设施系列·草图,1979,0.04,0.22,5.5,2024-06-17
P250,破损不堪,普通,36075,P250 | 沙丘之黄,134,0.04,0.22,5.5,2024-06-17
P250,久经沙场,普通,36073,P250 | 沙丘之黄,925,0.03,0.22,7.33,2024-06-17
P250,破损不堪,普通,35996,P250 | 北方森林,370,0.03,0.22,7.33,2024-06-17
P250,久经沙场,普通,33814,P250 | 北方森林,1557,0.03,0.22,7.33,2024-06-17
P250,战痕累累,普通,36071,P250 | 沙丘之黄,159,0.02,0.22,11.0,2024-06-17
