加利尔 AR,崭新出厂,纪念品,37664,加利尔 AR（纪念品） | 地狱看门犬,24,2999,13785.43,4.6,2024-06-16
加利尔 AR,久经沙场,普通,34945,加利尔 AR | 贤者涂装,1989,0.03,0.22,7.33,2024-06-17
加利尔 AR,战痕累累,普通,34943,加利尔 AR | 贤者涂装,224,0.02,0.22,11.0,2024-06-17
加利尔 AR,破损不堪,普通,34922,加利尔 AR | 火线冲锋,100,1.77,2.68,1.51,2024-06-17
加利尔 AR,战痕累累,普通,781633,加利尔 AR | 凤凰商号,231,1.69,2.18,1.29,2024-06-17
加利尔 AR,战痕累累,StatTrak™,769281,加利尔 AR（StatTrak™） | 战吼斑纹,49,1.54,2.32,1.51,2024-06-17
加利尔 AR,破损不堪,普通,769220,加利尔 AR | 战吼斑纹,14,1.49,1.96,1.32,2024-06-17
加利尔 AR,战痕累累,StatTrak™,38642,加利尔 AR（StatTrak™） | 黑砂,50,1.41,2.03,1.44,2024-06-17
加利尔 AR,崭新出厂,普通,762116,加利尔 AR | 冰核聚变,1289,1.29,1.89,1.47,2024-06-17
加利尔 AR,破损不堪,StatTrak™,38646,加利尔 AR（StatTrak™） | 黑砂,65,1.2,1.67,1.39,2024-06-17
加利尔 AR,崭新出厂,普通,900511,加利尔 AR | 毁灭者,753,1.19,1.67,1.4,2024-06-17
加利尔 AR,久经沙场,普通,769172,加利尔 AR | 战吼斑纹,435,1.01,1.16,1.15,2024-06-17
加利尔 AR,破损不堪,普通,34899,加利尔 AR | 黑砂,43,0.97,0.8,0.82,2024-06-17
加利尔 AR,略有磨损,普通,34898,加利尔 AR | 黑砂,176,0.93,1.16,1.25,2024-06-17
加利尔 AR,破损不堪,StatTrak™,900625,加利尔 AR（StatTrak™） | 毁灭者,24,0.91,1.38,1.52,2024-06-17
加利尔 AR,久经沙场,StatTrak™,900583,加利尔 AR（StatTrak™） | 毁灭者,520,0.82,1.02,1.24,2024-06-17
加利尔 AR,战痕累累,普通,769223,加利尔 AR | 战吼斑纹,38,0.77,1.16,1.51,2024-06-17
加利尔 AR,崭新出厂,普通,34944,加利尔 AR | 贤者涂装,196,0.77,0.87,1.13,2024-06-17
加利尔 AR,久经沙场,普通,34897,加利尔 AR | 黑砂,147,0.66,0.94,1.42,2024-06-17
加利尔 AR,战痕累累,StatTrak™,900547,加利尔 AR（StatTrak™） | 毁灭者,79,0.6,1.02,1.7,2024-06-17
加利尔 AR,崭新出厂,普通,34978,加利尔 AR | 多变迷彩,435,0.6,0.8,1.33,2024-06-17
加利尔 AR,略有磨损,普通,900472,加利尔 AR | 毁灭者,919,0.57,0.94,1.65,2024-06-17
加利尔 AR,略有磨损,普通,762090,加利尔 AR | 冰核聚变,1427,0.45,0.58,1.29,2024-06-17
加利尔 AR,略有磨损,普通,34980,加利尔 AR | 多变迷彩,355,0.4,0.58,1.45,2024-06-17
加利尔 AR,战痕累累,普通,34895,加利尔 AR | 黑砂,50,0.39,0.8,2.05,2024-06-17
加利尔 AR,久经沙场,普通,900479,加利尔 AR | 毁灭者,1284,0.33,0.58,1.76,2024-06-17
加利尔 AR,久经沙场,普通,34979,加利尔 AR | 多变迷彩,421,0.3,0.51,1.7,2024-06-17
加利尔 AR,战痕累累,普通,34977,加利尔 AR | 多变迷彩,48,0.29,0.44,1.52,2024-06-17
加利尔 AR,战痕累累,普通,900548,加利尔 AR | 毁灭者,166,0.28,0.44,1.57,2024-06-17
加利尔 AR,破损不堪,普通,34981,加利尔 AR | 多变迷彩,34,0.28,0.51,1.82,2024-06-17
加利尔 AR,破损不堪,普通,900578,加利尔 AR | 毁灭者,114,0.25,0.51,2.04,2024-06-17
加利尔 AR,破损不堪,普通,762200,加利尔 AR | 冰核聚变,44,0.22,0.44,2.0,2024-06-17
加利尔 AR,久经沙场,普通,762117,加利尔 AR | 冰核聚变,2032,0.19,0.44,2.32,2024-06-17
加利尔 AR,战痕累累,普通,762115,加利尔 AR | 冰核聚变,159,0.19,0.44,2.32,2024-06-17
加利尔 AR,略有磨损,普通,34946,加利尔 AR | 贤者涂装,1137,0.06,0.22,3.67,2024-06-17
加利尔 AR,破损不堪,普通,34947,加利尔 AR | 贤者涂装,168,0.02,0.22,11.0,2024-06-17
加利尔 AR,久经沙场,普通,34945,加利尔 AR | 贤者涂装,1989,0.03,0.22,7.33,2024-06-17
加利尔 AR,战痕累累,普通,34943,加利尔 AR | 贤者涂装,224,0.02,0.22,11.0,2024-06-17
加利尔 AR,久经沙场,StatTrak™,38657,加利尔 AR（StatTrak™） | 经济,393,63.75,87.57,1.37,2024-06-17
加利尔 AR,战痕累累,纪念品,37673,加利尔 AR（纪念品） | 贤者涂装,7,61.8,84.66,1.37,2024-06-17
加利尔 AR,破损不堪,纪念品,37677,加利尔 AR（纪念品） | 贤者涂装,10,60.89,90.76,1.49,2024-06-17
加利尔 AR,崭新出厂,StatTrak™,38652,加利尔 AR（StatTrak™） | 深红海啸,102,59.86,87.06,1.45,2024-06-17
加利尔 AR,略有磨损,StatTrak™,857606,加利尔 AR（StatTrak™） | 迷人眼,160,59.59,85.75,1.44,2024-06-17
加利尔 AR,崭新出厂,普通,34924,加利尔 AR | 隐蔽猎手,29,58.1,69.57,1.2,2024-06-17
加利尔 AR,战痕累累,普通,34952,加利尔 AR | 支离破碎,16,57.8,95.62,1.65,2024-06-17
加利尔 AR,破损不堪,普通,34956,加利尔 AR | 支离破碎,9,57.15,83.43,1.46,2024-06-17
加利尔 AR,略有磨损,普通,34955,加利尔 AR | 支离破碎,23,56.84,77.92,1.37,2024-06-17
加利尔 AR,崭新出厂,StatTrak™,38647,加利尔 AR（StatTrak™） | 蓝钛,212,55.49,79.59,1.43,2024-06-17
加利尔 AR,久经沙场,普通,34984,加利尔 AR | 冬之森林,14,55.46,77.41,1.4,2024-06-17
加利尔 AR,崭新出厂,纪念品,877061,加利尔 AR（纪念品） | 废墟黄昏,83,54.91,84.23,1.53,2024-06-17
加利尔 AR,久经沙场,普通,34954,加利尔 AR | 支离破碎,49,54.1,73.93,1.37,2024-06-17
加利尔 AR,崭新出厂,普通,857660,加利尔 AR | 迷人眼,290,53.92,76.47,1.42,2024-06-17
加利尔 AR,破损不堪,StatTrak™,38688,加利尔 AR（StatTrak™） | 支离破碎,15,50.44,56.95,1.13,2024-06-17
加利尔 AR,久经沙场,纪念品,37675,加利尔 AR（纪念品） | 贤者涂装,27,49.55,73.93,1.49,2024-06-17
加利尔 AR,崭新出厂,StatTrak™,38661,加利尔 AR（StatTrak™） | 火线冲锋,35,48.78,72.91,1.49,2024-06-17
加利尔 AR,破损不堪,普通,34986,加利尔 AR | 冬之森林,1,47.44,73.64,1.55,2024-06-17
加利尔 AR,略有磨损,StatTrak™,38692,加利尔 AR（StatTrak™） | 冷石,151,46.7,64.86,1.39,2024-06-17
加利尔 AR,久经沙场,StatTrak™,38686,加利尔 AR（StatTrak™） | 支离破碎,38,45.59,56.88,1.25,2024-06-17
加利尔 AR,破损不堪,普通,34927,加利尔 AR | 隐蔽猎手,6,45.06,43.75,0.97,2024-06-17
加利尔 AR,战痕累累,普通,34906,加利尔 AR | 喧闹骷髅,312,43.25,63.84,1.48,2024-06-17
加利尔 AR,略有磨损,普通,775276,加利尔 AR | 狂哮飓风,30,43.1,56.88,1.32,2024-06-17
加利尔 AR,战痕累累,普通,34982,加利尔 AR | 冬之森林,7,42.83,66.74,1.56,2024-06-17
加利尔 AR,战痕累累,普通,774994,加利尔 AR | 狂哮飓风,25,42.49,54.85,1.29,2024-06-17
加利尔 AR,久经沙场,普通,774934,加利尔 AR | 狂哮飓风,33,42.19,52.6,1.25,2024-06-17
加利尔 AR,破损不堪,普通,774937,加利尔 AR | 狂哮飓风,15,42.06,52.6,1.25,2024-06-17
加利尔 AR,崭新出厂,StatTrak™,38666,加利尔 AR（StatTrak™） | 神祗,192,41.68,51.73,1.24,2024-06-17
加利尔 AR,崭新出厂,普通,34939,加利尔 AR | 火箭冰棒,368,41,57.89,1.41,2024-06-17
加利尔 AR,战痕累累,StatTrak™,38684,加利尔 AR（StatTrak™） | 支离破碎,16,39.08,60.87,1.56,2024-06-17
加利尔 AR,崭新出厂,普通,34958,加利尔 AR | 冷石,270,38.09,53.11,1.39,2024-06-17
加利尔 AR,略有磨损,纪念品,877068,加利尔 AR（纪念品） | 废墟黄昏,96,35.47,43.46,1.23,2024-06-17
加利尔 AR,崭新出厂,StatTrak™,835901,加利尔 AR（StatTrak™） | 破坏者,26,34.9,55.06,1.58,2024-06-17
加利尔 AR,破损不堪,StatTrak™,38659,加利尔 AR（StatTrak™） | 经济,44,34.79,54.7,1.57,2024-06-17
加利尔 AR,略有磨损,StatTrak™,38654,加利尔 AR（StatTrak™） | 深红海啸,94,34.79,52.89,1.52,2024-06-17
加利尔 AR,崭新出厂,纪念品,877154,加利尔 AR（纪念品） | 渐变琥珀,233,33.08,47.23,1.43,2024-06-17
加利尔 AR,战痕累累,StatTrak™,38656,加利尔 AR（StatTrak™） | 经济,20,32.72,41.86,1.28,2024-06-17
加利尔 AR,久经沙场,普通,34915,加利尔 AR | 经济,1837,31.2,42.15,1.35,2024-06-17
加利尔 AR,崭新出厂,纪念品,761539,加利尔 AR（纪念品） | 冰核聚变,134,29.88,45.92,1.54,2024-06-17
加利尔 AR,略有磨损,StatTrak™,38682,加利尔 AR（StatTrak™） | 沙尘暴,147,28.89,40.92,1.42,2024-06-17
加利尔 AR,略有磨损,StatTrak™,38678,加利尔 AR（StatTrak™） | 火箭冰棒,266,27.38,35.04,1.28,2024-06-17
加利尔 AR,久经沙场,StatTrak™,857658,加利尔 AR（StatTrak™） | 迷人眼,172,27.16,38.45,1.42,2024-06-17
加利尔 AR,崭新出厂,普通,34900,加利尔 AR | 蓝钛,258,24.79,33.37,1.35,2024-06-17
加利尔 AR,略有磨损,普通,34926,加利尔 AR | 隐蔽猎手,23,24.15,37.72,1.56,2024-06-17
加利尔 AR,崭新出厂,普通,34929,加利尔 AR | 神祗,395,23.35,29.74,1.27,2024-06-17
加利尔 AR,崭新出厂,普通,34910,加利尔 AR | 深红海啸,344,23.35,31.05,1.33,2024-06-17
加利尔 AR,略有磨损,纪念品,877157,加利尔 AR（纪念品） | 渐变琥珀,151,21.8,27.57,1.26,2024-06-17
加利尔 AR,略有磨损,普通,857559,加利尔 AR | 迷人眼,730,21.75,31.49,1.45,2024-06-17
加利尔 AR,崭新出厂,StatTrak™,781695,加利尔 AR（StatTrak™） | 凤凰商号,122,20.4,30.11,1.48,2024-06-17
加利尔 AR,崭新出厂,StatTrak™,763354,加利尔 AR（StatTrak™） | 信号灯,143,20.38,26.41,1.3,2024-06-17
加利尔 AR,略有磨损,普通,34950,加利尔 AR | 沙尘暴,176,19.7,27.64,1.4,2024-06-17
加利尔 AR,久经沙场,StatTrak™,38653,加利尔 AR（StatTrak™） | 深红海啸,45,19.64,27.93,1.42,2024-06-17
加利尔 AR,久经沙场,StatTrak™,38691,加利尔 AR（StatTrak™） | 冷石,143,19.48,26.77,1.37,2024-06-17
加利尔 AR,破损不堪,纪念品,877083,加利尔 AR（纪念品） | 废墟黄昏,24,19.37,29.45,1.52,2024-06-17
加利尔 AR,略有磨损,StatTrak™,38668,加利尔 AR（StatTrak™） | 神祗,207,19.25,29.02,1.51,2024-06-17
加利尔 AR,破损不堪,StatTrak™,857696,加利尔 AR（StatTrak™） | 迷人眼,47,18.9,25.61,1.36,2024-06-17
加利尔 AR,久经沙场,纪念品,877015,加利尔 AR（纪念品） | 废墟黄昏,137,18.58,23.14,1.25,2024-06-17
加利尔 AR,破损不堪,StatTrak™,38693,加利尔 AR（StatTrak™） | 冷石,20,18.52,25.97,1.4,2024-06-17
加利尔 AR,破损不堪,StatTrak™,38655,加利尔 AR（StatTrak™） | 深红海啸,9,18,28.37,1.58,2024-06-17
加利尔 AR,战痕累累,普通,34923,加利尔 AR | 隐蔽猎手,3,17.53,23.94,1.37,2024-06-17
加利尔 AR,破损不堪,普通,34917,加利尔 AR | 经济,161,17.12,23.14,1.35,2024-06-17
加利尔 AR,略有磨损,普通,34960,加利尔 AR | 冷石,486,17.2,25.03,1.46,2024-06-17
加利尔 AR,略有磨损,普通,34931,加利尔 AR | 神祗,241,16.88,20.97,1.24,2024-06-17
加利尔 AR,战痕累累,StatTrak™,857540,加利尔 AR（StatTrak™） | 迷人眼,82,16.63,22.85,1.37,2024-06-17
加利尔 AR,崭新出厂,纪念品,37669,加利尔 AR（纪念品） | 隐蔽猎手,402,16.5,24.01,1.46,2024-06-17
加利尔 AR,战痕累累,StatTrak™,38651,加利尔 AR（StatTrak™） | 深红海啸,18,16.46,27.5,1.67,2024-06-17
加利尔 AR,久经沙场,普通,34925,加利尔 AR | 隐蔽猎手,18,15.71,22.63,1.44,2024-06-17
加利尔 AR,破损不堪,普通,34932,加利尔 AR | 神祗,16,15.36,19.44,1.27,2024-06-17
加利尔 AR,战痕累累,纪念品,877088,加利尔 AR（纪念品） | 废墟黄昏,21,15.12,22.13,1.46,2024-06-17
加利尔 AR,崭新出厂,StatTrak™,38643,加利尔 AR（StatTrak™） | 黑砂,59,15.1,23.14,1.53,2024-06-17
加利尔 AR,久经沙场,普通,34930,加利尔 AR | 神祗,113,15.05,19.52,1.3,2024-06-17
加利尔 AR,破损不堪,纪念品,877163,加利尔 AR（纪念品） | 渐变琥珀,12,14.7,21.4,1.46,2024-06-17
加利尔 AR,略有磨损,普通,34941,加利尔 AR | 火箭冰棒,1037,14.68,18.57,1.26,2024-06-17
加利尔 AR,久经沙场,StatTrak™,38667,加利尔 AR（StatTrak™） | 神祗,126,14.4,17.92,1.24,2024-06-17
加利尔 AR,略有磨损,StatTrak™,38663,加利尔 AR（StatTrak™） | 火线冲锋,100,14.18,20.02,1.41,2024-06-17
加利尔 AR,战痕累累,普通,34928,加利尔 AR | 神祗,17,14.02,20.31,1.45,2024-06-17
加利尔 AR,战痕累累,普通,34914,加利尔 AR | 经济,54,13.58,16.83,1.24,2024-06-17
加利尔 AR,略有磨损,普通,34912,加利尔 AR | 深红海啸,281,13.54,17.63,1.3,2024-06-17
加利尔 AR,久经沙场,纪念品,877213,加利尔 AR（纪念品） | 渐变琥珀,199,13.52,18.79,1.39,2024-06-17
加利尔 AR,战痕累累,StatTrak™,38689,加利尔 AR（StatTrak™） | 冷石,36,13.51,21.98,1.63,2024-06-17
