SCAR-20,崭新出厂,普通,36428,SCAR-20 | 溅射果酱,2,28499.5,7140.03,0.25,2024-06-17
SCAR-20,久经沙场,普通,921415,SCAR-20 | 碎片,1455,0.29,0.51,1.76,2024-06-17
SCAR-20,破损不堪,普通,36406,SCAR-20 | 丛林滑流,29,0.28,0.65,2.32,2024-06-17
SCAR-20,战痕累累,普通,886964,SCAR-20 | 暗夜活死鸡,162,0.27,0.44,1.63,2024-06-17
SCAR-20,破损不堪,普通,921544,SCAR-20 | 碎片,78,0.23,0.51,2.22,2024-06-17
SCAR-20,战痕累累,普通,921472,SCAR-20 | 碎片,261,0.22,0.44,2.0,2024-06-17
SCAR-20,破损不堪,普通,886690,SCAR-20 | 暗夜活死鸡,228,0.22,0.51,2.32,2024-06-17
SCAR-20,久经沙场,普通,886614,SCAR-20 | 暗夜活死鸡,2134,0.22,0.44,2.0,2024-06-17
SCAR-20,略有磨损,普通,36425,SCAR-20 | 沙漠网格,257,0.07,0.22,3.14,2024-06-17
SCAR-20,战痕累累,普通,36375,SCAR-20 | 雇佣兵,225,0.06,0.22,3.67,2024-06-17
SCAR-20,略有磨损,普通,36378,SCAR-20 | 雇佣兵,307,0.04,0.22,5.5,2024-06-17
SCAR-20,破损不堪,普通,36426,SCAR-20 | 沙漠网格,102,0.03,0.22,7.33,2024-06-17
SCAR-20,久经沙场,普通,36424,SCAR-20 | 沙漠网格,1164,0.03,0.22,7.33,2024-06-17
SCAR-20,战痕累累,普通,36422,SCAR-20 | 沙漠网格,240,0.03,0.22,7.33,2024-06-17
SCAR-20,久经沙场,普通,36377,SCAR-20 | 雇佣兵,1550,0.04,0.22,5.5,2024-06-17
SCAR-20,破损不堪,普通,36379,SCAR-20 | 雇佣兵,92,0.03,0.22,7.33,2024-06-17
SCAR-20,战痕累累,普通,36363,SCAR-20 | 蓝图,16,0.99,1.45,1.46,2024-06-17
SCAR-20,战痕累累,普通,36392,SCAR-20 | 绿色陆战队,25,0.94,1.45,1.54,2024-06-17
SCAR-20,久经沙场,纪念品,37977,SCAR-20（纪念品） | 沙漠网格,325,0.93,1.02,1.1,2024-06-17
SCAR-20,破损不堪,普通,773763,SCAR-20 | 仓库突击,21,0.92,1.38,1.5,2024-06-17
SCAR-20,略有磨损,普通,773648,SCAR-20 | 仓库突击,134,0.92,1.16,1.26,2024-06-17
SCAR-20,战痕累累,StatTrak™,773735,SCAR-20（StatTrak™） | 仓库突击,34,0.87,0.94,1.08,2024-06-17
SCAR-20,久经沙场,StatTrak™,39480,SCAR-20（StatTrak™） | 丛林滑流,84,0.87,1.09,1.25,2024-06-17
SCAR-20,久经沙场,普通,773614,SCAR-20 | 仓库突击,118,0.84,1.23,1.46,2024-06-17
SCAR-20,久经沙场,StatTrak™,773641,SCAR-20（StatTrak™） | 仓库突击,77,0.83,1.09,1.31,2024-06-17
SCAR-20,崭新出厂,普通,36368,SCAR-20 | 碳素纤维,1935,0.79,1.16,1.47,2024-06-17
SCAR-20,破损不堪,StatTrak™,39482,SCAR-20（StatTrak™） | 丛林滑流,18,0.76,1.16,1.53,2024-06-17
SCAR-20,战痕累累,普通,773658,SCAR-20 | 仓库突击,36,0.75,1.09,1.45,2024-06-17
SCAR-20,久经沙场,StatTrak™,921459,SCAR-20（StatTrak™） | 碎片,359,0.67,1.02,1.52,2024-06-17
SCAR-20,久经沙场,普通,36409,SCAR-20 | 丛林爆发,138,0.66,0.87,1.32,2024-06-17
SCAR-20,略有磨损,普通,36405,SCAR-20 | 丛林滑流,231,0.65,1.02,1.57,2024-06-17
SCAR-20,略有磨损,普通,36369,SCAR-20 | 碳素纤维,148,0.64,0.87,1.36,2024-06-17
SCAR-20,久经沙场,StatTrak™,886661,SCAR-20（StatTrak™） | 暗夜活死鸡,443,0.61,0.87,1.43,2024-06-17
SCAR-20,破损不堪,StatTrak™,921521,SCAR-20（StatTrak™） | 碎片,37,0.59,0.87,1.47,2024-06-17
SCAR-20,略有磨损,普通,921434,SCAR-20 | 碎片,604,0.6,0.87,1.45,2024-06-17
SCAR-20,破损不堪,StatTrak™,887078,SCAR-20（StatTrak™） | 暗夜活死鸡,26,0.59,0.87,1.47,2024-06-17
SCAR-20,战痕累累,StatTrak™,886992,SCAR-20（StatTrak™） | 暗夜活死鸡,56,0.59,0.94,1.59,2024-06-17
SCAR-20,战痕累累,普通,36407,SCAR-20 | 丛林爆发,31,0.56,1.52,2.71,2024-06-17
SCAR-20,战痕累累,StatTrak™,921548,SCAR-20（StatTrak™） | 碎片,83,0.56,0.87,1.55,2024-06-17
SCAR-20,崭新出厂,普通,36423,SCAR-20 | 沙漠网格,70,0.53,0.65,1.23,2024-06-17
SCAR-20,破损不堪,普通,36411,SCAR-20 | 丛林爆发,30,0.53,0.94,1.77,2024-06-17
SCAR-20,略有磨损,普通,886662,SCAR-20 | 暗夜活死鸡,1253,0.46,0.73,1.59,2024-06-17
SCAR-20,久经沙场,普通,36404,SCAR-20 | 丛林滑流,328,0.4,0.65,1.62,2024-06-17
SCAR-20,战痕累累,普通,36402,SCAR-20 | 丛林滑流,28,0.3,0.58,1.93,2024-06-17
SCAR-20,崭新出厂,普通,36376,SCAR-20 | 雇佣兵,256,0.3,0.44,1.47,2024-06-17
SCAR-20,久经沙场,普通,921415,SCAR-20 | 碎片,1455,0.29,0.51,1.76,2024-06-17
SCAR-20,破损不堪,普通,36406,SCAR-20 | 丛林滑流,29,0.28,0.65,2.32,2024-06-17
SCAR-20,战痕累累,普通,886964,SCAR-20 | 暗夜活死鸡,162,0.27,0.44,1.63,2024-06-17
SCAR-20,破损不堪,普通,921544,SCAR-20 | 碎片,78,0.23,0.51,2.22,2024-06-17
SCAR-20,战痕累累,普通,921472,SCAR-20 | 碎片,261,0.22,0.44,2.0,2024-06-17
SCAR-20,破损不堪,普通,886690,SCAR-20 | 暗夜活死鸡,228,0.22,0.51,2.32,2024-06-17
SCAR-20,久经沙场,普通,886614,SCAR-20 | 暗夜活死鸡,2134,0.22,0.44,2.0,2024-06-17
SCAR-20,略有磨损,普通,36425,SCAR-20 | 沙漠网格,257,0.07,0.22,3.14,2024-06-17
SCAR-20,战痕累累,普通,36375,SCAR-20 | 雇佣兵,225,0.06,0.22,3.67,2024-06-17
SCAR-20,略有磨损,普通,36378,SCAR-20 | 雇佣兵,307,0.04,0.22,5.5,2024-06-17
SCAR-20,破损不堪,普通,36426,SCAR-20 | 沙漠网格,102,0.03,0.22,7.33,2024-06-17
SCAR-20,久经沙场,普通,36424,SCAR-20 | 沙漠网格,1164,0.03,0.22,7.33,2024-06-17
SCAR-20,战痕累累,普通,36422,SCAR-20 | 沙漠网格,240,0.03,0.22,7.33,2024-06-17
SCAR-20,久经沙场,普通,36377,SCAR-20 | 雇佣兵,1550,0.04,0.22,5.5,2024-06-17
SCAR-20,破损不堪,普通,36379,SCAR-20 | 雇佣兵,92,0.03,0.22,7.33,2024-06-17
SCAR-20,战痕累累,普通,36363,SCAR-20 | 蓝图,16,0.99,1.45,1.46,2024-06-17
SCAR-20,战痕累累,普通,36392,SCAR-20 | 绿色陆战队,25,0.94,1.45,1.54,2024-06-17
SCAR-20,久经沙场,纪念品,37977,SCAR-20（纪念品） | 沙漠网格,325,0.93,1.02,1.1,2024-06-17
SCAR-20,破损不堪,普通,773763,SCAR-20 | 仓库突击,21,0.92,1.38,1.5,2024-06-17
SCAR-20,略有磨损,普通,773648,SCAR-20 | 仓库突击,134,0.92,1.16,1.26,2024-06-17
SCAR-20,战痕累累,StatTrak™,773735,SCAR-20（StatTrak™） | 仓库突击,34,0.87,0.94,1.08,2024-06-17
SCAR-20,久经沙场,StatTrak™,39480,SCAR-20（StatTrak™） | 丛林滑流,84,0.87,1.09,1.25,2024-06-17
SCAR-20,久经沙场,普通,773614,SCAR-20 | 仓库突击,118,0.84,1.23,1.46,2024-06-17
SCAR-20,久经沙场,StatTrak™,773641,SCAR-20（StatTrak™） | 仓库突击,77,0.83,1.09,1.31,2024-06-17
SCAR-20,崭新出厂,普通,36368,SCAR-20 | 碳素纤维,1935,0.79,1.16,1.47,2024-06-17
SCAR-20,破损不堪,StatTrak™,39482,SCAR-20（StatTrak™） | 丛林滑流,18,0.76,1.16,1.53,2024-06-17
SCAR-20,战痕累累,普通,773658,SCAR-20 | 仓库突击,36,0.75,1.09,1.45,2024-06-17
SCAR-20,久经沙场,StatTrak™,921459,SCAR-20（StatTrak™） | 碎片,359,0.67,1.02,1.52,2024-06-17
SCAR-20,久经沙场,普通,36409,SCAR-20 | 丛林爆发,138,0.66,0.87,1.32,2024-06-17
SCAR-20,略有磨损,普通,36405,SCAR-20 | 丛林滑流,231,0.65,1.02,1.57,2024-06-17
SCAR-20,略有磨损,普通,36369,SCAR-20 | 碳素纤维,148,0.64,0.87,1.36,2024-06-17
SCAR-20,久经沙场,StatTrak™,886661,SCAR-20（StatTrak™） | 暗夜活死鸡,443,0.61,0.87,1.43,2024-06-17
SCAR-20,破损不堪,StatTrak™,921521,SCAR-20（StatTrak™） | 碎片,37,0.59,0.87,1.47,2024-06-17
SCAR-20,略有磨损,普通,921434,SCAR-20 | 碎片,604,0.6,0.87,1.45,2024-06-17
SCAR-20,破损不堪,StatTrak™,887078,SCAR-20（StatTrak™） | 暗夜活死鸡,26,0.59,0.87,1.47,2024-06-17
SCAR-20,战痕累累,StatTrak™,886992,SCAR-20（StatTrak™） | 暗夜活死鸡,56,0.59,0.94,1.59,2024-06-17
SCAR-20,战痕累累,普通,36407,SCAR-20 | 丛林爆发,31,0.56,1.52,2.71,2024-06-17
SCAR-20,战痕累累,StatTrak™,921548,SCAR-20（StatTrak™） | 碎片,83,0.56,0.87,1.55,2024-06-17
SCAR-20,崭新出厂,普通,36423,SCAR-20 | 沙漠网格,70,0.53,0.65,1.23,2024-06-17
SCAR-20,破损不堪,普通,36411,SCAR-20 | 丛林爆发,30,0.53,0.94,1.77,2024-06-17
SCAR-20,略有磨损,普通,886662,SCAR-20 | 暗夜活死鸡,1253,0.46,0.73,1.59,2024-06-17
SCAR-20,久经沙场,普通,36404,SCAR-20 | 丛林滑流,328,0.4,0.65,1.62,2024-06-17
SCAR-20,战痕累累,普通,36402,SCAR-20 | 丛林滑流,28,0.3,0.58,1.93,2024-06-17
SCAR-20,崭新出厂,普通,36376,SCAR-20 | 雇佣兵,256,0.3,0.44,1.47,2024-06-17
SCAR-20,久经沙场,普通,921415,SCAR-20 | 碎片,1455,0.29,0.51,1.76,2024-06-17
SCAR-20,破损不堪,普通,36406,SCAR-20 | 丛林滑流,29,0.28,0.65,2.32,2024-06-17
SCAR-20,战痕累累,普通,886964,SCAR-20 | 暗夜活死鸡,162,0.27,0.44,1.63,2024-06-17
SCAR-20,破损不堪,普通,921544,SCAR-20 | 碎片,78,0.23,0.51,2.22,2024-06-17
SCAR-20,战痕累累,普通,921472,SCAR-20 | 碎片,261,0.22,0.44,2.0,2024-06-17
SCAR-20,破损不堪,普通,886690,SCAR-20 | 暗夜活死鸡,228,0.22,0.51,2.32,2024-06-17
SCAR-20,久经沙场,普通,886614,SCAR-20 | 暗夜活死鸡,2134,0.22,0.44,2.0,2024-06-17
SCAR-20,略有磨损,普通,36425,SCAR-20 | 沙漠网格,257,0.07,0.22,3.14,2024-06-17
SCAR-20,战痕累累,普通,36375,SCAR-20 | 雇佣兵,225,0.06,0.22,3.67,2024-06-17
SCAR-20,略有磨损,普通,36378,SCAR-20 | 雇佣兵,307,0.04,0.22,5.5,2024-06-17
SCAR-20,破损不堪,普通,36426,SCAR-20 | 沙漠网格,102,0.03,0.22,7.33,2024-06-17
SCAR-20,久经沙场,普通,36424,SCAR-20 | 沙漠网格,1164,0.03,0.22,7.33,2024-06-17
SCAR-20,战痕累累,普通,36422,SCAR-20 | 沙漠网格,240,0.03,0.22,7.33,2024-06-17
SCAR-20,久经沙场,普通,36377,SCAR-20 | 雇佣兵,1550,0.04,0.22,5.5,2024-06-17
SCAR-20,破损不堪,普通,36379,SCAR-20 | 雇佣兵,92,0.03,0.22,7.33,2024-06-17
