廓尔喀刀,久经沙场,★,956563,廓尔喀刀（★） | 森林 DDPAT,117,1318.5,1664.11,1.26,2024-06-17
廓尔喀刀,略有磨损,★ StatTrak™,956605,廓尔喀刀（★ StatTrak™） | 狩猎网格,6,1559.5,1944.5,1.25,2024-06-17
廓尔喀刀,略有磨损,★ StatTrak™,956928,廓尔喀刀（★ StatTrak™） | 北方森林,13,1528.5,2992.82,1.96,2024-06-17
廓尔喀刀,破损不堪,★ StatTrak™,956929,廓尔喀刀（★ StatTrak™） | 夜色,3,1499.5,1702.99,1.14,2024-06-17
廓尔喀刀,略有磨损,★,956683,廓尔喀刀（★） | 北方森林,39,1449.5,1843.81,1.27,2024-06-17
廓尔喀刀,久经沙场,★,956661,廓尔喀刀（★） | 夜色,126,1449,1934.78,1.34,2024-06-17
廓尔喀刀,战痕累累,★,956674,廓尔喀刀（★） | 夜色,82,1419,1776.77,1.25,2024-06-17
廓尔喀刀,战痕累累,★ StatTrak™,956701,廓尔喀刀（★ StatTrak™） | 都市伪装,22,1399.5,2348.52,1.68,2024-06-17
廓尔喀刀,久经沙场,★ StatTrak™,956619,廓尔喀刀（★ StatTrak™） | 夜色,24,1379.5,1935.15,1.4,2024-06-17
廓尔喀刀,破损不堪,★,956668,廓尔喀刀（★） | 夜色,27,1374.5,1697.41,1.23,2024-06-17
廓尔喀刀,战痕累累,★ StatTrak™,956662,廓尔喀刀（★ StatTrak™） | 枯焦之色,20,1369,1682.03,1.23,2024-06-17
廓尔喀刀,略有磨损,★,956594,廓尔喀刀（★） | 狩猎网格,41,1327.5,1928.69,1.45,2024-06-17
廓尔喀刀,战痕累累,★,956673,廓尔喀刀（★） | 枯焦之色,80,1319,1956.69,1.48,2024-06-17
