FN57,战痕累累,纪念品,877217,FN57（纪念品） | 坠落危险,4,2699.5,436.01,0.16,2024-06-16
FN57,略有磨损,普通,34786,FN57 | 斯康里娅,390,0.53,0.87,1.64,2024-06-16
FN57,略有磨损,普通,45254,FN57 | 焰色反应,671,0.5,0.8,1.6,2024-06-16
FN57,略有磨损,普通,886631,FN57 | 涂鸦潦草,1416,0.45,0.73,1.62,2024-06-16
FN57,久经沙场,普通,34785,FN57 | 斯康里娅,169,0.43,0.8,1.86,2024-06-16
FN57,战痕累累,纪念品,761443,FN57（纪念品） | 冷却剂,71,0.35,0.51,1.46,2024-06-16
FN57,久经沙场,普通,34776,FN57 | 橘皮涂装,558,0.36,0.65,1.81,2024-06-16
FN57,破损不堪,纪念品,877183,FN57（纪念品） | 紫藤老树,24,0.34,0.73,2.15,2024-06-16
FN57,战痕累累,普通,34783,FN57 | 斯康里娅,67,0.32,0.8,2.5,2024-06-16
FN57,破损不堪,普通,34777,FN57 | 橘皮涂装,55,0.32,0.58,1.81,2024-06-16
FN57,久经沙场,普通,45253,FN57 | 焰色反应,1215,0.3,0.51,1.7,2024-06-16
FN57,久经沙场,纪念品,761444,FN57（纪念品） | 冷却剂,1388,0.29,0.44,1.52,2024-06-16
FN57,破损不堪,普通,34787,FN57 | 斯康里娅,91,0.29,0.58,2.0,2024-06-16
FN57,战痕累累,纪念品,877181,FN57（纪念品） | 紫藤老树,33,0.28,0.94,3.36,2024-06-16
FN57,战痕累累,普通,45252,FN57 | 焰色反应,86,0.27,0.51,1.89,2024-06-16
FN57,久经沙场,普通,886612,FN57 | 涂鸦潦草,1848,0.23,0.51,2.22,2024-06-16
FN57,破损不堪,普通,45255,FN57 | 焰色反应,43,0.23,0.51,2.22,2024-06-16
FN57,久经沙场,纪念品,877153,FN57（纪念品） | 紫藤老树,762,0.22,0.51,2.32,2024-06-16
FN57,战痕累累,普通,34774,FN57 | 橘皮涂装,156,0.22,0.44,2.0,2024-06-16
FN57,战痕累累,普通,886693,FN57 | 涂鸦潦草,665,0.22,0.44,2.0,2024-06-16
FN57,破损不堪,普通,886659,FN57 | 涂鸦潦草,615,0.2,0.44,2.2,2024-06-16
FN57,崭新出厂,普通,762065,FN57 | 冷却剂,3212,0.18,0.36,2.0,2024-06-16
FN57,略有磨损,普通,762089,FN57 | 冷却剂,852,0.09,0.22,2.44,2024-06-16
FN57,战痕累累,普通,762114,FN57 | 冷却剂,180,0.07,0.22,3.14,2024-06-16
FN57,略有磨损,普通,34730,FN57 | 暮色森林,243,0.06,0.29,4.83,2024-06-16
FN57,久经沙场,普通,34729,FN57 | 暮色森林,1064,0.06,0.22,3.67,2024-06-16
FN57,破损不堪,普通,762052,FN57 | 冷却剂,86,0.05,0.22,4.4,2024-06-16
FN57,破损不堪,普通,34731,FN57 | 暮色森林,125,0.05,0.22,4.4,2024-06-16
FN57,战痕累累,普通,34727,FN57 | 暮色森林,183,0.05,0.22,4.4,2024-06-16
FN57,久经沙场,普通,762054,FN57 | 冷却剂,2298,0.04,0.22,5.5,2024-06-16
FN57,久经沙场,普通,34801,FN57 | 霸意大名,298,0.96,1.45,1.51,2024-06-16
FN57,破损不堪,StatTrak™,45423,FN57（StatTrak™） | 焰色反应,40,0.88,1.38,1.57,2024-06-16
FN57,战痕累累,普通,34800,FN57 | 霸意大名,20,0.88,1.31,1.49,2024-06-16
FN57,略有磨损,纪念品,877130,FN57（纪念品） | 紫藤老树,228,0.82,0.94,1.15,2024-06-16
FN57,略有磨损,纪念品,761428,FN57（纪念品） | 冷却剂,681,0.73,0.87,1.19,2024-06-16
FN57,久经沙场,StatTrak™,38588,FN57（StatTrak™） | 斯康里娅,108,0.7,1.09,1.56,2024-06-16
FN57,崭新出厂,普通,34728,FN57 | 暮色森林,77,0.67,0.65,0.97,2024-06-16
FN57,战痕累累,StatTrak™,886990,FN57（StatTrak™） | 涂鸦潦草,192,0.63,0.87,1.38,2024-06-16
FN57,战痕累累,StatTrak™,38586,FN57（StatTrak™） | 斯康里娅,51,0.62,0.87,1.4,2024-06-16
FN57,久经沙场,StatTrak™,45308,FN57（StatTrak™） | 焰色反应,383,0.59,0.94,1.59,2024-06-16
FN57,略有磨损,普通,33830,FN57 | 橘皮涂装,398,0.61,0.87,1.43,2024-06-16
FN57,久经沙场,StatTrak™,886982,FN57（StatTrak™） | 涂鸦潦草,565,0.59,0.87,1.47,2024-06-16
FN57,战痕累累,StatTrak™,45306,FN57（StatTrak™） | 焰色反应,58,0.58,0.87,1.5,2024-06-16
FN57,破损不堪,纪念品,761502,FN57（纪念品） | 冷却剂,94,0.57,0.58,1.02,2024-06-16
FN57,破损不堪,StatTrak™,887019,FN57（StatTrak™） | 涂鸦潦草,147,0.57,0.87,1.53,2024-06-16
FN57,破损不堪,StatTrak™,38590,FN57（StatTrak™） | 斯康里娅,49,0.54,0.94,1.74,2024-06-16
FN57,略有磨损,普通,34786,FN57 | 斯康里娅,390,0.53,0.87,1.64,2024-06-16
FN57,略有磨损,普通,45254,FN57 | 焰色反应,671,0.5,0.8,1.6,2024-06-16
FN57,略有磨损,普通,886631,FN57 | 涂鸦潦草,1416,0.45,0.73,1.62,2024-06-16
FN57,久经沙场,普通,34785,FN57 | 斯康里娅,169,0.43,0.8,1.86,2024-06-16
FN57,战痕累累,纪念品,761443,FN57（纪念品） | 冷却剂,71,0.35,0.51,1.46,2024-06-16
FN57,久经沙场,普通,34776,FN57 | 橘皮涂装,558,0.36,0.65,1.81,2024-06-16
FN57,破损不堪,纪念品,877183,FN57（纪念品） | 紫藤老树,24,0.34,0.73,2.15,2024-06-16
FN57,战痕累累,普通,34783,FN57 | 斯康里娅,67,0.32,0.8,2.5,2024-06-16
FN57,破损不堪,普通,34777,FN57 | 橘皮涂装,55,0.32,0.58,1.81,2024-06-16
FN57,久经沙场,普通,45253,FN57 | 焰色反应,1215,0.3,0.51,1.7,2024-06-16
FN57,久经沙场,纪念品,761444,FN57（纪念品） | 冷却剂,1388,0.29,0.44,1.52,2024-06-16
FN57,破损不堪,普通,34787,FN57 | 斯康里娅,91,0.29,0.58,2.0,2024-06-16
FN57,战痕累累,纪念品,877181,FN57（纪念品） | 紫藤老树,33,0.28,0.94,3.36,2024-06-16
FN57,战痕累累,普通,45252,FN57 | 焰色反应,86,0.27,0.51,1.89,2024-06-16
FN57,久经沙场,普通,886612,FN57 | 涂鸦潦草,1848,0.23,0.51,2.22,2024-06-16
FN57,破损不堪,普通,45255,FN57 | 焰色反应,43,0.23,0.51,2.22,2024-06-16
FN57,久经沙场,纪念品,877153,FN57（纪念品） | 紫藤老树,762,0.22,0.51,2.32,2024-06-16
FN57,战痕累累,普通,34774,FN57 | 橘皮涂装,156,0.22,0.44,2.0,2024-06-16
FN57,战痕累累,普通,886693,FN57 | 涂鸦潦草,665,0.22,0.44,2.0,2024-06-16
FN57,破损不堪,普通,886659,FN57 | 涂鸦潦草,615,0.2,0.44,2.2,2024-06-16
FN57,崭新出厂,普通,762065,FN57 | 冷却剂,3212,0.18,0.36,2.0,2024-06-16
FN57,略有磨损,普通,762089,FN57 | 冷却剂,852,0.09,0.22,2.44,2024-06-16
FN57,战痕累累,普通,762114,FN57 | 冷却剂,180,0.07,0.22,3.14,2024-06-16
FN57,略有磨损,普通,34730,FN57 | 暮色森林,243,0.06,0.29,4.83,2024-06-16
FN57,久经沙场,普通,34729,FN57 | 暮色森林,1064,0.06,0.22,3.67,2024-06-16
FN57,破损不堪,普通,762052,FN57 | 冷却剂,86,0.05,0.22,4.4,2024-06-16
FN57,破损不堪,普通,34731,FN57 | 暮色森林,125,0.05,0.22,4.4,2024-06-16
FN57,战痕累累,普通,34727,FN57 | 暮色森林,183,0.05,0.22,4.4,2024-06-16
FN57,久经沙场,普通,762054,FN57 | 冷却剂,2298,0.04,0.22,5.5,2024-06-16
FN57,久经沙场,普通,34801,FN57 | 霸意大名,298,0.96,1.45,1.51,2024-06-16
FN57,破损不堪,StatTrak™,45423,FN57（StatTrak™） | 焰色反应,40,0.88,1.38,1.57,2024-06-16
FN57,战痕累累,普通,34800,FN57 | 霸意大名,20,0.88,1.31,1.49,2024-06-16
FN57,略有磨损,纪念品,877130,FN57（纪念品） | 紫藤老树,228,0.82,0.94,1.15,2024-06-16
FN57,略有磨损,纪念品,761428,FN57（纪念品） | 冷却剂,681,0.73,0.87,1.19,2024-06-16
FN57,久经沙场,StatTrak™,38588,FN57（StatTrak™） | 斯康里娅,108,0.7,1.09,1.56,2024-06-16
FN57,崭新出厂,普通,34728,FN57 | 暮色森林,77,0.67,0.65,0.97,2024-06-16
FN57,战痕累累,StatTrak™,886990,FN57（StatTrak™） | 涂鸦潦草,192,0.63,0.87,1.38,2024-06-16
FN57,战痕累累,StatTrak™,38586,FN57（StatTrak™） | 斯康里娅,51,0.62,0.87,1.4,2024-06-16
FN57,久经沙场,StatTrak™,45308,FN57（StatTrak™） | 焰色反应,383,0.59,0.94,1.59,2024-06-16
FN57,略有磨损,普通,33830,FN57 | 橘皮涂装,398,0.61,0.87,1.43,2024-06-16
FN57,久经沙场,StatTrak™,886982,FN57（StatTrak™） | 涂鸦潦草,565,0.59,0.87,1.47,2024-06-16
FN57,战痕累累,StatTrak™,45306,FN57（StatTrak™） | 焰色反应,58,0.58,0.87,1.5,2024-06-16
FN57,破损不堪,纪念品,761502,FN57（纪念品） | 冷却剂,94,0.57,0.58,1.02,2024-06-16
FN57,破损不堪,StatTrak™,887019,FN57（StatTrak™） | 涂鸦潦草,147,0.57,0.87,1.53,2024-06-16
FN57,破损不堪,StatTrak™,38590,FN57（StatTrak™） | 斯康里娅,49,0.54,0.94,1.74,2024-06-16
FN57,略有磨损,普通,34786,FN57 | 斯康里娅,390,0.53,0.87,1.64,2024-06-16
FN57,略有磨损,普通,45254,FN57 | 焰色反应,671,0.5,0.8,1.6,2024-06-16
FN57,略有磨损,普通,886631,FN57 | 涂鸦潦草,1416,0.45,0.73,1.62,2024-06-16
FN57,久经沙场,普通,34785,FN57 | 斯康里娅,169,0.43,0.8,1.86,2024-06-16
FN57,战痕累累,纪念品,761443,FN57（纪念品） | 冷却剂,71,0.35,0.51,1.46,2024-06-16
FN57,久经沙场,普通,34776,FN57 | 橘皮涂装,558,0.36,0.65,1.81,2024-06-16
FN57,破损不堪,纪念品,877183,FN57（纪念品） | 紫藤老树,24,0.34,0.73,2.15,2024-06-16
FN57,战痕累累,普通,34783,FN57 | 斯康里娅,67,0.32,0.8,2.5,2024-06-16
FN57,破损不堪,普通,34777,FN57 | 橘皮涂装,55,0.32,0.58,1.81,2024-06-16
FN57,久经沙场,普通,45253,FN57 | 焰色反应,1215,0.3,0.51,1.7,2024-06-16
FN57,久经沙场,纪念品,761444,FN57（纪念品） | 冷却剂,1388,0.29,0.44,1.52,2024-06-16
FN57,破损不堪,普通,34787,FN57 | 斯康里娅,91,0.29,0.58,2.0,2024-06-16
FN57,战痕累累,纪念品,877181,FN57（纪念品） | 紫藤老树,33,0.28,0.94,3.36,2024-06-16
FN57,战痕累累,普通,45252,FN57 | 焰色反应,86,0.27,0.51,1.89,2024-06-16
FN57,久经沙场,普通,886612,FN57 | 涂鸦潦草,1848,0.23,0.51,2.22,2024-06-16
FN57,破损不堪,普通,45255,FN57 | 焰色反应,43,0.23,0.51,2.22,2024-06-16
FN57,久经沙场,纪念品,877153,FN57（纪念品） | 紫藤老树,762,0.22,0.51,2.32,2024-06-16
FN57,战痕累累,普通,34774,FN57 | 橘皮涂装,156,0.22,0.44,2.0,2024-06-16
FN57,战痕累累,普通,886693,FN57 | 涂鸦潦草,665,0.22,0.44,2.0,2024-06-16
FN57,破损不堪,普通,886659,FN57 | 涂鸦潦草,615,0.2,0.44,2.2,2024-06-16
FN57,崭新出厂,普通,762065,FN57 | 冷却剂,3212,0.18,0.36,2.0,2024-06-16
FN57,略有磨损,普通,762089,FN57 | 冷却剂,852,0.09,0.22,2.44,2024-06-16
FN57,战痕累累,普通,762114,FN57 | 冷却剂,180,0.07,0.22,3.14,2024-06-16
FN57,略有磨损,普通,34730,FN57 | 暮色森林,243,0.06,0.29,4.83,2024-06-16
FN57,久经沙场,普通,34729,FN57 | 暮色森林,1064,0.06,0.22,3.67,2024-06-16
FN57,破损不堪,普通,762052,FN57 | 冷却剂,86,0.05,0.22,4.4,2024-06-16
FN57,破损不堪,普通,34731,FN57 | 暮色森林,125,0.05,0.22,4.4,2024-06-16
FN57,战痕累累,普通,34727,FN57 | 暮色森林,183,0.05,0.22,4.4,2024-06-16
FN57,久经沙场,普通,762054,FN57 | 冷却剂,2298,0.04,0.22,5.5,2024-06-16
