SG 553,崭新出厂,纪念品,779170,SG 553（纪念品） | 浪花穿孔,1,9998.5,1020.02,0.1,2024-06-17
SG 553,破损不堪,StatTrak™,921501,SG 553（StatTrak™） | 赛博之力,81,0.57,0.94,1.65,2024-06-17
SG 553,破损不堪,StatTrak™,781696,SG 553（StatTrak™） | 锈蚀之刃,28,0.56,0.94,1.68,2024-06-17
SG 553,略有磨损,普通,45389,SG 553 | 阿罗哈,962,0.53,0.8,1.51,2024-06-17
SG 553,战痕累累,StatTrak™,39498,SG 553（StatTrak™） | 擎天神,24,0.52,0.94,1.81,2024-06-17
SG 553,战痕累累,StatTrak™,781593,SG 553（StatTrak™） | 锈蚀之刃,74,0.51,0.87,1.71,2024-06-17
SG 553,略有磨损,普通,781539,SG 553 | 锈蚀之刃,1005,0.79,0.73,0.92,2024-06-17
SG 553,战痕累累,StatTrak™,45436,SG 553（StatTrak™） | 阿罗哈,33,0.49,0.87,1.78,2024-06-17
SG 553,崭新出厂,纪念品,877125,SG 553（纪念品） | 白骨,1288,0.46,0.65,1.41,2024-06-17
SG 553,破损不堪,普通,763314,SG 553 | 危险距离,32,0.45,0.58,1.29,2024-06-17
SG 553,久经沙场,普通,36449,SG 553 | 擎天神,303,0.45,0.73,1.62,2024-06-17
SG 553,破损不堪,普通,36451,SG 553 | 擎天神,26,0.41,0.8,1.95,2024-06-17
SG 553,久经沙场,普通,763246,SG 553 | 危险距离,386,0.45,0.65,1.44,2024-06-17
SG 553,崭新出厂,普通,36517,SG 553 | 浪花穿孔,207,0.39,0.65,1.67,2024-06-17
SG 553,战痕累累,普通,763262,SG 553 | 危险距离,97,0.36,0.51,1.42,2024-06-17
SG 553,久经沙场,普通,45301,SG 553 | 阿罗哈,1648,0.29,0.58,2.0,2024-06-17
SG 553,战痕累累,普通,45300,SG 553 | 阿罗哈,69,0.28,0.51,1.82,2024-06-17
SG 553,久经沙场,普通,921439,SG 553 | 赛博之力,1219,0.28,0.51,1.82,2024-06-17
SG 553,战痕累累,普通,781550,SG 553 | 锈蚀之刃,95,0.27,0.44,1.63,2024-06-17
SG 553,破损不堪,普通,45302,SG 553 | 阿罗哈,105,0.27,0.51,1.89,2024-06-17
SG 553,战痕累累,普通,36447,SG 553 | 擎天神,23,0.27,0.51,1.89,2024-06-17
SG 553,久经沙场,普通,781546,SG 553 | 锈蚀之刃,1476,0.28,0.51,1.82,2024-06-17
SG 553,战痕累累,普通,921457,SG 553 | 赛博之力,294,0.21,0.44,2.1,2024-06-17
SG 553,破损不堪,普通,921433,SG 553 | 赛博之力,322,0.21,0.51,2.43,2024-06-17
SG 553,破损不堪,普通,781681,SG 553 | 锈蚀之刃,101,0.21,0.51,2.43,2024-06-17
SG 553,略有磨损,纪念品,877008,SG 553（纪念品） | 废墟丛生,493,0.2,0.36,1.8,2024-06-17
SG 553,破损不堪,纪念品,877022,SG 553（纪念品） | 废墟丛生,33,0.17,0.36,2.12,2024-06-17
SG 553,破损不堪,普通,36520,SG 553 | 浪花穿孔,652,0.16,0.22,1.38,2024-06-17
SG 553,崭新出厂,普通,36444,SG 553 | 军队之辉,1250,0.13,0.29,2.23,2024-06-17
SG 553,略有磨损,纪念品,877147,SG 553（纪念品） | 白骨,961,0.11,0.29,2.64,2024-06-17
SG 553,破损不堪,纪念品,877167,SG 553（纪念品） | 白骨,80,0.08,0.29,3.62,2024-06-17
SG 553,略有磨损,普通,36446,SG 553 | 军队之辉,778,0.08,0.29,3.62,2024-06-17
SG 553,战痕累累,纪念品,877152,SG 553（纪念品） | 白骨,97,0.06,0.29,4.83,2024-06-17
SG 553,久经沙场,纪念品,877133,SG 553（纪念品） | 白骨,3669,0.06,0.22,3.67,2024-06-17
SG 553,久经沙场,纪念品,877005,SG 553（纪念品） | 废墟丛生,854,0.06,0.29,4.83,2024-06-17
SG 553,久经沙场,普通,36445,SG 553 | 军队之辉,193,0.06,0.22,3.67,2024-06-17
SG 553,战痕累累,纪念品,877017,SG 553（纪念品） | 废墟丛生,164,0.05,0.22,4.4,2024-06-17
SG 553,略有磨损,普通,36519,SG 553 | 浪花穿孔,905,0.05,0.22,4.4,2024-06-17
SG 553,久经沙场,普通,36518,SG 553 | 浪花穿孔,1776,0.04,0.22,5.5,2024-06-17
SG 553,战痕累累,普通,36516,SG 553 | 浪花穿孔,277,0.03,0.22,7.33,2024-06-17
SG 553,战痕累累,普通,857535,SG 553 | 重金属摇滚,130,0.72,0.94,1.31,2024-06-17
SG 553,略有磨损,普通,36450,SG 553 | 擎天神,190,0.7,0.94,1.34,2024-06-17
SG 553,久经沙场,StatTrak™,781603,SG 553（StatTrak™） | 锈蚀之刃,640,0.69,0.87,1.26,2024-06-17
SG 553,略有磨损,普通,763303,SG 553 | 危险距离,376,0.69,0.94,1.36,2024-06-17
SG 553,破损不堪,普通,857630,SG 553 | 重金属摇滚,138,0.62,1.02,1.65,2024-06-17
SG 553,略有磨损,普通,921430,SG 553 | 赛博之力,1131,0.61,0.87,1.43,2024-06-17
SG 553,战痕累累,StatTrak™,921543,SG 553（StatTrak™） | 赛博之力,77,0.59,0.87,1.47,2024-06-17
SG 553,久经沙场,StatTrak™,45343,SG 553（StatTrak™） | 阿罗哈,624,0.57,0.94,1.65,2024-06-17
SG 553,破损不堪,StatTrak™,921501,SG 553（StatTrak™） | 赛博之力,81,0.57,0.94,1.65,2024-06-17
SG 553,破损不堪,StatTrak™,781696,SG 553（StatTrak™） | 锈蚀之刃,28,0.56,0.94,1.68,2024-06-17
SG 553,略有磨损,普通,45389,SG 553 | 阿罗哈,962,0.53,0.8,1.51,2024-06-17
SG 553,战痕累累,StatTrak™,39498,SG 553（StatTrak™） | 擎天神,24,0.52,0.94,1.81,2024-06-17
SG 553,战痕累累,StatTrak™,781593,SG 553（StatTrak™） | 锈蚀之刃,74,0.51,0.87,1.71,2024-06-17
SG 553,略有磨损,普通,781539,SG 553 | 锈蚀之刃,1005,0.79,0.73,0.92,2024-06-17
SG 553,战痕累累,StatTrak™,45436,SG 553（StatTrak™） | 阿罗哈,33,0.49,0.87,1.78,2024-06-17
SG 553,崭新出厂,纪念品,877125,SG 553（纪念品） | 白骨,1288,0.46,0.65,1.41,2024-06-17
SG 553,破损不堪,普通,763314,SG 553 | 危险距离,32,0.45,0.58,1.29,2024-06-17
SG 553,久经沙场,普通,36449,SG 553 | 擎天神,303,0.45,0.73,1.62,2024-06-17
SG 553,破损不堪,普通,36451,SG 553 | 擎天神,26,0.41,0.8,1.95,2024-06-17
SG 553,久经沙场,普通,763246,SG 553 | 危险距离,386,0.45,0.65,1.44,2024-06-17
SG 553,崭新出厂,普通,36517,SG 553 | 浪花穿孔,207,0.39,0.65,1.67,2024-06-17
SG 553,战痕累累,普通,763262,SG 553 | 危险距离,97,0.36,0.51,1.42,2024-06-17
SG 553,久经沙场,普通,45301,SG 553 | 阿罗哈,1648,0.29,0.58,2.0,2024-06-17
SG 553,战痕累累,普通,45300,SG 553 | 阿罗哈,69,0.28,0.51,1.82,2024-06-17
SG 553,久经沙场,普通,921439,SG 553 | 赛博之力,1219,0.28,0.51,1.82,2024-06-17
SG 553,战痕累累,普通,781550,SG 553 | 锈蚀之刃,95,0.27,0.44,1.63,2024-06-17
SG 553,破损不堪,普通,45302,SG 553 | 阿罗哈,105,0.27,0.51,1.89,2024-06-17
SG 553,战痕累累,普通,36447,SG 553 | 擎天神,23,0.27,0.51,1.89,2024-06-17
SG 553,久经沙场,普通,781546,SG 553 | 锈蚀之刃,1476,0.28,0.51,1.82,2024-06-17
SG 553,战痕累累,普通,921457,SG 553 | 赛博之力,294,0.21,0.44,2.1,2024-06-17
SG 553,破损不堪,普通,921433,SG 553 | 赛博之力,322,0.21,0.51,2.43,2024-06-17
SG 553,破损不堪,普通,781681,SG 553 | 锈蚀之刃,101,0.21,0.51,2.43,2024-06-17
SG 553,略有磨损,纪念品,877008,SG 553（纪念品） | 废墟丛生,493,0.2,0.36,1.8,2024-06-17
SG 553,破损不堪,纪念品,877022,SG 553（纪念品） | 废墟丛生,33,0.17,0.36,2.12,2024-06-17
SG 553,破损不堪,普通,36520,SG 553 | 浪花穿孔,652,0.16,0.22,1.38,2024-06-17
SG 553,崭新出厂,普通,36444,SG 553 | 军队之辉,1250,0.13,0.29,2.23,2024-06-17
SG 553,略有磨损,纪念品,877147,SG 553（纪念品） | 白骨,961,0.11,0.29,2.64,2024-06-17
SG 553,破损不堪,纪念品,877167,SG 553（纪念品） | 白骨,80,0.08,0.29,3.62,2024-06-17
SG 553,略有磨损,普通,36446,SG 553 | 军队之辉,778,0.08,0.29,3.62,2024-06-17
SG 553,战痕累累,纪念品,877152,SG 553（纪念品） | 白骨,97,0.06,0.29,4.83,2024-06-17
SG 553,久经沙场,纪念品,877133,SG 553（纪念品） | 白骨,3669,0.06,0.22,3.67,2024-06-17
SG 553,久经沙场,纪念品,877005,SG 553（纪念品） | 废墟丛生,854,0.06,0.29,4.83,2024-06-17
SG 553,久经沙场,普通,36445,SG 553 | 军队之辉,193,0.06,0.22,3.67,2024-06-17
SG 553,战痕累累,纪念品,877017,SG 553（纪念品） | 废墟丛生,164,0.05,0.22,4.4,2024-06-17
SG 553,略有磨损,普通,36519,SG 553 | 浪花穿孔,905,0.05,0.22,4.4,2024-06-17
SG 553,久经沙场,普通,36518,SG 553 | 浪花穿孔,1776,0.04,0.22,5.5,2024-06-17
SG 553,战痕累累,普通,36516,SG 553 | 浪花穿孔,277,0.03,0.22,7.33,2024-06-17
SG 553,战痕累累,普通,857535,SG 553 | 重金属摇滚,130,0.72,0.94,1.31,2024-06-17
SG 553,略有磨损,普通,36450,SG 553 | 擎天神,190,0.7,0.94,1.34,2024-06-17
SG 553,久经沙场,StatTrak™,781603,SG 553（StatTrak™） | 锈蚀之刃,640,0.69,0.87,1.26,2024-06-17
SG 553,略有磨损,普通,763303,SG 553 | 危险距离,376,0.69,0.94,1.36,2024-06-17
SG 553,破损不堪,普通,857630,SG 553 | 重金属摇滚,138,0.62,1.02,1.65,2024-06-17
SG 553,略有磨损,普通,921430,SG 553 | 赛博之力,1131,0.61,0.87,1.43,2024-06-17
SG 553,战痕累累,StatTrak™,921543,SG 553（StatTrak™） | 赛博之力,77,0.59,0.87,1.47,2024-06-17
SG 553,久经沙场,StatTrak™,45343,SG 553（StatTrak™） | 阿罗哈,624,0.57,0.94,1.65,2024-06-17
SG 553,破损不堪,StatTrak™,921501,SG 553（StatTrak™） | 赛博之力,81,0.57,0.94,1.65,2024-06-17
SG 553,破损不堪,StatTrak™,781696,SG 553（StatTrak™） | 锈蚀之刃,28,0.56,0.94,1.68,2024-06-17
SG 553,略有磨损,普通,45389,SG 553 | 阿罗哈,962,0.53,0.8,1.51,2024-06-17
SG 553,战痕累累,StatTrak™,39498,SG 553（StatTrak™） | 擎天神,24,0.52,0.94,1.81,2024-06-17
SG 553,战痕累累,StatTrak™,781593,SG 553（StatTrak™） | 锈蚀之刃,74,0.51,0.87,1.71,2024-06-17
SG 553,略有磨损,普通,781539,SG 553 | 锈蚀之刃,1005,0.79,0.73,0.92,2024-06-17
SG 553,战痕累累,StatTrak™,45436,SG 553（StatTrak™） | 阿罗哈,33,0.49,0.87,1.78,2024-06-17
SG 553,崭新出厂,纪念品,877125,SG 553（纪念品） | 白骨,1288,0.46,0.65,1.41,2024-06-17
SG 553,破损不堪,普通,763314,SG 553 | 危险距离,32,0.45,0.58,1.29,2024-06-17
SG 553,久经沙场,普通,36449,SG 553 | 擎天神,303,0.45,0.73,1.62,2024-06-17
SG 553,破损不堪,普通,36451,SG 553 | 擎天神,26,0.41,0.8,1.95,2024-06-17
SG 553,久经沙场,普通,763246,SG 553 | 危险距离,386,0.45,0.65,1.44,2024-06-17
SG 553,崭新出厂,普通,36517,SG 553 | 浪花穿孔,207,0.39,0.65,1.67,2024-06-17
SG 553,战痕累累,普通,763262,SG 553 | 危险距离,97,0.36,0.51,1.42,2024-06-17
SG 553,久经沙场,普通,45301,SG 553 | 阿罗哈,1648,0.29,0.58,2.0,2024-06-17
SG 553,战痕累累,普通,45300,SG 553 | 阿罗哈,69,0.28,0.51,1.82,2024-06-17
SG 553,久经沙场,普通,921439,SG 553 | 赛博之力,1219,0.28,0.51,1.82,2024-06-17
SG 553,战痕累累,普通,781550,SG 553 | 锈蚀之刃,95,0.27,0.44,1.63,2024-06-17
SG 553,破损不堪,普通,45302,SG 553 | 阿罗哈,105,0.27,0.51,1.89,2024-06-17
SG 553,战痕累累,普通,36447,SG 553 | 擎天神,23,0.27,0.51,1.89,2024-06-17
SG 553,久经沙场,普通,781546,SG 553 | 锈蚀之刃,1476,0.28,0.51,1.82,2024-06-17
SG 553,战痕累累,普通,921457,SG 553 | 赛博之力,294,0.21,0.44,2.1,2024-06-17
SG 553,破损不堪,普通,921433,SG 553 | 赛博之力,322,0.21,0.51,2.43,2024-06-17
SG 553,破损不堪,普通,781681,SG 553 | 锈蚀之刃,101,0.21,0.51,2.43,2024-06-17
SG 553,略有磨损,纪念品,877008,SG 553（纪念品） | 废墟丛生,493,0.2,0.36,1.8,2024-06-17
SG 553,破损不堪,纪念品,877022,SG 553（纪念品） | 废墟丛生,33,0.17,0.36,2.12,2024-06-17
SG 553,破损不堪,普通,36520,SG 553 | 浪花穿孔,652,0.16,0.22,1.38,2024-06-17
SG 553,崭新出厂,普通,36444,SG 553 | 军队之辉,1250,0.13,0.29,2.23,2024-06-17
SG 553,略有磨损,纪念品,877147,SG 553（纪念品） | 白骨,961,0.11,0.29,2.64,2024-06-17
SG 553,破损不堪,纪念品,877167,SG 553（纪念品） | 白骨,80,0.08,0.29,3.62,2024-06-17
SG 553,略有磨损,普通,36446,SG 553 | 军队之辉,778,0.08,0.29,3.62,2024-06-17
SG 553,战痕累累,纪念品,877152,SG 553（纪念品） | 白骨,97,0.06,0.29,4.83,2024-06-17
SG 553,久经沙场,纪念品,877133,SG 553（纪念品） | 白骨,3669,0.06,0.22,3.67,2024-06-17
SG 553,久经沙场,纪念品,877005,SG 553（纪念品） | 废墟丛生,854,0.06,0.29,4.83,2024-06-17
SG 553,久经沙场,普通,36445,SG 553 | 军队之辉,193,0.06,0.22,3.67,2024-06-17
SG 553,战痕累累,纪念品,877017,SG 553（纪念品） | 废墟丛生,164,0.05,0.22,4.4,2024-06-17
SG 553,略有磨损,普通,36519,SG 553 | 浪花穿孔,905,0.05,0.22,4.4,2024-06-17
SG 553,久经沙场,普通,36518,SG 553 | 浪花穿孔,1776,0.04,0.22,5.5,2024-06-17
SG 553,战痕累累,普通,36516,SG 553 | 浪花穿孔,277,0.03,0.22,7.33,2024-06-17
SG 553,崭新出厂,纪念品,779170,SG 553（纪念品） | 浪花穿孔,1,9998.5,1020.03,0.1,2024-06-20
SG 553,崭新出厂,纪念品,761588,SG 553（纪念品） | 意式拉力,12,9554,9745.6,1.02,2024-06-20
SG 553,战痕累累,纪念品,878682,SG 553（纪念品） | 玩命职场,1,4443.5,11622.87,2.62,2024-06-20
SG 553,崭新出厂,普通,871852,SG 553 | 玩命职场,42,1449.5,2598.15,1.79,2024-06-20
SG 553,略有磨损,纪念品,761342,SG 553（纪念品） | 意式拉力,79,1399.5,2911.09,2.08,2024-06-20
SG 553,略有磨损,普通,871827,SG 553 | 玩命职场,3,1318.5,5745.54,4.36,2024-06-20
SG 553,崭新出厂,纪念品,877072,SG 553（纪念品） | 玩命职场,34,999.5,1088.61,1.09,2024-06-20
SG 553,久经沙场,普通,871894,SG 553 | 玩命职场,8,999.49,1403.15,1.4,2024-06-20
SG 553,崭新出厂,普通,36453,SG 553 | 威吓者,39,999.29,1442.19,1.44,2024-06-20
SG 553,久经沙场,普通,36454,SG 553 | 威吓者,3,988.5,1474.41,1.49,2024-06-20
SG 553,破损不堪,普通,36456,SG 553 | 威吓者,1,959.5,2338.62,2.44,2024-06-20
SG 553,战痕累累,普通,36452,SG 553 | 威吓者,1,914.5,6542.55,7.15,2024-06-20
SG 553,略有磨损,普通,36455,SG 553 | 威吓者,27,899.5,1415.19,1.57,2024-06-20
SG 553,崭新出厂,StatTrak™,39527,SG 553（StatTrak™） | 致命紫罗兰,16,647.5,1087.16,1.68,2024-06-20
SG 553,崭新出厂,纪念品,37985,SG 553（纪念品） | 深蓝电镀处理,11,613,1050.07,1.71,2024-06-20
SG 553,崭新出厂,普通,762152,SG 553 | 意式拉力,709,601.5,783.8,1.3,2024-06-20
SG 553,略有磨损,纪念品,876954,SG 553（纪念品） | 玩命职场,25,578.5,1045.43,1.81,2024-06-20
SG 553,崭新出厂,StatTrak™,776707,SG 553（StatTrak™） | 四号栖息地,36,564.64,703.1,1.25,2024-06-20
SG 553,久经沙场,纪念品,761395,SG 553（纪念品） | 意式拉力,70,496.46,761.95,1.53,2024-06-20
SG 553,崭新出厂,纪念品,37988,SG 553（纪念品） | 大马士革钢,14,439,540.02,1.23,2024-06-20
SG 553,崭新出厂,StatTrak™,39532,SG 553（StatTrak™） | 浪花喷漆,3,385.18,725.74,1.88,2024-06-20
SG 553,久经沙场,纪念品,877218,SG 553（纪念品） | 玩命职场,35,384.5,587.63,1.53,2024-06-20
SG 553,破损不堪,纪念品,761396,SG 553（纪念品） | 意式拉力,36,314.9,454.24,1.44,2024-06-20
SG 553,崭新出厂,StatTrak™,39504,SG 553（StatTrak™） | 次时代,63,311.46,399.74,1.28,2024-06-20
SG 553,战痕累累,纪念品,761513,SG 553（纪念品） | 意式拉力,27,309.5,427.03,1.38,2024-06-20
SG 553,崭新出厂,普通,36492,SG 553 | 狂哮飓风,8,296.3,350.82,1.18,2024-06-20
SG 553,略有磨损,普通,835817,SG 553 | 蛊惑之色,14,287.5,449.67,1.56,2024-06-20
SG 553,崭新出厂,普通,835816,SG 553 | 蛊惑之色,280,266.29,371.43,1.39,2024-06-20
SG 553,略有磨损,StatTrak™,775470,SG 553（StatTrak™） | 四号栖息地,40,258.8,343.57,1.33,2024-06-20
SG 553,崭新出厂,普通,36507,SG 553 | 致命紫罗兰,29,256.88,350.82,1.37,2024-06-20
SG 553,崭新出厂,普通,775807,SG 553 | 四号栖息地,110,220.7,311.71,1.41,2024-06-20
SG 553,破损不堪,StatTrak™,39530,SG 553（StatTrak™） | 致命紫罗兰,11,217,202.55,0.93,2024-06-20
SG 553,略有磨损,普通,762217,SG 553 | 意式拉力,839,199.4,249.8,1.25,2024-06-20
SG 553,战痕累累,StatTrak™,39526,SG 553（StatTrak™） | 致命紫罗兰,10,188.5,202.63,1.07,2024-06-20
SG 553,破损不堪,纪念品,38004,SG 553（纪念品） | 浪花穿孔,8,186.5,139.2,0.75,2024-06-20
SG 553,略有磨损,StatTrak™,39529,SG 553（StatTrak™） | 致命紫罗兰,76,169.5,225.34,1.33,2024-06-20
SG 553,战痕累累,普通,871465,SG 553 | 沙漠之花,4,168.38,163.07,0.97,2024-06-20
SG 553,破损不堪,普通,36510,SG 553 | 致命紫罗兰,9,165.47,192.32,1.16,2024-06-20
SG 553,久经沙场,StatTrak™,39528,SG 553（StatTrak™） | 致命紫罗兰,47,161.85,204.59,1.26,2024-06-20
SG 553,战痕累累,普通,36506,SG 553 | 致命紫罗兰,10,160.98,204.88,1.27,2024-06-20
SG 553,略有磨损,普通,36509,SG 553 | 致命紫罗兰,74,159.89,217.65,1.36,2024-06-20
SG 553,久经沙场,普通,36508,SG 553 | 致命紫罗兰,47,156,204.8,1.31,2024-06-20
SG 553,略有磨损,纪念品,38003,SG 553（纪念品） | 浪花穿孔,10,144,165.61,1.15,2024-06-20
SG 553,崭新出厂,普通,871156,SG 553 | 沙漠之花,57,117.39,155.24,1.32,2024-06-20
SG 553,略有磨损,普通,871376,SG 553 | 沙漠之花,23,117.38,163.58,1.39,2024-06-20
SG 553,破损不堪,普通,871676,SG 553 | 沙漠之花,5,117,210.46,1.8,2024-06-20
SG 553,久经沙场,普通,871200,SG 553 | 沙漠之花,22,116,155.02,1.34,2024-06-20
SG 553,略有磨损,普通,36499,SG 553 | 旅行者皮革,7,112.99,85.78,0.76,2024-06-20
SG 553,略有磨损,普通,36494,SG 553 | 狂哮飓风,9,110.49,109.37,0.99,2024-06-20
SG 553,崭新出厂,普通,36497,SG 553 | 旅行者皮革,14,109,143.91,1.32,2024-06-20
SG 553,久经沙场,StatTrak™,775762,SG 553（StatTrak™） | 四号栖息地,60,105.39,153.2,1.45,2024-06-20
SG 553,略有磨损,普通,774978,SG 553 | 四号栖息地,136,105.3,157.85,1.5,2024-06-20
SG 553,崭新出厂,普通,36473,SG 553 | 鳄鱼网格,21,99.5,114.81,1.15,2024-06-20
SG 553,破损不堪,普通,36476,SG 553 | 鳄鱼网格,3,98.9,155.82,1.58,2024-06-20
SG 553,略有磨损,StatTrak™,43931,SG 553（StatTrak™） | 次时代,119,94.9,135.86,1.43,2024-06-20
SG 553,崭新出厂,普通,36512,SG 553 | 浪花喷漆,8,89.9,128.75,1.43,2024-06-20
SG 553,略有磨损,普通,36475,SG 553 | 鳄鱼网格,12,89.86,115.47,1.28,2024-06-20
SG 553,破损不堪,StatTrak™,775566,SG 553（StatTrak™） | 四号栖息地,12,86.31,89.05,1.03,2024-06-20
SG 553,久经沙场,普通,36474,SG 553 | 鳄鱼网格,15,85.7,108.5,1.27,2024-06-20
SG 553,崭新出厂,普通,36458,SG 553 | 次时代,155,84.9,125.19,1.47,2024-06-20
SG 553,久经沙场,普通,762216,SG 553 | 意式拉力,937,69.4,91.52,1.32,2024-06-20
SG 553,战痕累累,StatTrak™,776386,SG 553（StatTrak™） | 四号栖息地,12,68.89,85.2,1.24,2024-06-20
SG 553,略有磨损,纪念品,37990,SG 553（纪念品） | 大马士革钢,75,68.22,113.07,1.66,2024-06-20
SG 553,战痕累累,普通,36496,SG 553 | 旅行者皮革,1,63.67,79.83,1.25,2024-06-20
SG 553,破损不堪,普通,36495,SG 553 | 狂哮飓风,5,62.09,83.46,1.34,2024-06-20
SG 553,久经沙场,普通,36493,SG 553 | 狂哮飓风,13,60.72,79.83,1.31,2024-06-20
SG 553,崭新出厂,纪念品,37993,SG 553（纪念品） | 辐射警告,171,59.9,100.15,1.67,2024-06-20
SG 553,略有磨损,StatTrak™,39514,SG 553（StatTrak™） | 电子脉冲,208,59.4,82.01,1.38,2024-06-20
SG 553,久经沙场,普通,36498,SG 553 | 旅行者皮革,8,59.26,93.26,1.57,2024-06-20
SG 553,战痕累累,普通,36491,SG 553 | 狂哮飓风,3,57.9,86.15,1.49,2024-06-20
SG 553,破损不堪,普通,36500,SG 553 | 旅行者皮革,2,55.99,61.25,1.09,2024-06-20
SG 553,破损不堪,普通,36515,SG 553 | 浪花喷漆,9,55.93,75.19,1.34,2024-06-20
SG 553,略有磨损,普通,36514,SG 553 | 浪花喷漆,20,54.88,77.87,1.42,2024-06-20
SG 553,久经沙场,普通,775360,SG 553 | 四号栖息地,137,54.29,69.02,1.27,2024-06-20
SG 553,久经沙场,普通,36513,SG 553 | 浪花喷漆,32,52.32,68.22,1.3,2024-06-20
SG 553,崭新出厂,普通,775271,SG 553 | 路障,43,51.9,68.15,1.31,2024-06-20
SG 553,久经沙场,StatTrak™,39505,SG 553（StatTrak™） | 次时代,96,51.88,76.13,1.47,2024-06-20
SG 553,破损不堪,StatTrak™,39506,SG 553（StatTrak™） | 次时代,26,51.83,66.77,1.29,2024-06-20
SG 553,战痕累累,普通,36511,SG 553 | 浪花喷漆,12,51.78,73.59,1.42,2024-06-20
SG 553,久经沙场,纪念品,38002,SG 553（纪念品） | 浪花穿孔,28,50.21,67.2,1.34,2024-06-20
SG 553,略有磨损,StatTrak™,39533,SG 553（StatTrak™） | 浪花喷漆,45,49.65,65.32,1.32,2024-06-20
SG 553,略有磨损,普通,774856,SG 553 | 路障,23,48.49,58.49,1.21,2024-06-20
SG 553,崭新出厂,普通,774789,SG 553 | 红苹果,307,47.7,64.59,1.35,2024-06-20
SG 553,战痕累累,StatTrak™,39503,SG 553（StatTrak™） | 次时代,15,47.31,50.08,1.06,2024-06-20
SG 553,略有磨损,普通,36460,SG 553 | 次时代,310,45.8,64.88,1.42,2024-06-20
SG 553,战痕累累,纪念品,43991,SG 553（纪念品） | 浪花穿孔,9,44.94,96.6,2.15,2024-06-20
SG 553,崭新出厂,StatTrak™,779404,SG 553（StatTrak™） | 黯翼,104,44.59,65.32,1.46,2024-06-20
SG 553,略有磨损,普通,774699,SG 553 | 红苹果,196,44.56,57.04,1.28,2024-06-20
SG 553,战痕累累,普通,775230,SG 553 | 红苹果,9,43.79,61.91,1.41,2024-06-20
SG 553,破损不堪,普通,774962,SG 553 | 路障,16,43.78,40.21,0.92,2024-06-20
SG 553,破损不堪,普通,775854,SG 553 | 红苹果,5,43.41,79.76,1.84,2024-06-20
SG 553,久经沙场,普通,775175,SG 553 | 红苹果,75,42.9,57.12,1.33,2024-06-20
SG 553,破损不堪,普通,775364,SG 553 | 四号栖息地,40,42.38,61.54,1.45,2024-06-20
SG 553,战痕累累,普通,775531,SG 553 | 路障,10,42.3,49.86,1.18,2024-06-20
SG 553,破损不堪,StatTrak™,39534,SG 553（StatTrak™） | 浪花喷漆,10,41.99,52.98,1.26,2024-06-20
SG 553,战痕累累,StatTrak™,39531,SG 553（StatTrak™） | 浪花喷漆,4,41.9,47.17,1.13,2024-06-20
SG 553,久经沙场,普通,774703,SG 553 | 路障,26,41.55,56.03,1.35,2024-06-20
SG 553,久经沙场,StatTrak™,43932,SG 553（StatTrak™） | 浪花喷漆,48,38.99,55.74,1.43,2024-06-20
SG 553,崭新出厂,StatTrak™,39517,SG 553（StatTrak™） | 豹灯蛾,90,38.68,54.43,1.41,2024-06-20
SG 553,破损不堪,普通,36471,SG 553 | 辐射警告,3,37.58,32.66,0.87,2024-06-20
SG 553,战痕累累,普通,775783,SG 553 | 四号栖息地,52,34.49,45.36,1.32,2024-06-20
SG 553,破损不堪,普通,762153,SG 553 | 意式拉力,316,33.24,42.89,1.29,2024-06-20
SG 553,破损不堪,StatTrak™,39515,SG 553（StatTrak™） | 电子脉冲,20,33.13,28.96,0.87,2024-06-20
SG 553,崭新出厂,StatTrak™,39522,SG 553（StatTrak™） | 三巨头,89,29.35,42.09,1.43,2024-06-20
SG 553,久经沙场,普通,36459,SG 553 | 次时代,307,29.27,38.68,1.32,2024-06-20
SG 553,久经沙场,纪念品,37989,SG 553（纪念品） | 大马士革钢,106,28.05,45.72,1.63,2024-06-20
SG 553,久经沙场,StatTrak™,39513,SG 553（StatTrak™） | 电子脉冲,378,27.34,35.42,1.3,2024-06-20
SG 553,破损不堪,普通,36461,SG 553 | 次时代,49,26.66,35.71,1.34,2024-06-20
SG 553,略有磨损,普通,36484,SG 553 | 电子脉冲,454,26,37.01,1.42,2024-06-20
SG 553,战痕累累,StatTrak™,39512,SG 553（StatTrak™） | 电子脉冲,28,25.73,32.66,1.27,2024-06-20
SG 553,战痕累累,纪念品,37987,SG 553（纪念品） | 大马士革钢,42,25.57,48.19,1.88,2024-06-20
SG 553,崭新出厂,StatTrak™,900634,SG 553（StatTrak™） | 青龙,251,24.7,35.63,1.44,2024-06-20
SG 553,崭新出厂,StatTrak™,39508,SG 553（StatTrak™） | 幻影,190,22.1,29.39,1.33,2024-06-20
SG 553,战痕累累,普通,762252,SG 553 | 意式拉力,232,21.8,28.81,1.32,2024-06-20
SG 553,崭新出厂,纪念品,37998,SG 553（纪念品） | 鳄鱼网格,157,20.94,35.27,1.68,2024-06-20
SG 553,崭新出厂,普通,36468,SG 553 | 辐射警告,44,20.38,24.24,1.19,2024-06-20
SG 553,略有磨损,StatTrak™,39519,SG 553（StatTrak™） | 豹灯蛾,112,19.8,26.05,1.32,2024-06-20
SG 553,破损不堪,纪念品,37991,SG 553（纪念品） | 大马士革钢,84,19.67,31.21,1.59,2024-06-20
