M249,崭新出厂,纪念品,37707,M249（纪念品） | 鳄鱼网格,7,1199.5,3057.68,2.55,2024-06-17
M249,略有磨损,StatTrak™,900617,M249（StatTrak™） | 闹市区,193,11.8,16.26,1.38,2024-06-20
M249,久经沙场,普通,35132,M249 | 丛林 DDPAT,33,11.22,13.93,1.24,2024-06-20
M249,崭新出厂,普通,835708,M249 | 捕食者,17,10.77,14.81,1.38,2024-06-20
M249,略有磨损,StatTrak™,38763,M249（StatTrak™） | 岩浆,18,10.69,15.24,1.43,2024-06-20
M249,略有磨损,StatTrak™,775565,M249（StatTrak™） | 战隼,17,10.22,12.99,1.27,2024-06-20
M249,略有磨损,普通,35118,M249 | 翠绿箭毒蛙,119,9.9,14.01,1.42,2024-06-20
M249,崭新出厂,StatTrak™,38776,M249（StatTrak™） | 系统锁定,69,9.88,13.5,1.37,2024-06-20
M249,崭新出厂,普通,775273,M249 | 战隼,18,9.78,12.56,1.28,2024-06-20
M249,久经沙场,StatTrak™,38762,M249（StatTrak™） | 岩浆,17,9.67,11.47,1.19,2024-06-20
M249,崭新出厂,普通,773741,M249 | 阿兹特克,84,9.58,14.59,1.52,2024-06-20
M249,略有磨损,普通,35114,M249 | 对比涂装,28,9.58,13.72,1.43,2024-06-20
M249,破损不堪,StatTrak™,38764,M249（StatTrak™） | 岩浆,24,9.2,16.69,1.81,2024-06-20
M249,崭新出厂,普通,900466,M249 | 闹市区,690,9.15,12.19,1.33,2024-06-20
M249,崭新出厂,普通,35136,M249 | 岩浆,57,9.15,12.34,1.35,2024-06-20
M249,久经沙场,普通,35142,M249 | 星云十字军,180,9.11,11.68,1.28,2024-06-20
M249,崭新出厂,StatTrak™,857672,M249（StatTrak™） | O.S.I.P.R.,126,8.88,11.9,1.34,2024-06-20
M249,破损不堪,StatTrak™,773835,M249（StatTrak™） | 阿兹特克,17,8.39,15.24,1.82,2024-06-20
M249,战痕累累,StatTrak™,38760,M249（StatTrak™） | 岩浆,26,8.38,10.38,1.24,2024-06-20
M249,破损不堪,普通,35119,M249 | 翠绿箭毒蛙,21,7.99,10.96,1.37,2024-06-20
M249,久经沙场,普通,35117,M249 | 翠绿箭毒蛙,93,7.83,10.67,1.36,2024-06-20
M249,略有磨损,StatTrak™,835744,M249（StatTrak™） | 等高线,33,7.79,9.8,1.26,2024-06-20
M249,破损不堪,普通,35144,M249 | 星云十字军,65,7.5,9.29,1.24,2024-06-20
M249,略有磨损,普通,35138,M249 | 岩浆,33,7.23,8.64,1.2,2024-06-20
M249,破损不堪,普通,35139,M249 | 岩浆,26,7.02,8.13,1.16,2024-06-20
M249,破损不堪,StatTrak™,775933,M249（StatTrak™） | 战隼,23,6.97,10.16,1.46,2024-06-20
M249,崭新出厂,普通,835570,M249 | 等高线,23,6.89,8.93,1.3,2024-06-20
M249,破损不堪,普通,775733,M249 | 战隼,15,6.47,8.93,1.38,2024-06-20
M249,战痕累累,普通,35135,M249 | 岩浆,18,6.46,7.91,1.22,2024-06-20
M249,久经沙场,普通,35137,M249 | 岩浆,135,6.38,8.49,1.33,2024-06-20
M249,战痕累累,普通,35140,M249 | 星云十字军,67,6.35,7.77,1.22,2024-06-20
M249,久经沙场,StatTrak™,773661,M249（StatTrak™） | 阿兹特克,102,6.32,9.29,1.47,2024-06-20
M249,略有磨损,普通,835466,M249 | 等高线,83,5.98,7.18,1.2,2024-06-20
M249,略有磨损,普通,773656,M249 | 阿兹特克,133,5.78,8.13,1.41,2024-06-20
M249,略有磨损,StatTrak™,38778,M249（StatTrak™） | 系统锁定,87,5.51,7.18,1.3,2024-06-20
M249,崭新出厂,StatTrak™,38771,M249（StatTrak™） | 鬼影,129,5.49,7.48,1.36,2024-06-20
M249,战痕累累,StatTrak™,773739,M249（StatTrak™） | 阿兹特克,40,5.32,6.46,1.21,2024-06-20
M249,久经沙场,StatTrak™,900542,M249（StatTrak™） | 闹市区,302,5.11,6.89,1.35,2024-06-20
M249,略有磨损,普通,900489,M249 | 闹市区,1084,5.03,6.97,1.39,2024-06-20
M249,久经沙场,StatTrak™,775045,M249（StatTrak™） | 战隼,69,5.02,6.39,1.27,2024-06-20
M249,久经沙场,普通,835462,M249 | 等高线,57,4.96,9.8,1.98,2024-06-20
M249,战痕累累,StatTrak™,776167,M249（StatTrak™） | 战隼,13,4.95,6.24,1.26,2024-06-20
M249,破损不堪,StatTrak™,900642,M249（StatTrak™） | 闹市区,23,4.86,6.24,1.28,2024-06-20
M249,崭新出厂,纪念品,37702,M249（纪念品） | 对比涂装,56,4.75,6.82,1.44,2024-06-20
M249,久经沙场,普通,35113,M249 | 对比涂装,54,4.68,4.72,1.01,2024-06-20
M249,战痕累累,普通,835596,M249 | 等高线,41,4.64,6.1,1.31,2024-06-20
M249,略有磨损,StatTrak™,857572,M249（StatTrak™） | O.S.I.P.R.,107,4.32,6.17,1.43,2024-06-20
M249,破损不堪,普通,835476,M249 | 等高线,68,4.25,6.17,1.45,2024-06-20
M249,战痕累累,StatTrak™,900567,M249（StatTrak™） | 闹市区,58,4.19,5.37,1.28,2024-06-20
M249,略有磨损,普通,835571,M249 | 捕食者,250,4.09,5.3,1.3,2024-06-20
M249,略有磨损,普通,774991,M249 | 战隼,39,3.98,5.37,1.35,2024-06-20
M249,破损不堪,普通,773761,M249 | 阿兹特克,14,3.95,4.21,1.07,2024-06-20
M249,久经沙场,普通,773631,M249 | 阿兹特克,258,3.91,5.01,1.28,2024-06-20
M249,战痕累累,普通,835447,M249 | 捕食者,36,3.85,4.43,1.15,2024-06-20
M249,破损不堪,普通,835698,M249 | 捕食者,15,3.83,4.57,1.19,2024-06-20
M249,久经沙场,普通,835339,M249 | 捕食者,110,3.83,4.57,1.19,2024-06-20
M249,破损不堪,普通,35115,M249 | 对比涂装,42,3.77,3.85,1.02,2024-06-20
M249,战痕累累,普通,35111,M249 | 对比涂装,21,3.77,3.48,0.92,2024-06-20
M249,破损不堪,StatTrak™,835621,M249（StatTrak™） | 等高线,13,3.66,3.85,1.05,2024-06-20
M249,战痕累累,普通,773707,M249 | 阿兹特克,24,3.59,4.57,1.27,2024-06-20
M249,久经沙场,StatTrak™,835578,M249（StatTrak™） | 等高线,72,3.42,4.43,1.3,2024-06-20
M249,久经沙场,StatTrak™,38777,M249（StatTrak™） | 系统锁定,99,3.11,3.85,1.24,2024-06-20
M249,崭新出厂,普通,35156,M249 | 系统锁定,157,3.02,3.77,1.25,2024-06-20
M249,久经沙场,普通,900478,M249 | 闹市区,1858,2.79,3.77,1.35,2024-06-20
M249,破损不堪,StatTrak™,38779,M249（StatTrak™） | 系统锁定,18,2.71,3.92,1.45,2024-06-20
M249,战痕累累,StatTrak™,835833,M249（StatTrak™） | 等高线,20,2.57,3.63,1.41,2024-06-20
M249,破损不堪,普通,900538,M249 | 闹市区,129,2.56,3.41,1.33,2024-06-20
M249,战痕累累,普通,775048,M249 | 战隼,50,2.54,2.98,1.17,2024-06-20
M249,久经沙场,普通,775044,M249 | 战隼,104,2.54,3.34,1.31,2024-06-20
M249,略有磨损,StatTrak™,38773,M249（StatTrak™） | 鬼影,95,2.47,3.34,1.35,2024-06-20
M249,崭新出厂,普通,857528,M249 | O.S.I.P.R.,312,2.41,3.56,1.48,2024-06-20
M249,战痕累累,StatTrak™,38775,M249（StatTrak™） | 系统锁定,28,2.34,2.83,1.21,2024-06-20
M249,战痕累累,普通,900517,M249 | 闹市区,266,2.18,2.83,1.3,2024-06-20
M249,久经沙场,StatTrak™,857631,M249（StatTrak™） | O.S.I.P.R.,266,2.16,2.76,1.28,2024-06-20
M249,略有磨损,普通,35157,M249 | 系统锁定,184,1.87,2.47,1.32,2024-06-20
M249,破损不堪,StatTrak™,857655,M249（StatTrak™） | O.S.I.P.R.,31,1.84,2.69,1.46,2024-06-20
M249,战痕累累,StatTrak™,857685,M249（StatTrak™） | O.S.I.P.R.,30,1.82,2.61,1.43,2024-06-20
M249,崭新出厂,普通,35151,M249 | 鬼影,478,1.4,1.81,1.29,2024-06-20
M249,略有磨损,普通,857583,M249 | O.S.I.P.R.,275,1.25,1.74,1.39,2024-06-20
M249,破损不堪,StatTrak™,38774,M249（StatTrak™） | 鬼影,13,1.18,1.45,1.23,2024-06-20
M249,破损不堪,普通,35158,M249 | 系统锁定,17,1.16,1.74,1.5,2024-06-20
M249,久经沙场,普通,33843,M249 | 系统锁定,104,1.1,1.45,1.32,2024-06-20
M249,战痕累累,普通,35155,M249 | 系统锁定,30,1.09,1.23,1.13,2024-06-20
M249,战痕累累,StatTrak™,38770,M249（StatTrak™） | 鬼影,17,0.93,1.89,2.03,2024-06-20
M249,久经沙场,StatTrak™,38772,M249（StatTrak™） | 鬼影,288,0.91,1.23,1.35,2024-06-20
M249,崭新出厂,普通,927348,M249 | 淹没,113,0.89,1.09,1.22,2024-06-20
M249,战痕累累,普通,857523,M249 | O.S.I.P.R.,66,0.87,0.94,1.08,2024-06-20
M249,久经沙场,普通,857517,M249 | O.S.I.P.R.,390,0.73,1.02,1.4,2024-06-20
M249,崭新出厂,纪念品,876928,M249（纪念品） | 雪茄盒,280,0.7,0.94,1.34,2024-06-20
M249,破损不堪,普通,857664,M249 | O.S.I.P.R.,41,0.7,1.16,1.66,2024-06-20
M249,崭新出厂,纪念品,929078,M249（纪念品） | 淹没,97,0.68,0.8,1.18,2024-06-20
M249,略有磨损,普通,35153,M249 | 鬼影,261,0.64,0.87,1.36,2024-06-20
M249,崭新出厂,普通,35121,M249 | 鳄鱼网格,386,0.61,0.8,1.31,2024-06-20
M249,战痕累累,普通,35150,M249 | 鬼影,20,0.55,0.65,1.18,2024-06-20
M249,久经沙场,普通,35152,M249 | 鬼影,344,0.47,0.73,1.55,2024-06-20
M249,略有磨损,普通,35123,M249 | 鳄鱼网格,503,0.43,0.58,1.35,2024-06-20
M249,破损不堪,普通,927332,M249 | 淹没,58,0.41,0.8,1.95,2024-06-20
M249,破损不堪,普通,35154,M249 | 鬼影,29,0.41,0.73,1.78,2024-06-20
M249,破损不堪,纪念品,876975,M249（纪念品） | 雪茄盒,53,0.36,0.51,1.42,2024-06-20
M249,战痕累累,纪念品,876964,M249（纪念品） | 雪茄盒,48,0.34,0.58,1.71,2024-06-20
M249,破损不堪,普通,35124,M249 | 鳄鱼网格,43,0.32,0.51,1.59,2024-06-20
M249,略有磨损,普通,927315,M249 | 淹没,272,0.32,0.51,1.59,2024-06-20
M249,略有磨损,纪念品,876948,M249（纪念品） | 雪茄盒,164,0.31,0.58,1.87,2024-06-20
M249,久经沙场,普通,35122,M249 | 鳄鱼网格,428,0.31,0.51,1.65,2024-06-20
M249,战痕累累,普通,35120,M249 | 鳄鱼网格,49,0.29,0.51,1.76,2024-06-20
M249,久经沙场,普通,927285,M249 | 淹没,695,0.23,0.44,1.91,2024-06-20
M249,久经沙场,纪念品,876923,M249（纪念品） | 雪茄盒,453,0.21,0.51,2.43,2024-06-20
M249,战痕累累,普通,927325,M249 | 淹没,136,0.19,0.36,1.89,2024-06-20
M249,战痕累累,纪念品,877202,M249（纪念品） | 夜半棕榈,67,0.16,0.44,2.75,2024-06-20
M249,破损不堪,纪念品,877180,M249（纪念品） | 夜半棕榈,29,0.16,0.29,1.81,2024-06-20
M249,破损不堪,纪念品,929050,M249（纪念品） | 淹没,32,0.14,0.36,2.57,2024-06-20
M249,崭新出厂,纪念品,877138,M249（纪念品） | 夜半棕榈,234,0.14,0.44,3.14,2024-06-20
M249,略有磨损,纪念品,37704,M249（纪念品） | 对比涂装,406,0.11,0.36,3.27,2024-06-20
M249,久经沙场,纪念品,877159,M249（纪念品） | 夜半棕榈,700,0.09,0.29,3.22,2024-06-20
M249,略有磨损,纪念品,877161,M249（纪念品） | 夜半棕榈,156,0.08,0.29,3.62,2024-06-20
M249,战痕累累,纪念品,37701,M249（纪念品） | 对比涂装,231,0.04,0.22,5.5,2024-06-20
M249,略有磨损,纪念品,929040,M249（纪念品） | 淹没,193,0.03,0.22,7.33,2024-06-20
M249,战痕累累,纪念品,929027,M249（纪念品） | 淹没,123,0.03,0.22,7.33,2024-06-20
M249,破损不堪,纪念品,37705,M249（纪念品） | 对比涂装,167,0.03,0.22,7.33,2024-06-20
M249,久经沙场,纪念品,929025,M249（纪念品） | 淹没,558,0.02,0.22,11.0,2024-06-20
M249,久经沙场,纪念品,37703,M249（纪念品） | 对比涂装,1193,0.02,0.22,11.0,2024-06-20
M249,战痕累累,普通,927325,M249 | 淹没,136,0.19,0.36,1.89,2024-06-20
M249,战痕累累,纪念品,877202,M249（纪念品） | 夜半棕榈,67,0.16,0.44,2.75,2024-06-20
M249,破损不堪,纪念品,877180,M249（纪念品） | 夜半棕榈,29,0.16,0.29,1.81,2024-06-20
M249,破损不堪,纪念品,929050,M249（纪念品） | 淹没,32,0.14,0.36,2.57,2024-06-20
M249,崭新出厂,纪念品,877138,M249（纪念品） | 夜半棕榈,234,0.14,0.44,3.14,2024-06-20
M249,略有磨损,纪念品,37704,M249（纪念品） | 对比涂装,406,0.11,0.36,3.27,2024-06-20
M249,久经沙场,纪念品,877159,M249（纪念品） | 夜半棕榈,700,0.09,0.29,3.22,2024-06-20
M249,略有磨损,纪念品,877161,M249（纪念品） | 夜半棕榈,156,0.08,0.29,3.62,2024-06-20
M249,战痕累累,纪念品,37701,M249（纪念品） | 对比涂装,231,0.04,0.22,5.5,2024-06-20
M249,略有磨损,纪念品,929040,M249（纪念品） | 淹没,193,0.03,0.22,7.33,2024-06-20
M249,战痕累累,纪念品,929027,M249（纪念品） | 淹没,123,0.03,0.22,7.33,2024-06-20
M249,破损不堪,纪念品,37705,M249（纪念品） | 对比涂装,167,0.03,0.22,7.33,2024-06-20
M249,久经沙场,纪念品,929025,M249（纪念品） | 淹没,558,0.02,0.22,11.0,2024-06-20
M249,久经沙场,纪念品,37703,M249（纪念品） | 对比涂装,1193,0.02,0.22,11.0,2024-06-20
M249,战痕累累,普通,927325,M249 | 淹没,136,0.19,0.36,1.89,2024-06-20
M249,战痕累累,纪念品,877202,M249（纪念品） | 夜半棕榈,67,0.16,0.44,2.75,2024-06-20
M249,破损不堪,纪念品,877180,M249（纪念品） | 夜半棕榈,29,0.16,0.29,1.81,2024-06-20
M249,破损不堪,纪念品,929050,M249（纪念品） | 淹没,32,0.14,0.36,2.57,2024-06-20
M249,崭新出厂,纪念品,877138,M249（纪念品） | 夜半棕榈,234,0.14,0.44,3.14,2024-06-20
M249,略有磨损,纪念品,37704,M249（纪念品） | 对比涂装,406,0.11,0.36,3.27,2024-06-20
M249,久经沙场,纪念品,877159,M249（纪念品） | 夜半棕榈,700,0.09,0.29,3.22,2024-06-20
M249,略有磨损,纪念品,877161,M249（纪念品） | 夜半棕榈,156,0.08,0.29,3.62,2024-06-20
M249,战痕累累,纪念品,37701,M249（纪念品） | 对比涂装,231,0.04,0.22,5.5,2024-06-20
M249,略有磨损,纪念品,929040,M249（纪念品） | 淹没,193,0.03,0.22,7.33,2024-06-20
M249,战痕累累,纪念品,929027,M249（纪念品） | 淹没,123,0.03,0.22,7.33,2024-06-20
M249,破损不堪,纪念品,37705,M249（纪念品） | 对比涂装,167,0.03,0.22,7.33,2024-06-20
M249,久经沙场,纪念品,929025,M249（纪念品） | 淹没,558,0.02,0.22,11.0,2024-06-20
M249,久经沙场,纪念品,37703,M249（纪念品） | 对比涂装,1193,0.02,0.22,11.0,2024-06-20
M249,战痕累累,普通,927325,M249 | 淹没,136,0.19,0.36,1.89,2024-06-20
M249,战痕累累,纪念品,877202,M249（纪念品） | 夜半棕榈,67,0.16,0.44,2.75,2024-06-20
M249,破损不堪,纪念品,877180,M249（纪念品） | 夜半棕榈,29,0.16,0.29,1.81,2024-06-20
M249,破损不堪,纪念品,929050,M249（纪念品） | 淹没,32,0.14,0.36,2.57,2024-06-20
M249,崭新出厂,纪念品,877138,M249（纪念品） | 夜半棕榈,234,0.14,0.44,3.14,2024-06-20
M249,略有磨损,纪念品,37704,M249（纪念品） | 对比涂装,406,0.11,0.36,3.27,2024-06-20
M249,久经沙场,纪念品,877159,M249（纪念品） | 夜半棕榈,700,0.09,0.29,3.22,2024-06-20
M249,略有磨损,纪念品,877161,M249（纪念品） | 夜半棕榈,156,0.08,0.29,3.62,2024-06-20
M249,战痕累累,纪念品,37701,M249（纪念品） | 对比涂装,231,0.04,0.22,5.5,2024-06-20
M249,略有磨损,纪念品,929040,M249（纪念品） | 淹没,193,0.03,0.22,7.33,2024-06-20
M249,战痕累累,纪念品,929027,M249（纪念品） | 淹没,123,0.03,0.22,7.33,2024-06-20
M249,破损不堪,纪念品,37705,M249（纪念品） | 对比涂装,167,0.03,0.22,7.33,2024-06-20
M249,久经沙场,纪念品,929025,M249（纪念品） | 淹没,558,0.02,0.22,11.0,2024-06-20
M249,久经沙场,纪念品,37703,M249（纪念品） | 对比涂装,1193,0.02,0.22,11.0,2024-06-20
