R8 左轮手枪,崭新出厂,纪念品,43911,R8 左轮手枪（纪念品） | 渐变琥珀,10,919.5,2878.41,3.13,2024-06-17
R8 左轮手枪,久经沙场,纪念品,877009,R8 左轮手枪（纪念品） | 噩梦之夜,911,0.04,0.22,5.5,2024-06-17
R8 左轮手枪,破损不堪,普通,36334,R8 左轮手枪 | 骸骨外罩,101,0.05,0.22,4.4,2024-06-17
R8 左轮手枪,久经沙场,纪念品,877121,R8 左轮手枪（纪念品） | 沙漠伪装,1783,0.03,0.22,7.33,2024-06-17
R8 左轮手枪,破损不堪,纪念品,877028,R8 左轮手枪（纪念品） | 噩梦之夜,103,0.03,0.22,7.33,2024-06-17
R8 左轮手枪,战痕累累,纪念品,877045,R8 左轮手枪（纪念品） | 噩梦之夜,226,0.02,0.22,11.0,2024-06-17
R8 左轮手枪,破损不堪,普通,45299,R8 左轮手枪 | 稳,180,0.21,0.44,2.1,2024-06-17
R8 左轮手枪,久经沙场,普通,927309,R8 左轮手枪 | 镶嵌装饰,850,0.22,0.44,2.0,2024-06-17
R8 左轮手枪,略有磨损,纪念品,929028,R8 左轮手枪（纪念品） | 镶嵌装饰,331,0.18,0.36,2.0,2024-06-17
R8 左轮手枪,战痕累累,普通,927293,R8 左轮手枪 | 镶嵌装饰,179,0.18,0.44,2.44,2024-06-17
R8 左轮手枪,略有磨损,纪念品,877021,R8 左轮手枪（纪念品） | 噩梦之夜,430,0.11,0.29,2.64,2024-06-17
R8 左轮手枪,战痕累累,纪念品,877148,R8 左轮手枪（纪念品） | 沙漠伪装,214,0.1,0.22,2.2,2024-06-17
R8 左轮手枪,久经沙场,纪念品,929015,R8 左轮手枪（纪念品） | 镶嵌装饰,557,0.09,0.29,3.22,2024-06-17
R8 左轮手枪,略有磨损,普通,36333,R8 左轮手枪 | 骸骨外罩,214,0.07,0.29,4.14,2024-06-17
R8 左轮手枪,战痕累累,普通,36330,R8 左轮手枪 | 骸骨外罩,197,0.07,0.22,3.14,2024-06-17
R8 左轮手枪,破损不堪,纪念品,877156,R8 左轮手枪（纪念品） | 沙漠伪装,94,0.06,0.22,3.67,2024-06-17
R8 左轮手枪,久经沙场,普通,36332,R8 左轮手枪 | 骸骨外罩,626,0.06,0.22,3.67,2024-06-17
R8 左轮手枪,略有磨损,纪念品,877134,R8 左轮手枪（纪念品） | 沙漠伪装,1080,0.05,0.22,4.4,2024-06-17
R8 左轮手枪,战痕累累,纪念品,929038,R8 左轮手枪（纪念品） | 镶嵌装饰,102,0.04,0.29,7.25,2024-06-17
R8 左轮手枪,久经沙场,纪念品,877009,R8 左轮手枪（纪念品） | 噩梦之夜,911,0.04,0.22,5.5,2024-06-17
R8 左轮手枪,破损不堪,普通,36334,R8 左轮手枪 | 骸骨外罩,101,0.05,0.22,4.4,2024-06-17
R8 左轮手枪,久经沙场,纪念品,877121,R8 左轮手枪（纪念品） | 沙漠伪装,1783,0.03,0.22,7.33,2024-06-17
R8 左轮手枪,破损不堪,纪念品,877028,R8 左轮手枪（纪念品） | 噩梦之夜,103,0.03,0.22,7.33,2024-06-17
R8 左轮手枪,战痕累累,纪念品,877045,R8 左轮手枪（纪念品） | 噩梦之夜,226,0.02,0.22,11.0,2024-06-17
R8 左轮手枪,崭新出厂,纪念品,43911,R8 左轮手枪（纪念品） | 渐变琥珀,12,913.5,2879.45,3.15,2024-06-20
R8 左轮手枪,略有磨损,纪念品,37967,R8 左轮手枪（纪念品） | 渐变琥珀,9,479,484.14,1.01,2024-06-20
R8 左轮手枪,崭新出厂,StatTrak™,39429,R8 左轮手枪（StatTrak™） | 渐变之色,69,421.5,615.65,1.46,2024-06-20
R8 左轮手枪,破损不堪,StatTrak™,39432,R8 左轮手枪（StatTrak™） | 渐变之色,4,299.49,359.82,1.2,2024-06-20
R8 左轮手枪,久经沙场,纪念品,37966,R8 左轮手枪（纪念品） | 渐变琥珀,11,279.5,425.14,1.52,2024-06-20
R8 左轮手枪,略有磨损,StatTrak™,39431,R8 左轮手枪（StatTrak™） | 渐变之色,70,210.5,310.25,1.47,2024-06-20
R8 左轮手枪,崭新出厂,StatTrak™,39434,R8 左轮手枪（StatTrak™） | 美洲驼炮,18,187.49,228.46,1.22,2024-06-20
R8 左轮手枪,久经沙场,StatTrak™,39430,R8 左轮手枪（StatTrak™） | 渐变之色,34,174.5,240.95,1.38,2024-06-20
R8 左轮手枪,崭新出厂,StatTrak™,39425,R8 左轮手枪（StatTrak™） | 深红之网,53,145.5,190.36,1.31,2024-06-20
R8 左轮手枪,崭新出厂,普通,36340,R8 左轮手枪 | 渐变之色,502,92,121.05,1.32,2024-06-20
R8 左轮手枪,崭新出厂,StatTrak™,39439,R8 左轮手枪（StatTrak™） | 重新启动,95,83.75,123.3,1.47,2024-06-20
R8 左轮手枪,略有磨损,StatTrak™,39436,R8 左轮手枪（StatTrak™） | 美洲驼炮,84,65.2,91.95,1.41,2024-06-20
R8 左轮手枪,崭新出厂,普通,36345,R8 左轮手枪 | 美洲驼炮,92,64.03,100.15,1.56,2024-06-20
R8 左轮手枪,略有磨损,普通,36342,R8 左轮手枪 | 渐变之色,622,47.6,63.79,1.34,2024-06-20
R8 左轮手枪,崭新出厂,StatTrak™,776041,R8 左轮手枪（StatTrak™） | 记忆碎片,28,43.89,56.03,1.28,2024-06-20
R8 左轮手枪,破损不堪,普通,36343,R8 左轮手枪 | 渐变之色,13,43.86,56.39,1.29,2024-06-20
R8 左轮手枪,崭新出厂,普通,835986,R8 左轮手枪 | 噩梦之夜,17,43.7,51.45,1.18,2024-06-20
R8 左轮手枪,崭新出厂,纪念品,761472,R8 左轮手枪（纪念品） | 氮化处理,23,39.77,63.79,1.6,2024-06-20
R8 左轮手枪,崭新出厂,普通,776075,R8 左轮手枪 | 水都泛波,17,34.58,52.33,1.51,2024-06-20
R8 左轮手枪,崭新出厂,StatTrak™,900647,R8 左轮手枪（StatTrak™） | 疯狂老八,114,33.9,50.29,1.48,2024-06-20
R8 左轮手枪,久经沙场,普通,36341,R8 左轮手枪 | 渐变之色,397,32.95,45.65,1.39,2024-06-20
R8 左轮手枪,久经沙场,StatTrak™,39435,R8 左轮手枪（StatTrak™） | 美洲驼炮,79,30.66,41.8,1.36,2024-06-20
R8 左轮手枪,略有磨损,普通,36347,R8 左轮手枪 | 美洲驼炮,103,30.59,43.18,1.41,2024-06-20
R8 左轮手枪,破损不堪,普通,835796,R8 左轮手枪 | 凤凰手迹,4,29.9,27.36,0.92,2024-06-20
R8 左轮手枪,破损不堪,StatTrak™,39437,R8 左轮手枪（StatTrak™） | 美洲驼炮,9,28.12,47.9,1.7,2024-06-20
R8 左轮手枪,崭新出厂,普通,36336,R8 左轮手枪 | 深红之网,135,27.07,36.0,1.33,2024-06-20
R8 左轮手枪,略有磨损,StatTrak™,39441,R8 左轮手枪（StatTrak™） | 重新启动,182,26.9,36.07,1.34,2024-06-20
R8 左轮手枪,崭新出厂,StatTrak™,921608,R8 左轮手枪（StatTrak™） | 蕉农炮,94,26.35,37.01,1.4,2024-06-20
R8 左轮手枪,崭新出厂,普通,835458,R8 左轮手枪 | 凤凰手迹,105,24.29,32.22,1.33,2024-06-20
R8 左轮手枪,战痕累累,StatTrak™,39433,R8 左轮手枪（StatTrak™） | 美洲驼炮,22,23.66,35.05,1.48,2024-06-20
R8 左轮手枪,久经沙场,普通,835389,R8 左轮手枪 | 凤凰手迹,42,22.05,28.59,1.3,2024-06-20
R8 左轮手枪,略有磨损,普通,835432,R8 左轮手枪 | 凤凰手迹,65,21.5,30.05,1.4,2024-06-20
R8 左轮手枪,战痕累累,普通,835371,R8 左轮手枪 | 凤凰手迹,12,21.13,33.67,1.59,2024-06-20
R8 左轮手枪,崭新出厂,普通,36350,R8 左轮手枪 | 重新启动,257,18.68,26.92,1.44,2024-06-20
R8 左轮手枪,久经沙场,StatTrak™,769195,R8 左轮手枪（StatTrak™） | 头骨粉碎者,56,18.2,23.59,1.3,2024-06-20
R8 左轮手枪,久经沙场,普通,36346,R8 左轮手枪 | 美洲驼炮,165,17.67,23.37,1.32,2024-06-20
R8 左轮手枪,破损不堪,StatTrak™,769434,R8 左轮手枪（StatTrak™） | 头骨粉碎者,18,15.96,18.8,1.18,2024-06-20
R8 左轮手枪,破损不堪,普通,36348,R8 左轮手枪 | 美洲驼炮,19,15,19.59,1.31,2024-06-20
R8 左轮手枪,战痕累累,StatTrak™,769264,R8 左轮手枪（StatTrak™） | 头骨粉碎者,11,14.67,16.47,1.12,2024-06-20
R8 左轮手枪,战痕累累,普通,36344,R8 左轮手枪 | 美洲驼炮,52,14.63,17.56,1.2,2024-06-20
R8 左轮手枪,略有磨损,普通,774959,R8 左轮手枪 | 水都泛波,30,12.9,17.27,1.34,2024-06-20
R8 左轮手枪,略有磨损,StatTrak™,776025,R8 左轮手枪（StatTrak™） | 记忆碎片,99,12.37,19.38,1.57,2024-06-20
R8 左轮手枪,崭新出厂,StatTrak™,857699,R8 左轮手枪（StatTrak™） | 废物王,58,12.27,17.05,1.39,2024-06-20
R8 左轮手枪,略有磨损,StatTrak™,900570,R8 左轮手枪（StatTrak™） | 疯狂老八,182,11.49,15.97,1.39,2024-06-20
R8 左轮手枪,崭新出厂,普通,900616,R8 左轮手枪 | 疯狂老八,301,10.54,14.66,1.39,2024-06-20
R8 左轮手枪,崭新出厂,普通,775179,R8 左轮手枪 | 记忆碎片,44,10.16,13.43,1.32,2024-06-20
R8 左轮手枪,略有磨损,StatTrak™,39427,R8 左轮手枪（StatTrak™） | 深红之网,333,9.9,13.43,1.36,2024-06-20
R8 左轮手枪,久经沙场,StatTrak™,39440,R8 左轮手枪（StatTrak™） | 重新启动,258,9.9,13.64,1.38,2024-06-20
R8 左轮手枪,略有磨损,普通,871645,R8 左轮手枪 | 炽烈之炎,150,9.86,13.14,1.33,2024-06-20
R8 左轮手枪,久经沙场,普通,774874,R8 左轮手枪 | 水都泛波,58,9.84,11.76,1.2,2024-06-20
R8 左轮手枪,崭新出厂,普通,921533,R8 左轮手枪 | 蕉农炮,295,9.66,13.64,1.41,2024-06-20
R8 左轮手枪,破损不堪,StatTrak™,776105,R8 左轮手枪（StatTrak™） | 记忆碎片,8,9.52,11.18,1.17,2024-06-20
R8 左轮手枪,崭新出厂,普通,871112,R8 左轮手枪 | 炽烈之炎,2234,9.49,12.48,1.32,2024-06-20
R8 左轮手枪,久经沙场,普通,769197,R8 左轮手枪 | 头骨粉碎者,143,9.05,12.34,1.36,2024-06-20
R8 左轮手枪,破损不堪,普通,775512,R8 左轮手枪 | 水都泛波,3,8.99,13.06,1.45,2024-06-20
R8 左轮手枪,战痕累累,普通,775275,R8 左轮手枪 | 水都泛波,17,8.73,11.39,1.3,2024-06-20
R8 左轮手枪,略有磨损,普通,36352,R8 左轮手枪 | 重新启动,320,7.92,10.02,1.27,2024-06-20
R8 左轮手枪,略有磨损,StatTrak™,921585,R8 左轮手枪（StatTrak™） | 蕉农炮,242,7.82,10.96,1.4,2024-06-20
R8 左轮手枪,崭新出厂,StatTrak™,759312,R8 左轮手枪（StatTrak™） | 生存主义者,56,7.47,10.02,1.34,2024-06-20
R8 左轮手枪,崭新出厂,StatTrak™,45338,R8 左轮手枪（StatTrak™） | 稳,118,6.99,9.29,1.33,2024-06-20
R8 左轮手枪,破损不堪,普通,769421,R8 左轮手枪 | 头骨粉碎者,92,6.48,9.14,1.41,2024-06-20
R8 左轮手枪,崭新出厂,纪念品,877073,R8 左轮手枪（纪念品） | 噩梦之夜,50,6.27,8.93,1.42,2024-06-20
R8 左轮手枪,破损不堪,StatTrak™,39442,R8 左轮手枪（StatTrak™） | 重新启动,82,6.16,8.93,1.45,2024-06-20
R8 左轮手枪,战痕累累,StatTrak™,775831,R8 左轮手枪（StatTrak™） | 记忆碎片,29,5.99,7.69,1.28,2024-06-20
R8 左轮手枪,破损不堪,普通,36329,R8 左轮手枪 | 渐变琥珀,33,5.84,7.55,1.29,2024-06-20
R8 左轮手枪,崭新出厂,普通,871082,R8 左轮手枪 | 沙漠伪装,194,5.79,7.11,1.23,2024-06-20
R8 左轮手枪,久经沙场,StatTrak™,900605,R8 左轮手枪（StatTrak™） | 疯狂老八,346,5.7,7.33,1.29,2024-06-20
R8 左轮手枪,战痕累累,普通,769142,R8 左轮手枪 | 头骨粉碎者,176,5.59,7.48,1.34,2024-06-20
R8 左轮手枪,破损不堪,普通,871301,R8 左轮手枪 | 沙漠伪装,30,5.55,6.68,1.2,2024-06-20
R8 左轮手枪,久经沙场,StatTrak™,774992,R8 左轮手枪（StatTrak™） | 记忆碎片,75,5.49,7.48,1.36,2024-06-20
R8 左轮手枪,略有磨损,普通,871078,R8 左轮手枪 | 沙漠伪装,208,5.25,6.75,1.29,2024-06-20
R8 左轮手枪,战痕累累,普通,871280,R8 左轮手枪 | 沙漠伪装,29,5.13,5.95,1.16,2024-06-20
R8 左轮手枪,久经沙场,普通,871068,R8 左轮手枪 | 沙漠伪装,110,5.13,6.75,1.32,2024-06-20
R8 左轮手枪,略有磨损,普通,835652,R8 左轮手枪 | 噩梦之夜,73,4.98,5.59,1.12,2024-06-20
R8 左轮手枪,略有磨损,普通,900527,R8 左轮手枪 | 疯狂老八,1134,4.95,6.82,1.38,2024-06-20
R8 左轮手枪,战痕累累,StatTrak™,39438,R8 左轮手枪（StatTrak™） | 重新启动,69,4.83,6.82,1.41,2024-06-20
R8 左轮手枪,略有磨损,普通,775099,R8 左轮手枪 | 记忆碎片,78,4.65,6.39,1.37,2024-06-20
R8 左轮手枪,破损不堪,普通,775997,R8 左轮手枪 | 记忆碎片,24,4.63,7.26,1.57,2024-06-20
R8 左轮手枪,崭新出厂,StatTrak™,779234,R8 左轮手枪（StatTrak™） | 骸骨锻造,93,4.49,5.81,1.29,2024-06-20
R8 左轮手枪,战痕累累,普通,835566,R8 左轮手枪 | 噩梦之夜,27,4.45,5.08,1.14,2024-06-20
R8 左轮手枪,破损不堪,普通,835392,R8 左轮手枪 | 噩梦之夜,14,4.28,5.08,1.19,2024-06-20
R8 左轮手枪,略有磨损,StatTrak™,857563,R8 左轮手枪（StatTrak™） | 废物王,135,4.27,5.81,1.36,2024-06-20
R8 左轮手枪,破损不堪,StatTrak™,900602,R8 左轮手枪（StatTrak™） | 疯狂老八,143,4.17,6.24,1.5,2024-06-20
R8 左轮手枪,久经沙场,普通,835363,R8 左轮手枪 | 噩梦之夜,84,4.11,5.08,1.24,2024-06-20
R8 左轮手枪,崭新出厂,普通,36326,R8 左轮手枪 | 渐变琥珀,1795,4.09,5.59,1.37,2024-06-20
R8 左轮手枪,战痕累累,StatTrak™,900624,R8 左轮手枪（StatTrak™） | 疯狂老八,130,4.03,5.81,1.44,2024-06-20
R8 左轮手枪,略有磨损,普通,921423,R8 左轮手枪 | 蕉农炮,675,3.99,5.44,1.36,2024-06-20
R8 左轮手枪,略有磨损,StatTrak™,759427,R8 左轮手枪（StatTrak™） | 生存主义者,112,3.91,5.08,1.3,2024-06-20
R8 左轮手枪,久经沙场,普通,36351,R8 左轮手枪 | 重新启动,423,3.87,5.23,1.35,2024-06-20
R8 左轮手枪,久经沙场,普通,774988,R8 左轮手枪 | 记忆碎片,114,3.2,3.63,1.13,2024-06-20
R8 左轮手枪,久经沙场,StatTrak™,921590,R8 左轮手枪（StatTrak™） | 蕉农炮,253,3.16,4.14,1.31,2024-06-20
R8 左轮手枪,略有磨损,普通,36328,R8 左轮手枪 | 渐变琥珀,915,3.09,4.14,1.34,2024-06-20
R8 左轮手枪,崭新出厂,普通,857669,R8 左轮手枪 | 废物王,207,3.06,3.85,1.26,2024-06-20
R8 左轮手枪,久经沙场,普通,36327,R8 左轮手枪 | 渐变琥珀,530,3.02,3.99,1.32,2024-06-20
R8 左轮手枪,久经沙场,普通,900534,R8 左轮手枪 | 疯狂老八,1719,2.83,3.7,1.31,2024-06-20
R8 左轮手枪,破损不堪,StatTrak™,921599,R8 左轮手枪（StatTrak™） | 蕉农炮,84,2.77,3.63,1.31,2024-06-20
R8 左轮手枪,战痕累累,普通,775900,R8 左轮手枪 | 记忆碎片,56,2.72,3.92,1.44,2024-06-20
R8 左轮手枪,破损不堪,普通,36353,R8 左轮手枪 | 重新启动,84,2.61,3.34,1.28,2024-06-20
R8 左轮手枪,破损不堪,普通,900571,R8 左轮手枪 | 疯狂老八,347,2.51,3.34,1.33,2024-06-20
R8 左轮手枪,崭新出厂,普通,759272,R8 左轮手枪 | 生存主义者,85,2.41,3.34,1.39,2024-06-20
R8 左轮手枪,战痕累累,普通,36349,R8 左轮手枪 | 重新启动,84,2.4,3.05,1.27,2024-06-20
R8 左轮手枪,战痕累累,StatTrak™,921595,R8 左轮手枪（StatTrak™） | 蕉农炮,173,2.32,3.34,1.44,2024-06-20
R8 左轮手枪,久经沙场,StatTrak™,857633,R8 左轮手枪（StatTrak™） | 废物王,211,2.25,2.9,1.29,2024-06-20
R8 左轮手枪,战痕累累,普通,900498,R8 左轮手枪 | 疯狂老八,459,2.01,2.61,1.3,2024-06-20
R8 左轮手枪,久经沙场,StatTrak™,39426,R8 左轮手枪（StatTrak™） | 深红之网,278,1.99,2.69,1.35,2024-06-20
R8 左轮手枪,略有磨损,普通,36338,R8 左轮手枪 | 深红之网,1002,1.94,2.61,1.35,2024-06-20
R8 左轮手枪,破损不堪,StatTrak™,39428,R8 左轮手枪（StatTrak™） | 深红之网,31,1.85,2.47,1.34,2024-06-20
R8 左轮手枪,略有磨损,StatTrak™,779304,R8 左轮手枪（StatTrak™） | 骸骨锻造,105,1.83,2.54,1.39,2024-06-20
R8 左轮手枪,久经沙场,StatTrak™,759313,R8 左轮手枪（StatTrak™） | 生存主义者,109,1.81,2.18,1.2,2024-06-20
R8 左轮手枪,战痕累累,StatTrak™,39424,R8 左轮手枪（StatTrak™） | 深红之网,106,1.81,1.89,1.04,2024-06-20
R8 左轮手枪,略有磨损,纪念品,761344,R8 左轮手枪（纪念品） | 氮化处理,186,1.79,2.83,1.58,2024-06-20
R8 左轮手枪,久经沙场,普通,921511,R8 左轮手枪 | 蕉农炮,1363,1.79,2.32,1.3,2024-06-20
R8 左轮手枪,破损不堪,StatTrak™,857596,R8 左轮手枪（StatTrak™） | 废物王,154,1.76,2.54,1.44,2024-06-20
R8 左轮手枪,战痕累累,StatTrak™,857597,R8 左轮手枪（StatTrak™） | 废物王,131,1.75,2.25,1.29,2024-06-20
R8 左轮手枪,破损不堪,StatTrak™,759380,R8 左轮手枪（StatTrak™） | 生存主义者,19,1.66,2.1,1.27,2024-06-20
R8 左轮手枪,崭新出厂,普通,45296,R8 左轮手枪 | 稳,268,1.64,2.18,1.33,2024-06-20
R8 左轮手枪,破损不堪,普通,921516,R8 左轮手枪 | 蕉农炮,495,1.63,2.03,1.25,2024-06-20
R8 左轮手枪,崭新出厂,普通,762236,R8 左轮手枪 | 氮化处理,151,1.51,1.96,1.3,2024-06-20
R8 左轮手枪,略有磨损,普通,759193,R8 左轮手枪 | 生存主义者,127,1.45,1.96,1.35,2024-06-20
R8 左轮手枪,崭新出厂,纪念品,929030,R8 左轮手枪（纪念品） | 镶嵌装饰,154,1.43,1.89,1.32,2024-06-20
R8 左轮手枪,战痕累累,普通,921509,R8 左轮手枪 | 蕉农炮,630,1.39,1.89,1.36,2024-06-20
R8 左轮手枪,略有磨损,StatTrak™,45340,R8 左轮手枪（StatTrak™） | 稳,258,1.38,2.03,1.47,2024-06-20
R8 左轮手枪,崭新出厂,普通,779252,R8 左轮手枪 | 骸骨锻造,190,1.36,1.74,1.28,2024-06-20
R8 左轮手枪,破损不堪,普通,759362,R8 左轮手枪 | 生存主义者,50,1.26,1.67,1.33,2024-06-20
R8 左轮手枪,战痕累累,StatTrak™,759222,R8 左轮手枪（StatTrak™） | 生存主义者,37,1.22,1.67,1.37,2024-06-20
R8 左轮手枪,略有磨损,普通,857582,R8 左轮手枪 | 废物王,316,1.21,1.74,1.44,2024-06-20
R8 左轮手枪,破损不堪,StatTrak™,779361,R8 左轮手枪（StatTrak™） | 骸骨锻造,26,1.11,1.67,1.5,2024-06-20
R8 左轮手枪,久经沙场,普通,759273,R8 左轮手枪 | 生存主义者,81,1.04,1.38,1.33,2024-06-20
R8 左轮手枪,崭新出厂,普通,927314,R8 左轮手枪 | 镶嵌装饰,378,0.95,1.09,1.15,2024-06-20
R8 左轮手枪,战痕累累,StatTrak™,779320,R8 左轮手枪（StatTrak™） | 骸骨锻造,102,0.95,1.31,1.38,2024-06-20
R8 左轮手枪,久经沙场,StatTrak™,779238,R8 左轮手枪（StatTrak™） | 骸骨锻造,185,0.9,1.02,1.13,2024-06-20
R8 左轮手枪,战痕累累,普通,759271,R8 左轮手枪 | 生存主义者,41,0.89,1.23,1.38,2024-06-20
R8 左轮手枪,破损不堪,纪念品,761376,R8 左轮手枪（纪念品） | 氮化处理,56,0.82,1.16,1.41,2024-06-20
R8 左轮手枪,久经沙场,普通,857541,R8 左轮手枪 | 废物王,317,0.78,1.16,1.49,2024-06-20
R8 左轮手枪,战痕累累,普通,857644,R8 左轮手枪 | 废物王,298,0.75,0.94,1.25,2024-06-20
R8 左轮手枪,久经沙场,普通,36337,R8 左轮手枪 | 深红之网,433,0.67,0.87,1.3,2024-06-20
R8 左轮手枪,破损不堪,普通,857539,R8 左轮手枪 | 废物王,168,0.64,0.94,1.47,2024-06-20
R8 左轮手枪,久经沙场,StatTrak™,45339,R8 左轮手枪（StatTrak™） | 稳,278,0.61,0.94,1.54,2024-06-20
R8 左轮手枪,略有磨损,普通,45298,R8 左轮手枪 | 稳,379,0.58,1.02,1.76,2024-06-20
R8 左轮手枪,破损不堪,普通,779284,R8 左轮手枪 | 骸骨锻造,23,0.57,0.94,1.65,2024-06-20
R8 左轮手枪,破损不堪,StatTrak™,45341,R8 左轮手枪（StatTrak™） | 稳,90,0.56,0.8,1.43,2024-06-20
R8 左轮手枪,战痕累累,StatTrak™,45337,R8 左轮手枪（StatTrak™） | 稳,109,0.55,0.87,1.58,2024-06-20
R8 左轮手枪,战痕累累,普通,36335,R8 左轮手枪 | 深红之网,183,0.55,0.58,1.05,2024-06-20
R8 左轮手枪,略有磨损,普通,779190,R8 左轮手枪 | 骸骨锻造,171,0.53,0.8,1.51,2024-06-20
R8 左轮手枪,破损不堪,普通,36339,R8 左轮手枪 | 深红之网,54,0.51,0.8,1.57,2024-06-20
R8 左轮手枪,久经沙场,纪念品,761357,R8 左轮手枪（纪念品） | 氮化处理,376,0.48,0.65,1.35,2024-06-20
R8 左轮手枪,战痕累累,普通,779191,R8 左轮手枪 | 骸骨锻造,115,0.47,0.51,1.09,2024-06-20
R8 左轮手枪,破损不堪,普通,927330,R8 左轮手枪 | 镶嵌装饰,31,0.46,0.58,1.26,2024-06-20
R8 左轮手枪,略有磨损,普通,762056,R8 左轮手枪 | 氮化处理,630,0.4,0.65,1.62,2024-06-20
R8 左轮手枪,略有磨损,普通,927313,R8 左轮手枪 | 镶嵌装饰,376,0.33,0.58,1.76,2024-06-20
R8 左轮手枪,久经沙场,普通,779184,R8 左轮手枪 | 骸骨锻造,296,0.31,0.51,1.65,2024-06-20
R8 左轮手枪,久经沙场,普通,45297,R8 左轮手枪 | 稳,526,0.31,0.51,1.65,2024-06-20
R8 左轮手枪,战痕累累,纪念品,761394,R8 左轮手枪（纪念品） | 氮化处理,124,0.29,0.58,2.0,2024-06-20
R8 左轮手枪,崭新出厂,纪念品,877139,R8 左轮手枪（纪念品） | 沙漠伪装,804,0.28,0.44,1.57,2024-06-20
R8 左轮手枪,久经沙场,普通,762087,R8 左轮手枪 | 氮化处理,1036,0.28,0.51,1.82,2024-06-20
R8 左轮手枪,破损不堪,普通,762151,R8 左轮手枪 | 氮化处理,231,0.25,0.44,1.76,2024-06-20
R8 左轮手枪,破损不堪,纪念品,929058,R8 左轮手枪（纪念品） | 镶嵌装饰,27,0.24,0.51,2.12,2024-06-20
R8 左轮手枪,战痕累累,普通,762150,R8 左轮手枪 | 氮化处理,226,0.24,0.44,1.83,2024-06-20
R8 左轮手枪,崭新出厂,普通,36331,R8 左轮手枪 | 骸骨外罩,187,0.23,0.51,2.22,2024-06-20
R8 左轮手枪,久经沙场,普通,927309,R8 左轮手枪 | 镶嵌装饰,905,0.22,0.44,2.0,2024-06-20
R8 左轮手枪,战痕累累,普通,45295,R8 左轮手枪 | 稳,205,0.2,0.51,2.55,2024-06-20
R8 左轮手枪,战痕累累,普通,927293,R8 左轮手枪 | 镶嵌装饰,175,0.18,0.44,2.44,2024-06-20
R8 左轮手枪,破损不堪,普通,45299,R8 左轮手枪 | 稳,213,0.18,0.51,2.83,2024-06-20
R8 左轮手枪,略有磨损,纪念品,929028,R8 左轮手枪（纪念品） | 镶嵌装饰,322,0.16,0.36,2.25,2024-06-20
R8 左轮手枪,略有磨损,纪念品,877021,R8 左轮手枪（纪念品） | 噩梦之夜,440,0.1,0.29,2.9,2024-06-20
R8 左轮手枪,略有磨损,纪念品,877134,R8 左轮手枪（纪念品） | 沙漠伪装,1113,0.06,0.22,3.67,2024-06-20
R8 左轮手枪,略有磨损,普通,36333,R8 左轮手枪 | 骸骨外罩,231,0.06,0.29,4.83,2024-06-20
R8 左轮手枪,久经沙场,普通,36332,R8 左轮手枪 | 骸骨外罩,630,0.06,0.29,4.83,2024-06-20
R8 左轮手枪,战痕累累,纪念品,929038,R8 左轮手枪（纪念品） | 镶嵌装饰,92,0.05,0.29,5.8,2024-06-20
R8 左轮手枪,破损不堪,纪念品,877156,R8 左轮手枪（纪念品） | 沙漠伪装,95,0.05,0.22,4.4,2024-06-20
R8 左轮手枪,破损不堪,普通,36334,R8 左轮手枪 | 骸骨外罩,109,0.05,0.22,4.4,2024-06-20
R8 左轮手枪,久经沙场,纪念品,929015,R8 左轮手枪（纪念品） | 镶嵌装饰,477,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,久经沙场,纪念品,877121,R8 左轮手枪（纪念品） | 沙漠伪装,1855,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,久经沙场,纪念品,877009,R8 左轮手枪（纪念品） | 噩梦之夜,965,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,战痕累累,普通,36330,R8 左轮手枪 | 骸骨外罩,210,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,战痕累累,纪念品,877148,R8 左轮手枪（纪念品） | 沙漠伪装,244,0.03,0.22,7.33,2024-06-20
R8 左轮手枪,战痕累累,纪念品,877045,R8 左轮手枪（纪念品） | 噩梦之夜,230,0.03,0.22,7.33,2024-06-20
R8 左轮手枪,破损不堪,纪念品,877028,R8 左轮手枪（纪念品） | 噩梦之夜,96,0.03,0.22,7.33,2024-06-20
R8 左轮手枪,战痕累累,普通,45295,R8 左轮手枪 | 稳,205,0.2,0.51,2.55,2024-06-20
R8 左轮手枪,战痕累累,普通,927293,R8 左轮手枪 | 镶嵌装饰,175,0.18,0.44,2.44,2024-06-20
R8 左轮手枪,破损不堪,普通,45299,R8 左轮手枪 | 稳,213,0.18,0.51,2.83,2024-06-20
R8 左轮手枪,略有磨损,纪念品,929028,R8 左轮手枪（纪念品） | 镶嵌装饰,322,0.16,0.36,2.25,2024-06-20
R8 左轮手枪,略有磨损,纪念品,877021,R8 左轮手枪（纪念品） | 噩梦之夜,440,0.1,0.29,2.9,2024-06-20
R8 左轮手枪,略有磨损,纪念品,877134,R8 左轮手枪（纪念品） | 沙漠伪装,1113,0.06,0.22,3.67,2024-06-20
R8 左轮手枪,略有磨损,普通,36333,R8 左轮手枪 | 骸骨外罩,231,0.06,0.29,4.83,2024-06-20
R8 左轮手枪,久经沙场,普通,36332,R8 左轮手枪 | 骸骨外罩,630,0.06,0.29,4.83,2024-06-20
