PP-野牛,崭新出厂,纪念品,37952,PP-野牛（纪念品） | 午夜行动,3,1587.5,1585.17,1.0,2024-06-16
PP-野牛,久经沙场,纪念品,761430,PP-野牛（纪念品） | 设施系列·速写图,1751,0.78,0.87,1.12,2024-06-16
PP-野牛,破损不堪,StatTrak™,45511,PP-野牛（StatTrak™） | 黑夜暴乱,18,0.78,0.8,1.03,2024-06-16
PP-野牛,略有磨损,普通,36258,PP-野牛 | 收割机,94,0.76,1.23,1.62,2024-06-16
PP-野牛,破损不堪,纪念品,761471,PP-野牛（纪念品） | 设施系列·速写图,107,0.69,0.58,0.84,2024-06-16
PP-野牛,破损不堪,普通,36259,PP-野牛 | 收割机,61,0.69,1.09,1.58,2024-06-16
PP-野牛,崭新出厂,普通,36286,PP-野牛 | 午夜行动,418,0.66,0.73,1.11,2024-06-16
PP-野牛,战痕累累,普通,36255,PP-野牛 | 收割机,46,0.64,1.16,1.81,2024-06-16
PP-野牛,久经沙场,StatTrak™,781586,PP-野牛（StatTrak™） | 神秘碑文,738,0.62,0.8,1.29,2024-06-16
PP-野牛,崭新出厂,普通,762074,PP-野牛 | 红苹果,4667,0.59,0.87,1.47,2024-06-16
PP-野牛,崭新出厂,普通,36311,PP-野牛 | 都市虚线,100,0.58,0.58,1.0,2024-06-16
PP-野牛,久经沙场,StatTrak™,45336,PP-野牛（StatTrak™） | 黑夜暴乱,407,0.52,0.94,1.81,2024-06-16
PP-野牛,破损不堪,StatTrak™,781654,PP-野牛（StatTrak™） | 神秘碑文,198,0.49,0.8,1.63,2024-06-16
PP-野牛,略有磨损,普通,781587,PP-野牛 | 神秘碑文,1087,0.49,0.73,1.49,2024-06-16
PP-野牛,略有磨损,普通,36288,PP-野牛 | 午夜行动,244,0.49,0.51,1.04,2024-06-16
PP-野牛,战痕累累,StatTrak™,45334,PP-野牛（StatTrak™） | 黑夜暴乱,82,0.48,0.87,1.81,2024-06-16
PP-野牛,战痕累累,StatTrak™,781667,PP-野牛（StatTrak™） | 神秘碑文,162,0.47,0.8,1.7,2024-06-16
PP-野牛,略有磨损,普通,45293,PP-野牛 | 黑夜暴乱,553,0.47,0.8,1.7,2024-06-16
PP-野牛,略有磨损,普通,762097,PP-野牛 | 红苹果,1552,0.43,0.65,1.51,2024-06-16
PP-野牛,崭新出厂,普通,36306,PP-野牛 | 沙漠虚线,160,0.43,0.51,1.19,2024-06-16
PP-野牛,久经沙场,普通,762077,PP-野牛 | 红苹果,525,0.35,0.58,1.66,2024-06-16
PP-野牛,战痕累累,纪念品,761526,PP-野牛（纪念品） | 设施系列·速写图,110,0.33,0.51,1.55,2024-06-16
PP-野牛,久经沙场,纪念品,876881,PP-野牛（纪念品） | 开关箱,175,0.32,0.65,2.03,2024-06-16
PP-野牛,战痕累累,普通,45290,PP-野牛 | 黑夜暴乱,156,0.28,0.44,1.57,2024-06-16
PP-野牛,战痕累累,普通,36285,PP-野牛 | 午夜行动,53,0.28,0.44,1.57,2024-06-16
PP-野牛,战痕累累,普通,781545,PP-野牛 | 神秘碑文,302,0.27,0.44,1.63,2024-06-16
PP-野牛,久经沙场,普通,45292,PP-野牛 | 黑夜暴乱,850,0.29,0.58,2.0,2024-06-16
PP-野牛,久经沙场,普通,781537,PP-野牛 | 神秘碑文,1462,0.28,0.51,1.82,2024-06-16
PP-野牛,崭新出厂,普通,762051,PP-野牛 | 设施系列·速写图,3242,0.23,0.36,1.57,2024-06-16
PP-野牛,破损不堪,普通,45294,PP-野牛 | 黑夜暴乱,77,0.22,0.65,2.95,2024-06-16
PP-野牛,久经沙场,普通,36287,PP-野牛 | 午夜行动,483,0.21,0.44,2.1,2024-06-16
PP-野牛,破损不堪,普通,781576,PP-野牛 | 神秘碑文,473,0.2,0.44,2.2,2024-06-16
PP-野牛,破损不堪,普通,36289,PP-野牛 | 午夜行动,16,0.19,0.44,2.32,2024-06-16
PP-野牛,略有磨损,普通,762081,PP-野牛 | 设施系列·速写图,1375,0.09,0.22,2.44,2024-06-16
PP-野牛,略有磨损,普通,36313,PP-野牛 | 都市虚线,347,0.08,0.22,2.75,2024-06-16
PP-野牛,崭新出厂,纪念品,876849,PP-野牛（纪念品） | 安乐蜥,3374,0.07,0.22,3.14,2024-06-16
PP-野牛,久经沙场,普通,36312,PP-野牛 | 都市虚线,928,0.06,0.22,3.67,2024-06-16
PP-野牛,破损不堪,普通,762149,PP-野牛 | 设施系列·速写图,204,0.05,0.22,4.4,2024-06-16
PP-野牛,破损不堪,普通,36314,PP-野牛 | 都市虚线,91,0.05,0.22,4.4,2024-06-16
PP-野牛,略有磨损,纪念品,876844,PP-野牛（纪念品） | 安乐蜥,2766,0.04,0.22,5.5,2024-06-16
PP-野牛,久经沙场,普通,762057,PP-野牛 | 设施系列·速写图,3698,0.04,0.22,5.5,2024-06-16
PP-野牛,战痕累累,普通,36310,PP-野牛 | 都市虚线,178,0.05,0.22,4.4,2024-06-16
PP-野牛,略有磨损,普通,36308,PP-野牛 | 沙漠虚线,551,0.04,0.22,5.5,2024-06-16
PP-野牛,破损不堪,纪念品,876906,PP-野牛（纪念品） | 安乐蜥,309,0.03,0.22,7.33,2024-06-16
PP-野牛,战痕累累,普通,762148,PP-野牛 | 设施系列·速写图,145,0.03,0.22,7.33,2024-06-16
PP-野牛,战痕累累,纪念品,876883,PP-野牛（纪念品） | 安乐蜥,260,0.02,0.22,11.0,2024-06-16
PP-野牛,久经沙场,纪念品,876869,PP-野牛（纪念品） | 安乐蜥,8488,0.02,0.22,11.0,2024-06-16
PP-野牛,破损不堪,普通,36309,PP-野牛 | 沙漠虚线,281,0.02,0.22,11.0,2024-06-16
PP-野牛,久经沙场,普通,36307,PP-野牛 | 沙漠虚线,1538,0.03,0.22,7.33,2024-06-16
PP-野牛,战痕累累,普通,36305,PP-野牛 | 沙漠虚线,174,0.02,0.22,11.0,2024-06-16
PP-野牛,崭新出厂,普通,762074,PP-野牛 | 红苹果,4667,0.59,0.87,1.47,2024-06-16
PP-野牛,崭新出厂,普通,36311,PP-野牛 | 都市虚线,100,0.58,0.58,1.0,2024-06-16
PP-野牛,久经沙场,StatTrak™,45336,PP-野牛（StatTrak™） | 黑夜暴乱,407,0.52,0.94,1.81,2024-06-16
PP-野牛,破损不堪,StatTrak™,781654,PP-野牛（StatTrak™） | 神秘碑文,198,0.49,0.8,1.63,2024-06-16
PP-野牛,略有磨损,普通,781587,PP-野牛 | 神秘碑文,1087,0.49,0.73,1.49,2024-06-16
PP-野牛,略有磨损,普通,36288,PP-野牛 | 午夜行动,244,0.49,0.51,1.04,2024-06-16
PP-野牛,战痕累累,StatTrak™,45334,PP-野牛（StatTrak™） | 黑夜暴乱,82,0.48,0.87,1.81,2024-06-16
PP-野牛,战痕累累,StatTrak™,781667,PP-野牛（StatTrak™） | 神秘碑文,162,0.47,0.8,1.7,2024-06-16
PP-野牛,略有磨损,普通,45293,PP-野牛 | 黑夜暴乱,553,0.47,0.8,1.7,2024-06-16
PP-野牛,略有磨损,普通,762097,PP-野牛 | 红苹果,1552,0.43,0.65,1.51,2024-06-16
PP-野牛,崭新出厂,普通,36306,PP-野牛 | 沙漠虚线,160,0.43,0.51,1.19,2024-06-16
PP-野牛,久经沙场,普通,762077,PP-野牛 | 红苹果,525,0.35,0.58,1.66,2024-06-16
PP-野牛,战痕累累,纪念品,761526,PP-野牛（纪念品） | 设施系列·速写图,110,0.33,0.51,1.55,2024-06-16
PP-野牛,久经沙场,纪念品,876881,PP-野牛（纪念品） | 开关箱,175,0.32,0.65,2.03,2024-06-16
PP-野牛,战痕累累,普通,45290,PP-野牛 | 黑夜暴乱,156,0.28,0.44,1.57,2024-06-16
PP-野牛,战痕累累,普通,36285,PP-野牛 | 午夜行动,53,0.28,0.44,1.57,2024-06-16
PP-野牛,战痕累累,普通,781545,PP-野牛 | 神秘碑文,302,0.27,0.44,1.63,2024-06-16
PP-野牛,久经沙场,普通,45292,PP-野牛 | 黑夜暴乱,850,0.29,0.58,2.0,2024-06-16
PP-野牛,久经沙场,普通,781537,PP-野牛 | 神秘碑文,1462,0.28,0.51,1.82,2024-06-16
PP-野牛,崭新出厂,普通,762051,PP-野牛 | 设施系列·速写图,3242,0.23,0.36,1.57,2024-06-16
PP-野牛,破损不堪,普通,45294,PP-野牛 | 黑夜暴乱,77,0.22,0.65,2.95,2024-06-16
PP-野牛,久经沙场,普通,36287,PP-野牛 | 午夜行动,483,0.21,0.44,2.1,2024-06-16
PP-野牛,破损不堪,普通,781576,PP-野牛 | 神秘碑文,473,0.2,0.44,2.2,2024-06-16
PP-野牛,破损不堪,普通,36289,PP-野牛 | 午夜行动,16,0.19,0.44,2.32,2024-06-16
PP-野牛,略有磨损,普通,762081,PP-野牛 | 设施系列·速写图,1375,0.09,0.22,2.44,2024-06-16
PP-野牛,略有磨损,普通,36313,PP-野牛 | 都市虚线,347,0.08,0.22,2.75,2024-06-16
PP-野牛,崭新出厂,纪念品,876849,PP-野牛（纪念品） | 安乐蜥,3374,0.07,0.22,3.14,2024-06-16
PP-野牛,久经沙场,普通,36312,PP-野牛 | 都市虚线,928,0.06,0.22,3.67,2024-06-16
PP-野牛,破损不堪,普通,762149,PP-野牛 | 设施系列·速写图,204,0.05,0.22,4.4,2024-06-16
PP-野牛,破损不堪,普通,36314,PP-野牛 | 都市虚线,91,0.05,0.22,4.4,2024-06-16
PP-野牛,略有磨损,纪念品,876844,PP-野牛（纪念品） | 安乐蜥,2766,0.04,0.22,5.5,2024-06-16
PP-野牛,久经沙场,普通,762057,PP-野牛 | 设施系列·速写图,3698,0.04,0.22,5.5,2024-06-16
PP-野牛,战痕累累,普通,36310,PP-野牛 | 都市虚线,178,0.05,0.22,4.4,2024-06-16
PP-野牛,略有磨损,普通,36308,PP-野牛 | 沙漠虚线,551,0.04,0.22,5.5,2024-06-16
PP-野牛,破损不堪,纪念品,876906,PP-野牛（纪念品） | 安乐蜥,309,0.03,0.22,7.33,2024-06-16
PP-野牛,战痕累累,普通,762148,PP-野牛 | 设施系列·速写图,145,0.03,0.22,7.33,2024-06-16
PP-野牛,战痕累累,纪念品,876883,PP-野牛（纪念品） | 安乐蜥,260,0.02,0.22,11.0,2024-06-16
PP-野牛,久经沙场,纪念品,876869,PP-野牛（纪念品） | 安乐蜥,8488,0.02,0.22,11.0,2024-06-16
PP-野牛,破损不堪,普通,36309,PP-野牛 | 沙漠虚线,281,0.02,0.22,11.0,2024-06-16
PP-野牛,久经沙场,普通,36307,PP-野牛 | 沙漠虚线,1538,0.03,0.22,7.33,2024-06-16
PP-野牛,战痕累累,普通,36305,PP-野牛 | 沙漠虚线,174,0.02,0.22,11.0,2024-06-16
PP-野牛,崭新出厂,普通,762074,PP-野牛 | 红苹果,4667,0.59,0.87,1.47,2024-06-16
PP-野牛,崭新出厂,普通,36311,PP-野牛 | 都市虚线,100,0.58,0.58,1.0,2024-06-16
PP-野牛,久经沙场,StatTrak™,45336,PP-野牛（StatTrak™） | 黑夜暴乱,407,0.52,0.94,1.81,2024-06-16
PP-野牛,破损不堪,StatTrak™,781654,PP-野牛（StatTrak™） | 神秘碑文,198,0.49,0.8,1.63,2024-06-16
PP-野牛,略有磨损,普通,781587,PP-野牛 | 神秘碑文,1087,0.49,0.73,1.49,2024-06-16
PP-野牛,略有磨损,普通,36288,PP-野牛 | 午夜行动,244,0.49,0.51,1.04,2024-06-16
PP-野牛,战痕累累,StatTrak™,45334,PP-野牛（StatTrak™） | 黑夜暴乱,82,0.48,0.87,1.81,2024-06-16
PP-野牛,战痕累累,StatTrak™,781667,PP-野牛（StatTrak™） | 神秘碑文,162,0.47,0.8,1.7,2024-06-16
PP-野牛,略有磨损,普通,45293,PP-野牛 | 黑夜暴乱,553,0.47,0.8,1.7,2024-06-16
PP-野牛,略有磨损,普通,762097,PP-野牛 | 红苹果,1552,0.43,0.65,1.51,2024-06-16
PP-野牛,崭新出厂,普通,36306,PP-野牛 | 沙漠虚线,160,0.43,0.51,1.19,2024-06-16
PP-野牛,久经沙场,普通,762077,PP-野牛 | 红苹果,525,0.35,0.58,1.66,2024-06-16
PP-野牛,战痕累累,纪念品,761526,PP-野牛（纪念品） | 设施系列·速写图,110,0.33,0.51,1.55,2024-06-16
PP-野牛,久经沙场,纪念品,876881,PP-野牛（纪念品） | 开关箱,175,0.32,0.65,2.03,2024-06-16
PP-野牛,战痕累累,普通,45290,PP-野牛 | 黑夜暴乱,156,0.28,0.44,1.57,2024-06-16
PP-野牛,战痕累累,普通,36285,PP-野牛 | 午夜行动,53,0.28,0.44,1.57,2024-06-16
PP-野牛,战痕累累,普通,781545,PP-野牛 | 神秘碑文,302,0.27,0.44,1.63,2024-06-16
PP-野牛,久经沙场,普通,45292,PP-野牛 | 黑夜暴乱,850,0.29,0.58,2.0,2024-06-16
PP-野牛,久经沙场,普通,781537,PP-野牛 | 神秘碑文,1462,0.28,0.51,1.82,2024-06-16
PP-野牛,崭新出厂,普通,762051,PP-野牛 | 设施系列·速写图,3242,0.23,0.36,1.57,2024-06-16
PP-野牛,破损不堪,普通,45294,PP-野牛 | 黑夜暴乱,77,0.22,0.65,2.95,2024-06-16
PP-野牛,久经沙场,普通,36287,PP-野牛 | 午夜行动,483,0.21,0.44,2.1,2024-06-16
PP-野牛,破损不堪,普通,781576,PP-野牛 | 神秘碑文,473,0.2,0.44,2.2,2024-06-16
PP-野牛,破损不堪,普通,36289,PP-野牛 | 午夜行动,16,0.19,0.44,2.32,2024-06-16
PP-野牛,略有磨损,普通,762081,PP-野牛 | 设施系列·速写图,1375,0.09,0.22,2.44,2024-06-16
PP-野牛,略有磨损,普通,36313,PP-野牛 | 都市虚线,347,0.08,0.22,2.75,2024-06-16
PP-野牛,崭新出厂,纪念品,876849,PP-野牛（纪念品） | 安乐蜥,3374,0.07,0.22,3.14,2024-06-16
PP-野牛,久经沙场,普通,36312,PP-野牛 | 都市虚线,928,0.06,0.22,3.67,2024-06-16
PP-野牛,破损不堪,普通,762149,PP-野牛 | 设施系列·速写图,204,0.05,0.22,4.4,2024-06-16
PP-野牛,破损不堪,普通,36314,PP-野牛 | 都市虚线,91,0.05,0.22,4.4,2024-06-16
PP-野牛,略有磨损,纪念品,876844,PP-野牛（纪念品） | 安乐蜥,2766,0.04,0.22,5.5,2024-06-16
PP-野牛,久经沙场,普通,762057,PP-野牛 | 设施系列·速写图,3698,0.04,0.22,5.5,2024-06-16
PP-野牛,战痕累累,普通,36310,PP-野牛 | 都市虚线,178,0.05,0.22,4.4,2024-06-16
PP-野牛,略有磨损,普通,36308,PP-野牛 | 沙漠虚线,551,0.04,0.22,5.5,2024-06-16
PP-野牛,破损不堪,纪念品,876906,PP-野牛（纪念品） | 安乐蜥,309,0.03,0.22,7.33,2024-06-16
PP-野牛,战痕累累,普通,762148,PP-野牛 | 设施系列·速写图,145,0.03,0.22,7.33,2024-06-16
PP-野牛,战痕累累,纪念品,876883,PP-野牛（纪念品） | 安乐蜥,260,0.02,0.22,11.0,2024-06-16
PP-野牛,久经沙场,纪念品,876869,PP-野牛（纪念品） | 安乐蜥,8488,0.02,0.22,11.0,2024-06-16
PP-野牛,破损不堪,普通,36309,PP-野牛 | 沙漠虚线,281,0.02,0.22,11.0,2024-06-16
PP-野牛,久经沙场,普通,36307,PP-野牛 | 沙漠虚线,1538,0.03,0.22,7.33,2024-06-16
PP-野牛,战痕累累,普通,36305,PP-野牛 | 沙漠虚线,174,0.02,0.22,11.0,2024-06-16
PP-野牛,崭新出厂,纪念品,37952,PP-野牛（纪念品） | 午夜行动,3,1581.5,1585.74,1.0,2024-06-20
PP-野牛,崭新出厂,普通,36281,PP-野牛 | 现代猎手,1,999.5,1793.23,1.79,2024-06-20
PP-野牛,崭新出厂,纪念品,37938,PP-野牛（纪念品） | 黄铜,11,799.49,1419.98,1.78,2024-06-20
PP-野牛,破损不堪,普通,36284,PP-野牛 | 现代猎手,3,381.99,106.25,0.28,2024-06-20
PP-野牛,战痕累累,纪念品,37956,PP-野牛（纪念品） | 沙漠虚线,3,378.48,234.92,0.62,2024-06-20
PP-野牛,略有磨损,纪念品,37954,PP-野牛（纪念品） | 午夜行动,5,265.5,344.36,1.3,2024-06-20
PP-野牛,崭新出厂,StatTrak™,39400,PP-野牛（StatTrak™） | 阿努比斯之审判,87,229.5,362.87,1.58,2024-06-20
PP-野牛,崭新出厂,StatTrak™,39395,PP-野牛（StatTrak™） | 买定离手,47,208.4,279.77,1.34,2024-06-20
PP-野牛,崭新出厂,普通,36246,PP-野牛 | 森林之叶,2,207.49,261.05,1.26,2024-06-20
PP-野牛,崭新出厂,StatTrak™,39376,PP-野牛（StatTrak™） | 水蓝条纹,14,188.5,294.8,1.56,2024-06-20
PP-野牛,略有磨损,纪念品,37959,PP-野牛（纪念品） | 沙漠虚线,11,168,79.83,0.48,2024-06-20
PP-野牛,崭新出厂,普通,36301,PP-野牛 | 外表生锈,4,165,227.23,1.38,2024-06-20
PP-野牛,略有磨损,普通,36283,PP-野牛 | 现代猎手,2,159.49,192.83,1.21,2024-06-20
PP-野牛,战痕累累,普通,36214,PP-野牛 | 古董枪,6,149.46,152.33,1.02,2024-06-20
PP-野牛,略有磨损,StatTrak™,39402,PP-野牛（StatTrak™） | 阿努比斯之审判,76,130.47,201.68,1.55,2024-06-20
PP-野牛,略有磨损,纪念品,37940,PP-野牛（纪念品） | 黄铜,64,125.89,189.56,1.51,2024-06-20
PP-野牛,略有磨损,普通,36303,PP-野牛 | 外表生锈,4,119,130.56,1.1,2024-06-20
PP-野牛,崭新出厂,StatTrak™,39371,PP-野牛（StatTrak™） | 古董枪,44,110.37,163.8,1.48,2024-06-20
PP-野牛,崭新出厂,普通,36266,PP-野牛 | 辐照警报,6,109.5,166.7,1.52,2024-06-20
PP-野牛,崭新出厂,纪念品,37943,PP-野牛（纪念品） | 化工之绿,61,104,130.63,1.26,2024-06-20
PP-野牛,战痕累累,普通,36300,PP-野牛 | 外表生锈,20,99.89,123.3,1.23,2024-06-20
PP-野牛,略有磨损,StatTrak™,39373,PP-野牛（StatTrak™） | 古董枪,17,98.5,118.51,1.2,2024-06-20
PP-野牛,崭新出厂,普通,36234,PP-野牛 | 碳素纤维,16,94.9,111.33,1.17,2024-06-20
PP-野牛,久经沙场,StatTrak™,39372,PP-野牛（StatTrak™） | 古董枪,21,89.65,104.72,1.17,2024-06-20
PP-野牛,崭新出厂,纪念品,43910,PP-野牛（纪念品） | 辐照警报,10,89.4,178.97,2.0,2024-06-20
PP-野牛,崭新出厂,StatTrak™,776788,PP-野牛（StatTrak™） | 路霸,29,88.8,155.82,1.75,2024-06-20
PP-野牛,略有磨损,普通,36235,PP-野牛 | 碳素纤维,3,85.79,126.57,1.48,2024-06-20
PP-野牛,破损不堪,StatTrak™,39374,PP-野牛（StatTrak™） | 古董枪,11,81.1,100.15,1.23,2024-06-20
PP-野牛,战痕累累,StatTrak™,39370,PP-野牛（StatTrak™） | 古董枪,5,80.71,107.48,1.33,2024-06-20
PP-野牛,久经沙场,普通,36302,PP-野牛 | 外表生锈,5,75.79,94.13,1.24,2024-06-20
PP-野牛,久经沙场,StatTrak™,39401,PP-野牛（StatTrak™） | 阿努比斯之审判,107,74.59,99.43,1.33,2024-06-20
PP-野牛,崭新出厂,普通,36261,PP-野牛 | 买定离手,118,71.7,94.27,1.31,2024-06-20
PP-野牛,战痕累累,StatTrak™,39399,PP-野牛（StatTrak™） | 阿努比斯之审判,9,71.59,90.72,1.27,2024-06-20
PP-野牛,破损不堪,普通,36304,PP-野牛 | 外表生锈,5,68.4,77.22,1.13,2024-06-20
PP-野牛,久经沙场,普通,36282,PP-野牛 | 现代猎手,7,67.58,89.63,1.33,2024-06-20
PP-野牛,略有磨损,StatTrak™,39397,PP-野牛（StatTrak™） | 买定离手,94,66.89,88.9,1.33,2024-06-20
PP-野牛,崭新出厂,普通,36215,PP-野牛 | 古董枪,75,66.56,90.72,1.36,2024-06-20
PP-野牛,战痕累累,普通,36280,PP-野牛 | 现代猎手,1,63.7,116.99,1.84,2024-06-20
PP-野牛,破损不堪,纪念品,37960,PP-野牛（纪念品） | 沙漠虚线,3,62.55,72.36,1.16,2024-06-20
PP-野牛,略有磨损,普通,36217,PP-野牛 | 古董枪,53,59.8,79.61,1.33,2024-06-20
PP-野牛,破损不堪,普通,36218,PP-野牛 | 古董枪,6,55.8,72.07,1.29,2024-06-20
PP-野牛,破损不堪,StatTrak™,39403,PP-野牛（StatTrak™） | 阿努比斯之审判,11,55.44,87.89,1.59,2024-06-20
PP-野牛,崭新出厂,普通,36271,PP-野牛 | 阿努比斯之审判,671,54.26,76.42,1.41,2024-06-20
PP-野牛,久经沙场,普通,36216,PP-野牛 | 古董枪,18,53.37,68.58,1.28,2024-06-20
PP-野牛,破损不堪,普通,871807,PP-野牛 | 开关箱,6,52.9,47.61,0.9,2024-06-20
PP-野牛,崭新出厂,StatTrak™,39420,PP-野牛（StatTrak™） | 水纹之印,59,46.75,62.85,1.34,2024-06-20
PP-野牛,崭新出厂,纪念品,37962,PP-野牛（纪念品） | 都市虚线,29,44.4,54.87,1.24,2024-06-20
PP-野牛,略有磨损,StatTrak™,775802,PP-野牛（StatTrak™） | 路霸,38,43.43,56.24,1.29,2024-06-20
PP-野牛,崭新出厂,StatTrak™,39385,PP-野牛（StatTrak™） | 核燃料棒,142,42.69,59.8,1.4,2024-06-20
PP-野牛,略有磨损,StatTrak™,39422,PP-野牛（StatTrak™） | 水纹之印,22,42.56,57.84,1.36,2024-06-20
PP-野牛,略有磨损,StatTrak™,39378,PP-野牛（StatTrak™） | 水蓝条纹,52,40.89,57.55,1.41,2024-06-20
PP-野牛,久经沙场,纪念品,37939,PP-野牛（纪念品） | 黄铜,68,40.7,54.0,1.33,2024-06-20
PP-野牛,久经沙场,StatTrak™,39421,PP-野牛（StatTrak™） | 水纹之印,34,40.6,51.09,1.26,2024-06-20
PP-野牛,破损不堪,StatTrak™,39423,PP-野牛（StatTrak™） | 水纹之印,10,39.9,43.69,1.09,2024-06-20
PP-野牛,战痕累累,StatTrak™,39419,PP-野牛（StatTrak™） | 水纹之印,8,39.6,53.41,1.35,2024-06-20
PP-野牛,崭新出厂,普通,36225,PP-野牛 | 水蓝条纹,47,39.6,49.28,1.24,2024-06-20
PP-野牛,战痕累累,纪念品,37937,PP-野牛（纪念品） | 黄铜,22,37.8,56.17,1.49,2024-06-20
PP-野牛,崭新出厂,普通,775695,PP-野牛 | 路霸,50,36.9,48.77,1.32,2024-06-20
PP-野牛,崭新出厂,普通,36220,PP-野牛 | 墨竹,119,36.29,48.7,1.34,2024-06-20
PP-野牛,略有磨损,普通,36273,PP-野牛 | 阿努比斯之审判,809,34.9,47.9,1.37,2024-06-20
PP-野牛,略有磨损,普通,36268,PP-野牛 | 辐照警报,12,33.72,46.45,1.38,2024-06-20
PP-野牛,久经沙场,纪念品,37958,PP-野牛（纪念品） | 沙漠虚线,18,32.17,42.89,1.33,2024-06-20
PP-野牛,略有磨损,普通,36263,PP-野牛 | 买定离手,219,31.89,43.47,1.36,2024-06-20
PP-野牛,崭新出厂,普通,774702,PP-野牛 | 海鸟,166,31.4,40.21,1.28,2024-06-20
PP-野牛,久经沙场,StatTrak™,39396,PP-野牛（StatTrak™） | 买定离手,116,31.08,40.13,1.29,2024-06-20
PP-野牛,崭新出厂,普通,36237,PP-野牛 | 化工之绿,76,30.5,38.39,1.26,2024-06-20
PP-野牛,战痕累累,普通,775258,PP-野牛 | 海鸟,14,29.75,37.52,1.26,2024-06-20
PP-野牛,破损不堪,StatTrak™,39398,PP-野牛（StatTrak™） | 买定离手,18,29.6,32.88,1.11,2024-06-20
PP-野牛,略有磨损,普通,774704,PP-野牛 | 海鸟,35,28.69,36.94,1.29,2024-06-20
PP-野牛,破损不堪,普通,775524,PP-野牛 | 海鸟,23,28.1,38.68,1.38,2024-06-20
PP-野牛,久经沙场,普通,774899,PP-野牛 | 海鸟,27,27.94,34.25,1.23,2024-06-20
PP-野牛,崭新出厂,普通,871400,PP-野牛 | 开关箱,15,27.42,35.05,1.28,2024-06-20
PP-野牛,崭新出厂,StatTrak™,39410,PP-野牛（StatTrak™） | 死亡主宰者,200,26.86,41.73,1.55,2024-06-20
PP-野牛,崭新出厂,StatTrak™,39415,PP-野牛（StatTrak™） | 透光区,94,26.75,42.75,1.6,2024-06-20
PP-野牛,久经沙场,普通,871556,PP-野牛 | 开关箱,11,26.63,34.69,1.3,2024-06-20
PP-野牛,破损不堪,纪念品,37941,PP-野牛（纪念品） | 黄铜,40,25.8,38.9,1.51,2024-06-20
PP-野牛,崭新出厂,StatTrak™,39380,PP-野牛（StatTrak™） | 钻蓝半调,33,25.79,29.25,1.13,2024-06-20
PP-野牛,略有磨损,普通,871374,PP-野牛 | 开关箱,14,25.35,33.53,1.32,2024-06-20
PP-野牛,破损不堪,StatTrak™,39379,PP-野牛（StatTrak™） | 水蓝条纹,5,24.9,27.0,1.08,2024-06-20
PP-野牛,久经沙场,StatTrak™,39377,PP-野牛（StatTrak™） | 水蓝条纹,24,24.61,29.17,1.19,2024-06-20
PP-野牛,略有磨损,普通,36222,PP-野牛 | 墨竹,53,24.44,31.86,1.3,2024-06-20
PP-野牛,崭新出厂,StatTrak™,871733,PP-野牛（StatTrak™） | 战术手电,56,24.23,32.51,1.34,2024-06-20
PP-野牛,久经沙场,普通,36272,PP-野牛 | 阿努比斯之审判,971,24.2,33.38,1.38,2024-06-20
PP-野牛,战痕累累,StatTrak™,39394,PP-野牛（StatTrak™） | 买定离手,25,23.96,30.12,1.26,2024-06-20
PP-野牛,破损不堪,普通,36274,PP-野牛 | 阿努比斯之审判,29,23.81,32.8,1.38,2024-06-20
PP-野牛,破损不堪,普通,36223,PP-野牛 | 墨竹,6,23.23,26.42,1.14,2024-06-20
PP-野牛,战痕累累,普通,36219,PP-野牛 | 墨竹,2,22.9,25.84,1.13,2024-06-20
PP-野牛,战痕累累,StatTrak™,39375,PP-野牛（StatTrak™） | 水蓝条纹,5,21.76,31.5,1.45,2024-06-20
PP-野牛,略有磨损,普通,36248,PP-野牛 | 森林之叶,11,21.75,40.86,1.88,2024-06-20
PP-野牛,久经沙场,普通,36221,PP-野牛 | 墨竹,26,21.28,26.42,1.24,2024-06-20
PP-野牛,久经沙场,普通,36267,PP-野牛 | 辐照警报,14,21.23,25.69,1.21,2024-06-20
PP-野牛,战痕累累,普通,36270,PP-野牛 | 阿努比斯之审判,29,20.88,28.59,1.37,2024-06-20
PP-野牛,略有磨损,StatTrak™,39387,PP-野牛（StatTrak™） | 核燃料棒,220,20.52,28.16,1.37,2024-06-20
PP-野牛,略有磨损,纪念品,37945,PP-野牛（纪念品） | 化工之绿,366,20,26.05,1.3,2024-06-20
PP-野牛,略有磨损,普通,36227,PP-野牛 | 水蓝条纹,61,19.69,27.22,1.38,2024-06-20
PP-野牛,战痕累累,普通,36265,PP-野牛 | 辐照警报,8,19.61,28.59,1.46,2024-06-20
PP-野牛,久经沙场,StatTrak™,775556,PP-野牛（StatTrak™） | 路霸,61,19.6,28.59,1.46,2024-06-20
PP-野牛,略有磨损,普通,775298,PP-野牛 | 路霸,65,18.9,25.84,1.37,2024-06-20
PP-野牛,略有磨损,StatTrak™,39412,PP-野牛（StatTrak™） | 死亡主宰者,169,17.9,25.26,1.41,2024-06-20
PP-野牛,崭新出厂,StatTrak™,39390,PP-野牛（StatTrak™） | 收割机,13,17.89,15.6,0.87,2024-06-20
PP-野牛,久经沙场,普通,36262,PP-野牛 | 买定离手,268,17.59,22.86,1.3,2024-06-20
PP-野牛,略有磨损,StatTrak™,871660,PP-野牛（StatTrak™） | 战术手电,43,17.56,20.18,1.15,2024-06-20
