廓尔喀刀,久经沙场,★,956563,廓尔喀刀（★） | 森林 DDPAT,117,1318.5,1664.11,1.26,2024-06-17
廓尔喀刀,略有磨损,★ StatTrak™,956605,廓尔喀刀（★ StatTrak™） | 狩猎网格,6,1559.5,1944.5,1.25,2024-06-17
廓尔喀刀,略有磨损,★ StatTrak™,956928,廓尔喀刀（★ StatTrak™） | 北方森林,13,1528.5,2992.82,1.96,2024-06-17
廓尔喀刀,破损不堪,★ StatTrak™,956929,廓尔喀刀（★ StatTrak™） | 夜色,3,1499.5,1702.99,1.14,2024-06-17
廓尔喀刀,略有磨损,★,956683,廓尔喀刀（★） | 北方森林,39,1449.5,1843.81,1.27,2024-06-17
廓尔喀刀,久经沙场,★,956661,廓尔喀刀（★） | 夜色,126,1449,1934.78,1.34,2024-06-17
廓尔喀刀,战痕累累,★,956674,廓尔喀刀（★） | 夜色,82,1419,1776.77,1.25,2024-06-17
廓尔喀刀,战痕累累,★ StatTrak™,956701,廓尔喀刀（★ StatTrak™） | 都市伪装,22,1399.5,2348.52,1.68,2024-06-17
廓尔喀刀,久经沙场,★ StatTrak™,956619,廓尔喀刀（★ StatTrak™） | 夜色,24,1379.5,1935.15,1.4,2024-06-17
廓尔喀刀,破损不堪,★,956668,廓尔喀刀（★） | 夜色,27,1374.5,1697.41,1.23,2024-06-17
廓尔喀刀,战痕累累,★ StatTrak™,956662,廓尔喀刀（★ StatTrak™） | 枯焦之色,20,1369,1682.03,1.23,2024-06-17
廓尔喀刀,略有磨损,★,956594,廓尔喀刀（★） | 狩猎网格,41,1327.5,1928.69,1.45,2024-06-17
廓尔喀刀,战痕累累,★,956673,廓尔喀刀（★） | 枯焦之色,80,1319,1956.69,1.48,2024-06-17
廓尔喀刀,崭新出厂,★ StatTrak™,959535,廓尔喀刀（★ StatTrak™） | 表面淬火,1,14999.5,7139.98,0.48,2024-06-20
廓尔喀刀,崭新出厂,★,957374,廓尔喀刀（★） | 深红之网,6,13999.5,13260.0,0.95,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,957875,廓尔喀刀（★ StatTrak™） | 渐变之色,3,6249.5,6374.97,1.02,2024-06-20
廓尔喀刀,崭新出厂,★,956622,廓尔喀刀（★） | 渐变之色,266,6244,6369.38,1.02,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,956651,廓尔喀刀（★ StatTrak™） | 渐变之色,58,6239.5,6364.81,1.02,2024-06-20
廓尔喀刀,略有磨损,★,956678,廓尔喀刀（★） | 渐变之色,26,6199,6323.52,1.02,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,957799,廓尔喀刀（★ StatTrak™） | 都市伪装,1,5999.5,4361.55,0.73,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,956740,廓尔喀刀（★ StatTrak™） | 蓝钢,4,5399.5,4444.0,0.82,2024-06-20
廓尔喀刀,崭新出厂,★,957372,廓尔喀刀（★） | 都市伪装,2,4999.5,3396.61,0.68,2024-06-20
廓尔喀刀,崭新出厂,★,956640,廓尔喀刀（★） | 表面淬火,27,4799.5,6834.73,1.42,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956953,廓尔喀刀（★ StatTrak™） | 深红之网,8,4666,6893.59,1.48,2024-06-20
廓尔喀刀,崭新出厂,★,958846,廓尔喀刀（★） | 夜色,4,4657.49,4138.6,0.89,2024-06-20
廓尔喀刀,略有磨损,★,956679,廓尔喀刀（★） | 深红之网,60,4187.5,6604.23,1.58,2024-06-20
廓尔喀刀,崭新出厂,★,957392,廓尔喀刀（★） | 蓝钢,20,4097.99,5243.76,1.28,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,956680,廓尔喀刀（★ StatTrak™） | 屠夫,16,4021.5,5443.05,1.35,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,957397,廓尔喀刀（★ StatTrak™） | 屠夫,6,3999.5,3650.25,0.91,2024-06-20
廓尔喀刀,崭新出厂,★,956653,廓尔喀刀（★） | 屠夫,84,3897.5,5805.85,1.49,2024-06-20
廓尔喀刀,略有磨损,★,956475,廓尔喀刀（★） | 屠夫,102,3629.5,4796.56,1.32,2024-06-20
廓尔喀刀,无涂装,★,956645,廓尔喀刀（★）,167,3569.5,4423.39,1.24,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,960881,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,1,3499.5,3371.28,0.96,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,958199,廓尔喀刀（★ StatTrak™） | 人工染色,3,3498.5,4482.1,1.28,2024-06-20
廓尔喀刀,无涂装,★ StatTrak™,956677,廓尔喀刀（★ StatTrak™）,37,3487.5,5009.93,1.44,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956739,廓尔喀刀（★ StatTrak™） | 屠夫,23,3439.5,5442.98,1.58,2024-06-20
廓尔喀刀,久经沙场,★,956632,廓尔喀刀（★） | 屠夫,36,3332,5301.82,1.59,2024-06-20
廓尔喀刀,崭新出厂,★,958965,廓尔喀刀（★） | 森林 DDPAT,3,2999.5,3338.4,1.11,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956747,廓尔喀刀（★ StatTrak™） | 表面淬火,24,2999.5,9992.86,3.33,2024-06-20
廓尔喀刀,略有磨损,★,956590,廓尔喀刀（★） | 表面淬火,139,2989.5,4301.82,1.44,2024-06-20
廓尔喀刀,崭新出厂,★,956926,廓尔喀刀（★） | 枯焦之色,12,2849,4512.94,1.58,2024-06-20
廓尔喀刀,崭新出厂,★,956717,廓尔喀刀（★） | 北方森林,8,2799.5,9218.13,3.29,2024-06-20
廓尔喀刀,久经沙场,★,956654,廓尔喀刀（★） | 深红之网,173,2749.5,4060.73,1.48,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956698,廓尔喀刀（★ StatTrak™） | 深红之网,35,2715.5,4096.44,1.51,2024-06-20
廓尔喀刀,略有磨损,★,956719,廓尔喀刀（★） | 蓝钢,59,2699.5,3619.77,1.34,2024-06-20
廓尔喀刀,崭新出厂,★,956703,廓尔喀刀（★） | 人工染色,18,2694.5,5596.04,2.08,2024-06-20
廓尔喀刀,崭新出厂,★,957345,廓尔喀刀（★） | 狩猎网格,6,2694.47,4590.31,1.7,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956742,廓尔喀刀（★ StatTrak™） | 蓝钢,15,2628.5,4497.99,1.71,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956690,廓尔喀刀（★ StatTrak™） | 蓝钢,12,2554.5,3402.34,1.33,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,957390,廓尔喀刀（★ StatTrak™） | 深红之网,6,2549.5,3302.12,1.3,2024-06-20
廓尔喀刀,久经沙场,★,956648,廓尔喀刀（★） | 表面淬火,202,2537,3362.93,1.33,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956706,廓尔喀刀（★ StatTrak™） | 表面淬火,28,2498.5,3964.94,1.59,2024-06-20
廓尔喀刀,久经沙场,★,956656,廓尔喀刀（★） | 蓝钢,61,2488.5,3208.79,1.29,2024-06-20
廓尔喀刀,破损不堪,★,956741,廓尔喀刀（★） | 深红之网,31,2419,4088.31,1.69,2024-06-20
廓尔喀刀,战痕累累,★,956667,廓尔喀刀（★） | 蓝钢,77,2364.5,3265.83,1.38,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,957054,廓尔喀刀（★ StatTrak™） | 表面淬火,17,2355.5,2985.04,1.27,2024-06-20
廓尔喀刀,破损不堪,★,956506,廓尔喀刀（★） | 蓝钢,58,2309.5,2892.07,1.25,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956927,廓尔喀刀（★ StatTrak™） | 蓝钢,20,2299.5,3670.87,1.6,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956954,廓尔喀刀（★ StatTrak™） | 人工染色,20,2243.5,2896.07,1.29,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956755,廓尔喀刀（★ StatTrak™） | 表面淬火,17,2197.5,4483.98,2.04,2024-06-20
廓尔喀刀,略有磨损,★,956696,廓尔喀刀（★） | 人工染色,77,2186.5,2800.34,1.28,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956718,廓尔喀刀（★ StatTrak™） | 蓝钢,21,2147.5,3447.27,1.61,2024-06-20
廓尔喀刀,战痕累累,★,956671,廓尔喀刀（★） | 表面淬火,86,2079.5,3075.9,1.48,2024-06-20
廓尔喀刀,破损不堪,★,956684,廓尔喀刀（★） | 表面淬火,133,2077,3047.75,1.47,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956714,廓尔喀刀（★ StatTrak™） | 夜色,17,1943.5,2953.33,1.52,2024-06-20
廓尔喀刀,久经沙场,★,956523,廓尔喀刀（★） | 人工染色,66,1937,2503.8,1.29,2024-06-20
廓尔喀刀,略有磨损,★,956685,廓尔喀刀（★） | 夜色,53,1879.5,2453.44,1.31,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,957393,廓尔喀刀（★ StatTrak™） | 深红之网,23,1858,2738.07,1.47,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956691,廓尔喀刀（★ StatTrak™） | 人工染色,26,1848.5,2689.3,1.45,2024-06-20
廓尔喀刀,战痕累累,★,956702,廓尔喀刀（★） | 深红之网,65,1844.5,2697.07,1.46,2024-06-20
廓尔喀刀,破损不堪,★,956546,廓尔喀刀（★） | 人工染色,52,1729.5,2253.42,1.3,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,957053,廓尔喀刀（★ StatTrak™） | 都市伪装,16,1725.5,2177.22,1.26,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956746,廓尔喀刀（★ StatTrak™） | 人工染色,9,1693.9,2572.6,1.52,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956745,廓尔喀刀（★ StatTrak™） | 人工染色,13,1688.99,3897.59,2.31,2024-06-20
廓尔喀刀,略有磨损,★,956607,廓尔喀刀（★） | 枯焦之色,55,1677.5,2253.42,1.34,2024-06-20
廓尔喀刀,战痕累累,★,956693,廓尔喀刀（★） | 人工染色,46,1665.5,2192.75,1.32,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,957373,廓尔喀刀（★ StatTrak™） | 枯焦之色,15,1665,3250.08,1.95,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,957356,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,15,1664.5,2177.15,1.31,2024-06-20
廓尔喀刀,略有磨损,★,956649,廓尔喀刀（★） | 都市伪装,48,1648.5,2322.37,1.41,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,957798,廓尔喀刀（★ StatTrak™） | 夜色,16,1598,2086.5,1.31,2024-06-20
廓尔喀刀,略有磨损,★,956675,廓尔喀刀（★） | 森林 DDPAT,56,1549.5,2180.12,1.41,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956928,廓尔喀刀（★ StatTrak™） | 北方森林,9,1527.5,4440.88,2.91,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956929,廓尔喀刀（★ StatTrak™） | 夜色,6,1498.5,1813.55,1.21,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956605,廓尔喀刀（★ StatTrak™） | 狩猎网格,8,1497,1695.62,1.13,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956701,廓尔喀刀（★ StatTrak™） | 都市伪装,21,1469,2349.37,1.6,2024-06-20
廓尔喀刀,略有磨损,★,956683,廓尔喀刀（★） | 北方森林,36,1465.5,2032.07,1.39,2024-06-20
廓尔喀刀,久经沙场,★,956661,廓尔喀刀（★） | 夜色,110,1459.5,1886.78,1.29,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956619,廓尔喀刀（★ StatTrak™） | 夜色,29,1437,2379.63,1.66,2024-06-20
廓尔喀刀,战痕累累,★,956674,廓尔喀刀（★） | 夜色,81,1359.5,1919.58,1.41,2024-06-20
廓尔喀刀,破损不堪,★,956668,廓尔喀刀（★） | 夜色,30,1349.5,2332.75,1.73,2024-06-20
廓尔喀刀,略有磨损,★,956594,廓尔喀刀（★） | 狩猎网格,41,1349.5,1814.2,1.34,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956662,廓尔喀刀（★ StatTrak™） | 枯焦之色,20,1299.5,1763.55,1.36,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,957441,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,7,1298.5,2419.11,1.86,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,959535,廓尔喀刀（★ StatTrak™） | 表面淬火,1,14999.5,7139.98,0.48,2024-06-20
廓尔喀刀,崭新出厂,★,957374,廓尔喀刀（★） | 深红之网,6,13999.5,13260.0,0.95,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,957875,廓尔喀刀（★ StatTrak™） | 渐变之色,3,6249.5,6374.97,1.02,2024-06-20
廓尔喀刀,崭新出厂,★,956622,廓尔喀刀（★） | 渐变之色,266,6244,6369.38,1.02,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,956651,廓尔喀刀（★ StatTrak™） | 渐变之色,58,6239.5,6364.81,1.02,2024-06-20
廓尔喀刀,略有磨损,★,956678,廓尔喀刀（★） | 渐变之色,26,6199,6323.52,1.02,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,957799,廓尔喀刀（★ StatTrak™） | 都市伪装,1,5999.5,4361.55,0.73,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,956740,廓尔喀刀（★ StatTrak™） | 蓝钢,4,5399.5,4444.0,0.82,2024-06-20
廓尔喀刀,崭新出厂,★,957372,廓尔喀刀（★） | 都市伪装,2,4999.5,3396.61,0.68,2024-06-20
廓尔喀刀,崭新出厂,★,956640,廓尔喀刀（★） | 表面淬火,27,4799.5,6834.73,1.42,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956953,廓尔喀刀（★ StatTrak™） | 深红之网,8,4666,6893.59,1.48,2024-06-20
廓尔喀刀,崭新出厂,★,958846,廓尔喀刀（★） | 夜色,4,4657.49,4138.6,0.89,2024-06-20
廓尔喀刀,略有磨损,★,956679,廓尔喀刀（★） | 深红之网,60,4187.5,6604.23,1.58,2024-06-20
廓尔喀刀,崭新出厂,★,957392,廓尔喀刀（★） | 蓝钢,20,4097.99,5243.76,1.28,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,956680,廓尔喀刀（★ StatTrak™） | 屠夫,16,4021.5,5443.05,1.35,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,957397,廓尔喀刀（★ StatTrak™） | 屠夫,6,3999.5,3650.25,0.91,2024-06-20
廓尔喀刀,崭新出厂,★,956653,廓尔喀刀（★） | 屠夫,84,3897.5,5805.85,1.49,2024-06-20
廓尔喀刀,略有磨损,★,956475,廓尔喀刀（★） | 屠夫,102,3629.5,4796.56,1.32,2024-06-20
廓尔喀刀,无涂装,★,956645,廓尔喀刀（★）,167,3569.5,4423.39,1.24,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,960881,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,1,3499.5,3371.28,0.96,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,958199,廓尔喀刀（★ StatTrak™） | 人工染色,3,3498.5,4482.1,1.28,2024-06-20
廓尔喀刀,无涂装,★ StatTrak™,956677,廓尔喀刀（★ StatTrak™）,37,3487.5,5009.93,1.44,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956739,廓尔喀刀（★ StatTrak™） | 屠夫,23,3439.5,5442.98,1.58,2024-06-20
廓尔喀刀,久经沙场,★,956632,廓尔喀刀（★） | 屠夫,36,3332,5301.82,1.59,2024-06-20
廓尔喀刀,崭新出厂,★,958965,廓尔喀刀（★） | 森林 DDPAT,3,2999.5,3338.4,1.11,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956747,廓尔喀刀（★ StatTrak™） | 表面淬火,24,2999.5,9992.86,3.33,2024-06-20
廓尔喀刀,略有磨损,★,956590,廓尔喀刀（★） | 表面淬火,139,2989.5,4252.69,1.42,2024-06-20
廓尔喀刀,崭新出厂,★,956926,廓尔喀刀（★） | 枯焦之色,12,2849,4512.94,1.58,2024-06-20
廓尔喀刀,崭新出厂,★,956717,廓尔喀刀（★） | 北方森林,8,2799.5,9218.13,3.29,2024-06-20
廓尔喀刀,久经沙场,★,956654,廓尔喀刀（★） | 深红之网,173,2749.5,4060.73,1.48,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956698,廓尔喀刀（★ StatTrak™） | 深红之网,35,2715.5,4096.44,1.51,2024-06-20
廓尔喀刀,略有磨损,★,956719,廓尔喀刀（★） | 蓝钢,59,2699.5,3619.77,1.34,2024-06-20
廓尔喀刀,崭新出厂,★,956703,廓尔喀刀（★） | 人工染色,18,2694.5,5596.04,2.08,2024-06-20
廓尔喀刀,崭新出厂,★,957345,廓尔喀刀（★） | 狩猎网格,6,2694.47,4590.31,1.7,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956742,廓尔喀刀（★ StatTrak™） | 蓝钢,15,2628.5,4497.99,1.71,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956690,廓尔喀刀（★ StatTrak™） | 蓝钢,12,2554.5,3402.34,1.33,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,957390,廓尔喀刀（★ StatTrak™） | 深红之网,6,2549.5,3302.12,1.3,2024-06-20
廓尔喀刀,久经沙场,★,956648,廓尔喀刀（★） | 表面淬火,202,2537,3362.93,1.33,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956706,廓尔喀刀（★ StatTrak™） | 表面淬火,28,2498.5,3964.94,1.59,2024-06-20
廓尔喀刀,久经沙场,★,956656,廓尔喀刀（★） | 蓝钢,61,2488.5,3208.79,1.29,2024-06-20
廓尔喀刀,破损不堪,★,956741,廓尔喀刀（★） | 深红之网,31,2419,4088.31,1.69,2024-06-20
廓尔喀刀,战痕累累,★,956667,廓尔喀刀（★） | 蓝钢,77,2364.5,3265.83,1.38,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,957054,廓尔喀刀（★ StatTrak™） | 表面淬火,17,2355.5,2985.04,1.27,2024-06-20
廓尔喀刀,破损不堪,★,956506,廓尔喀刀（★） | 蓝钢,58,2309.5,2892.07,1.25,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956927,廓尔喀刀（★ StatTrak™） | 蓝钢,20,2299.5,3670.87,1.6,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956954,廓尔喀刀（★ StatTrak™） | 人工染色,20,2243.5,2896.07,1.29,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956755,廓尔喀刀（★ StatTrak™） | 表面淬火,17,2197.5,4483.98,2.04,2024-06-20
廓尔喀刀,略有磨损,★,956696,廓尔喀刀（★） | 人工染色,77,2186.5,2800.34,1.28,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956718,廓尔喀刀（★ StatTrak™） | 蓝钢,21,2147.5,3447.27,1.61,2024-06-20
廓尔喀刀,战痕累累,★,956671,廓尔喀刀（★） | 表面淬火,86,2079.5,3075.9,1.48,2024-06-20
廓尔喀刀,破损不堪,★,956684,廓尔喀刀（★） | 表面淬火,133,2077,3047.75,1.47,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956714,廓尔喀刀（★ StatTrak™） | 夜色,17,1943.5,2953.33,1.52,2024-06-20
廓尔喀刀,久经沙场,★,956523,廓尔喀刀（★） | 人工染色,66,1937,2503.8,1.29,2024-06-20
廓尔喀刀,略有磨损,★,956685,廓尔喀刀（★） | 夜色,53,1879.5,2453.44,1.31,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,957393,廓尔喀刀（★ StatTrak™） | 深红之网,23,1858,2738.07,1.47,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956691,廓尔喀刀（★ StatTrak™） | 人工染色,26,1848.5,2689.3,1.45,2024-06-20
廓尔喀刀,战痕累累,★,956702,廓尔喀刀（★） | 深红之网,65,1844.5,2697.07,1.46,2024-06-20
廓尔喀刀,破损不堪,★,956546,廓尔喀刀（★） | 人工染色,52,1729.5,2253.42,1.3,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,957053,廓尔喀刀（★ StatTrak™） | 都市伪装,16,1725.5,2177.22,1.26,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956746,廓尔喀刀（★ StatTrak™） | 人工染色,9,1693.9,2572.6,1.52,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956745,廓尔喀刀（★ StatTrak™） | 人工染色,13,1688.99,3897.59,2.31,2024-06-20
廓尔喀刀,略有磨损,★,956607,廓尔喀刀（★） | 枯焦之色,55,1677.5,2253.42,1.34,2024-06-20
廓尔喀刀,战痕累累,★,956693,廓尔喀刀（★） | 人工染色,46,1665.5,2192.75,1.32,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,957373,廓尔喀刀（★ StatTrak™） | 枯焦之色,15,1665,3250.08,1.95,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,957356,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,15,1664.5,2177.15,1.31,2024-06-20
廓尔喀刀,略有磨损,★,956649,廓尔喀刀（★） | 都市伪装,48,1648.5,2322.37,1.41,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,957798,廓尔喀刀（★ StatTrak™） | 夜色,16,1598,2086.5,1.31,2024-06-20
廓尔喀刀,略有磨损,★,956675,廓尔喀刀（★） | 森林 DDPAT,56,1549.5,2180.12,1.41,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956928,廓尔喀刀（★ StatTrak™） | 北方森林,9,1527.5,4440.88,2.91,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956929,廓尔喀刀（★ StatTrak™） | 夜色,6,1498.5,1813.55,1.21,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956605,廓尔喀刀（★ StatTrak™） | 狩猎网格,8,1497,1695.62,1.13,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956701,廓尔喀刀（★ StatTrak™） | 都市伪装,21,1469,2349.37,1.6,2024-06-20
廓尔喀刀,略有磨损,★,956683,廓尔喀刀（★） | 北方森林,36,1465.5,2032.07,1.39,2024-06-20
廓尔喀刀,久经沙场,★,956661,廓尔喀刀（★） | 夜色,110,1459.5,1886.78,1.29,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956619,廓尔喀刀（★ StatTrak™） | 夜色,29,1437,2379.63,1.66,2024-06-20
廓尔喀刀,战痕累累,★,956674,廓尔喀刀（★） | 夜色,81,1359.5,1919.58,1.41,2024-06-20
廓尔喀刀,破损不堪,★,956668,廓尔喀刀（★） | 夜色,30,1349.5,2332.75,1.73,2024-06-20
廓尔喀刀,略有磨损,★,956594,廓尔喀刀（★） | 狩猎网格,41,1349.5,1814.2,1.34,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956662,廓尔喀刀（★ StatTrak™） | 枯焦之色,20,1299.5,1763.55,1.36,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,957441,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,7,1298.5,2419.11,1.86,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,959535,廓尔喀刀（★ StatTrak™） | 表面淬火,1,14999.5,7139.98,0.48,2024-06-20
廓尔喀刀,崭新出厂,★,957374,廓尔喀刀（★） | 深红之网,6,13999.5,13260.0,0.95,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,957875,廓尔喀刀（★ StatTrak™） | 渐变之色,3,6249.5,6374.97,1.02,2024-06-20
廓尔喀刀,崭新出厂,★,956622,廓尔喀刀（★） | 渐变之色,266,6244,6369.38,1.02,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,956651,廓尔喀刀（★ StatTrak™） | 渐变之色,58,6239.5,6364.81,1.02,2024-06-20
廓尔喀刀,略有磨损,★,956678,廓尔喀刀（★） | 渐变之色,26,6199,6323.52,1.02,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,957799,廓尔喀刀（★ StatTrak™） | 都市伪装,1,5999.5,4361.55,0.73,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,956740,廓尔喀刀（★ StatTrak™） | 蓝钢,4,5399.5,4444.0,0.82,2024-06-20
廓尔喀刀,崭新出厂,★,957372,廓尔喀刀（★） | 都市伪装,2,4999.5,8346.01,1.67,2024-06-20
廓尔喀刀,崭新出厂,★,956640,廓尔喀刀（★） | 表面淬火,27,4799.5,6834.73,1.42,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956953,廓尔喀刀（★ StatTrak™） | 深红之网,8,4666,6893.59,1.48,2024-06-20
廓尔喀刀,崭新出厂,★,958846,廓尔喀刀（★） | 夜色,4,4657.49,4138.6,0.89,2024-06-20
廓尔喀刀,略有磨损,★,956679,廓尔喀刀（★） | 深红之网,60,4187.5,6604.23,1.58,2024-06-20
廓尔喀刀,崭新出厂,★,957392,廓尔喀刀（★） | 蓝钢,20,4097.99,5243.76,1.28,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,956680,廓尔喀刀（★ StatTrak™） | 屠夫,16,4021.5,5443.05,1.35,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,957397,廓尔喀刀（★ StatTrak™） | 屠夫,6,3999.5,3650.25,0.91,2024-06-20
廓尔喀刀,崭新出厂,★,956653,廓尔喀刀（★） | 屠夫,84,3897.5,5805.85,1.49,2024-06-20
廓尔喀刀,略有磨损,★,956475,廓尔喀刀（★） | 屠夫,102,3629.5,4796.56,1.32,2024-06-20
廓尔喀刀,无涂装,★,956645,廓尔喀刀（★）,167,3569.5,4423.39,1.24,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,960881,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,1,3499.5,3371.28,0.96,2024-06-20
廓尔喀刀,崭新出厂,★ StatTrak™,958199,廓尔喀刀（★ StatTrak™） | 人工染色,3,3498.5,4482.1,1.28,2024-06-20
廓尔喀刀,无涂装,★ StatTrak™,956677,廓尔喀刀（★ StatTrak™）,37,3487.5,5009.93,1.44,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956739,廓尔喀刀（★ StatTrak™） | 屠夫,23,3439.5,5442.98,1.58,2024-06-20
廓尔喀刀,久经沙场,★,956632,廓尔喀刀（★） | 屠夫,36,3332,5301.82,1.59,2024-06-20
廓尔喀刀,崭新出厂,★,958965,廓尔喀刀（★） | 森林 DDPAT,3,2999.5,3338.4,1.11,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956747,廓尔喀刀（★ StatTrak™） | 表面淬火,24,2999.5,9992.86,3.33,2024-06-20
廓尔喀刀,略有磨损,★,956590,廓尔喀刀（★） | 表面淬火,139,2989.5,4252.69,1.42,2024-06-20
廓尔喀刀,崭新出厂,★,956926,廓尔喀刀（★） | 枯焦之色,12,2849,4512.94,1.58,2024-06-20
廓尔喀刀,崭新出厂,★,956717,廓尔喀刀（★） | 北方森林,8,2799.5,9218.13,3.29,2024-06-20
廓尔喀刀,久经沙场,★,956654,廓尔喀刀（★） | 深红之网,173,2749.5,4060.73,1.48,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956698,廓尔喀刀（★ StatTrak™） | 深红之网,35,2715.5,4096.44,1.51,2024-06-20
廓尔喀刀,略有磨损,★,956719,廓尔喀刀（★） | 蓝钢,59,2699.5,3619.77,1.34,2024-06-20
