M4A1 消音版,破损不堪,普通,872132,M4A1 消音型 | 紧迫危机,1,41110.6,3906.49,0.1,2024-06-17
M4A1 消音版,略有磨损,普通,35167,M4A1 消音型 | 翼蜥,874,37.4,50.06,1.34,2024-06-17
M4A1 消音版,略有磨损,普通,35230,M4A1 消音型 | 破碎铅秋,1665,36.5,47.37,1.3,2024-06-17
M4A1 消音版,略有磨损,普通,35171,M4A1 消音型 | 血虎,328,36.08,47.52,1.32,2024-06-17
M4A1 消音版,战痕累累,普通,759259,M4A1 消音型 | 梦魇,190,34.82,45.2,1.3,2024-06-17
M4A1 消音版,久经沙场,普通,35170,M4A1 消音型 | 血虎,88,33.67,47.01,1.4,2024-06-17
M4A1 消音版,略有磨损,普通,35180,M4A1 消音型 | 简报,400,30.8,41.86,1.36,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,886663,M4A1 消音型（StatTrak™） | 夜无眠,358,30.6,44.69,1.46,2024-06-17
M4A1 消音版,久经沙场,普通,35166,M4A1 消音型 | 翼蜥,815,28.69,37.58,1.31,2024-06-17
M4A1 消音版,战痕累累,普通,35164,M4A1 消音型 | 翼蜥,125,28.64,40.63,1.42,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38817,M4A1 消音型（StatTrak™） | 闪回,160,27.8,39.83,1.43,2024-06-17
M4A1 消音版,破损不堪,普通,35231,M4A1 消音型 | 破碎铅秋,35,27.7,43.17,1.56,2024-06-17
M4A1 消音版,崭新出厂,普通,35243,M4A1 消音型 | 氮化处理,1541,26.97,36.85,1.37,2024-06-17
M4A1 消音版,破损不堪,普通,762204,M4A1 消音型 | 控制台,191,26.4,36.27,1.37,2024-06-17
M4A1 消音版,久经沙场,普通,35229,M4A1 消音型 | 破碎铅秋,3105,25.2,31.99,1.27,2024-06-17
M4A1 消音版,战痕累累,普通,762203,M4A1 消音型 | 控制台,166,24.69,31.85,1.29,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,887033,M4A1 消音型（StatTrak™） | 夜无眠,774,24,34.68,1.45,2024-06-17
M4A1 消音版,战痕累累,普通,35227,M4A1 消音型 | 破碎铅秋,134,22.3,30.03,1.35,2024-06-17
M4A1 消音版,久经沙场,普通,35179,M4A1 消音型 | 简报,285,20.45,26.7,1.31,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,921545,M4A1 消音型（StatTrak™） | 隐伏帝王龙,634,20.36,27.35,1.34,2024-06-17
M4A1 消音版,破损不堪,纪念品,929085,M4A1 消音型（纪念品） | 泥斑迷彩,28,19.79,29.82,1.51,2024-06-17
M4A1 消音版,战痕累累,纪念品,929068,M4A1 消音型（纪念品） | 泥斑迷彩,175,19.4,26.12,1.35,2024-06-17
M4A1 消音版,战痕累累,普通,35177,M4A1 消音型 | 简报,35,18.9,25.9,1.37,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,887064,M4A1 消音型（StatTrak™） | 夜无眠,136,17.3,24.67,1.43,2024-06-17
M4A1 消音版,略有磨损,纪念品,929037,M4A1 消音型（纪念品） | 泥斑迷彩,177,15.39,22.85,1.48,2024-06-17
M4A1 消音版,崭新出厂,普通,35202,M4A1 消音型 | 闪回,271,15,22.56,1.5,2024-06-17
M4A1 消音版,崭新出厂,普通,921513,M4A1 消音型 | 隐伏帝王龙,1954,14.87,20.68,1.39,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,886994,M4A1 消音型（StatTrak™） | 夜无眠,608,14.57,20.68,1.42,2024-06-17
M4A1 消音版,崭新出厂,普通,871262,M4A1 消音型 | 气泡流行,1307,14.2,19.52,1.37,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38816,M4A1 消音型（StatTrak™） | 闪回,254,13.75,18.57,1.35,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,921593,M4A1 消音型（StatTrak™） | 隐伏帝王龙,96,13.4,20.17,1.51,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38814,M4A1 消音型（StatTrak™） | 闪回,90,12.7,17.77,1.4,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38818,M4A1 消音型（StatTrak™） | 闪回,87,12.28,17.27,1.41,2024-06-17
M4A1 消音版,崭新出厂,普通,35173,M4A1 消音型 | 北方森林,188,9.87,12.7,1.29,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,886668,M4A1 消音型（StatTrak™） | 夜无眠,988,9.39,13.78,1.47,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,921450,M4A1 消音型（StatTrak™） | 隐伏帝王龙,1020,8.99,12.62,1.4,2024-06-17
M4A1 消音版,略有磨损,普通,35245,M4A1 消音型 | 氮化处理,3508,8.99,12.48,1.39,2024-06-17
M4A1 消音版,略有磨损,普通,871468,M4A1 消音型 | 气泡流行,835,8.86,12.26,1.38,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,921589,M4A1 消音型（StatTrak™） | 隐伏帝王龙,163,8.63,11.17,1.29,2024-06-17
M4A1 消音版,久经沙场,纪念品,929014,M4A1 消音型（纪念品） | 泥斑迷彩,274,8.48,11.9,1.4,2024-06-17
M4A1 消音版,战痕累累,普通,887017,M4A1 消音型 | 夜无眠,3914,7.89,10.88,1.38,2024-06-17
M4A1 消音版,崭新出厂,普通,35248,M4A1 消音型 | 多变迷彩,909,7.41,9.43,1.27,2024-06-17
M4A1 消音版,崭新出厂,普通,886949,M4A1 消音型 | 夜无眠,2178,7.14,10.37,1.45,2024-06-17
M4A1 消音版,破损不堪,普通,871694,M4A1 消音型 | 气泡流行,100,6.97,9.65,1.38,2024-06-17
M4A1 消音版,久经沙场,普通,871121,M4A1 消音型 | 气泡流行,980,6.96,9.58,1.38,2024-06-17
M4A1 消音版,略有磨损,普通,921444,M4A1 消音型 | 隐伏帝王龙,4368,6.42,8.49,1.32,2024-06-17
M4A1 消音版,略有磨损,普通,35250,M4A1 消音型 | 多变迷彩,685,6.33,8.34,1.32,2024-06-17
M4A1 消音版,崭新出厂,普通,927335,M4A1 消音型 | 泥斑迷彩,660,6.21,7.98,1.29,2024-06-17
M4A1 消音版,战痕累累,普通,871487,M4A1 消音型 | 气泡流行,128,6.17,8.13,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,887042,M4A1 消音型 | 夜无眠,469,4.92,7.33,1.49,2024-06-17
M4A1 消音版,略有磨损,普通,35204,M4A1 消音型 | 闪回,654,4.49,6.24,1.39,2024-06-17
M4A1 消音版,久经沙场,普通,35249,M4A1 消音型 | 多变迷彩,832,3.91,5.22,1.34,2024-06-17
M4A1 消音版,战痕累累,普通,927346,M4A1 消音型 | 泥斑迷彩,1032,3.85,5.08,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,921574,M4A1 消音型 | 隐伏帝王龙,202,3.49,5.22,1.5,2024-06-17
M4A1 消音版,略有磨损,普通,886650,M4A1 消音型 | 夜无眠,3812,3.2,4.72,1.47,2024-06-17
M4A1 消音版,久经沙场,普通,35244,M4A1 消音型 | 氮化处理,5829,2.88,3.7,1.28,2024-06-17
M4A1 消音版,破损不堪,普通,35251,M4A1 消音型 | 多变迷彩,92,2.58,3.41,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,35246,M4A1 消音型 | 氮化处理,241,2.48,3.34,1.35,2024-06-17
M4A1 消音版,久经沙场,普通,921435,M4A1 消音型 | 隐伏帝王龙,8013,2.44,3.48,1.43,2024-06-17
M4A1 消音版,战痕累累,普通,35247,M4A1 消音型 | 多变迷彩,86,2.35,2.68,1.14,2024-06-17
M4A1 消音版,战痕累累,普通,921463,M4A1 消音型 | 隐伏帝王龙,1657,2.08,2.97,1.43,2024-06-17
M4A1 消音版,久经沙场,普通,35203,M4A1 消音型 | 闪回,1386,2.07,2.83,1.37,2024-06-17
M4A1 消音版,略有磨损,普通,927324,M4A1 消音型 | 泥斑迷彩,1045,2.03,2.83,1.39,2024-06-17
M4A1 消音版,久经沙场,普通,886642,M4A1 消音型 | 夜无眠,7296,1.97,2.76,1.4,2024-06-17
M4A1 消音版,破损不堪,普通,927342,M4A1 消音型 | 泥斑迷彩,158,1.93,2.83,1.47,2024-06-17
M4A1 消音版,战痕累累,普通,35201,M4A1 消音型 | 闪回,296,1.83,2.32,1.27,2024-06-17
M4A1 消音版,破损不堪,普通,35205,M4A1 消音型 | 闪回,326,1.79,2.54,1.42,2024-06-17
M4A1 消音版,战痕累累,普通,35242,M4A1 消音型 | 氮化处理,701,1.44,2.03,1.41,2024-06-17
M4A1 消音版,久经沙场,普通,927292,M4A1 消音型 | 泥斑迷彩,2044,1.39,1.89,1.36,2024-06-17
M4A1 消音版,略有磨损,普通,35175,M4A1 消音型 | 北方森林,2643,0.42,0.73,1.74,2024-06-17
M4A1 消音版,久经沙场,普通,35174,M4A1 消音型 | 北方森林,3073,0.24,0.44,1.83,2024-06-17
M4A1 消音版,破损不堪,普通,35176,M4A1 消音型 | 北方森林,196,0.23,0.44,1.91,2024-06-17
M4A1 消音版,战痕累累,普通,35172,M4A1 消音型 | 北方森林,388,0.21,0.44,2.1,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,886994,M4A1 消音型（StatTrak™） | 夜无眠,608,14.57,20.68,1.42,2024-06-17
M4A1 消音版,崭新出厂,普通,871262,M4A1 消音型 | 气泡流行,1307,14.2,19.52,1.37,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38816,M4A1 消音型（StatTrak™） | 闪回,254,13.75,18.57,1.35,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,921593,M4A1 消音型（StatTrak™） | 隐伏帝王龙,96,13.4,20.17,1.51,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38814,M4A1 消音型（StatTrak™） | 闪回,90,12.7,17.77,1.4,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38818,M4A1 消音型（StatTrak™） | 闪回,87,12.28,17.27,1.41,2024-06-17
M4A1 消音版,崭新出厂,普通,35173,M4A1 消音型 | 北方森林,188,9.87,12.7,1.29,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,886668,M4A1 消音型（StatTrak™） | 夜无眠,988,9.39,13.78,1.47,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,921450,M4A1 消音型（StatTrak™） | 隐伏帝王龙,1020,8.99,12.62,1.4,2024-06-17
M4A1 消音版,略有磨损,普通,35245,M4A1 消音型 | 氮化处理,3508,8.99,12.48,1.39,2024-06-17
M4A1 消音版,略有磨损,普通,871468,M4A1 消音型 | 气泡流行,835,8.86,12.26,1.38,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,921589,M4A1 消音型（StatTrak™） | 隐伏帝王龙,163,8.63,11.17,1.29,2024-06-17
M4A1 消音版,久经沙场,纪念品,929014,M4A1 消音型（纪念品） | 泥斑迷彩,274,8.48,11.9,1.4,2024-06-17
M4A1 消音版,战痕累累,普通,887017,M4A1 消音型 | 夜无眠,3914,7.89,10.88,1.38,2024-06-17
M4A1 消音版,崭新出厂,普通,35248,M4A1 消音型 | 多变迷彩,909,7.41,9.43,1.27,2024-06-17
M4A1 消音版,崭新出厂,普通,886949,M4A1 消音型 | 夜无眠,2178,7.14,10.37,1.45,2024-06-17
M4A1 消音版,破损不堪,普通,871694,M4A1 消音型 | 气泡流行,100,6.97,9.65,1.38,2024-06-17
M4A1 消音版,久经沙场,普通,871121,M4A1 消音型 | 气泡流行,980,6.96,9.58,1.38,2024-06-17
M4A1 消音版,略有磨损,普通,921444,M4A1 消音型 | 隐伏帝王龙,4368,6.42,8.49,1.32,2024-06-17
M4A1 消音版,略有磨损,普通,35250,M4A1 消音型 | 多变迷彩,685,6.33,8.34,1.32,2024-06-17
M4A1 消音版,崭新出厂,普通,927335,M4A1 消音型 | 泥斑迷彩,660,6.21,7.98,1.29,2024-06-17
M4A1 消音版,战痕累累,普通,871487,M4A1 消音型 | 气泡流行,128,6.17,8.13,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,887042,M4A1 消音型 | 夜无眠,469,4.92,7.33,1.49,2024-06-17
M4A1 消音版,略有磨损,普通,35204,M4A1 消音型 | 闪回,654,4.49,6.24,1.39,2024-06-17
M4A1 消音版,久经沙场,普通,35249,M4A1 消音型 | 多变迷彩,832,3.91,5.22,1.34,2024-06-17
M4A1 消音版,战痕累累,普通,927346,M4A1 消音型 | 泥斑迷彩,1032,3.85,5.08,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,921574,M4A1 消音型 | 隐伏帝王龙,202,3.49,5.22,1.5,2024-06-17
M4A1 消音版,略有磨损,普通,886650,M4A1 消音型 | 夜无眠,3812,3.2,4.72,1.47,2024-06-17
M4A1 消音版,久经沙场,普通,35244,M4A1 消音型 | 氮化处理,5829,2.88,3.7,1.28,2024-06-17
M4A1 消音版,破损不堪,普通,35251,M4A1 消音型 | 多变迷彩,92,2.58,3.41,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,35246,M4A1 消音型 | 氮化处理,241,2.48,3.34,1.35,2024-06-17
M4A1 消音版,久经沙场,普通,921435,M4A1 消音型 | 隐伏帝王龙,8013,2.44,3.48,1.43,2024-06-17
M4A1 消音版,战痕累累,普通,35247,M4A1 消音型 | 多变迷彩,86,2.35,2.68,1.14,2024-06-17
M4A1 消音版,战痕累累,普通,921463,M4A1 消音型 | 隐伏帝王龙,1657,2.08,2.97,1.43,2024-06-17
M4A1 消音版,久经沙场,普通,35203,M4A1 消音型 | 闪回,1386,2.07,2.83,1.37,2024-06-17
M4A1 消音版,略有磨损,普通,927324,M4A1 消音型 | 泥斑迷彩,1045,2.03,2.83,1.39,2024-06-17
M4A1 消音版,久经沙场,普通,886642,M4A1 消音型 | 夜无眠,7295,1.97,2.76,1.4,2024-06-17
M4A1 消音版,破损不堪,普通,927342,M4A1 消音型 | 泥斑迷彩,158,1.93,2.83,1.47,2024-06-17
M4A1 消音版,战痕累累,普通,35201,M4A1 消音型 | 闪回,296,1.83,2.32,1.27,2024-06-17
M4A1 消音版,破损不堪,普通,35205,M4A1 消音型 | 闪回,326,1.79,2.54,1.42,2024-06-17
M4A1 消音版,战痕累累,普通,35242,M4A1 消音型 | 氮化处理,701,1.44,2.03,1.41,2024-06-17
M4A1 消音版,久经沙场,普通,927292,M4A1 消音型 | 泥斑迷彩,2044,1.39,1.89,1.36,2024-06-17
M4A1 消音版,略有磨损,普通,35175,M4A1 消音型 | 北方森林,2643,0.42,0.73,1.74,2024-06-17
M4A1 消音版,久经沙场,普通,35174,M4A1 消音型 | 北方森林,3073,0.24,0.44,1.83,2024-06-17
M4A1 消音版,破损不堪,普通,35176,M4A1 消音型 | 北方森林,196,0.23,0.44,1.91,2024-06-17
M4A1 消音版,战痕累累,普通,35172,M4A1 消音型 | 北方森林,388,0.21,0.44,2.1,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,886994,M4A1 消音型（StatTrak™） | 夜无眠,608,14.57,20.68,1.42,2024-06-17
M4A1 消音版,崭新出厂,普通,871262,M4A1 消音型 | 气泡流行,1307,14.2,19.52,1.37,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38816,M4A1 消音型（StatTrak™） | 闪回,254,13.75,18.57,1.35,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,921593,M4A1 消音型（StatTrak™） | 隐伏帝王龙,96,13.4,20.17,1.51,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38814,M4A1 消音型（StatTrak™） | 闪回,90,12.7,17.77,1.4,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38818,M4A1 消音型（StatTrak™） | 闪回,87,12.28,17.27,1.41,2024-06-17
M4A1 消音版,崭新出厂,普通,35173,M4A1 消音型 | 北方森林,188,9.87,12.7,1.29,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,886668,M4A1 消音型（StatTrak™） | 夜无眠,988,9.39,13.78,1.47,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,921450,M4A1 消音型（StatTrak™） | 隐伏帝王龙,1020,8.99,12.62,1.4,2024-06-17
M4A1 消音版,略有磨损,普通,35245,M4A1 消音型 | 氮化处理,3508,8.99,12.48,1.39,2024-06-17
M4A1 消音版,略有磨损,普通,871468,M4A1 消音型 | 气泡流行,835,8.86,12.26,1.38,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,921589,M4A1 消音型（StatTrak™） | 隐伏帝王龙,163,8.63,11.17,1.29,2024-06-17
M4A1 消音版,久经沙场,纪念品,929014,M4A1 消音型（纪念品） | 泥斑迷彩,274,8.48,11.9,1.4,2024-06-17
M4A1 消音版,战痕累累,普通,887017,M4A1 消音型 | 夜无眠,3914,7.89,10.88,1.38,2024-06-17
M4A1 消音版,崭新出厂,普通,35248,M4A1 消音型 | 多变迷彩,909,7.41,9.43,1.27,2024-06-17
M4A1 消音版,崭新出厂,普通,886949,M4A1 消音型 | 夜无眠,2178,7.14,10.37,1.45,2024-06-17
M4A1 消音版,破损不堪,普通,871694,M4A1 消音型 | 气泡流行,100,6.97,9.65,1.38,2024-06-17
M4A1 消音版,久经沙场,普通,871121,M4A1 消音型 | 气泡流行,980,6.96,9.58,1.38,2024-06-17
M4A1 消音版,略有磨损,普通,921444,M4A1 消音型 | 隐伏帝王龙,4369,6.41,8.49,1.32,2024-06-17
M4A1 消音版,略有磨损,普通,35250,M4A1 消音型 | 多变迷彩,685,6.33,8.34,1.32,2024-06-17
M4A1 消音版,崭新出厂,普通,927335,M4A1 消音型 | 泥斑迷彩,660,6.21,7.98,1.29,2024-06-17
M4A1 消音版,战痕累累,普通,871487,M4A1 消音型 | 气泡流行,128,6.17,8.13,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,887042,M4A1 消音型 | 夜无眠,469,4.92,7.33,1.49,2024-06-17
M4A1 消音版,略有磨损,普通,35204,M4A1 消音型 | 闪回,654,4.49,6.24,1.39,2024-06-17
M4A1 消音版,久经沙场,普通,35249,M4A1 消音型 | 多变迷彩,832,3.91,5.22,1.34,2024-06-17
M4A1 消音版,战痕累累,普通,927346,M4A1 消音型 | 泥斑迷彩,1032,3.85,5.08,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,921574,M4A1 消音型 | 隐伏帝王龙,202,3.49,5.22,1.5,2024-06-17
M4A1 消音版,略有磨损,普通,886650,M4A1 消音型 | 夜无眠,3812,3.2,4.72,1.47,2024-06-17
M4A1 消音版,久经沙场,普通,35244,M4A1 消音型 | 氮化处理,5829,2.88,3.7,1.28,2024-06-17
M4A1 消音版,破损不堪,普通,35251,M4A1 消音型 | 多变迷彩,92,2.58,3.41,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,35246,M4A1 消音型 | 氮化处理,241,2.48,3.34,1.35,2024-06-17
M4A1 消音版,久经沙场,普通,921435,M4A1 消音型 | 隐伏帝王龙,8012,2.44,3.48,1.43,2024-06-17
M4A1 消音版,战痕累累,普通,35247,M4A1 消音型 | 多变迷彩,86,2.35,2.68,1.14,2024-06-17
M4A1 消音版,战痕累累,普通,921463,M4A1 消音型 | 隐伏帝王龙,1657,2.08,2.97,1.43,2024-06-17
M4A1 消音版,久经沙场,普通,35203,M4A1 消音型 | 闪回,1386,2.07,2.83,1.37,2024-06-17
M4A1 消音版,略有磨损,普通,927324,M4A1 消音型 | 泥斑迷彩,1045,2.03,2.83,1.39,2024-06-17
M4A1 消音版,久经沙场,普通,886642,M4A1 消音型 | 夜无眠,7295,1.97,2.76,1.4,2024-06-17
M4A1 消音版,破损不堪,普通,927342,M4A1 消音型 | 泥斑迷彩,158,1.93,2.83,1.47,2024-06-17
M4A1 消音版,战痕累累,普通,35201,M4A1 消音型 | 闪回,296,1.83,2.32,1.27,2024-06-17
M4A1 消音版,破损不堪,普通,35205,M4A1 消音型 | 闪回,326,1.79,2.54,1.42,2024-06-17
M4A1 消音版,战痕累累,普通,35242,M4A1 消音型 | 氮化处理,700,1.44,2.03,1.41,2024-06-17
M4A1 消音版,久经沙场,普通,927292,M4A1 消音型 | 泥斑迷彩,2044,1.39,1.89,1.36,2024-06-17
M4A1 消音版,略有磨损,普通,35175,M4A1 消音型 | 北方森林,2643,0.42,0.73,1.74,2024-06-17
M4A1 消音版,久经沙场,普通,35174,M4A1 消音型 | 北方森林,3073,0.24,0.44,1.83,2024-06-17
M4A1 消音版,破损不堪,普通,35176,M4A1 消音型 | 北方森林,196,0.23,0.44,1.91,2024-06-17
M4A1 消音版,战痕累累,普通,35172,M4A1 消音型 | 北方森林,388,0.21,0.44,2.1,2024-06-17
M4A1 消音版,崭新出厂,纪念品,877427,M4A1 消音型（纪念品） | 冒险家乐园,5,34999.5,28558.96,0.82,2024-06-20
M4A1 消音版,破损不堪,普通,872132,M4A1 消音型 | 紧迫危机,1,32999.5,3906.44,0.12,2024-06-20
M4A1 消音版,崭新出厂,纪念品,877416,M4A1 消音型（纪念品） | 紧迫危机,7,21887.5,22325.79,1.02,2024-06-20
M4A1 消音版,崭新出厂,普通,35225,M4A1 消音型 | 骑士,27,21659,22092.69,1.02,2024-06-20
M4A1 消音版,战痕累累,StatTrak™,38824,M4A1 消音型（StatTrak™） | 守护者,1,19999.5,285.58,0.01,2024-06-20
M4A1 消音版,略有磨损,纪念品,37715,M4A1 消音型（纪念品） | 骑士,3,19999.5,13054.97,0.65,2024-06-20
M4A1 消音版,崭新出厂,普通,836236,M4A1 消音型 | 冒险家乐园,111,15397,15146.99,0.98,2024-06-20
M4A1 消音版,崭新出厂,纪念品,37714,M4A1 消音型（纪念品） | 骑士,52,12684.99,11077.19,0.87,2024-06-20
M4A1 消音版,崭新出厂,普通,872127,M4A1 消音型 | 紧迫危机,36,11996.5,11424.02,0.95,2024-06-20
M4A1 消音版,略有磨损,纪念品,877086,M4A1 消音型（纪念品） | 冒险家乐园,33,11395,11623.38,1.02,2024-06-20
M4A1 消音版,略有磨损,普通,835965,M4A1 消音型 | 冒险家乐园,58,11078.5,11016.01,0.99,2024-06-20
M4A1 消音版,略有磨损,普通,872120,M4A1 消音型 | 紧迫危机,18,7965.5,8125.31,1.02,2024-06-20
M4A1 消音版,略有磨损,纪念品,877380,M4A1 消音型（纪念品） | 紧迫危机,20,7898.5,7762.22,0.98,2024-06-20
M4A1 消音版,久经沙场,普通,835885,M4A1 消音型 | 冒险家乐园,47,6949.5,6935.97,1.0,2024-06-20
M4A1 消音版,崭新出厂,纪念品,45593,M4A1 消音型（纪念品） | 神来之作,15,6665.5,5783.42,0.87,2024-06-20
M4A1 消音版,略有磨损,普通,35217,M4A1 消音型 | 赤红新星,5,6498.49,6365.83,0.98,2024-06-20
M4A1 消音版,久经沙场,纪念品,877116,M4A1 消音型（纪念品） | 冒险家乐园,34,6099.5,6221.99,1.02,2024-06-20
M4A1 消音版,崭新出厂,普通,35216,M4A1 消音型 | 赤红新星,336,6048.5,6169.95,1.02,2024-06-20
M4A1 消音版,崭新出厂,StatTrak™,835769,M4A1 消音型（StatTrak™） | 印花集,199,5687.5,10492.6,1.84,2024-06-20
M4A1 消音版,崭新出厂,纪念品,761448,M4A1 消音型（纪念品） | 控制台,4,5565.5,6248.48,1.12,2024-06-20
M4A1 消音版,略有磨损,纪念品,37722,M4A1 消音型（纪念品） | 氮化处理,2,5479.5,4497.99,0.82,2024-06-20
M4A1 消音版,久经沙场,普通,872044,M4A1 消音型 | 紧迫危机,29,4794.5,10732.1,2.24,2024-06-20
M4A1 消音版,破损不堪,纪念品,890572,M4A1 消音型（纪念品） | 紧迫危机,1,4499.5,8993.66,2.0,2024-06-20
M4A1 消音版,破损不堪,普通,835909,M4A1 消音型 | 冒险家乐园,18,4387,6676.81,1.52,2024-06-20
M4A1 消音版,久经沙场,纪念品,877114,M4A1 消音型（纪念品） | 紧迫危机,21,4198.5,10307.54,2.46,2024-06-20
M4A1 消音版,战痕累累,普通,836075,M4A1 消音型 | 冒险家乐园,11,4099.5,6080.18,1.48,2024-06-20
M4A1 消音版,略有磨损,普通,835970,M4A1 消音型 | 澜磷,9,4097.5,6682.32,1.63,2024-06-20
M4A1 消音版,崭新出厂,普通,835547,M4A1 消音型 | 澜磷,648,3997.5,5585.95,1.4,2024-06-20
M4A1 消音版,破损不堪,纪念品,877087,M4A1 消音型（纪念品） | 冒险家乐园,16,3899,6331.5,1.62,2024-06-20
M4A1 消音版,战痕累累,纪念品,877379,M4A1 消音型（纪念品） | 冒险家乐园,11,3779,6837.34,1.81,2024-06-20
M4A1 消音版,战痕累累,纪念品,877107,M4A1 消音型（纪念品） | 紧迫危机,7,3698.5,7524.04,2.03,2024-06-20
M4A1 消音版,略有磨损,普通,35224,M4A1 消音型 | 伊卡洛斯殒落,34,3294.4,5007.61,1.52,2024-06-20
M4A1 消音版,崭新出厂,普通,35223,M4A1 消音型 | 伊卡洛斯殒落,851,3227.5,4451.83,1.38,2024-06-20
M4A1 消音版,略有磨损,StatTrak™,835861,M4A1 消音型（StatTrak™） | 印花集,188,2924.5,4084.83,1.4,2024-06-20
M4A1 消音版,略有磨损,纪念品,37712,M4A1 消音型（纪念品） | 北方森林,4,2887.5,1843.67,0.64,2024-06-20
M4A1 消音版,崭新出厂,普通,35233,M4A1 消音型 | 神来之作,49,2829.5,4250.37,1.5,2024-06-20
M4A1 消音版,崭新出厂,普通,835780,M4A1 消音型 | 印花集,767,2808.5,4170.83,1.49,2024-06-20
M4A1 消音版,崭新出厂,StatTrak™,38829,M4A1 消音型（StatTrak™） | 暴怒野兽,33,2352.5,3935.69,1.67,2024-06-20
M4A1 消音版,崭新出厂,StatTrak™,38820,M4A1 消音型（StatTrak™） | 金蛇缠绕,50,2284.5,3273.89,1.43,2024-06-20
M4A1 消音版,久经沙场,StatTrak™,835884,M4A1 消音型（StatTrak™） | 印花集,181,1697,2188.32,1.29,2024-06-20
M4A1 消音版,崭新出厂,StatTrak™,38800,M4A1 消音型（StatTrak™） | 女火神之炽焰,38,1648.5,2561.06,1.55,2024-06-20
M4A1 消音版,略有磨损,普通,835800,M4A1 消音型 | 印花集,1469,1634,2385.73,1.46,2024-06-20
M4A1 消音版,略有磨损,纪念品,37718,M4A1 消音型（纪念品） | 神来之作,69,1599.5,3597.35,2.25,2024-06-20
M4A1 消音版,略有磨损,普通,35235,M4A1 消音型 | 神来之作,51,1572.5,2177.15,1.38,2024-06-20
M4A1 消音版,破损不堪,StatTrak™,836150,M4A1 消音型（StatTrak™） | 印花集,8,1374.5,2188.32,1.59,2024-06-20
M4A1 消音版,崭新出厂,StatTrak™,779417,M4A1 消音型（StatTrak™） | 二号玩家,50,1307.95,2081.49,1.59,2024-06-20
M4A1 消音版,战痕累累,StatTrak™,836050,M4A1 消音型（StatTrak™） | 印花集,11,1149.49,1638.79,1.43,2024-06-20
M4A1 消音版,久经沙场,纪念品,37721,M4A1 消音型（纪念品） | 氮化处理,2,1139,1219.68,1.07,2024-06-20
M4A1 消音版,略有磨损,StatTrak™,38822,M4A1 消音型（StatTrak™） | 金蛇缠绕,76,1118.5,1766.89,1.58,2024-06-20
M4A1 消音版,久经沙场,普通,835624,M4A1 消音型 | 印花集,2116,1059,1426.08,1.35,2024-06-20
M4A1 消音版,崭新出厂,StatTrak™,38839,M4A1 消音型（StatTrak™） | 机械工业,87,993.99,1493.94,1.5,2024-06-20
M4A1 消音版,崭新出厂,普通,35207,M4A1 消音型 | 金蛇缠绕,261,923.5,1301.18,1.41,2024-06-20
M4A1 消音版,久经沙场,普通,35234,M4A1 消音型 | 神来之作,42,912.21,1148.56,1.26,2024-06-20
M4A1 消音版,破损不堪,普通,835932,M4A1 消音型 | 印花集,56,907.78,1309.6,1.44,2024-06-20
M4A1 消音版,久经沙场,纪念品,37717,M4A1 消音型（纪念品） | 神来之作,59,896,1390.23,1.55,2024-06-20
M4A1 消音版,略有磨损,StatTrak™,38808,M4A1 消音型（StatTrak™） | 黑水,92,863.37,1400.1,1.62,2024-06-20
